tps_code_census,tsp_name_census,tsp_code_mimu,tsp_name_mimu,state_region,tsp_type
AREA # 130109,Pinlaung,MMR014009,Pinlaung,Shan (south),main
AREA # 130110,Phekon,MMR014010,Pekon,Shan (south),main
AREA # 130151,Kyauktalongyi(ST),MMR014001,Taunggyi,Shan (south),sub
AREA # 130152,Indaw(ST),MMR014008,Lawksawk,Shan (south),sub
AREA # 130153,Naungtayar(ST),MMR014009,Pinlaung,Shan (south),sub
AREA # 130201,Loilem,MMR014011,Loilen,Shan (south),main
AREA # 130202,Le`char,MMR014012,Laihka,Shan (south),main
AREA # 130203,Nanhsam(South),MMR014013,Nansang,Shan (south),main
AREA # 130204,Kunhing,MMR014014,Kunhing,Shan (south),main
AREA # 130205,Kehsi,MMR014015,Kyethi,Shan (south),main
AREA # 130206,Mongkai,MMR014016,Mongkaing,Shan (south),main
AREA # 130207,Mineshu,MMR014017,Monghsu,Shan (south),main
AREA # 130251,Panglong(ST),MMR014011,Loilen,Shan (south),sub
AREA # 130252,Kholan(ST),MMR014013,Nansang,Shan (south),sub
AREA # 130253,Karli(ST),MMR014014,Kunhing,Shan (south),sub
AREA # 130254,Minenaung(ST),MMR014015,Kyethi,Shan (south),sub
AREA # 130255,Minesan(Monsan)(ST),MMR014017,Monghsu,Shan (south),sub
AREA # 130301,Linkhe`,MMR014018,Langkho,Shan (south),main
AREA # 130302,Mone`,MMR014019,Mongnai,Shan (south),main
AREA # 130303,Maukme`,MMR014020,Mawkmai,Shan (south),main
AREA # 130304,Minepan,MMR014021,Mongpan,Shan (south),main
AREA # 130351,Homane(ST),MMR014018,Langkho,Shan (south),sub
AREA # 130352,Kengtaung(ST),MMR014019,Mongnai,Shan (south),sub
AREA # 130401,Lashio,MMR015001,Lashio,Shan (north),main
AREA # 130402,Theinni,MMR015002,Hseni,Shan (north),main
AREA # 130403,Mineye`,MMR015003,Mongyai,Shan (north),main
AREA # 130404,Tantyan,MMR015004,Tangyan,Shan (north),main
AREA # 130501,MuSe,MMR015009,Muse,Shan (north),main
AREA # 130502,Namkham,MMR015010,Namhkan,Shan (north),main
