Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Total,469,3489,3958,Kamamaung(ST},MMR003003
 Urban,78,23938,24016,Myawady,MMR003005
 Rural,1895,15347,17242,Myawady,MMR003005
 Total,1973,39285,41258,Myawady,MMR003005
 Urban,25,50,75,Sugali(ST),MMR003005
 Rural,59,927,986,Sugali(ST),MMR003005
 Total,84,977,1061,Sugali(ST),MMR003005
 Urban,2,575,577,Wawlaymyaing(ST),MMR003005
 Rural,66,1054,1120,Wawlaymyaing(ST),MMR003005
 Total,68,1629,1697,Wawlaymyaing(ST),MMR003005
 Urban,328,8154,8482,Kawkareik,MMR003006
 Rural,10490,26526,37016,Kawkareik,MMR003006
 Total,10818,34680,45498,Kawkareik,MMR003006
 Urban,110,1707,1817,Kyarinseikkyi,MMR003007
 Rural,4351,15872,20223,Kyarinseikkyi,MMR003007
 Total,4461,17579,22040,Kyarinseikkyi,MMR003007
 Urban,10,6086,6096,Payarthonezu(ST),MMR003007
 Rural,2769,8930,11699,Payarthonezu(ST),MMR003007
 Total,2779,15016,17795,Payarthonezu(ST),MMR003007
 Urban,22,658,680,Kyaidon(ST),MMR003007
 Rural,1914,8139,10053,Kyaidon(ST),MMR003007
 Total,1936,8797,10733,Kyaidon(ST),MMR003007
 Urban,181,5040,5221,HaKa,MMR004002
 Rural,1188,3508,4696,HaKa,MMR004002
 Total,1369,8548,9917,HaKa,MMR004002
 Urban,24,1483,1507,Thantlang,MMR004003
 Rural,1692,6583,8275,Thantlang,MMR004003
 Total,1716,8066,9782,Thantlang,MMR004003
 Urban,6,1996,2002,Falam,MMR004001
 Rural,273,6153,6426,Falam,MMR004001
 Total,279,8149,8428,Falam,MMR004001
 Urban,28,2222,2250,Tedim,MMR004004
 Rural,755,11678,12433,Tedim,MMR004004
 Total,783,13900,14683,Tedim,MMR004004
 Urban,1,639,640,Tonzaung,MMR004005
 Rural,199,2572,2771,Tonzaung,MMR004005
 Total,200,3211,3411,Tonzaung,MMR004005
 Urban,3,667,670,Rihkhuadal(ST),MMR004001
 Rural,32,496,528,Rihkhuadal(ST),MMR004001
 Total,35,1163,1198,Rihkhuadal(ST),MMR004001
 Urban,-,215,215,Cikha(ST),MMR004005
 Rural,-,1315,1315,Cikha(ST),MMR004005
 Total,-,1530,1530,Cikha(ST),MMR004005
 Urban,95,2248,2343,Mindat,MMR004006
 Rural,678,5501,6179,Mindat,MMR004006
 Total,773,7749,8522,Mindat,MMR004006
 Urban,41,1629,1670,Matupi,MMR004007
 Rural,810,5156,5966,Matupi,MMR004007
 Total,851,6785,7636,Matupi,MMR004007
 Urban,-,807,807,Kanpalet,MMR004008
 Rural,266,2904,3170,Kanpalet,MMR004008
 Total,266,3711,3977,Kanpalet,MMR004008
 Urban,-,1350,1350,Paletwat,MMR004009
 Rural,100,11843,11943,Paletwat,MMR004009
 Total,100,13193,13293,Paletwat,MMR004009
 Urban,57,405,462,Reazu(ST),MMR004007
 Rural,742,1317,2059,Reazu(ST),MMR004007
 Total,799,1722,2521,Reazu(ST),MMR004007
 Urban,10,623,633,Sami(ST),MMR004009
 Rural,401,5189,5590,Sami(ST),MMR004009
 Total,411,5812,6223,Sami(ST),MMR004009
 Urban,191,16305,16496,Sagaing,MMR005001
 Rural,20334,28313,48647,Sagaing,MMR005001
 Total,20525,44618,65143,Sagaing,MMR005001
 Urban,114,3517,3631,Myinmu,MMR005002
 Rural,12501,9172,21673,Myinmu,MMR005002
 Total,12615,12689,25304,Myinmu,MMR005002
 Urban,239,1714,1953,Myaung,MMR005003
 Rural,10395,11914,22309,Myaung,MMR005003
 Total,10634,13628,24262,Myaung,MMR005003
 Urban,237,13294,13531,Shwebo,MMR005004
 Rural,10448,26268,36716,Shwebo,MMR005004
 Total,10685,39562,50247,Shwebo,MMR005004
 Urban,198,2093,2291,Khin U,MMR005005
 Rural,14946,15387,30333,Khin U,MMR005005
 Total,15144,17480,32624,Khin U,MMR005005
 Urban,162,2144,2306,Wetlet,MMR005006
 Rural,20943,23463,44406,Wetlet,MMR005006
 Total,21105,25607,46712,Wetlet,MMR005006
 Urban,1305,3878,5183,Kambalu,MMR005007
 Rural,33630,22513,56143,Kambalu,MMR005007
 Total,34935,26391,61326,Kambalu,MMR005007
 Urban,549,1950,2499,Kyunhlau,MMR005008
 Rural,11578,6786,18364,Kyunhlau,MMR005008
 Total,12127,8736,20863,Kyunhlau,MMR005008
 Urban,133,3832,3965,Ye U,MMR005009
 Rural,11076,11332,22408,Ye U,MMR005009
 Total,11209,15164,26373,Ye U,MMR005009
 Urban,100,855,955,Depayin,MMR005010
 Rural,14175,15215,29390,Depayin,MMR005010
 Total,14275,16070,30345,Depayin,MMR005010
 Urban,429,2543,2972,Tasei,MMR005011
 Rural,19112,13853,32965,Tasei,MMR005011
 Total,19541,16396,35937,Tasei,MMR005011
 Urban,218,2088,2306,Kyaukmyaung(ST),MMR005004
 Rural,2595,2149,4744,Kyaukmyaung(ST),MMR005004
 Total,2813,4237,7050,Kyaukmyaung(ST),MMR005004
 Urban,496,39910,40406,Monywa,MMR005012
 Rural,10215,25341,35556,Monywa,MMR005012
 Total,10711,65251,75962,Monywa,MMR005012
 Urban,98,1095,1193,Butalin,MMR005013
 Rural,14244,13179,27423,Butalin,MMR005013
 Total,14342,14274,28616,Butalin,MMR005013
 Urban,305,1850,2155,Ayartaw,MMR005014
 Rural,14215,19221,33436,Ayartaw,MMR005014
 Total,14520,21071,35591,Ayartaw,MMR005014
 Urban,1005,4076,5081,Chaung Oo,MMR005015
 Rural,7460,10835,18295,Chaung Oo,MMR005015
 Total,8465,14911,23376,Chaung Oo,MMR005015
 Urban,288,4975,5263,Katha,MMR005020
 Rural,14750,11948,26698,Katha,MMR005020
 Total,15038,16923,31961,Katha,MMR005020
 Urban,202,1640,1842,Indaw,MMR005021
 Rural,14116,7272,21388,Indaw,MMR005021
 Total,14318,8912,23230,Indaw,MMR005021
 Urban,302,2768,3070,Tigyaing,MMR005022
 Rural,13871,9448,23319,Tigyaing,MMR005022
 Total,14173,12216,26389,Tigyaing,MMR005022
 Urban,149,1063,1212,Banmauk,MMR005023
 Rural,10675,6981,17656,Banmauk,MMR005023
 Total,10824,8044,18868,Banmauk,MMR005023
 Urban,87,4482,4569,Kawlin,MMR005024
 Rural,14976,11858,26834,Kawlin,MMR005024
 Total,15063,16340,31403,Kawlin,MMR005024
 Urban,340,2250,2590,Wuntho,MMR005025
 Rural,6529,5086,11615,Wuntho,MMR005025
 Total,6869,7336,14205,Wuntho,MMR005025
 Urban,177,1292,1469,Pinlebu,MMR005026
 Rural,13786,6645,20431,Pinlebu,MMR005026
 Total,13963,7937,21900,Pinlebu,MMR005026
 Urban,1201,24520,25721,Kalay,MMR014005
 Rural,19020,28028,47048,Kalay,MMR014005
 Total,20221,52548,72769,Kalay,MMR014005
 Urban,36,1917,1953,Kalewa,MMR005028
 Rural,5278,4504,9782,Kalewa,MMR005028
 Total,5314,6421,11735,Kalewa,MMR005028
 Urban,100,736,836,Mingin,MMR005029
 Rural,14877,6345,21222,Mingin,MMR005029
 Total,14977,7081,22058,Mingin,MMR005029
 Urban,1427,7562,8989,Tamu,MMR005030
 Rural,1643,1354,2997,Tamu,MMR005030
 Total,3070,8916,11986,Tamu,MMR005030
 Urban,160,148,308,Myothit(ST),MMR005030
 Rural,1348,1441,2789,Myothit(ST),MMR005030
 Total,1508,1589,3097,Myothit(ST),MMR005030
 Urban,515,2323,2838,Khampat(ST),MMR005030
 Rural,1725,2945,4670,Khampat(ST),MMR005030
 Total,2240,5268,7508,Khampat(ST),MMR005030
 Urban,352,1472,1824,Mawlaik,MMR005031
 Rural,5319,3202,8521,Mawlaik,MMR005031
 Total,5671,4674,10345,Mawlaik,MMR005031
 Urban,314,1628,1942,Phaungpyin,MMR005032
 Rural,12450,5854,18304,Phaungpyin,MMR005032
 Total,12764,7482,20246,Phaungpyin,MMR005032
 Urban,44,2139,2183,Hkamti,MMR005033
 Rural,593,4585,5178,Hkamti,MMR005033
 Total,637,6724,7361,Hkamti,MMR005033
 Urban,213,3362,3575,Homalin,MMR005034
 Rural,14904,17264,32168,Homalin,MMR005034
 Total,15117,20626,35743,Homalin,MMR005034
 Urban,16,237,253,Leshi,MMR005035
 Rural,164,1239,1403,Leshi,MMR005035
 Total,180,1476,1656,Leshi,MMR005035
 Urban,-,538,538,Lahe,MMR005036
 Rural,564,5875,6439,Lahe,MMR005036
 Total,564,6413,6977,Lahe,MMR005036
 Urban,1,374,375,Nanyun,MMR005037
 Rural,35,1158,1193,Nanyun,MMR005037
 Total,36,1532,1568,Nanyun,MMR005037
 Urban,29,181,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,29,281,310,Mobaingluk(ST),MMR005035
 Urban,109,177,286,Sonemara(ST),MMR005035
 Rural,419,489,908,Sonemara(ST),MMR005035
 Total,528,666,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,4,629,633,Htanparkway(ST),MMR005036
 Total,4,757,761,Htanparkway(ST),MMR005036
 Urban,146,192,338,Pansaung(ST),MMR005037
 Rural,172,1839,2011,Pansaung(ST),MMR005037
 Total,318,2031,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,226,3528,3754,Donhee(ST),MMR005037
 Total,226,3697,3923,Donhee(ST),MMR005037
 Urban,55,1022,1077,Yinmarpin,MMR005016
 Rural,13518,14937,28455,Yinmarpin,MMR005016
 Total,13573,15959,29532,Yinmarpin,MMR005016
 Urban,125,1097,1222,Salingyi,MMR005018
 Rural,7684,17561,25245,Salingyi,MMR005018
 Total,7809,18658,26467,Salingyi,MMR005018
 Urban,136,795,931,Palae,MMR005019
 Rural,17734,13697,31431,Palae,MMR005019
 Total,17870,14492,32362,Palae,MMR005019
 Urban,194,944,1138,Kani,MMR005017
 Rural,16278,11807,28085,Kani,MMR005017
 Total,16472,12751,29223,Kani,MMR005017
 Urban,146,15236,15382,Dawei,MMR006001
 Rural,1037,8524,9561,Dawei,MMR006001
 Total,1183,23760,24943,Dawei,MMR006001
 Urban,21,1219,1240,Lounglon,MMR006002
 Rural,995,23500,24495,Lounglon,MMR006002
 Total,1016,24719,25735,Lounglon,MMR006002
 Urban,38,2369,2407,Thayetchaung,MMR006003
 Rural,1043,19424,20467,Thayetchaung,MMR006003
 Total,1081,21793,22874,Thayetchaung,MMR006003
 Urban,19,1058,1077,Yebyu,MMR006004
 Rural,1736,19260,20996,Yebyu,MMR006004
 Total,1755,20318,22073,Yebyu,MMR006004
 Urban,55,441,496,Myitta(ST),MMR006001
 Rural,622,3072,3694,Myitta(ST),MMR006001
 Total,677,3513,4190,Myitta(ST),MMR006001
 Urban,5,619,624,Kaleinaung(ST),MMR006004
 Rural,215,3438,3653,Kaleinaung(ST),MMR006004
 Total,220,4057,4277,Kaleinaung(ST),MMR006004
 Urban,70,21478,21548,Myeik,MMR006005
 Rural,1369,31432,32801,Myeik,MMR006005
 Total,1439,52910,54349,Myeik,MMR006005
 Urban,-,1142,1142,Kyunsu,MMR006006
 Rural,743,31103,31846,Kyunsu,MMR006006
 Total,743,32245,32988,Kyunsu,MMR006006
 Urban,90,3481,3571,Palaw,MMR006007
 Rural,1066,13888,14954,Palaw,MMR006007
 Total,1156,17369,18525,Palaw,MMR006007
 Urban,13,1113,1126,Tanintharyi,MMR006008
 Rural,1986,16817,18803,Tanintharyi,MMR006008
 Total,1999,17930,19929,Tanintharyi,MMR006008
 Urban,132,1079,1211,Palauk(ST),MMR006007
 Rural,631,5286,5917,Palauk(ST),MMR006007
 Total,763,6365,7128,Palauk(ST),MMR006007
 Urban,13,12567,12580,Kawthoung,MMR006009
 Rural,444,12457,12901,Kawthoung,MMR006009
 Total,457,25024,25481,Kawthoung,MMR006009
 Urban,5,1042,1047,Bokepyin,MMR006010
 Rural,400,7429,7829,Bokepyin,MMR006010
 Total,405,8471,8876,Bokepyin,MMR006010
 Urban,18,2337,2355,Khamaukgyi,MMR006009
 Rural,18,2492,2510,Khamaukgyi,MMR006009
 Total,36,4829,4865,Khamaukgyi,MMR006009
 Urban,1,714,715,Pyigyimandaing,MMR006010
 Rural,59,2330,2389,Pyigyimandaing,MMR006010
 Total,60,3044,3104,Pyigyimandaing,MMR006010
 Urban,3,283,286,Karathuri(ST),MMR006010
 Rural,25,3451,3476,Karathuri(ST),MMR006010
 Total,28,3734,3762,Karathuri(ST),MMR006010
 Urban,857,54035,54892,Bago,MMR007001
 Rural,10714,41526,52240,Bago,MMR007001
 Total,11571,95561,107132,Bago,MMR007001
 Urban,161,3468,3629,Tanatpin,MMR007002
 Rural,6798,22100,28898,Tanatpin,MMR007002
 Total,6959,25568,32527,Tanatpin,MMR007002
 Urban,554,3700,4254,Kawa,MMR007003
 Rural,11261,30560,41821,Kawa,MMR007003
 Total,11815,34260,46075,Kawa,MMR007003
 Urban,338,4708,5046,Waw,MMR007004
 Rural,10259,21778,32037,Waw,MMR007004
 Total,10597,26486,37083,Waw,MMR007004
 Urban,580,12482,13062,Nyaunglebin,MMR007005
 Rural,8401,23299,31700,Nyaunglebin,MMR007005
 Total,8981,35781,44762,Nyaunglebin,MMR007005
 Urban,514,6359,6873,Kyauktaga,MMR007006
 Rural,15230,29545,44775,Kyauktaga,MMR007006
 Total,15744,35904,51648,Kyauktaga,MMR007006
 Urban,598,8142,8740,Daik U,MMR007007
 Rural,11212,25801,37013,Daik U,MMR007007
 Total,11810,33943,45753,Daik U,MMR007007
 Urban,181,4684,4865,Shwegyin,MMR007008
 Rural,4698,12219,16917,Shwegyin,MMR007008
 Total,4879,16903,21782,Shwegyin,MMR007008
 Urban,253,21647,21900,Toungoo,MMR007009
 Rural,10242,25318,35560,Toungoo,MMR007009
 Total,10495,46965,57460,Toungoo,MMR007009
 Urban,468,5487,5955,Yaedashe,MMR007010
 Rural,12952,31620,44572,Yaedashe,MMR007010
 Total,13420,37107,50527,Yaedashe,MMR007010
 Urban,300,1958,2258,Kyaukkyi,MMR007011
 Rural,8208,12417,20625,Kyaukkyi,MMR007011
 Total,8508,14375,22883,Kyaukkyi,MMR007011
 Urban,1377,12450,13827,Pyu,MMR007012
 Rural,17433,23671,41104,Pyu,MMR007012
 Total,18810,36121,54931,Pyu,MMR007012
 Urban,210,2999,3209,Oatwin,MMR007013
 Rural,11718,21943,33661,Oatwin,MMR007013
 Total,11928,24942,36870,Oatwin,MMR007013
 Urban,481,1895,2376,Htantapin,MMR007014
 Rural,9474,14931,24405,Htantapin,MMR007014
 Total,9955,16826,26781,Htantapin,MMR007014
 Urban,327,28488,28815,Pyay,MMR008001
 Rural,10462,19280,29742,Pyay,MMR008001
 Total,10789,47768,58557,Pyay,MMR008001
 Urban,158,3448,3606,Paukkhaung,MMR008002
 Rural,12559,16182,28741,Paukkhaung,MMR008002
 Total,12717,19630,32347,Paukkhaung,MMR008002
 Urban,266,4202,4468,Padaung,MMR008003
 Rural,11124,23300,34424,Padaung,MMR008003
 Total,11390,27502,38892,Padaung,MMR008003
 Urban,271,6210,6481,Paunde,MMR008004
 Rural,11510,18709,30219,Paunde,MMR008004
 Total,11781,24919,36700,Paunde,MMR008004
 Urban,339,3927,4266,Thegon,MMR008005
 Rural,10604,21080,31684,Thegon,MMR008005
 Total,10943,25007,35950,Thegon,MMR008005
 Urban,77,4441,4518,Shwedaung,MMR008006
 Rural,10558,18488,29046,Shwedaung,MMR008006
 Total,10635,22929,33564,Shwedaung,MMR008006
 Urban,405,7759,8164,Tharyarwaddy,MMR008007
 Rural,11225,17237,28462,Tharyarwaddy,MMR008007
 Total,11630,24996,36626,Tharyarwaddy,MMR008007
 Urban,227,5508,5735,Letpadan,MMR008008
 Rural,13264,24485,37749,Letpadan,MMR008008
 Total,13491,29993,43484,Letpadan,MMR008008
 Urban,99,2603,2702,Minhla,MMR009013
 Rural,10922,17270,28192,Minhla,MMR009013
 Total,11021,19873,30894,Minhla,MMR009013
 Urban,169,2631,2800,Okpo,MMR008010
 Rural,12240,16854,29094,Okpo,MMR008010
 Total,12409,19485,31894,Okpo,MMR008010
 Urban,155,3812,3967,Zigon,MMR008011
 Rural,5208,9035,14243,Zigon,MMR008011
 Total,5363,12847,18210,Zigon,MMR008011
 Urban,79,4563,4642,Nattalin,MMR008012
 Rural,15194,25933,41127,Nattalin,MMR008012
 Total,15273,30496,45769,Nattalin,MMR008012
 Urban,145,2235,2380,Monyo,MMR008013
 Rural,11522,19385,30907,Monyo,MMR008013
 Total,11667,21620,33287,Monyo,MMR008013
 Urban,132,5452,5584,Gyobingauk,MMR008014
 Rural,10370,14632,25002,Gyobingauk,MMR008014
 Total,10502,20084,30586,Gyobingauk,MMR008014
 Urban,114,19756,19870,Magway,MMR009001
 Rural,21723,27084,48807,Magway,MMR009001
 Total,21837,46840,68677,Magway,MMR009001
 Urban,261,10415,10676,Yenangyoung,MMR009002
 Rural,9020,12804,21824,Yenangyoung,MMR009002
 Total,9281,23219,32500,Yenangyoung,MMR009002
 Urban,67,10334,10401,Chauk,MMR009003
 Rural,13854,20363,34217,Chauk,MMR009003
 Total,13921,30697,44618,Chauk,MMR009003
 Urban,177,9878,10055,Taungdwingyi,MMR009004
 Rural,28093,22115,50208,Taungdwingyi,MMR009004
 Total,28270,31993,60263,Taungdwingyi,MMR009004
 Urban,160,1586,1746,Myothit,MMR009005
 Rural,20165,15037,35202,Myothit,MMR009005
 Total,20325,16623,36948,Myothit,MMR009005
 Urban,438,2736,3174,Natmauk,MMR009006
 Rural,27927,17325,45252,Natmauk,MMR009006
 Total,28365,20061,48426,Natmauk,MMR009006
 Urban,627,8563,9190,Minbu,MMR009007
 Rural,12703,21924,34627,Minbu,MMR009007
 Total,13330,30487,43817,Minbu,MMR009007
 Urban,37,1417,1454,Pwint Phyu,MMR009008
 Rural,13731,24579,38310,Pwint Phyu,MMR009008
 Total,13768,25996,39764,Pwint Phyu,MMR009008
 Urban,181,798,979,Ngape,MMR009009
 Rural,4780,6698,11478,Ngape,MMR009009
 Total,4961,7496,12457,Ngape,MMR009009
 Urban,106,2680,2786,Salin,MMR009010
 Rural,24397,28422,52819,Salin,MMR009010
 Total,24503,31102,55605,Salin,MMR009010
 Urban,202,1323,1525,Saytottara,MMR009011
 Rural,4418,4837,9255,Saytottara,MMR009011
 Total,4620,6160,10780,Saytottara,MMR009011
 Urban,186,4377,4563,Thayet,MMR009012
 Rural,12428,8981,21409,Thayet,MMR009012
 Total,12614,13358,25972,Thayet,MMR009012
 Urban,147,2834,2981,Minhla,MMR009013
 Rural,14702,13939,28641,Minhla,MMR009013
 Total,14849,16773,31622,Minhla,MMR009013
 Urban,132,1138,1270,Mindon,MMR009014
 Rural,9059,6480,15539,Mindon,MMR009014
 Total,9191,7618,16809,Mindon,MMR009014
 Urban,176,1118,1294,Kamma,MMR009015
 Rural,10094,7755,17849,Kamma,MMR009015
 Total,10270,8873,19143,Kamma,MMR009015
 Urban,454,11171,11625,Aunglan,MMR009016
 Rural,24819,21165,45984,Aunglan,MMR009016
 Total,25273,32336,57609,Aunglan,MMR009016
 Urban,191,1090,1281,Sinpaungwe`,MMR009017
 Rural,15584,11819,27403,Sinpaungwe`,MMR009017
 Total,15775,12909,28684,Sinpaungwe`,MMR009017
 Urban,61,19008,19069,Pakokku,MMR009018
 Rural,11889,35382,47271,Pakokku,MMR009018
 Total,11950,54390,66340,Pakokku,MMR009018
 Urban,214,4685,4899,Yesagyo,MMR009019
 Rural,17283,25150,42433,Yesagyo,MMR009019
 Total,17497,29835,47332,Yesagyo,MMR009019
 Urban,62,1739,1801,Myaing,MMR009020
 Rural,21832,30008,51840,Myaing,MMR009020
 Total,21894,31747,53641,Myaing,MMR009020
 Urban,127,1574,1701,Pauk,MMR009021
 Rural,17086,20178,37264,Pauk,MMR009021
 Total,17213,21752,38965,Pauk,MMR009021
 Urban,168,1961,2129,Seikphyu,MMR009022
 Rural,10266,11032,21298,Seikphyu,MMR009022
 Total,10434,12993,23427,Seikphyu,MMR009022
 Urban,344,2914,3258,Gangaw,MMR009023
 Rural,15180,11474,26654,Gangaw,MMR009023
 Total,15524,14388,29912,Gangaw,MMR009023
 Urban,96,1027,1123,Htilin,MMR009024
 Rural,6853,2556,9409,Htilin,MMR009024
 Total,6949,3583,10532,Htilin,MMR009024
 Urban,67,1194,1261,Saw,MMR009025
 Rural,3381,3683,7064,Saw,MMR009025
 Total,3448,4877,8325,Saw,MMR009025
