Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Rural,275,4782,5057,Phruso,MMR002003
 Total,491,5419,5910,Phruso,MMR002003
 Urban,49,287,336,Shardaw,MMR002004
 Rural,24,1046,1070,Shardaw,MMR002004
 Total,73,1333,1406,Shardaw,MMR002004
 Urban,263,576,839,Bawlakhe,MMR002005
 Rural,24,726,750,Bawlakhe,MMR002005
 Total,287,1302,1589,Bawlakhe,MMR002005
 Urban,110,484,594,Parsaung,MMR002006
 Rural,84,4055,4139,Parsaung,MMR002006
 Total,194,4539,4733,Parsaung,MMR002006
 Urban,37,158,195,Meisi,MMR002007
 Rural,59,1048,1107,Meisi,MMR002007
 Total,96,1206,1302,Meisi,MMR002007
 Urban,85,207,292,Ywathit(ST),MMR002005
 Rural,21,179,200,Ywathit(ST),MMR002005
 Total,106,386,492,Ywathit(ST),MMR002005
 Urban,7292,7476,14768,Hpa-an,MMR003001
 Rural,35012,39417,74429,Hpa-an,MMR003001
 Total,42304,46893,89197,Hpa-an,MMR003001
 Urban,1100,1179,2279,Hlaingbwe,MMR003002
 Rural,10032,19275,29307,Hlaingbwe,MMR003002
 Total,11132,20454,31586,Hlaingbwe,MMR003002
 Urban,159,2903,3062,Thandaunggyi,MMR003004
 Rural,73,2674,2747,Thandaunggyi,MMR003004
 Total,232,5577,5809,Thandaunggyi,MMR003004
 Urban,265,542,807,Paingkyon(ST),MMR003002
 Rural,4502,12469,16971,Paingkyon(ST),MMR003002
 Total,4767,13011,17778,Paingkyon(ST),MMR003002
 Urban,6,77,83,Shan Ywathit(ST),MMR003002
 Rural,255,3418,3673,Shan Ywathit(ST),MMR003002
 Total,261,3495,3756,Shan Ywathit(ST),MMR003002
 Urban,23,584,607,Leiktho(ST),MMR003004
 Rural,90,9229,9319,Leiktho(ST),MMR003004
 Total,113,9813,9926,Leiktho(ST),MMR003004
 Urban,8,428,436,Bawgali(ST),MMR003004
 Rural,281,2688,2969,Bawgali(ST),MMR003004
 Total,289,3116,3405,Bawgali(ST),MMR003004
 Urban,255,378,633,Pharpon,MMR003003
 Rural,334,1577,1911,Pharpon,MMR003003
 Total,589,1955,2544,Pharpon,MMR003003
 Urban,1658,1091,2749,Kamamaung(ST},MMR003003
 Rural,379,830,1209,Kamamaung(ST},MMR003003
 Total,2037,1921,3958,Kamamaung(ST},MMR003003
 Urban,7270,16746,24016,Myawady,MMR003005
 Rural,4893,12349,17242,Myawady,MMR003005
 Total,12163,29095,41258,Myawady,MMR003005
 Urban,8,67,75,Sugali(ST),MMR003005
 Rural,91,895,986,Sugali(ST),MMR003005
 Total,99,962,1061,Sugali(ST),MMR003005
 Urban,90,487,577,Wawlaymyaing(ST),MMR003005
 Rural,85,1035,1120,Wawlaymyaing(ST),MMR003005
 Total,175,1522,1697,Wawlaymyaing(ST),MMR003005
 Urban,4320,4162,8482,Kawkareik,MMR003006
 Rural,15395,21621,37016,Kawkareik,MMR003006
 Total,19715,25783,45498,Kawkareik,MMR003006
 Urban,857,960,1817,Kyarinseikkyi,MMR003007
 Rural,7660,12563,20223,Kyarinseikkyi,MMR003007
 Total,8517,13523,22040,Kyarinseikkyi,MMR003007
 Urban,691,5405,6096,Payarthonezu(ST),MMR003007
 Rural,2746,8953,11699,Payarthonezu(ST),MMR003007
 Total,3437,14358,17795,Payarthonezu(ST),MMR003007
 Urban,278,402,680,Kyaidon(ST),MMR003007
 Rural,2410,7643,10053,Kyaidon(ST),MMR003007
 Total,2688,8045,10733,Kyaidon(ST),MMR003007
 Urban,169,5052,5221,HaKa,MMR004002
 Rural,54,4642,4696,HaKa,MMR004002
 Total,223,9694,9917,HaKa,MMR004002
 Urban,55,1452,1507,Thantlang,MMR004003
 Rural,76,8199,8275,Thantlang,MMR004003
 Total,131,9651,9782,Thantlang,MMR004003
 Urban,213,1789,2002,Falam,MMR004001
 Rural,196,6230,6426,Falam,MMR004001
 Total,409,8019,8428,Falam,MMR004001
 Urban,352,1898,2250,Tedim,MMR004004
 Rural,1125,11308,12433,Tedim,MMR004004
 Total,1477,13206,14683,Tedim,MMR004004
 Urban,23,617,640,Tonzaung,MMR004005
 Rural,129,2642,2771,Tonzaung,MMR004005
 Total,152,3259,3411,Tonzaung,MMR004005
 Urban,39,631,670,Rihkhuadal(ST),MMR004001
 Rural,4,524,528,Rihkhuadal(ST),MMR004001
 Total,43,1155,1198,Rihkhuadal(ST),MMR004001
 Urban,12,203,215,Cikha(ST),MMR004005
 Rural,28,1287,1315,Cikha(ST),MMR004005
 Total,40,1490,1530,Cikha(ST),MMR004005
 Urban,90,2253,2343,Mindat,MMR004006
 Rural,40,6139,6179,Mindat,MMR004006
 Total,130,8392,8522,Mindat,MMR004006
 Urban,67,1603,1670,Matupi,MMR004007
 Rural,47,5919,5966,Matupi,MMR004007
 Total,114,7522,7636,Matupi,MMR004007
 Urban,6,801,807,Kanpalet,MMR004008
 Rural,16,3154,3170,Kanpalet,MMR004008
 Total,22,3955,3977,Kanpalet,MMR004008
 Urban,172,1178,1350,Paletwat,MMR004009
 Rural,75,11868,11943,Paletwat,MMR004009
 Total,247,13046,13293,Paletwat,MMR004009
 Urban,18,444,462,Reazu(ST),MMR004007
 Rural,21,2038,2059,Reazu(ST),MMR004007
 Total,39,2482,2521,Reazu(ST),MMR004007
 Urban,25,608,633,Sami(ST),MMR004009
 Rural,31,5559,5590,Sami(ST),MMR004009
 Total,56,6167,6223,Sami(ST),MMR004009
 Urban,8563,7933,16496,Sagaing,MMR005001
 Rural,16984,31663,48647,Sagaing,MMR005001
 Total,25547,39596,65143,Sagaing,MMR005001
 Urban,2391,1240,3631,Myinmu,MMR005002
 Rural,9435,12238,21673,Myinmu,MMR005002
 Total,11826,13478,25304,Myinmu,MMR005002
 Urban,1198,755,1953,Myaung,MMR005003
 Rural,13416,8893,22309,Myaung,MMR005003
 Total,14614,9648,24262,Myaung,MMR005003
 Urban,8452,5079,13531,Shwebo,MMR005004
 Rural,19159,17557,36716,Shwebo,MMR005004
 Total,27611,22636,50247,Shwebo,MMR005004
 Urban,1432,859,2291,Khin U,MMR005005
 Rural,9382,20951,30333,Khin U,MMR005005
 Total,10814,21810,32624,Khin U,MMR005005
 Urban,1674,632,2306,Wetlet,MMR005006
 Rural,16432,27974,44406,Wetlet,MMR005006
 Total,18106,28606,46712,Wetlet,MMR005006
 Urban,2418,2765,5183,Kambalu,MMR005007
 Rural,11131,45012,56143,Kambalu,MMR005007
 Total,13549,47777,61326,Kambalu,MMR005007
 Urban,1380,1119,2499,Kyunhlau,MMR005008
 Rural,3235,15129,18364,Kyunhlau,MMR005008
 Total,4615,16248,20863,Kyunhlau,MMR005008
 Urban,2677,1288,3965,Ye U,MMR005009
 Rural,10857,11551,22408,Ye U,MMR005009
 Total,13534,12839,26373,Ye U,MMR005009
 Urban,691,264,955,Depayin,MMR005010
 Rural,11439,17951,29390,Depayin,MMR005010
 Total,12130,18215,30345,Depayin,MMR005010
 Urban,2270,702,2972,Tasei,MMR005011
 Rural,15763,17202,32965,Tasei,MMR005011
 Total,18033,17904,35937,Tasei,MMR005011
 Urban,938,1368,2306,Kyaukmyaung(ST),MMR005004
 Rural,1016,3728,4744,Kyaukmyaung(ST),MMR005004
 Total,1954,5096,7050,Kyaukmyaung(ST),MMR005004
 Urban,26850,13556,40406,Monywa,MMR005012
 Rural,20753,14803,35556,Monywa,MMR005012
 Total,47603,28359,75962,Monywa,MMR005012
 Urban,940,253,1193,Butalin,MMR005013
 Rural,13600,13823,27423,Butalin,MMR005013
 Total,14540,14076,28616,Butalin,MMR005013
 Urban,1441,714,2155,Ayartaw,MMR005014
 Rural,13911,19525,33436,Ayartaw,MMR005014
 Total,15352,20239,35591,Ayartaw,MMR005014
 Urban,3880,1201,5081,Chaung Oo,MMR005015
 Rural,12542,5753,18295,Chaung Oo,MMR005015
 Total,16422,6954,23376,Chaung Oo,MMR005015
 Urban,3201,2062,5263,Katha,MMR005020
 Rural,7748,18950,26698,Katha,MMR005020
 Total,10949,21012,31961,Katha,MMR005020
 Urban,1253,589,1842,Indaw,MMR005021
 Rural,8155,13233,21388,Indaw,MMR005021
 Total,9408,13822,23230,Indaw,MMR005021
 Urban,1475,1595,3070,Tigyaing,MMR005022
 Rural,5812,17507,23319,Tigyaing,MMR005022
 Total,7287,19102,26389,Tigyaing,MMR005022
 Urban,615,597,1212,Banmauk,MMR005023
 Rural,1847,15809,17656,Banmauk,MMR005023
 Total,2462,16406,18868,Banmauk,MMR005023
 Urban,3096,1473,4569,Kawlin,MMR005024
 Rural,10296,16538,26834,Kawlin,MMR005024
 Total,13392,18011,31403,Kawlin,MMR005024
 Urban,1651,939,2590,Wuntho,MMR005025
 Rural,4299,7316,11615,Wuntho,MMR005025
 Total,5950,8255,14205,Wuntho,MMR005025
 Urban,889,580,1469,Pinlebu,MMR005026
 Rural,3531,16900,20431,Pinlebu,MMR005026
 Total,4420,17480,21900,Pinlebu,MMR005026
 Urban,18015,7706,25721,Kalay,MMR014005
 Rural,25157,21891,47048,Kalay,MMR014005
 Total,43172,29597,72769,Kalay,MMR014005
 Urban,748,1205,1953,Kalewa,MMR005028
 Rural,1181,8601,9782,Kalewa,MMR005028
 Total,1929,9806,11735,Kalewa,MMR005028
 Urban,286,550,836,Mingin,MMR005029
 Rural,3360,17862,21222,Mingin,MMR005029
 Total,3646,18412,22058,Mingin,MMR005029
 Urban,5148,3841,8989,Tamu,MMR005030
 Rural,1112,1885,2997,Tamu,MMR005030
 Total,6260,5726,11986,Tamu,MMR005030
 Urban,84,224,308,Myothit(ST),MMR005030
 Rural,805,1984,2789,Myothit(ST),MMR005030
 Total,889,2208,3097,Myothit(ST),MMR005030
 Urban,1173,1665,2838,Khampat(ST),MMR005030
 Rural,1833,2837,4670,Khampat(ST),MMR005030
 Total,3006,4502,7508,Khampat(ST),MMR005030
 Urban,980,844,1824,Mawlaik,MMR005031
 Rural,1385,7136,8521,Mawlaik,MMR005031
 Total,2365,7980,10345,Mawlaik,MMR005031
 Urban,1035,907,1942,Phaungpyin,MMR005032
 Rural,4014,14290,18304,Phaungpyin,MMR005032
 Total,5049,15197,20246,Phaungpyin,MMR005032
 Urban,559,1624,2183,Hkamti,MMR005033
 Rural,239,4939,5178,Hkamti,MMR005033
 Total,798,6563,7361,Hkamti,MMR005033
 Urban,1644,1931,3575,Homalin,MMR005034
 Rural,4027,28141,32168,Homalin,MMR005034
 Total,5671,30072,35743,Homalin,MMR005034
 Urban,1,252,253,Leshi,MMR005035
 Rural,6,1397,1403,Leshi,MMR005035
 Total,7,1649,1656,Leshi,MMR005035
 Urban,15,523,538,Lahe,MMR005036
 Rural,8,6431,6439,Lahe,MMR005036
 Total,23,6954,6977,Lahe,MMR005036
 Urban,6,369,375,Nanyun,MMR005037
 Rural,4,1189,1193,Nanyun,MMR005037
 Total,10,1558,1568,Nanyun,MMR005037
 Urban,17,193,210,Mobaingluk(ST),MMR005035
 Rural,1,99,100,Mobaingluk(ST),MMR005035
 Total,18,292,310,Mobaingluk(ST),MMR005035
 Urban,-,286,286,Sonemara(ST),MMR005035
 Rural,2,906,908,Sonemara(ST),MMR005035
 Total,2,1192,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,7,331,338,Pansaung(ST),MMR005037
 Rural,2,2009,2011,Pansaung(ST),MMR005037
 Total,9,2340,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,2,3752,3754,Donhee(ST),MMR005037
 Total,2,3921,3923,Donhee(ST),MMR005037
 Urban,735,342,1077,Yinmarpin,MMR005016
 Rural,13720,14735,28455,Yinmarpin,MMR005016
 Total,14455,15077,29532,Yinmarpin,MMR005016
 Urban,899,323,1222,Salingyi,MMR005018
 Rural,16895,8350,25245,Salingyi,MMR005018
 Total,17794,8673,26467,Salingyi,MMR005018
 Urban,701,230,931,Palae,MMR005019
 Rural,10614,20817,31431,Palae,MMR005019
 Total,11315,21047,32362,Palae,MMR005019
 Urban,731,407,1138,Kani,MMR005017
 Rural,7264,20821,28085,Kani,MMR005017
 Total,7995,21228,29223,Kani,MMR005017
 Urban,9215,6167,15382,Dawei,MMR006001
 Rural,3681,5880,9561,Dawei,MMR006001
 Total,12896,12047,24943,Dawei,MMR006001
 Urban,605,635,1240,Lounglon,MMR006002
 Rural,8985,15510,24495,Lounglon,MMR006002
 Total,9590,16145,25735,Lounglon,MMR006002
 Urban,925,1482,2407,Thayetchaung,MMR006003
 Rural,4790,15677,20467,Thayetchaung,MMR006003
 Total,5715,17159,22874,Thayetchaung,MMR006003
 Urban,300,777,1077,Yebyu,MMR006004
 Rural,4387,16609,20996,Yebyu,MMR006004
 Total,4687,17386,22073,Yebyu,MMR006004
 Urban,32,464,496,Myitta(ST),MMR006001
 Rural,248,3446,3694,Myitta(ST),MMR006001
 Total,280,3910,4190,Myitta(ST),MMR006001
 Urban,122,502,624,Kaleinaung(ST),MMR006004
 Rural,351,3302,3653,Kaleinaung(ST),MMR006004
 Total,473,3804,4277,Kaleinaung(ST),MMR006004
 Urban,3083,18465,21548,Myeik,MMR006005
 Rural,3754,29047,32801,Myeik,MMR006005
 Total,6837,47512,54349,Myeik,MMR006005
 Urban,70,1072,1142,Kyunsu,MMR006006
 Rural,2007,29839,31846,Kyunsu,MMR006006
 Total,2077,30911,32988,Kyunsu,MMR006006
 Urban,1291,2280,3571,Palaw,MMR006007
 Rural,2600,12354,14954,Palaw,MMR006007
 Total,3891,14634,18525,Palaw,MMR006007
 Urban,230,896,1126,Tanintharyi,MMR006008
 Rural,2039,16764,18803,Tanintharyi,MMR006008
 Total,2269,17660,19929,Tanintharyi,MMR006008
 Urban,123,1088,1211,Palauk(ST),MMR006007
 Rural,699,5218,5917,Palauk(ST),MMR006007
 Total,822,6306,7128,Palauk(ST),MMR006007
 Urban,1506,11074,12580,Kawthoung,MMR006009
 Rural,1562,11339,12901,Kawthoung,MMR006009
 Total,3068,22413,25481,Kawthoung,MMR006009
 Urban,343,704,1047,Bokepyin,MMR006010
 Rural,865,6964,7829,Bokepyin,MMR006010
 Total,1208,7668,8876,Bokepyin,MMR006010
 Urban,134,2221,2355,Khamaukgyi,MMR006009
 Rural,476,2034,2510,Khamaukgyi,MMR006009
 Total,610,4255,4865,Khamaukgyi,MMR006009
 Urban,67,648,715,Pyigyimandaing,MMR006010
 Rural,133,2256,2389,Pyigyimandaing,MMR006010
 Total,200,2904,3104,Pyigyimandaing,MMR006010
 Urban,15,271,286,Karathuri(ST),MMR006010
 Rural,245,3231,3476,Karathuri(ST),MMR006010
 Total,260,3502,3762,Karathuri(ST),MMR006010
 Urban,29680,25212,54892,Bago,MMR007001
 Rural,19890,32350,52240,Bago,MMR007001
 Total,49570,57562,107132,Bago,MMR007001
 Urban,1870,1759,3629,Tanatpin,MMR007002
 Rural,9515,19383,28898,Tanatpin,MMR007002
 Total,11385,21142,32527,Tanatpin,MMR007002
 Urban,1852,2402,4254,Kawa,MMR007003
 Rural,14839,26982,41821,Kawa,MMR007003
 Total,16691,29384,46075,Kawa,MMR007003
 Urban,3092,1954,5046,Waw,MMR007004
 Rural,13471,18566,32037,Waw,MMR007004
 Total,16563,20520,37083,Waw,MMR007004
 Urban,8286,4776,13062,Nyaunglebin,MMR007005
 Rural,16739,14961,31700,Nyaunglebin,MMR007005
 Total,25025,19737,44762,Nyaunglebin,MMR007005
 Urban,4769,2104,6873,Kyauktaga,MMR007006
 Rural,26584,18191,44775,Kyauktaga,MMR007006
 Total,31353,20295,51648,Kyauktaga,MMR007006
 Urban,6278,2462,8740,Daik U,MMR007007
 Rural,16504,20509,37013,Daik U,MMR007007
 Total,22782,22971,45753,Daik U,MMR007007
 Urban,2037,2828,4865,Shwegyin,MMR007008
 Rural,3767,13150,16917,Shwegyin,MMR007008
 Total,5804,15978,21782,Shwegyin,MMR007008
 Urban,14846,7054,21900,Toungoo,MMR007009
 Rural,14560,21000,35560,Toungoo,MMR007009
 Total,29406,28054,57460,Toungoo,MMR007009
 Urban,3402,2553,5955,Yaedashe,MMR007010
 Rural,12555,32017,44572,Yaedashe,MMR007010
 Total,15957,34570,50527,Yaedashe,MMR007010
 Urban,1529,729,2258,Kyaukkyi,MMR007011
 Rural,9816,10809,20625,Kyaukkyi,MMR007011
 Total,11345,11538,22883,Kyaukkyi,MMR007011
 Urban,9118,4709,13827,Pyu,MMR007012
 Rural,22364,18740,41104,Pyu,MMR007012
 Total,31482,23449,54931,Pyu,MMR007012
 Urban,1817,1392,3209,Oatwin,MMR007013
 Rural,13261,20400,33661,Oatwin,MMR007013
 Total,15078,21792,36870,Oatwin,MMR007013
 Urban,1504,872,2376,Htantapin,MMR007014
 Rural,11545,12860,24405,Htantapin,MMR007014
 Total,13049,13732,26781,Htantapin,MMR007014
 Urban,17529,11286,28815,Pyay,MMR008001
 Rural,15064,14678,29742,Pyay,MMR008001
 Total,32593,25964,58557,Pyay,MMR008001
 Urban,2084,1522,3606,Paukkhaung,MMR008002
 Rural,5674,23067,28741,Paukkhaung,MMR008002
 Total,7758,24589,32347,Paukkhaung,MMR008002
 Urban,2949,1519,4468,Padaung,MMR008003
 Rural,14968,19456,34424,Padaung,MMR008003
 Total,17917,20975,38892,Padaung,MMR008003
 Urban,4946,1535,6481,Paunde,MMR008004
 Rural,15207,15012,30219,Paunde,MMR008004
 Total,20153,16547,36700,Paunde,MMR008004
 Urban,3112,1154,4266,Thegon,MMR008005
 Rural,19802,11882,31684,Thegon,MMR008005
 Total,22914,13036,35950,Thegon,MMR008005
 Urban,3391,1127,4518,Shwedaung,MMR008006
 Rural,14742,14304,29046,Shwedaung,MMR008006
 Total,18133,15431,33564,Shwedaung,MMR008006
 Urban,5890,2274,8164,Tharyarwaddy,MMR008007
 Rural,14499,13963,28462,Tharyarwaddy,MMR008007
 Total,20389,16237,36626,Tharyarwaddy,MMR008007
 Urban,4139,1596,5735,Letpadan,MMR008008
 Rural,18906,18843,37749,Letpadan,MMR008008
 Total,23045,20439,43484,Letpadan,MMR008008
 Urban,1851,851,2702,Minhla,MMR009013
 Rural,15483,12709,28192,Minhla,MMR009013
 Total,17334,13560,30894,Minhla,MMR009013
 Urban,2033,767,2800,Okpo,MMR008010
 Rural,16239,12855,29094,Okpo,MMR008010
 Total,18272,13622,31894,Okpo,MMR008010
 Urban,2958,1009,3967,Zigon,MMR008011
 Rural,9060,5183,14243,Zigon,MMR008011
 Total,12018,6192,18210,Zigon,MMR008011
 Urban,3484,1158,4642,Nattalin,MMR008012
 Rural,23057,18070,41127,Nattalin,MMR008012
 Total,26541,19228,45769,Nattalin,MMR008012
 Urban,1784,596,2380,Monyo,MMR008013
 Rural,16338,14569,30907,Monyo,MMR008013
 Total,18122,15165,33287,Monyo,MMR008013
 Urban,4326,1258,5584,Gyobingauk,MMR008014
 Rural,15564,9438,25002,Gyobingauk,MMR008014
 Total,19890,10696,30586,Gyobingauk,MMR008014
 Urban,8761,11109,19870,Magway,MMR009001
 Rural,7152,41655,48807,Magway,MMR009001
 Total,15913,52764,68677,Magway,MMR009001
 Urban,942,9734,10676,Yenangyoung,MMR009002
 Rural,1346,20478,21824,Yenangyoung,MMR009002
 Total,2288,30212,32500,Yenangyoung,MMR009002
 Urban,1307,9094,10401,Chauk,MMR009003
 Rural,5053,29164,34217,Chauk,MMR009003
 Total,6360,38258,44618,Chauk,MMR009003
 Urban,6693,3362,10055,Taungdwingyi,MMR009004
 Rural,13645,36563,50208,Taungdwingyi,MMR009004
 Total,20338,39925,60263,Taungdwingyi,MMR009004
 Urban,1079,667,1746,Myothit,MMR009005
 Rural,6824,28378,35202,Myothit,MMR009005
 Total,7903,29045,36948,Myothit,MMR009005
 Urban,1678,1496,3174,Natmauk,MMR009006
 Rural,6370,38882,45252,Natmauk,MMR009006
 Total,8048,40378,48426,Natmauk,MMR009006
 Urban,4522,4668,9190,Minbu,MMR009007
 Rural,10515,24112,34627,Minbu,MMR009007
 Total,15037,28780,43817,Minbu,MMR009007
 Urban,1008,446,1454,Pwint Phyu,MMR009008
 Rural,21414,16896,38310,Pwint Phyu,MMR009008
 Total,22422,17342,39764,Pwint Phyu,MMR009008
 Urban,501,478,979,Ngape,MMR009009
 Rural,3979,7499,11478,Ngape,MMR009009
 Total,4480,7977,12457,Ngape,MMR009009
 Urban,1998,788,2786,Salin,MMR009010
 Rural,24052,28767,52819,Salin,MMR009010
 Total,26050,29555,55605,Salin,MMR009010
 Urban,461,1064,1525,Saytottara,MMR009011
 Rural,714,8541,9255,Saytottara,MMR009011
 Total,1175,9605,10780,Saytottara,MMR009011
 Urban,2928,1635,4563,Thayet,MMR009012
 Rural,4107,17302,21409,Thayet,MMR009012
 Total,7035,18937,25972,Thayet,MMR009012
 Urban,1285,1696,2981,Minhla,MMR009013
 Rural,3508,25133,28641,Minhla,MMR009013
 Total,4793,26829,31622,Minhla,MMR009013
 Urban,415,855,1270,Mindon,MMR009014
 Rural,2138,13401,15539,Mindon,MMR009014
 Total,2553,14256,16809,Mindon,MMR009014
 Urban,537,757,1294,Kamma,MMR009015
 Rural,4948,12901,17849,Kamma,MMR009015
 Total,5485,13658,19143,Kamma,MMR009015
 Urban,6399,5226,11625,Aunglan,MMR009016
 Rural,8373,37611,45984,Aunglan,MMR009016
 Total,14772,42837,57609,Aunglan,MMR009016
 Urban,710,571,1281,Sinpaungwe`,MMR009017
 Rural,2700,24703,27403,Sinpaungwe`,MMR009017
 Total,3410,25274,28684,Sinpaungwe`,MMR009017
 Urban,12642,6427,19069,Pakokku,MMR009018
 Rural,22951,24320,47271,Pakokku,MMR009018
 Total,35593,30747,66340,Pakokku,MMR009018
 Urban,4086,813,4899,Yesagyo,MMR009019
 Rural,25017,17416,42433,Yesagyo,MMR009019
 Total,29103,18229,47332,Yesagyo,MMR009019
 Urban,1088,713,1801,Myaing,MMR009020
 Rural,25895,25945,51840,Myaing,MMR009020
 Total,26983,26658,53641,Myaing,MMR009020
 Urban,916,785,1701,Pauk,MMR009021
 Rural,6788,30476,37264,Pauk,MMR009021
 Total,7704,31261,38965,Pauk,MMR009021
 Urban,843,1286,2129,Seikphyu,MMR009022
 Rural,2667,18631,21298,Seikphyu,MMR009022
 Total,3510,19917,23427,Seikphyu,MMR009022
 Urban,1372,1886,3258,Gangaw,MMR009023
 Rural,7450,19204,26654,Gangaw,MMR009023
 Total,8822,21090,29912,Gangaw,MMR009023
 Urban,357,766,1123,Htilin,MMR009024
 Rural,834,8575,9409,Htilin,MMR009024
 Total,1191,9341,10532,Htilin,MMR009024
 Urban,231,1030,1261,Saw,MMR009025
 Rural,573,6491,7064,Saw,MMR009025
