Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Total,166,33115,33281,Chanayeharzan,MMR010002
 Urban,252,41675,41927,Mahaaungmye,MMR010003
 Total,252,41675,41927,Mahaaungmye,MMR010003
 Urban,432,52615,53047,Chanmyatharzi,MMR010004
 Total,432,52615,53047,Chanmyatharzi,MMR010004
 Urban,505,43370,43875,Pyigyidagun,MMR010005
 Total,505,43370,43875,Pyigyidagun,MMR010005
 Urban,117,16513,16630,Amarapura,MMR010006
 Rural,1394,31602,32996,Amarapura,MMR010006
 Total,1511,48115,49626,Amarapura,MMR010006
 Urban,43,2659,2702,Patheingyi,MMR010007
 Rural,1456,48832,50288,Patheingyi,MMR010007
 Total,1499,51491,52990,Patheingyi,MMR010007
 Urban,639,31302,31941,Pyin Oo Lwin,MMR010008
 Rural,1004,20437,21441,Pyin Oo Lwin,MMR010008
 Total,1643,51739,53382,Pyin Oo Lwin,MMR010008
 Urban,236,5075,5311,Madaya,MMR010009
 Rural,1900,51434,53334,Madaya,MMR010009
 Total,2136,56509,58645,Madaya,MMR010009
 Urban,29,1703,1732,Sinku,MMR010010
 Rural,638,32163,32801,Sinku,MMR010010
 Total,667,33866,34533,Sinku,MMR010010
 Urban,136,16550,16686,Mogok,MMR010011
 Rural,158,18403,18561,Mogok,MMR010011
 Total,294,34953,35247,Mogok,MMR010011
 Urban,5,1183,1188,Thabeikkyin,MMR010012
 Rural,381,24180,24561,Thabeikkyin,MMR010012
 Total,386,25363,25749,Thabeikkyin,MMR010012
 Urban,37,1756,1793,Tagaung,MMR010012
 Rural,101,5498,5599,Tagaung,MMR010012
 Total,138,7254,7392,Tagaung,MMR010012
 Urban,141,8350,8491,Kyaukse,MMR010013
 Rural,1096,48178,49274,Kyaukse,MMR010013
 Total,1237,56528,57765,Kyaukse,MMR010013
 Urban,56,1724,1780,Singaing,MMR010014
 Rural,700,31099,31799,Singaing,MMR010014
 Total,756,32823,33579,Singaing,MMR010014
 Urban,120,4226,4346,Myitthar,MMR010015
 Rural,1096,40575,41671,Myitthar,MMR010015
 Total,1216,44801,46017,Myitthar,MMR010015
 Urban,32,2620,2652,Tada U,MMR010016
 Rural,560,29415,29975,Tada U,MMR010016
 Total,592,32035,32627,Tada U,MMR010016
 Urban,431,18466,18897,Myingyan,MMR010017
 Rural,1018,42425,43443,Myingyan,MMR010017
 Total,1449,60891,62340,Myingyan,MMR010017
 Urban,96,3767,3863,Taungtha,MMR010018
 Rural,473,45516,45989,Taungtha,MMR010018
 Total,569,49283,49852,Taungtha,MMR010018
 Urban,32,2810,2842,Natogyi,MMR010019
 Rural,521,37602,38123,Natogyi,MMR010019
 Total,553,40412,40965,Natogyi,MMR010019
 Urban,178,8835,9013,Kyaukpadaung,MMR010020
 Rural,397,52551,52948,Kyaukpadaung,MMR010020
 Total,575,61386,61961,Kyaukpadaung,MMR010020
 Urban,35,1622,1657,Ngazun,MMR010021
 Rural,252,25929,26181,Ngazun,MMR010021
 Total,287,27551,27838,Ngazun,MMR010021
 Urban,86,9429,9515,Nyaung U,MMR010022
 Rural,292,34855,35147,Nyaung U,MMR010022
 Total,378,44284,44662,Nyaung U,MMR010022
 Urban,57,5270,5327,Yame`thin,MMR010023
 Rural,231,51701,51932,Yame`thin,MMR010023
 Total,288,56971,57259,Yame`thin,MMR010023
 Urban,82,6792,6874,Pyawbwe,MMR010024
 Rural,290,51699,51989,Pyawbwe,MMR010024
 Total,372,58491,58863,Pyawbwe,MMR010024
 Urban,171,23792,23963,Meiktila,MMR010028
 Rural,209,44267,44476,Meiktila,MMR010028
 Total,380,68059,68439,Meiktila,MMR010028
 Urban,72,4648,4720,Thazi,MMR010030
 Rural,550,39622,40172,Thazi,MMR010030
 Total,622,44270,44892,Thazi,MMR010030
 Urban,109,7191,7300,Wundwin,MMR010031
 Rural,466,45803,46269,Wundwin,MMR010031
 Total,575,52994,53569,Wundwin,MMR010031
 Urban,305,49429,49734,Mawlamyine,MMR011001
 Rural,242,7481,7723,Mawlamyine,MMR011001
 Total,547,56910,57457,Mawlamyine,MMR011001
 Urban,39,2137,2176,Kyaikemaraw,MMR011002
 Rural,862,35850,36712,Kyaikemaraw,MMR011002
 Total,901,37987,38888,Kyaikemaraw,MMR011002
 Urban,37,1707,1744,Chaungzon,MMR011003
 Rural,715,25485,26200,Chaungzon,MMR011003
 Total,752,27192,27944,Chaungzon,MMR011003
 Urban,289,11426,11715,Thanbyuzayat,MMR011004
 Rural,981,23538,24519,Thanbyuzayat,MMR011004
 Total,1270,34964,36234,Thanbyuzayat,MMR011004
 Urban,302,10490,10792,Mudon,MMR011005
 Rural,2010,26510,28520,Mudon,MMR011005
 Total,2312,37000,39312,Mudon,MMR011005
 Urban,115,5998,6113,Ye,MMR011006
 Rural,425,23453,23878,Ye,MMR011006
 Total,540,29451,29991,Ye,MMR011006
 Urban,71,2896,2967,Lamine,MMR011006
 Rural,580,15092,15672,Lamine,MMR011006
 Total,651,17988,18639,Lamine,MMR011006
 Urban,14,764,778,Khawzar,MMR011006
 Rural,75,3965,4040,Khawzar,MMR011006
 Total,89,4729,4818,Khawzar,MMR011006
 Urban,186,10520,10706,Thaton,MMR011007
 Rural,2474,35104,37578,Thaton,MMR011007
 Total,2660,45624,48284,Thaton,MMR011007
 Urban,176,5726,5902,Paung,MMR011008
 Rural,1556,36268,37824,Paung,MMR011008
 Total,1732,41994,43726,Paung,MMR011008
 Urban,143,7373,7516,Kyaikto,MMR011009
 Rural,345,30227,30572,Kyaikto,MMR011009
 Total,488,37600,38088,Kyaikto,MMR011009
 Urban,53,3991,4044,Bilin,MMR011010
 Rural,1472,33715,35187,Bilin,MMR011010
 Total,1525,37706,39231,Bilin,MMR011010
 Urban,124,18782,18906,Sittway,MMR012001
 Rural,57,10073,10130,Sittway,MMR012001
 Total,181,28855,29036,Sittway,MMR012001
 Urban,29,2437,2466,Ponnagyun,MMR012002
 Rural,67,22802,22869,Ponnagyun,MMR012002
 Total,96,25239,25335,Ponnagyun,MMR012002
 Urban,18,2452,2470,Pauktaw,MMR012007
 Rural,16,28058,28074,Pauktaw,MMR012007
 Total,34,30510,30544,Pauktaw,MMR012007
 Urban,7,1503,1510,Yethedaung,MMR012008
 Rural,77,22754,22831,Yethedaung,MMR012008
 Total,84,24257,24341,Yethedaung,MMR012008
 Urban,103,7171,7274,Myauk U,MMR012003
 Rural,235,34016,34251,Myauk U,MMR012003
 Total,338,41187,41525,Myauk U,MMR012003
 Urban,104,3735,3839,Kyauktaw,MMR012004
 Rural,456,32200,32656,Kyauktaw,MMR012004
 Total,560,35935,36495,Kyauktaw,MMR012004
 Urban,27,4588,4615,Minbya,MMR012005
 Rural,63,31950,32013,Minbya,MMR012005
 Total,90,36538,36628,Minbya,MMR012005
 Urban,20,2598,2618,Myebon,MMR012006
 Rural,71,28650,28721,Myebon,MMR012006
 Total,91,31248,31339,Myebon,MMR012006
 Urban,20,2294,2314,Maungtaw,MMR012009
 Rural,36,5040,5076,Maungtaw,MMR012009
 Total,56,7334,7390,Maungtaw,MMR012009
 Urban,13,2049,2062,Buthidaung,MMR012010
 Rural,13,9189,9202,Buthidaung,MMR012010
 Total,26,11238,11264,Buthidaung,MMR012010
 Urban,2,156,158,Taungpyoletwe(ST),MMR012009
 Rural,-,348,348,Taungpyoletwe(ST),MMR012009
 Total,2,504,506,Taungpyoletwe(ST),MMR012009
 Urban,90,4164,4254,Kyaukpyu,MMR012011
 Rural,216,32794,33010,Kyaukpyu,MMR012011
 Total,306,36958,37264,Kyaukpyu,MMR012011
 Urban,24,1282,1306,Mannaung,MMR017011
 Rural,119,13310,13429,Mannaung,MMR017011
 Total,143,14592,14735,Mannaung,MMR017011
 Urban,40,2208,2248,Yanbye,MMR012013
 Rural,49,20121,20170,Yanbye,MMR012013
 Total,89,22329,22418,Yanbye,MMR012013
 Urban,26,1852,1878,An,MMR012014
 Rural,104,25377,25481,An,MMR012014
 Total,130,27229,27359,An,MMR012014
 Urban,26,3324,3350,Thandwe,MMR012015
 Rural,181,27544,27725,Thandwe,MMR012015
 Total,207,30868,31075,Thandwe,MMR012015
 Urban,87,6091,6178,Toungup,MMR012016
 Rural,75,18986,19061,Toungup,MMR012016
 Total,162,25077,25239,Toungup,MMR012016
 Urban,29,2459,2488,Gwa,MMR012017
 Rural,107,8650,8757,Gwa,MMR012017
 Total,136,11109,11245,Gwa,MMR012017
 Urban,8,1207,1215,Maei(ST),MMR012016
 Rural,18,8720,8738,Maei(ST),MMR012016
 Total,26,9927,9953,Maei(ST),MMR012016
 Urban,24,1451,1475,Kyeintali(ST),MMR012017
 Rural,44,4562,4606,Kyeintali(ST),MMR012017
 Total,68,6013,6081,Kyeintali(ST),MMR012017
 Urban,135,61541,61676,Insein,MMR013001
 Total,135,61541,61676,Insein,MMR013001
 Urban,156,41485,41641,Mingaladon,MMR013002
 Rural,147,24515,24662,Mingaladon,MMR013002
 Total,303,66000,66303,Mingaladon,MMR013002
 Urban,59,5883,5942,Hmawby,MMR013003
 Rural,911,49616,50527,Hmawby,MMR013003
 Total,970,55499,56469,Hmawby,MMR013003
 Urban,75,8674,8749,Hlegu,MMR013004
 Rural,737,48537,49274,Hlegu,MMR013004
 Total,812,57211,58023,Hlegu,MMR013004
 Urban,244,20115,20359,Taikkyi,MMR013005
 Rural,573,46067,46640,Taikkyi,MMR013005
 Total,817,66182,66999,Taikkyi,MMR013005
 Urban,25,2031,2056,Htantabin,MMR013006
 Rural,984,31171,32155,Htantabin,MMR013006
 Total,1009,33202,34211,Htantabin,MMR013006
 Urban,358,58153,58511,Shwepyitha,MMR013007
 Rural,104,15160,15264,Shwepyitha,MMR013007
 Total,462,73313,73775,Shwepyitha,MMR013007
 Urban,331,103476,103807,Hlinethaya,MMR013008
 Rural,230,44674,44904,Hlinethaya,MMR013008
 Total,561,148150,148711,Hlinethaya,MMR013008
 Urban,23,43297,43320,Thingangyun,MMR013009
 Total,23,43297,43320,Thingangyun,MMR013009
 Urban,9,14628,14637,Yankin,MMR013010
 Total,9,14628,14637,Yankin,MMR013010
 Urban,44,32681,32725,South Okkalapa,MMR013011
 Total,44,32681,32725,South Okkalapa,MMR013011
 Urban,88,64668,64756,North Okkalapa,MMR013012
 Total,88,64668,64756,North Okkalapa,MMR013012
 Urban,76,45380,45456,Thakayta,MMR013013
 Total,76,45380,45456,Thakayta,MMR013013
 Urban,19,14390,14409,Dawbon,MMR013014
 Total,19,14390,14409,Dawbon,MMR013014
 Urban,36,35324,35360,Tamway,MMR013015
 Total,36,35324,35360,Tamway,MMR013015
 Urban,8,10298,10306,Pazuntaung,MMR013016
 Total,8,10298,10306,Pazuntaung,MMR013016
 Urban,13,8384,8397,Botahtaung,MMR013017
 Total,13,8384,8397,Botahtaung,MMR013017
 Urban,389,76595,76984,Dagon Myothit(South),MMR013018
 Total,389,76595,76984,Dagon Myothit(South),MMR013018
 Urban,62,42642,42704,Dagon Myothit(North),MMR013019
 Total,62,42642,42704,Dagon Myothit(North),MMR013019
 Urban,58,31837,31895,Dagon Myothit(East),MMR013020
 Rural,18,2000,2018,Dagon Myothit(East),MMR013020
 Total,76,33837,33913,Dagon Myothit(East),MMR013020
 Urban,94,34078,34172,Dagon Myothit(Seik),MMR013021
 Rural,50,3683,3733,Dagon Myothit(Seik),MMR013021
 Total,144,37761,37905,Dagon Myothit(Seik),MMR013021
 Urban,28,25890,25918,Mingala Taungnyunt,MMR013022
 Total,28,25890,25918,Mingala Taungnyunt,MMR013022
 Urban,49,18660,18709,Thanlyin,MMR013023
 Rural,1227,41661,42888,Thanlyin,MMR013023
 Total,1276,60321,61597,Thanlyin,MMR013023
 Urban,67,9797,9864,Kyauktan,MMR013024
 Rural,1519,21593,23112,Kyauktan,MMR013024
 Total,1586,31390,32976,Kyauktan,MMR013024
 Urban,175,6581,6756,Thongwa,MMR013025
 Rural,3605,29726,33331,Thongwa,MMR013025
 Total,3780,36307,40087,Thongwa,MMR013025
 Urban,126,7752,7878,Khayan,MMR013026
 Rural,1919,29517,31436,Khayan,MMR013026
 Total,2045,37269,39314,Khayan,MMR013026
 Urban,47,9150,9197,Twantay,MMR013027
 Rural,926,41479,42405,Twantay,MMR013027
 Total,973,50629,51602,Twantay,MMR013027
 Urban,42,2189,2231,Kawhmu,MMR013028
 Rural,847,26714,27561,Kawhmu,MMR013028
 Total,889,28903,29792,Kawhmu,MMR013028
 Urban,88,3870,3958,Kungyangon,MMR013029
 Rural,899,23495,24394,Kungyangon,MMR013029
 Total,987,27365,28352,Kungyangon,MMR013029
 Urban,68,25263,25331,Dala,MMR013030
 Rural,534,12047,12581,Dala,MMR013030
 Total,602,37310,37912,Dala,MMR013030
 Urban,7,344,351,Cocogyun,MMR013032
 Total,7,344,351,Cocogyun,MMR013032
 Urban,237,2253,2490,Tada(ST),MMR013024
 Rural,566,6437,7003,Tada(ST),MMR013024
 Total,803,8690,9493,Tada(ST),MMR013024
 Urban,6,6114,6120,Kyauktada,MMR013033
 Total,6,6114,6120,Kyauktada,MMR013033
 Urban,4,6559,6563,Pabedan,MMR013034
 Total,4,6559,6563,Pabedan,MMR013034
 Urban,2,8597,8599,Lanmadaw,MMR013035
 Total,2,8597,8599,Lanmadaw,MMR013035
 Urban,1,4472,4473,Latha,MMR013036
 Total,1,4472,4473,Latha,MMR013036
 Urban,8,10935,10943,Ahlon,MMR013037
 Total,8,10935,10943,Ahlon,MMR013037
 Urban,23,23039,23062,Kyimyindine,MMR013038
 Total,23,23039,23062,Kyimyindine,MMR013038
 Urban,18,20617,20635,Sangyoung,MMR013039
 Total,18,20617,20635,Sangyoung,MMR013039
 Urban,93,32744,32837,Hline,MMR013040
 Total,93,32744,32837,Hline,MMR013040
 Urban,18,16281,16299,Kamayut,MMR013041
 Total,18,16281,16299,Kamayut,MMR013041
 Urban,62,38745,38807,Mayangon,MMR013042
 Total,62,38745,38807,Mayangon,MMR013042
 Urban,7,4601,4608,Dagon,MMR013043
 Total,7,4601,4608,Dagon,MMR013043
 Urban,12,17414,17426,Bahan,MMR013044
 Total,12,17414,17426,Bahan,MMR013044
 Urban,-,410,410,Seikkan,MMR013045
 Total,-,410,410,Seikkan,MMR013045
 Urban,1231,55417,56648,Taunggyi,MMR014001
 Rural,2203,23753,25956,Taunggyi,MMR014001
 Total,3434,79170,82604,Taunggyi,MMR014001
 Urban,139,2920,3059,Nyaungshwe,MMR014002
 Rural,1234,38341,39575,Nyaungshwe,MMR014002
 Total,1373,41261,42634,Nyaungshwe,MMR014002
 Urban,257,4279,4536,Hopon,MMR014003
 Rural,873,19319,20192,Hopon,MMR014003
 Total,1130,23598,24728,Hopon,MMR014003
 Urban,231,2418,2649,Hsihseng,MMR014004
 Rural,2544,27578,30122,Hsihseng,MMR014004
 Total,2775,29996,32771,Hsihseng,MMR014004
 Urban,243,12355,12598,Kalaw,MMR014005
 Rural,1580,27163,28743,Kalaw,MMR014005
 Total,1823,39518,41341,Kalaw,MMR014005
 Urban,96,2163,2259,Pindaya,MMR014006
 Rural,684,14601,15285,Pindaya,MMR014006
 Total,780,16764,17544,Pindaya,MMR014006
 Urban,71,1084,1155,Ywarngan,MMR014007
 Rural,392,16801,17193,Ywarngan,MMR014007
 Total,463,17885,18348,Ywarngan,MMR014007
 Urban,178,5499,5677,Yatsauk,MMR014008
 Rural,1159,19121,20280,Yatsauk,MMR014008
 Total,1337,24620,25957,Yatsauk,MMR014008
 Urban,164,2606,2770,Pinlaung,MMR014009
 Rural,889,21845,22734,Pinlaung,MMR014009
 Total,1053,24451,25504,Pinlaung,MMR014009
 Urban,302,3129,3431,Phekon,MMR014010
 Rural,2212,14441,16653,Phekon,MMR014010
 Total,2514,17570,20084,Phekon,MMR014010
 Urban,25,577,602,Kyauktalongyi(ST),MMR014001
 Rural,417,11246,11663,Kyauktalongyi(ST),MMR014001
 Total,442,11823,12265,Kyauktalongyi(ST),MMR014001
 Urban,15,1821,1836,Indaw(ST),MMR014008
 Rural,365,5949,6314,Indaw(ST),MMR014008
 Total,380,7770,8150,Indaw(ST),MMR014008
 Urban,117,862,979,Naungtayar(ST),MMR014009
 Rural,766,14834,15600,Naungtayar(ST),MMR014009
 Total,883,15696,16579,Naungtayar(ST),MMR014009
 Urban,85,2768,2853,Loilem,MMR014011
 Rural,363,7685,8048,Loilem,MMR014011
 Total,448,10453,10901,Loilem,MMR014011
 Urban,198,1132,1330,Le`char,MMR014012
 Rural,2471,4989,7460,Le`char,MMR014012
 Total,2669,6121,8790,Le`char,MMR014012
 Urban,322,4519,4841,Nanhsam(South),MMR014013
 Rural,3000,11022,14022,Nanhsam(South),MMR014013
 Total,3322,15541,18863,Nanhsam(South),MMR014013
 Urban,86,1456,1542,Kunhing,MMR014014
 Rural,234,2794,3028,Kunhing,MMR014014
 Total,320,4250,4570,Kunhing,MMR014014
 Urban,107,735,842,Kehsi,MMR014015
 Rural,601,7458,8059,Kehsi,MMR014015
 Total,708,8193,8901,Kehsi,MMR014015
 Urban,327,1892,2219,Mongkai,MMR014016
 Rural,1016,13097,14113,Mongkai,MMR014016
 Total,1343,14989,16332,Mongkai,MMR014016
 Urban,136,1947,2083,Mineshu,MMR014017
 Rural,355,6763,7118,Mineshu,MMR014017
 Total,491,8710,9201,Mineshu,MMR014017
 Urban,222,5002,5224,Panglong(ST),MMR014011
 Rural,217,9075,9292,Panglong(ST),MMR014011
 Total,439,14077,14516,Panglong(ST),MMR014011
 Urban,368,1380,1748,Kholan(ST),MMR014013
 Rural,729,1887,2616,Kholan(ST),MMR014013
 Total,1097,3267,4364,Kholan(ST),MMR014013
 Urban,209,1456,1665,Karli(ST),MMR014014
 Rural,365,4537,4902,Karli(ST),MMR014014
 Total,574,5993,6567,Karli(ST),MMR014014
 Urban,163,589,752,Minenaung(ST),MMR014015
 Rural,704,4355,5059,Minenaung(ST),MMR014015
 Total,867,4944,5811,Minenaung(ST),MMR014015
 Urban,14,493,507,Minesan(Monsan)(ST),MMR014017
 Rural,26,6133,6159,Minesan(Monsan)(ST),MMR014017
 Total,40,6626,6666,Minesan(Monsan)(ST),MMR014017
 Urban,203,1515,1718,Linkhe`,MMR014018
 Rural,1035,5635,6670,Linkhe`,MMR014018
 Total,1238,7150,8388,Linkhe`,MMR014018
 Urban,448,1655,2103,Mone`,MMR014019
 Rural,631,3490,4121,Mone`,MMR014019
 Total,1079,5145,6224,Mone`,MMR014019
 Urban,76,1116,1192,Maukme`,MMR014020
 Rural,163,5839,6002,Maukme`,MMR014020
 Total,239,6955,7194,Maukme`,MMR014020
 Urban,241,1718,1959,Minepan,MMR014021
 Rural,116,3346,3462,Minepan,MMR014021
 Total,357,5064,5421,Minepan,MMR014021
 Urban,3,671,674,Homane(ST),MMR014018
 Rural,3,483,486,Homane(ST),MMR014018
 Total,6,1154,1160,Homane(ST),MMR014018
 Urban,138,1959,2097,Kengtaung(ST),MMR014019
 Rural,2,162,164,Kengtaung(ST),MMR014019
 Total,140,2121,2261,Kengtaung(ST),MMR014019
 Urban,875,33224,34099,Lashio,MMR015001
 Rural,2788,28045,30833,Lashio,MMR015001
 Total,3663,61269,64932,Lashio,MMR015001
 Urban,254,1669,1923,Theinni,MMR015002
 Rural,1916,7940,9856,Theinni,MMR015002
 Total,2170,9609,11779,Theinni,MMR015002
 Urban,220,1250,1470,Mineye`,MMR015003
 Rural,1204,10654,11858,Mineye`,MMR015003
 Total,1424,11904,13328,Mineye`,MMR015003
 Urban,582,6226,6808,Tantyan,MMR015004
 Rural,1297,27037,28334,Tantyan,MMR015004
 Total,1879,33263,35142,Tantyan,MMR015004
 Urban,607,12727,13334,MuSe,MMR015009
 Rural,2960,5920,8880,MuSe,MMR015009
 Total,3567,18647,22214,MuSe,MMR015009
 Urban,327,5805,6132,Namkham,MMR015010
 Rural,2008,13277,15285,Namkham,MMR015010
 Total,2335,19082,21417,Namkham,MMR015010
 Urban,246,4437,4683,Kukai,MMR015011
 Rural,773,13575,14348,Kukai,MMR015011
 Total,1019,18012,19031,Kukai,MMR015011
 Urban,102,1367,1469,Monekoe(ST),MMR015009
 Rural,95,2794,2889,Monekoe(ST),MMR015009
 Total,197,4161,4358,Monekoe(ST),MMR015009
 Urban,216,130,346,Manhero(ST),MMR015009
 Rural,868,429,1297,Manhero(ST),MMR015009
 Total,1084,559,1643,Manhero(ST),MMR015009
 Urban,138,1630,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,654,2121,2775,Pansai(KyuKute)(ST),MMR015009
 Total,792,3751,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,78,2409,2487,Tamoenye(ST),MMR015011
 Rural,332,10230,10562,Tamoenye(ST),MMR015011
 Total,410,12639,13049,Tamoenye(ST),MMR015011
 Urban,303,8350,8653,Kyukme,MMR015012
 Rural,1907,17811,19718,Kyukme,MMR015012
 Total,2210,26161,28371,Kyukme,MMR015012
 Urban,311,3860,4171,Naungkhio,MMR015013
 Rural,3359,24694,28053,Naungkhio,MMR015013
 Total,3670,28554,32224,Naungkhio,MMR015013
 Urban,254,3755,4009,Hsipaw,MMR015014
 Rural,2783,31114,33897,Hsipaw,MMR015014
 Total,3037,34869,37906,Hsipaw,MMR015014
 Urban,80,3177,3257,Namtu,MMR015015
 Rural,447,7937,8384,Namtu,MMR015015
 Total,527,11114,11641,Namtu,MMR015015
 Urban,7,928,935,Namsan(North),MMR015016
 Rural,66,12684,12750,Namsan(North),MMR015016
 Total,73,13612,13685,Namsan(North),MMR015016
 Urban,89,2144,2233,Momeik,MMR015017
 Rural,210,11209,11419,Momeik,MMR015017
 Total,299,13353,13652,Momeik,MMR015017
 Urban,29,685,714,Mabane,MMR015018
 Rural,500,7418,7918,Mabane,MMR015018
 Total,529,8103,8632,Mabane,MMR015018
 Urban,10,769,779,Manton,MMR015019
 Rural,44,6860,6904,Manton,MMR015019
 Total,54,7629,7683,Manton,MMR015019
 Urban,22,591,613,Minengaw(ST),MMR015012
 Rural,42,3374,3416,Minengaw(ST),MMR015012
 Total,64,3965,4029,Minengaw(ST),MMR015012
 Urban,7,579,586,Minelon(ST),MMR015012
 Rural,20,5250,5270,Minelon(ST),MMR015012
 Total,27,5829,5856,Minelon(ST),MMR015012
 Urban,118,1040,1158,Kunlon,MMR015020
 Rural,585,8649,9234,Kunlon,MMR015020
 Total,703,9689,10392,Kunlon,MMR015020
 Urban,113,2828,2941,Laukine,MMR015022
 Rural,745,10545,11290,Laukine,MMR015022
 Total,858,13373,14231,Laukine,MMR015022
 Urban,52,142,194,Kongyan,MMR015023
 Rural,96,5172,5268,Kongyan,MMR015023
 Total,148,5314,5462,Kongyan,MMR015023
 Urban,7,612,619,Chinshwehaw(ST),MMR015022
 Rural,18,313,331,Chinshwehaw(ST),MMR015022
 Total,25,925,950,Chinshwehaw(ST),MMR015022
 Urban,5,80,85,Mawhtike(ST),MMR015023
 Rural,78,4040,4118,Mawhtike(ST),MMR015023
 Total,83,4120,4203,Mawhtike(ST),MMR015023
 Urban,360,3018,3378,Hopan,MMR015021
 Rural,595,6058,6653,Hopan,MMR015021
 Total,955,9076,10031,Hopan,MMR015021
 Urban,86,767,853,Minemaw,MMR015008
 Rural,180,9412,9592,Minemaw,MMR015008
 Total,266,10179,10445,Minemaw,MMR015008
 Urban,15,454,469,Panwine,MMR015007
 Rural,442,13058,13500,Panwine,MMR015007
 Total,457,13512,13969,Panwine,MMR015007
 Urban,30,631,661,Panlon(ST),MMR015021
 Rural,12,512,524,Panlon(ST),MMR015021
 Total,42,1143,1185,Panlon(ST),MMR015021
 Urban,2,65,67,Makman,MMR015024
 Rural,2,3249,3251,Makman,MMR015024
 Total,4,3314,3318,Makman,MMR015024
 Urban,23,1999,2022,Pan San(Pan Kham),MMR015005
 Rural,151,13969,14120,Pan San(Pan Kham),MMR015005
 Total,174,15968,16142,Pan San(Pan Kham),MMR015005
 Urban,13,142,155,Naphang,MMR015006
 Rural,217,16102,16319,Naphang,MMR015006
 Total,230,16244,16474,Naphang,MMR015006
 Urban,1,80,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,1,314,315,ManKan(ST),MMR015005
 Urban,253,8849,9102,Kengtung,MMR016001
 Rural,1554,23440,24994,Kengtung,MMR016001
 Total,1807,32289,34096,Kengtung,MMR016001
 Urban,23,535,558,Minekat,MMR016002
 Rural,191,7276,7467,Minekat,MMR016002
 Total,214,7811,8025,Minekat,MMR016002
 Urban,179,810,989,Mineyan,MMR016003
 Rural,2292,6838,9130,Mineyan,MMR016003
 Total,2471,7648,10119,Mineyan,MMR016003
 Urban,351,1209,1560,Minelar,MMR016005
 Rural,985,2663,3648,Minelar,MMR016005
 Total,1336,3872,5208,Minelar,MMR016005
 Rural,523,8762,9285,Mine Pauk(ST),MMR016003
 Total,523,8762,9285,Mine Pauk(ST),MMR016003
 Urban,95,1466,1561,Minesat,MMR016006
 Rural,304,14044,14348,Minesat,MMR016006
 Total,399,15510,15909,Minesat,MMR016006
 Urban,49,1284,1333,Minepyin,MMR016007
 Rural,101,9171,9272,Minepyin,MMR016007
 Total,150,10455,10605,Minepyin,MMR016007
 Urban,84,1035,1119,Minetung,MMR016008
 Rural,102,3037,3139,Minetung,MMR016008
 Total,186,4072,4258,Minetung,MMR016008
 Urban,7,277,284,Minekoke(ST),MMR016006
 Rural,27,2891,2918,Minekoke(ST),MMR016006
 Total,34,3168,3202,Minekoke(ST),MMR016006
 Urban,-,427,427,Tontar(ST),MMR016007
 Rural,21,2246,2267,Tontar(ST),MMR016007
 Total,21,2673,2694,Tontar(ST),MMR016007
 Urban,42,679,721,Ponparkyin(ST),MMR016008
 Rural,198,6415,6613,Ponparkyin(ST),MMR016008
 Total,240,7094,7334,Ponparkyin(ST),MMR016008
 Urban,2,89,91,Monehta(ST),MMR016008
 Rural,1,837,838,Monehta(ST),MMR016008
 Total,3,926,929,Monehta(ST),MMR016008
 Urban,113,10981,11094,Tachileik,MMR016009
 Rural,828,19257,20085,Tachileik,MMR016009
 Total,941,30238,31179,Tachileik,MMR016009
 Urban,61,812,873,Talay(ST),MMR016009
 Rural,168,2977,3145,Talay(ST),MMR016009
 Total,229,3789,4018,Talay(ST),MMR016009
 Urban,47,715,762,Kenglat(ST),MMR016009
 Rural,75,1639,1714,Kenglat(ST),MMR016009
 Total,122,2354,2476,Kenglat(ST),MMR016009
 Urban,132,1191,1323,Minephyat,MMR016010
 Rural,316,4526,4842,Minephyat,MMR016010
 Total,448,5717,6165,Minephyat,MMR016010
 Urban,132,1058,1190,Mineyaung,MMR016011
 Rural,1947,3192,5139,Mineyaung,MMR016011
 Total,2079,4250,6329,Mineyaung,MMR016011
 Urban,60,171,231,Mineyu(ST),MMR016011
 Rural,2461,8175,10636,Mineyu(ST),MMR016011
 Total,2521,8346,10867,Mineyu(ST),MMR016011
 Urban,99,2575,2674,Kangyidaunt,MMR017002
 Rural,1038,39254,40292,Kangyidaunt,MMR017002
 Total,1137,41829,42966,Kangyidaunt,MMR017002
 Urban,125,3825,3950,Kyaungon,MMR017007
 Rural,1934,35518,37452,Kyaungon,MMR017007
 Total,2059,39343,41402,Kyaungon,MMR017007
 Urban,246,5753,5999,Kyonpyaw,MMR017005
 Rural,2431,51058,53489,Kyonpyaw,MMR017005
 Total,2677,56811,59488,Kyonpyaw,MMR017005
 Urban,32,2509,2541,Ngaputaw,MMR017004
 Rural,565,34270,34835,Ngaputaw,MMR017004
 Total,597,36779,37376,Ngaputaw,MMR017004
 Urban,357,37084,37441,Pathein,MMR017001
 Rural,344,28251,28595,Pathein,MMR017001
 Total,701,65335,66036,Pathein,MMR017001
 Urban,63,2703,2766,Yekyi,MMR017006
 Rural,1209,23827,25036,Yekyi,MMR017006
