Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,324,1955,2279
 Rural,877,28430,29307
 Total,1201,30385,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,217,2845,3062
 Rural,146,2601,2747
 Total,363,5446,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,24,783,807
 Rural,347,16624,16971
 Total,371,17407,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3,80,83
 Rural,85,3588,3673
 Total,88,3668,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,35,572,607
 Rural,147,9172,9319
 Total,182,9744,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,435,436
 Rural,89,2880,2969
 Total,90,3315,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,9,624,633
 Rural,19,1892,1911
 Total,28,2516,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,42,2707,2749
 Rural,31,1178,1209
 Total,73,3885,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1338,22678,24016
 Rural,620,16622,17242
 Total,1958,39300,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,74,75
 Rural,9,977,986
 Total,10,1051,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4,573,577
 Rural,24,1096,1120
 Total,28,1669,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,644,7838,8482
 Rural,1345,35671,37016
 Total,1989,43509,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,120,1697,1817
 Rural,581,19642,20223
 Total,701,21339,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,86,6010,6096
 Rural,192,11507,11699
 Total,278,17517,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,44,636,680
 Rural,52,10001,10053
 Total,96,10637,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1178,4043,5221
 Rural,200,4496,4696
 Total,1378,8539,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,318,1189,1507
 Rural,223,8052,8275
 Total,541,9241,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,364,1638,2002
 Rural,176,6250,6426
 Total,540,7888,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,459,1791,2250
 Rural,638,11795,12433
 Total,1097,13586,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,26,614,640
 Rural,31,2740,2771
 Total,57,3354,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,59,611,670
 Rural,3,525,528
 Total,62,1136,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,12,203,215
 Rural,14,1301,1315
 Total,26,1504,1530
NotApp :,6,*,*
