Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3,169,172
 Rural,-,307,307
 Total,3,476,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6,402,408
 Rural,1,1310,1311
 Total,7,1712,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,12,1629,1641
 Total,12,1699,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1,359,360
 Rural,2,581,583
 Total,3,940,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,-,245,245
 Total,-,269,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,937,9485,10422
 Rural,438,15635,16073
 Total,1375,25120,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,48,1089,1137
 Rural,263,13947,14210
 Total,311,15036,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,14,839,853
 Rural,9,5048,5057
 Total,23,5887,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,7,329,336
 Rural,7,1063,1070
 Total,14,1392,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,27,812,839
 Rural,7,743,750
 Total,34,1555,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
