Urban_Rural,Computer_Yes,Computer_No,Computer_Total
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,418,8571,8989
 Rural,8,2989,2997
 Total,426,11560,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,13,295,308
 Rural,23,2766,2789
 Total,36,3061,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,49,2789,2838
 Rural,42,4628,4670
 Total,91,7417,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,101,1723,1824
 Rural,33,8488,8521
 Total,134,10211,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,79,1863,1942
 Rural,85,18219,18304
 Total,164,20082,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,140,2043,2183
 Rural,32,5146,5178
 Total,172,7189,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,227,3348,3575
 Rural,319,31849,32168
 Total,546,35197,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,11,242,253
 Rural,-,1403,1403
 Total,11,1645,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,20,518,538
 Rural,3,6436,6439
 Total,23,6954,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,12,363,375
 Rural,3,1190,1193
 Total,15,1553,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3,207,210
 Rural,-,100,100
 Total,3,307,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3,283,286
 Rural,3,905,908
 Total,6,1188,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,11,327,338
 Rural,3,2008,2011
 Total,14,2335,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,-,3754,3754
 Total,-,3923,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,122,955,1077
 Rural,161,28294,28455
 Total,283,29249,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,67,1155,1222
 Rural,415,24830,25245
 Total,482,25985,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,52,879,931
 Rural,177,31254,31431
 Total,229,32133,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,59,1079,1138
 Rural,116,27969,28085
 Total,175,29048,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1542,13840,15382
 Rural,270,9291,9561
 Total,1812,23131,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,76,1164,1240
 Rural,400,24095,24495
 Total,476,25259,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,82,2325,2407
 Rural,213,20254,20467
 Total,295,22579,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,74,1003,1077
 Rural,390,20606,20996
 Total,464,21609,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,7,489,496
 Rural,30,3664,3694
 Total,37,4153,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,20,604,624
 Rural,28,3625,3653
 Total,48,4229,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1572,19976,21548
 Rural,716,32085,32801
 Total,2288,52061,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,96,1046,1142
 Rural,179,31667,31846
 Total,275,32713,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,158,3413,3571
 Rural,126,14828,14954
 Total,284,18241,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,62,1064,1126
 Rural,174,18629,18803
 Total,236,19693,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,21,1190,1211
 Rural,66,5851,5917
 Total,87,7041,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1067,11513,12580
 Rural,200,12701,12901
 Total,1267,24214,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,43,1004,1047
 Rural,95,7734,7829
 Total,138,8738,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,55,2300,2355
 Rural,43,2467,2510
 Total,98,4767,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,15,700,715
 Rural,9,2380,2389
 Total,24,3080,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,9,277,286
 Rural,35,3441,3476
 Total,44,3718,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2735,52157,54892
 Rural,697,51543,52240
 Total,3432,103700,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,129,3500,3629
 Rural,67,28831,28898
 Total,196,32331,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,126,4128,4254
 Rural,128,41693,41821
 Total,254,45821,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,124,4922,5046
 Rural,130,31907,32037
 Total,254,36829,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,322,12740,13062
 Rural,110,31590,31700
 Total,432,44330,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,184,6689,6873
 Rural,228,44547,44775
 Total,412,51236,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,271,8469,8740
 Rural,187,36826,37013
 Total,458,45295,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,183,4682,4865
 Rural,69,16848,16917
 Total,252,21530,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1420,20480,21900
 Rural,528,35032,35560
 Total,1948,55512,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,215,5740,5955
 Rural,341,44231,44572
 Total,556,49971,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,73,2185,2258
 Rural,112,20513,20625
 Total,185,22698,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,518,13309,13827
 Rural,320,40784,41104
 Total,838,54093,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,87,3122,3209
 Rural,302,33359,33661
 Total,389,36481,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,59,2317,2376
 Rural,96,24309,24405
 Total,155,26626,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2034,26781,28815
 Rural,255,29487,29742
 Total,2289,56268,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,134,3472,3606
 Rural,78,28663,28741
 Total,212,32135,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,168,4300,4468
 Rural,316,34108,34424
 Total,484,38408,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,251,6230,6481
 Rural,79,30140,30219
 Total,330,36370,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,106,4160,4266
 Rural,164,31520,31684
 Total,270,35680,35950
