Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
AREA # 010405,Naungmoon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,250,110,360
 Rural,392,191,583
 Total,642,301,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,5,19,24
 Rural,24,221,245
 Total,29,240,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,136,10286,10422
 Rural,3187,12886,16073
 Total,3323,23172,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,90,1047,1137
 Rural,3521,10689,14210
 Total,3611,11736,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,29,824,853
 Rural,1018,4039,5057
 Total,1047,4863,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,73,263,336
 Rural,70,1000,1070
 Total,143,1263,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,111,728,839
 Rural,251,499,750
 Total,362,1227,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,22,572,594
 Rural,170,3969,4139
 Total,192,4541,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,7,188,195
 Rural,25,1082,1107
 Total,32,1270,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,77,215,292
 Rural,37,163,200
 Total,114,378,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,93,14675,14768
 Rural,11870,62559,74429
 Total,11963,77234,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,55,2224,2279
 Rural,3833,25474,29307
 Total,3888,27698,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,12,3050,3062
 Rural,59,2688,2747
 Total,71,5738,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,54,753,807
 Rural,3479,13492,16971
 Total,3533,14245,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,17,66,83
 Rural,363,3310,3673
 Total,380,3376,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,607,607
 Rural,281,9038,9319
 Total,281,9645,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,436,436
 Rural,298,2671,2969
 Total,298,3107,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,33,600,633
 Rural,346,1565,1911
 Total,379,2165,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,158,2591,2749
 Rural,311,898,1209
 Total,469,3489,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,78,23938,24016
 Rural,1895,15347,17242
 Total,1973,39285,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,25,50,75
 Rural,59,927,986
 Total,84,977,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,2,575,577
 Rural,66,1054,1120
 Total,68,1629,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,328,8154,8482
 Rural,10490,26526,37016
 Total,10818,34680,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
