Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total
*,Yes,No,Total
 Urban,1,806,807
 Rural,694,16277,16971
 Total,695,17083,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,83,83
 Rural,2,3671,3673
 Total,2,3754,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,607,607
 Rural,-,9319,9319
 Total,-,9926,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,436,436
 Rural,2,2967,2969
 Total,2,3403,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,10,623,633
 Rural,19,1892,1911
 Total,29,2515,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,52,2697,2749
 Rural,7,1202,1209
 Total,59,3899,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,12,24004,24016
 Rural,39,17203,17242
 Total,51,41207,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,75,75
 Rural,2,984,986
 Total,2,1059,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,576,577
 Rural,1,1119,1120
 Total,2,1695,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,185,8297,8482
 Rural,1855,35161,37016
 Total,2040,43458,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,60,1757,1817
 Rural,1120,19103,20223
 Total,1180,20860,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,6094,6096
 Rural,21,11678,11699
 Total,23,17772,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,39,641,680
 Rural,80,9973,10053
 Total,119,10614,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,5220,5221
 Rural,4,4692,4696
 Total,5,9912,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,4,1503,1507
 Rural,28,8247,8275
 Total,32,9750,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,2000,2002
 Rural,9,6417,6426
 Total,11,8417,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,2249,2250
 Rural,28,12405,12433
 Total,29,14654,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,640,640
 Rural,1,2770,2771
 Total,1,3410,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,670,670
 Rural,-,528,528
 Total,-,1198,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,215,215
 Rural,-,1315,1315
 Total,-,1530,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,2343,2343
 Rural,-,6179,6179
 Total,-,8522,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,1669,1670
 Rural,5,5961,5966
 Total,6,7630,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,807,807
 Rural,3,3167,3170
 Total,3,3974,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,64,1286,1350
 Rural,344,11599,11943
 Total,408,12885,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,462,462
 Rural,1,2058,2059
