Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total
 Rural,667,7265,7932
 Total,1313,9430,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4,168,172
 Rural,39,268,307
 Total,43,436,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,28,380,408
 Rural,79,1232,1311
 Total,107,1612,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,15,1626,1641
 Total,15,1696,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3,357,360
 Rural,2,581,583
 Total,5,938,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,1,244,245
 Total,1,268,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6054,4368,10422
 Rural,5112,10961,16073
 Total,11166,15329,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,740,397,1137
 Rural,4854,9356,14210
 Total,5594,9753,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,216,637,853
 Rural,275,4782,5057
 Total,491,5419,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,49,287,336
 Rural,24,1046,1070
 Total,73,1333,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,263,576,839
 Rural,24,726,750
 Total,287,1302,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,110,484,594
 Rural,84,4055,4139
 Total,194,4539,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,37,158,195
 Rural,59,1048,1107
 Total,96,1206,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,85,207,292
 Rural,21,179,200
 Total,106,386,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,7292,7476,14768
 Rural,35012,39417,74429
 Total,42304,46893,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1100,1179,2279
 Rural,10032,19275,29307
 Total,11132,20454,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,159,2903,3062
 Rural,73,2674,2747
 Total,232,5577,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,265,542,807
 Rural,4502,12469,16971
 Total,4767,13011,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6,77,83
 Rural,255,3418,3673
 Total,261,3495,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,23,584,607
 Rural,90,9229,9319
 Total,113,9813,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8,428,436
 Rural,281,2688,2969
 Total,289,3116,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,255,378,633
 Rural,334,1577,1911
 Total,589,1955,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1658,1091,2749
 Rural,379,830,1209
 Total,2037,1921,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,7270,16746,24016
 Rural,4893,12349,17242
 Total,12163,29095,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8,67,75
 Rural,91,895,986
 Total,99,962,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,90,487,577
 Rural,85,1035,1120
 Total,175,1522,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4320,4162,8482
 Rural,15395,21621,37016
 Total,19715,25783,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,857,960,1817
 Rural,7660,12563,20223
 Total,8517,13523,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,691,5405,6096
 Rural,2746,8953,11699
 Total,3437,14358,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,278,402,680
 Rural,2410,7643,10053
 Total,2688,8045,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,169,5052,5221
 Rural,54,4642,4696
 Total,223,9694,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,55,1452,1507
 Rural,76,8199,8275
 Total,131,9651,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
