Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,93,106,199
 Bungalow/Brick house,257,288,545
 Semi-pacca house,129,271,400
 Wooden house,134,2272,2406
 Bamboo,240,2116,2356
 Hut 2 - 3 years,-,2,2
 Other,-,2,2
 Total,853,5057,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Bungalow/Brick house,4,1,5
 Semi-pacca house,11,-,11
 Wooden house,207,224,431
 Bamboo,108,842,950
 Hut 2 - 3 years,4,2,6
 Hut 1 year,2,1,3
 Total,336,1070,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,212,-,212
 Bungalow/Brick house,28,21,49
 Semi-pacca house,47,23,70
 Wooden house,427,363,790
 Bamboo,121,319,440
 Hut 2 - 3 years,1,22,23
 Hut 1 year,3,2,5
 Total,839,750,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,59,51,110
 Bungalow/Brick house,45,38,83
 Semi-pacca house,49,126,175
 Wooden house,345,1070,1415
 Bamboo,85,2430,2515
 Hut 2 - 3 years,4,78,82
 Hut 1 year,3,181,184
 Other,4,165,169
 Total,594,4139,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9,77,86
 Bungalow/Brick house,14,6,20
 Semi-pacca house,16,21,37
 Wooden house,127,719,846
 Bamboo,29,283,312
 Hut 1 year,-,1,1
 Total,195,1107,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8,33,41
 Bungalow/Brick house,3,1,4
 Semi-pacca house,23,6,29
 Wooden house,246,124,370
 Bamboo,7,36,43
 Hut 2 - 3 years,5,-,5
 Total,292,200,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1200,1928,3128
 Bungalow/Brick house,2582,4349,6931
 Semi-pacca house,1892,5445,7337
 Wooden house,7527,48768,56295
 Bamboo,1272,10980,12252
 Hut 2 - 3 years,100,1711,1811
 Hut 1 year,154,816,970
 Other,41,432,473
 Total,14768,74429,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,92,344,436
 Bungalow/Brick house,125,469,594
 Semi-pacca house,212,1680,1892
 Wooden house,1705,22566,24271
 Bamboo,90,2687,2777
 Hut 2 - 3 years,26,1091,1117
 Hut 1 year,24,325,349
 Other,5,145,150
 Total,2279,29307,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,525,2,527
 Bungalow/Brick house,583,105,688
 Semi-pacca house,572,268,840
 Wooden house,799,1270,2069
 Bamboo,543,1061,1604
 Hut 2 - 3 years,13,28,41
 Hut 1 year,8,12,20
 Other,19,1,20
 Total,3062,2747,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,125,128
 Bungalow/Brick house,23,358,381
 Semi-pacca house,142,874,1016
 Wooden house,593,12268,12861
 Bamboo,42,2902,2944
 Hut 2 - 3 years,2,313,315
 Hut 1 year,1,113,114
 Other,1,18,19
 Total,807,16971,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Bungalow/Brick house,3,2,5
 Semi-pacca house,-,12,12
 Wooden house,53,1293,1346
 Bamboo,26,2299,2325
 Hut 2 - 3 years,-,50,50
 Hut 1 year,-,17,17
 Other,1,-,1
 Total,83,3673,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,73,1,74
 Bungalow/Brick house,123,112,235
 Semi-pacca house,106,514,620
 Wooden house,131,4641,4772
 Bamboo,172,3918,4090
 Hut 2 - 3 years,1,94,95
 Hut 1 year,-,35,35
 Other,1,4,5
 Total,607,9319,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11,8,19
 Bungalow/Brick house,36,16,52
 Semi-pacca house,81,76,157
 Wooden house,135,1001,1136
 Bamboo,168,1767,1935
 Hut 2 - 3 years,5,87,92
 Hut 1 year,-,8,8
 Other,-,6,6
 Total,436,2969,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,18,168,186
 Bungalow/Brick house,26,14,40
 Semi-pacca house,38,29,67
 Wooden house,384,611,995
 Bamboo,128,1010,1138
 Hut 2 - 3 years,7,48,55
 Hut 1 year,11,21,32
 Other,21,10,31
 Total,633,1911,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11,132,143
 Bungalow/Brick house,110,9,119
 Semi-pacca house,197,20,217
 Wooden house,1954,768,2722
 Bamboo,366,214,580
 Hut 2 - 3 years,61,47,108
 Hut 1 year,42,16,58
 Other,8,3,11
 Total,2749,1209,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1683,672,2355
 Bungalow/Brick house,1884,385,2269
 Semi-pacca house,2848,829,3677
 Wooden house,14028,11488,25516
 Bamboo,2625,2758,5383
 Hut 2 - 3 years,474,762,1236
 Hut 1 year,250,193,443
 Other,224,155,379
 Total,24016,17242,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,12,1,13
 Bungalow/Brick house,1,5,6
 Semi-pacca house,1,8,9
 Wooden house,22,458,480
 Bamboo,35,504,539
 Hut 2 - 3 years,1,6,7
 Hut 1 year,3,-,3
 Other,-,4,4
 Total,75,986,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,7,-,7
 Bungalow/Brick house,1,-,1
 Semi-pacca house,6,2,8
 Wooden house,526,465,991
 Bamboo,15,647,662
 Hut 2 - 3 years,2,5,7
 Hut 1 year,7,-,7
 Other,13,1,14
 Total,577,1120,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,272,447,719
 Bungalow/Brick house,588,2443,3031
 Semi-pacca house,693,3287,3980
 Wooden house,6181,24777,30958
 Bamboo,458,3834,4292
 Hut 2 - 3 years,164,1510,1674
 Hut 1 year,58,536,594
 Other,68,182,250
 Total,8482,37016,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,126,92,218
 Bungalow/Brick house,284,939,1223
 Semi-pacca house,185,2287,2472
 Wooden house,972,13352,14324
 Bamboo,57,1833,1890
 Hut 2 - 3 years,115,1249,1364
 Hut 1 year,41,379,420
 Other,37,92,129
 Total,1817,20223,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1392,20,1412
 Bungalow/Brick house,893,278,1171
 Semi-pacca house,829,397,1226
 Wooden house,2650,6933,9583
 Bamboo,290,3120,3410
 Hut 2 - 3 years,24,639,663
 Hut 1 year,6,179,185
 Other,12,133,145
 Total,6096,11699,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,24,2,26
 Bungalow/Brick house,22,20,42
 Semi-pacca house,89,181,270
 Wooden house,429,5232,5661
 Bamboo,101,4441,4542
 Hut 2 - 3 years,2,87,89
 Hut 1 year,12,37,49
 Other,1,53,54
 Total,680,10053,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,180,4,184
 Bungalow/Brick house,420,23,443
 Semi-pacca house,461,21,482
 Wooden house,4115,4508,8623
 Bamboo,6,127,133
 Hut 2 - 3 years,15,3,18
 Hut 1 year,2,-,2
 Other,22,10,32
 Total,5221,4696,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,5,-,5
 Bungalow/Brick house,75,12,87
 Semi-pacca house,68,15,83
 Wooden house,1326,7610,8936
 Bamboo,14,616,630
 Hut 2 - 3 years,-,3,3
 Hut 1 year,1,12,13
 Other,18,7,25
 Total,1507,8275,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,141,3,144
 Bungalow/Brick house,192,8,200
