Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
*,Urban,Rural,Total
 Condominium/Apartment/Flat,21,101,122
 Bungalow/Brick house,173,774,947
 Semi-pacca house,325,1559,1884
 Wooden house,961,12539,13500
 Bamboo,792,8780,9572
 Hut 2 - 3 years,67,357,424
 Hut 1 year,20,174,194
 Other,17,121,138
 Total,2376,24405,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1607,736,2343
 Bungalow/Brick house,4298,1082,5380
 Semi-pacca house,3799,1391,5190
 Wooden house,10426,17434,27860
 Bamboo,8085,7554,15639
 Hut 2 - 3 years,306,1124,1430
 Hut 1 year,139,389,528
 Other,155,32,187
 Total,28815,29742,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,29,323,352
 Bungalow/Brick house,248,129,377
 Semi-pacca house,410,445,855
 Wooden house,2255,15536,17791
 Bamboo,625,11124,11749
 Hut 2 - 3 years,28,809,837
 Hut 1 year,4,312,316
 Other,7,63,70
 Total,3606,28741,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,88,1535,1623
 Bungalow/Brick house,307,464,771
 Semi-pacca house,409,946,1355
 Wooden house,2386,20238,22624
 Bamboo,1155,9671,10826
 Hut 2 - 3 years,39,937,976
 Hut 1 year,72,512,584
 Other,12,121,133
 Total,4468,34424,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,50,132,182
 Bungalow/Brick house,563,257,820
 Semi-pacca house,520,615,1135
 Wooden house,3938,20447,24385
 Bamboo,1114,7821,8935
 Hut 2 - 3 years,170,645,815
 Hut 1 year,20,247,267
 Other,106,55,161
 Total,6481,30219,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,49,565,614
 Bungalow/Brick house,232,579,811
 Semi-pacca house,627,1355,1982
 Wooden house,2523,21532,24055
 Bamboo,724,6378,7102
 Hut 2 - 3 years,67,751,818
 Hut 1 year,20,440,460
 Other,24,84,108
 Total,4266,31684,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,50,722,772
 Bungalow/Brick house,410,219,629
 Semi-pacca house,615,757,1372
 Wooden house,1912,19154,21066
 Bamboo,1357,6838,8195
 Hut 2 - 3 years,126,888,1014
 Hut 1 year,35,373,408
 Other,13,95,108
 Total,4518,29046,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,130,84,214
 Bungalow/Brick house,707,199,906
 Semi-pacca house,1084,1113,2197
 Wooden house,4335,15847,20182
 Bamboo,1831,10694,12525
 Hut 2 - 3 years,20,280,300
 Hut 1 year,36,212,248
 Other,21,33,54
 Total,8164,28462,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,58,12,70
 Bungalow/Brick house,478,284,762
 Semi-pacca house,631,1110,1741
 Wooden house,3077,17995,21072
 Bamboo,1249,17633,18882
 Hut 2 - 3 years,82,368,450
 Hut 1 year,86,251,337
 Other,74,96,170
 Total,5735,37749,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,53,149,202
 Bungalow/Brick house,282,293,575
 Semi-pacca house,394,1247,1641
 Wooden house,1652,18405,20057
 Bamboo,297,7665,7962
 Hut 2 - 3 years,8,139,147
 Hut 1 year,9,214,223
 Other,7,80,87
 Total,2702,28192,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,18,160,178
 Bungalow/Brick house,261,334,595
 Semi-pacca house,219,1389,1608
 Wooden house,1860,18577,20437
 Bamboo,435,8255,8690
 Hut 2 - 3 years,1,220,221
 Hut 1 year,5,131,136
 Other,1,28,29
 Total,2800,29094,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,26,2,28
 Bungalow/Brick house,199,62,261
 Semi-pacca house,439,324,763
 Wooden house,2513,9648,12161
 Bamboo,758,3736,4494
 Hut 2 - 3 years,16,313,329
 Hut 1 year,12,140,152
 Other,4,18,22
 Total,3967,14243,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,74,36,110
 Bungalow/Brick house,538,328,866
 Semi-pacca house,374,1039,1413
 Wooden house,2774,26758,29532
 Bamboo,842,12307,13149
 Hut 2 - 3 years,21,391,412
 Hut 1 year,5,229,234
 Other,14,39,53
 Total,4642,41127,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,31,10,41
 Bungalow/Brick house,140,106,246
 Semi-pacca house,135,554,689
 Wooden house,1328,14323,15651
 Bamboo,738,15310,16048
 Hut 2 - 3 years,3,286,289
 Hut 1 year,2,305,307
 Other,3,13,16
 Total,2380,30907,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,66,13,79
 Bungalow/Brick house,588,128,716
 Semi-pacca house,568,523,1091
 Wooden house,3610,17538,21148
 Bamboo,683,6011,6694
 Hut 2 - 3 years,42,391,433
 Hut 1 year,12,371,383
 Other,15,27,42
 Total,5584,25002,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1931,673,2604
 Bungalow/Brick house,4179,1950,6129
 Semi-pacca house,1610,1797,3407
 Wooden house,2032,16563,18595
 Bamboo,9823,26244,36067
 Hut 2 - 3 years,149,975,1124
 Hut 1 year,58,457,515
 Other,88,148,236
 Total,19870,48807,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,308,11,319
 Bungalow/Brick house,931,460,1391
 Semi-pacca house,674,559,1233
 Wooden house,1558,9147,10705
 Bamboo,7047,10555,17602
 Hut 2 - 3 years,71,619,690
 Hut 1 year,30,249,279
 Other,57,224,281
 Total,10676,21824,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,201,425,626
 Bungalow/Brick house,964,1792,2756
 Semi-pacca house,1016,1560,2576
 Wooden house,2297,8311,10608
 Bamboo,5760,20606,26366
 Hut 2 - 3 years,49,816,865
 Hut 1 year,28,401,429
 Other,86,306,392
 Total,10401,34217,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,359,664,1023
 Bungalow/Brick house,1105,981,2086
 Semi-pacca house,683,1805,2488
 Wooden house,4726,35054,39780
 Bamboo,3096,11079,14175
 Hut 2 - 3 years,53,367,420
 Hut 1 year,11,181,192
 Other,22,77,99
 Total,10055,50208,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,36,86,122
 Bungalow/Brick house,173,477,650
 Semi-pacca house,113,981,1094
 Wooden house,778,21505,22283
 Bamboo,629,11188,11817
 Hut 2 - 3 years,11,766,777
 Hut 1 year,2,116,118
 Other,4,83,87
 Total,1746,35202,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,35,324,359
 Bungalow/Brick house,379,2544,2923
 Semi-pacca house,193,3677,3870
 Wooden house,1077,26400,27477
 Bamboo,1481,11422,12903
 Hut 2 - 3 years,2,726,728
 Hut 1 year,4,93,97
 Other,3,66,69
 Total,3174,45252,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,702,705,1407
 Bungalow/Brick house,1007,681,1688
 Semi-pacca house,558,854,1412
 Wooden house,960,8812,9772
 Bamboo,5736,22328,28064
 Hut 2 - 3 years,96,698,794
 Hut 1 year,65,409,474
 Other,66,140,206
 Total,9190,34627,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,66,349,415
 Bungalow/Brick house,165,714,879
 Semi-pacca house,118,789,907
 Wooden house,208,5400,5608
 Bamboo,879,30382,31261
 Hut 2 - 3 years,16,466,482
 Hut 1 year,1,138,139
 Other,1,72,73
 Total,1454,38310,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2,374,376
 Bungalow/Brick house,78,174,252
 Semi-pacca house,106,251,357
 Wooden house,110,4213,4323
 Bamboo,678,6285,6963
 Hut 2 - 3 years,1,127,128
 Hut 1 year,-,49,49
 Other,4,5,9
 Total,979,11478,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,48,444,492
 Bungalow/Brick house,283,867,1150
 Semi-pacca house,250,1265,1515
 Wooden house,358,15847,16205
 Bamboo,1840,33121,34961
 Hut 2 - 3 years,3,878,881
 Hut 1 year,-,297,297
 Other,4,100,104
 Total,2786,52819,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,239,38,277
 Bungalow/Brick house,41,20,61
 Semi-pacca house,109,40,149
 Wooden house,302,2253,2555
 Bamboo,779,6563,7342
 Hut 2 - 3 years,14,204,218
 Hut 1 year,19,117,136
 Other,22,20,42
 Total,1525,9255,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,95,461,556
 Bungalow/Brick house,478,199,677
 Semi-pacca house,772,548,1320
 Wooden house,2126,12172,14298
 Bamboo,1049,7467,8516
 Hut 2 - 3 years,25,272,297
 Hut 1 year,8,161,169
 Other,10,129,139
 Total,4563,21409,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,56,1743,1799
 Bungalow/Brick house,542,563,1105
 Semi-pacca house,265,737,1002
 Wooden house,572,10905,11477
 Bamboo,1502,13962,15464
 Hut 2 - 3 years,33,498,531
 Hut 1 year,5,202,207
 Other,6,31,37
 Total,2981,28641,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,2,24
 Bungalow/Brick house,151,70,221
 Semi-pacca house,168,250,418
 Wooden house,489,8798,9287
 Bamboo,436,6196,6632
 Hut 2 - 3 years,3,130,133
 Hut 1 year,1,70,71
 Other,-,23,23
 Total,1270,15539,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,10,3,13
 Bungalow/Brick house,82,136,218
 Semi-pacca house,128,476,604
 Wooden house,544,9276,9820
 Bamboo,516,7307,7823
 Hut 2 - 3 years,2,386,388
 Hut 1 year,9,230,239
 Other,3,35,38
 Total,1294,17849,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,366,844,1210
 Bungalow/Brick house,1482,766,2248
 Semi-pacca house,1066,1648,2714
 Wooden house,4470,22123,26593
 Bamboo,3745,18628,22373
 Hut 2 - 3 years,260,1332,1592
 Hut 1 year,140,465,605
 Other,96,178,274
 Total,11625,45984,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1,398,399
 Bungalow/Brick house,146,344,490
 Semi-pacca house,90,1155,1245
 Wooden house,487,13265,13752
 Bamboo,551,11818,12369
 Hut 2 - 3 years,2,302,304
 Hut 1 year,4,85,89
 Other,-,36,36
 Total,1281,27403,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,336,2182,2518
 Bungalow/Brick house,1658,1345,3003
 Semi-pacca house,1422,3055,4477
 Wooden house,3717,12514,16231
 Bamboo,11679,26811,38490
 Hut 2 - 3 years,139,968,1107
 Hut 1 year,55,211,266
 Other,63,185,248
 Total,19069,47271,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,82,226,308
 Bungalow/Brick house,307,1247,1554
 Semi-pacca house,197,1553,1750
 Wooden house,669,11455,12124
 Bamboo,3491,24868,28359
 Hut 2 - 3 years,115,2589,2704
 Hut 1 year,31,333,364
 Other,7,162,169
 Total,4899,42433,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,16,91,107
 Bungalow/Brick house,44,2552,2596
 Semi-pacca house,780,5561,6341
 Wooden house,139,11924,12063
 Bamboo,801,26972,27773
 Hut 2 - 3 years,11,3418,3429
 Hut 1 year,8,557,565
 Other,2,765,767
 Total,1801,51840,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,34,123,157
 Bungalow/Brick house,104,485,589
 Semi-pacca house,130,1061,1191
 Wooden house,253,15560,15813
 Bamboo,1177,18927,20104
 Hut 2 - 3 years,-,800,800
 Hut 1 year,1,195,196
 Other,2,113,115
 Total,1701,37264,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,482,504
 Bungalow/Brick house,269,218,487
 Semi-pacca house,106,259,365
 Wooden house,187,12572,12759
 Bamboo,1498,7141,8639
 Hut 2 - 3 years,31,520,551
 Hut 1 year,11,81,92
 Other,5,25,30
 Total,2129,21298,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,204,214,418
 Bungalow/Brick house,481,1218,1699
 Semi-pacca house,333,1746,2079
 Wooden house,795,13907,14702
 Bamboo,1432,9424,10856
 Hut 2 - 3 years,7,69,76
 Hut 1 year,4,55,59
 Other,2,21,23
 Total,3258,26654,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,13,1,14
 Bungalow/Brick house,151,153,304
 Semi-pacca house,144,519,663
 Wooden house,269,6297,6566
 Bamboo,544,2420,2964
 Hut 2 - 3 years,1,6,7
 Hut 1 year,1,6,7
 Other,-,7,7
 Total,1123,9409,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,6,28
 Bungalow/Brick house,77,85,162
 Semi-pacca house,124,201,325
 Wooden house,207,2500,2707
 Bamboo,825,4186,5011
 Hut 2 - 3 years,2,49,51
 Hut 1 year,1,33,34
 Other,3,4,7
 Total,1261,7064,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,44,2,46
 Bungalow/Brick house,47,73,120
 Semi-pacca house,118,172,290
 Wooden house,367,3535,3902
 Bamboo,552,2665,3217
 Hut 2 - 3 years,2,12,14
 Hut 1 year,8,8,16
 Other,2,2,4
 Total,1140,6469,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,5767,-,5767
 Bungalow/Brick house,7634,-,7634
 Semi-pacca house,6460,-,6460
 Wooden house,10756,-,10756
 Bamboo,18089,-,18089
 Hut 2 - 3 years,287,-,287
 Hut 1 year,248,-,248
 Other,490,-,490
 Total,49731,-,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,4378,-,4378
 Bungalow/Brick house,8316,-,8316
 Semi-pacca house,6272,-,6272
 Wooden house,6572,-,6572
 Bamboo,7113,-,7113
 Hut 2 - 3 years,104,-,104
 Hut 1 year,165,-,165
 Other,361,-,361
 Total,33281,-,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1851,-,1851
 Bungalow/Brick house,7881,-,7881
 Semi-pacca house,7248,-,7248
 Wooden house,9912,-,9912
 Bamboo,13565,-,13565
 Hut 2 - 3 years,380,-,380
 Hut 1 year,747,-,747
 Other,343,-,343
 Total,41927,-,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2650,-,2650
 Bungalow/Brick house,7116,-,7116
 Semi-pacca house,4461,-,4461
 Wooden house,10553,-,10553
 Bamboo,26950,-,26950
 Hut 2 - 3 years,586,-,586
 Hut 1 year,384,-,384
 Other,347,-,347
 Total,53047,-,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1524,-,1524
 Bungalow/Brick house,4062,-,4062
 Semi-pacca house,2895,-,2895
 Wooden house,9267,-,9267
 Bamboo,24283,-,24283
 Hut 2 - 3 years,1030,-,1030
 Hut 1 year,470,-,470
 Other,344,-,344
 Total,43875,-,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,562,468,1030
 Bungalow/Brick house,1579,2902,4481
 Semi-pacca house,1081,1505,2586
 Wooden house,5285,8097,13382
 Bamboo,7879,18664,26543
 Hut 2 - 3 years,126,577,703
 Hut 1 year,45,646,691
 Other,73,137,210
 Total,16630,32996,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,54,1591,1645
 Bungalow/Brick house,506,2732,3238
 Semi-pacca house,219,2279,2498
 Wooden house,458,10266,10724
 Bamboo,1424,30995,32419
 Hut 2 - 3 years,23,1175,1198
 Hut 1 year,6,938,944
 Other,12,312,324
 Total,2702,50288,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,4964,1191,6155
 Bungalow/Brick house,11106,6268,17374
 Semi-pacca house,2630,2248,4878
 Wooden house,2119,2397,4516
 Bamboo,10170,8843,19013
 Hut 2 - 3 years,561,213,774
 Hut 1 year,68,116,184
 Other,323,165,488
 Total,31941,21441,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,37,173,210
 Bungalow/Brick house,1067,1878,2945
 Semi-pacca house,379,1410,1789
 Wooden house,995,11698,12693
 Bamboo,2782,35450,38232
 Hut 2 - 3 years,43,1029,1072
 Hut 1 year,6,1098,1104
 Other,2,598,600
 Total,5311,53334,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,17,95,112
 Bungalow/Brick house,290,1255,1545
 Semi-pacca house,130,1286,1416
 Wooden house,336,7622,7958
 Bamboo,932,21352,22284
 Hut 2 - 3 years,8,571,579
 Hut 1 year,13,380,393
 Other,6,240,246
 Total,1732,32801,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,135,51,186
 Bungalow/Brick house,1893,1333,3226
 Semi-pacca house,2704,2138,4842
 Wooden house,2961,3641,6602
 Bamboo,8820,10479,19299
 Hut 2 - 3 years,41,189,230
 Hut 1 year,4,48,52
 Other,128,682,810
 Total,16686,18561,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2,624,626
 Bungalow/Brick house,26,930,956
 Semi-pacca house,58,995,1053
 Wooden house,281,3651,3932
 Bamboo,737,17268,18005
 Hut 2 - 3 years,48,610,658
 Hut 1 year,17,239,256
 Other,19,244,263
 Total,1188,24561,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,14,1,15
 Bungalow/Brick house,153,38,191
 Semi-pacca house,70,62,132
 Wooden house,298,996,1294
 Bamboo,1223,4120,5343
 Hut 2 - 3 years,12,192,204
 Hut 1 year,9,133,142
 Other,14,57,71
 Total,1793,5599,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,291,1291,1582
 Bungalow/Brick house,1718,3117,4835
 Semi-pacca house,648,1877,2525
 Wooden house,1070,4775,5845
 Bamboo,4718,37585,42303
 Hut 2 - 3 years,28,323,351
 Hut 1 year,8,162,170
 Other,10,144,154
 Total,8491,49274,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,33,973,1006
 Bungalow/Brick house,387,2930,3317
 Semi-pacca house,132,1326,1458
 Wooden house,166,3261,3427
 Bamboo,1015,22950,23965
 Hut 2 - 3 years,34,190,224
 Hut 1 year,4,74,78
 Other,9,95,104
 Total,1780,31799,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,61,435,496
 Bungalow/Brick house,425,1969,2394
 Semi-pacca house,312,1647,1959
 Wooden house,433,4483,4916
 Bamboo,3077,32690,35767
 Hut 2 - 3 years,15,336,351
 Hut 1 year,1,54,55
 Other,22,57,79
 Total,4346,41671,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,30,113,143
 Bungalow/Brick house,471,2739,3210
 Semi-pacca house,136,1344,1480
 Wooden house,215,3636,3851
 Bamboo,1776,20792,22568
 Hut 2 - 3 years,9,853,862
 Hut 1 year,6,98,104
 Other,9,400,409
 Total,2652,29975,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,434,76,510
 Bungalow/Brick house,1664,1557,3221
 Semi-pacca house,764,1086,1850
 Wooden house,2730,11671,14401
 Bamboo,12985,27738,40723
 Hut 2 - 3 years,156,969,1125
 Hut 1 year,125,139,264
 Other,39,207,246
 Total,18897,43443,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,83,139,222
 Bungalow/Brick house,417,1963,2380
 Semi-pacca house,212,2060,2272
 Wooden house,400,6285,6685
 Bamboo,2664,31958,34622
 Hut 2 - 3 years,61,2849,2910
 Hut 1 year,11,370,381
 Other,15,365,380
 Total,3863,45989,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,12,52,64
 Bungalow/Brick house,355,2777,3132
 Semi-pacca house,138,2023,2161
 Wooden house,97,2231,2328
 Bamboo,2146,26780,28926
 Hut 2 - 3 years,75,2971,3046
 Hut 1 year,6,714,720
 Other,13,575,588
 Total,2842,38123,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,71,323,394
 Bungalow/Brick house,2071,2967,5038
 Semi-pacca house,674,4401,5075
 Wooden house,1377,23005,24382
 Bamboo,4785,20815,25600
 Hut 2 - 3 years,9,898,907
 Hut 1 year,21,162,183
 Other,5,377,382
 Total,9013,52948,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,40,18,58
 Bungalow/Brick house,233,2112,2345
 Semi-pacca house,102,1171,1273
 Wooden house,185,3149,3334
 Bamboo,1035,18041,19076
 Hut 2 - 3 years,36,1238,1274
 Hut 1 year,16,290,306
 Other,10,162,172
 Total,1657,26181,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,175,207,382
 Bungalow/Brick house,1683,3014,4697
 Semi-pacca house,926,2331,3257
 Wooden house,703,4241,4944
 Bamboo,5861,21765,27626
 Hut 2 - 3 years,126,2338,2464
 Hut 1 year,25,317,342
 Other,16,934,950
 Total,9515,35147,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,1,1
 Bungalow/Brick house,196,755,951
 Semi-pacca house,126,799,925
 Wooden house,128,1109,1237
 Bamboo,946,3976,4922
 Hut 2 - 3 years,29,1394,1423
 Hut 1 year,3,103,106
 Other,11,235,246
 Total,1439,8372,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,130,454,584
 Bungalow/Brick house,1114,2884,3998
 Semi-pacca house,581,3139,3720
 Wooden house,1993,29733,31726
 Bamboo,1385,14904,16289
 Hut 2 - 3 years,50,558,608
 Hut 1 year,13,177,190
 Other,61,83,144
 Total,5327,51932,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,182,296,478
 Bungalow/Brick house,1289,3097,4386
 Semi-pacca house,506,3973,4479
 Wooden house,1826,28768,30594
 Bamboo,3041,15042,18083
 Hut 2 - 3 years,12,269,281
 Hut 1 year,6,64,70
 Other,12,480,492
 Total,6874,51989,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1963,1860,3823
 Bungalow/Brick house,3770,3095,6865
