Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total
*,Yes,No,Total
 Urban,38,270,308
 Rural,283,2506,2789
 Total,321,2776,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,702,2136,2838
 Rural,719,3951,4670
 Total,1421,6087,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,940,884,1824
 Rural,900,7621,8521
 Total,1840,8505,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,172,1770,1942
 Rural,199,18105,18304
 Total,371,19875,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1007,1176,2183
 Rural,411,4767,5178
 Total,1418,5943,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1189,2386,3575
 Rural,2816,29352,32168
 Total,4005,31738,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,43,210,253
 Rural,27,1376,1403
 Total,70,1586,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,87,451,538
 Rural,631,5808,6439
 Total,718,6259,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,93,282,375
 Rural,4,1189,1193
 Total,97,1471,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,11,199,210
 Rural,9,91,100
 Total,20,290,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,14,272,286
 Rural,12,896,908
 Total,26,1168,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,43,590,633
 Total,43,718,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,48,290,338
 Rural,24,1987,2011
 Total,72,2277,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,1,3753,3754
 Total,1,3922,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,759,318,1077
 Rural,3587,24868,28455
 Total,4346,25186,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,498,724,1222
 Rural,5264,19981,25245
 Total,5762,20705,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,505,426,931
 Rural,3226,28205,31431
 Total,3731,28631,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,568,570,1138
 Rural,2069,26016,28085
 Total,2637,26586,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,11062,4320,15382
 Rural,3022,6539,9561
 Total,14084,10859,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,697,543,1240
 Rural,7003,17492,24495
 Total,7700,18035,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1244,1163,2407
 Rural,3281,17186,20467
 Total,4525,18349,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,787,290,1077
 Rural,3379,17617,20996
 Total,4166,17907,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,14,482,496
 Rural,92,3602,3694
 Total,106,4084,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,118,506,624
 Rural,242,3411,3653
 Total,360,3917,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,11937,9611,21548
 Rural,9702,23099,32801
 Total,21639,32710,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,752,390,1142
 Rural,3120,28726,31846
 Total,3872,29116,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1805,1766,3571
 Rural,3022,11932,14954
 Total,4827,13698,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,747,379,1126
 Rural,2195,16608,18803
 Total,2942,16987,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,367,844,1211
 Rural,613,5304,5917
 Total,980,6148,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,10101,2479,12580
 Rural,4221,8680,12901
 Total,14322,11159,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,655,392,1047
 Rural,1713,6116,7829
 Total,2368,6508,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,383,1972,2355
 Rural,1818,692,2510
 Total,2201,2664,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,17,698,715
 Rural,15,2374,2389
 Total,32,3072,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,42,244,286
 Rural,286,3190,3476
 Total,328,3434,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,31387,23505,54892
 Rural,19863,32377,52240
 Total,51250,55882,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1351,2278,3629
 Rural,3638,25260,28898
 Total,4989,27538,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1218,3036,4254
 Rural,4257,37564,41821
 Total,5475,40600,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2059,2987,5046
 Rural,4978,27059,32037
 Total,7037,30046,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5519,7543,13062
 Rural,6936,24764,31700
 Total,12455,32307,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2758,4115,6873
 Rural,7518,37257,44775
 Total,10276,41372,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3392,5348,8740
 Rural,7050,29963,37013
 Total,10442,35311,45753
