Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total
 Urban,1260,2318,3578
 Rural,13046,40605,53651
 Total,14306,42923,57229
NotApp :,515,*,*
AREA # 150101,Tatkon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4860,4286,9146
 Rural,15348,27253,42601
 Total,20208,31539,51747
NotApp :,415,*,*
AREA # 150102,Zeyarthiri,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,5310,2936,8246
 Rural,8213,9616,17829
 Total,13523,12552,26075
NotApp :,326,*,*
AREA # 150103,Ottarathiri,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2450,2445,4895
 Rural,5074,8692,13766
 Total,7524,11137,18661
NotApp :,325,*,*
AREA # 150104,Pobbathiri,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,5453,4795,10248
 Rural,6740,10628,17368
 Total,12193,15423,27616
NotApp :,382,*,*
AREA # 150201,Pyinmana,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,8280,6176,14456
 Rural,11194,14013,25207
 Total,19474,20189,39663
NotApp :,695,*,*
AREA # 150202,Lewe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3006,3117,6123
 Rural,18539,40512,59051
 Total,21545,43629,65174
NotApp :,584,*,*
AREA # 150203,Zabuthiri,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,11905,12817,24722
 Rural,703,895,1598
 Total,12608,13712,26320
NotApp :,869,*,*
AREA # 150204,Dekkhinathiri,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,517,391,908
 Rural,2314,3775,6089
 Total,2831,4166,6997
NotApp :,205,*,*
SUMMARY,*,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1255007,1794426,3049433
 Rural,2949645,4878754,7828399
 Total,4204652,6673180,10877832
NotApp :,137752,*,*
