Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total
*,Yes,No,Total
 Urban,62,148,210
 Rural,23,77,100
 Total,85,225,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,49,237,286
 Rural,97,811,908
 Total,146,1048,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,20,108,128
 Rural,70,563,633
 Total,90,671,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,79,259,338
 Rural,47,1964,2011
 Total,126,2223,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,18,151,169
 Rural,30,3724,3754
 Total,48,3875,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,825,252,1077
 Rural,15246,13209,28455
 Total,16071,13461,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,823,399,1222
 Rural,14973,10272,25245
 Total,15796,10671,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,575,356,931
 Rural,13861,17570,31431
 Total,14436,17926,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,662,476,1138
 Rural,13578,14507,28085
 Total,14240,14983,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,10599,4783,15382
 Rural,5394,4167,9561
 Total,15993,8950,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,842,398,1240
 Rural,12968,11527,24495
 Total,13810,11925,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1166,1241,2407
 Rural,10089,10378,20467
 Total,11255,11619,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,721,356,1077
 Rural,10666,10330,20996
 Total,11387,10686,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,239,257,496
 Rural,1673,2021,3694
 Total,1912,2278,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,309,315,624
 Rural,1489,2164,3653
 Total,1798,2479,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,11380,10168,21548
 Rural,11994,20807,32801
 Total,23374,30975,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,432,710,1142
 Rural,3684,28162,31846
 Total,4116,28872,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1692,1879,3571
 Rural,5560,9394,14954
 Total,7252,11273,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,535,591,1126
 Rural,6940,11863,18803
 Total,7475,12454,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,513,698,1211
 Rural,2296,3621,5917
 Total,2809,4319,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6741,5839,12580
 Rural,5190,7711,12901
 Total,11931,13550,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,516,531,1047
 Rural,1652,6177,7829
 Total,2168,6708,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,630,1725,2355
 Rural,941,1569,2510
 Total,1571,3294,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,300,415,715
 Rural,619,1770,2389
 Total,919,2185,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,101,185,286
 Rural,453,3023,3476
 Total,554,3208,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,23807,31085,54892
 Rural,16319,35921,52240
 Total,40126,67006,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1077,2552,3629
 Rural,6695,22203,28898
 Total,7772,24755,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1200,3054,4254
 Rural,10599,31222,41821
 Total,11799,34276,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1490,3556,5046
 Rural,7595,24442,32037
 Total,9085,27998,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4403,8659,13062
 Rural,10394,21306,31700
 Total,14797,29965,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2562,4311,6873
 Rural,14674,30101,44775
 Total,17236,34412,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3080,5660,8740
