Urban_Rural,Sex_Male,Sex_Female,Sex_Total
 Urban,185,157,342
 Rural,2802,2559,5361
 Total,2987,2716,5703
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1591,1492,3083
 Rural,3258,2872,6130
 Total,4849,4364,9213
AREA # 030401,Kawkareik,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20764,22186,42950
 Rural,84760,92632,177392
 Total,105524,114818,220342
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4428,4657,9085
 Rural,47378,49964,97342
 Total,51806,54621,106427
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13092,14219,27311
 Rural,31508,31665,63173
 Total,44600,45884,90484
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1816,1699,3515
 Rural,27464,26959,54423
 Total,29280,28658,57938
AREA # 040101,HaKa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11759,13167,24926
 Rural,11263,12163,23426
 Total,23022,25330,48352
AREA # 040102,Thantlang,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3583,4004,7587
 Rural,20796,21991,42787
 Total,24379,25995,50374
AREA # 040201,Falam,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4266,4826,9092
 Rural,16084,16281,32365
 Total,20350,21107,41457
AREA # 040202,Tedim,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6289,7163,13452
 Rural,35638,38533,74171
 Total,41927,45696,87623
AREA # 040203,Tonzaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1786,1991,3777
 Rural,8321,8624,16945
 Total,10107,10615,20722
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1741,1863,3604
 Rural,1532,1484,3016
 Total,3273,3347,6620
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,732,718,1450
 Rural,4853,4853,9706
 Total,5585,5571,11156
AREA # 040301,Mindat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5267,6238,11505
 Rural,14460,16635,31095
 Total,19727,22873,42600
AREA # 040302,Matupi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4229,4393,8622
 Rural,14451,16013,30464
 Total,18680,20406,39086
