Urban_Rural,Radio_Yes,Radio_No,Radio_Total
 Urban,647,1644,2291
 Rural,13595,16738,30333
 Total,14242,18382,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,831,1475,2306
 Rural,23679,20727,44406
 Total,24510,22202,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2064,3119,5183
 Rural,24592,31551,56143
 Total,26656,34670,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,733,1766,2499
 Rural,7898,10466,18364
 Total,8631,12232,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1105,2860,3965
 Rural,10805,11603,22408
 Total,11910,14463,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,258,697,955
 Rural,13594,15796,29390
 Total,13852,16493,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,979,1993,2972
 Rural,15878,17087,32965
 Total,16857,19080,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,530,1776,2306
 Rural,1822,2922,4744
 Total,2352,4698,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,14681,25725,40406
 Rural,16516,19040,35556
 Total,31197,44765,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,563,630,1193
 Rural,14571,12852,27423
 Total,15134,13482,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,687,1468,2155
 Rural,17120,16316,33436
 Total,17807,17784,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2025,3056,5081
 Rural,10256,8039,18295
 Total,12281,11095,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2179,3084,5263
 Rural,14236,12462,26698
 Total,16415,15546,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,413,1429,1842
 Rural,7186,14202,21388
 Total,7599,15631,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,475,2595,3070
 Rural,7524,15795,23319
 Total,7999,18390,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,286,926,1212
 Rural,5071,12585,17656
 Total,5357,13511,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,647,3922,4569
 Rural,8332,18502,26834
 Total,8979,22424,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,434,2156,2590
 Rural,3104,8511,11615
 Total,3538,10667,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,389,1080,1469
 Rural,5934,14497,20431
 Total,6323,15577,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,7347,18374,25721
 Rural,14370,32678,47048
 Total,21717,51052,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,778,1175,1953
 Rural,4627,5155,9782
 Total,5405,6330,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,446,390,836
 Rural,11719,9503,21222
 Total,12165,9893,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2832,6157,8989
 Rural,1008,1989,2997
 Total,3840,8146,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,108,200,308
 Rural,806,1983,2789
 Total,914,2183,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,600,2238,2838
 Rural,1160,3510,4670
 Total,1760,5748,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,845,979,1824
 Rural,4366,4155,8521
 Total,5211,5134,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,852,1090,1942
 Rural,8415,9889,18304
 Total,9267,10979,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,818,1365,2183
 Rural,1464,3714,5178
 Total,2282,5079,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1312,2263,3575
 Rural,10939,21229,32168
 Total,12251,23492,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,126,127,253
 Rural,395,1008,1403
 Total,521,1135,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,211,327,538
 Rural,598,5841,6439
 Total,809,6168,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,194,181,375
 Rural,303,890,1193
 Total,497,1071,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,63,147,210
 Rural,23,77,100
 Total,86,224,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,101,185,286
 Rural,255,653,908
 Total,356,838,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,15,113,128
 Rural,35,598,633
 Total,50,711,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,129,209,338
 Rural,205,1806,2011
 Total,334,2015,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,24,145,169
 Rural,146,3608,3754
 Total,170,3753,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,501,576,1077
 Rural,18127,10328,28455
 Total,18628,10904,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,567,655,1222
 Rural,13807,11438,25245
 Total,14374,12093,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,335,596,931
 Rural,17883,13548,31431
 Total,18218,14144,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,882,256,1138
 Rural,18174,9911,28085
 Total,19056,10167,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,5839,9543,15382
 Rural,4386,5175,9561
 Total,10225,14718,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,396,844,1240
 Rural,10204,14291,24495
 Total,10600,15135,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1116,1291,2407
 Rural,7380,13087,20467
 Total,8496,14378,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,606,471,1077
 Rural,8345,12651,20996
 Total,8951,13122,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,113,383,496
 Rural,1102,2592,3694
 Total,1215,2975,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,234,390,624
 Rural,985,2668,3653
 Total,1219,3058,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,7545,14003,21548
 Rural,12178,20623,32801
 Total,19723,34626,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,525,617,1142
 Rural,11422,20424,31846
 Total,11947,21041,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,779,2792,3571
 Rural,4361,10593,14954
 Total,5140,13385,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,248,878,1126
 Rural,5572,13231,18803
 Total,5820,14109,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,218,993,1211
 Rural,1528,4389,5917
 Total,1746,5382,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2372,10208,12580
 Rural,3086,9815,12901
 Total,5458,20023,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,229,818,1047
 Rural,1776,6053,7829
 Total,2005,6871,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,442,1913,2355
 Rural,563,1947,2510
 Total,1005,3860,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,196,519,715
 Rural,585,1804,2389
 Total,781,2323,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,132,154,286
 Rural,990,2486,3476
 Total,1122,2640,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,13022,41870,54892
 Rural,18010,34230,52240
 Total,31032,76100,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1091,2538,3629
 Rural,11409,17489,28898
 Total,12500,20027,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1015,3239,4254
 Rural,18116,23705,41821
 Total,19131,26944,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1390,3656,5046
 Rural,13993,18044,32037
 Total,15383,21700,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3909,9153,13062
 Rural,14339,17361,31700
 Total,18248,26514,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1707,5166,6873
 Rural,15440,29335,44775
 Total,17147,34501,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2322,6418,8740
 Rural,14773,22240,37013
 Total,17095,28658,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1506,3359,4865
 Rural,7253,9664,16917
 Total,8759,13023,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,6096,15804,21900
 Rural,11067,24493,35560
 Total,17163,40297,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1326,4629,5955
 Rural,15024,29548,44572
 Total,16350,34177,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,658,1600,2258
 Rural,6411,14214,20625
 Total,7069,15814,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2597,11230,13827
 Rural,13265,27839,41104
 Total,15862,39069,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,710,2499,3209
 Rural,11389,22272,33661
 Total,12099,24771,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,709,1667,2376
 Rural,7884,16521,24405
 Total,8593,18188,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,8258,20557,28815
 Rural,14199,15543,29742
 Total,22457,36100,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1497,2109,3606
 Rural,15114,13627,28741
 Total,16611,15736,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1500,2968,4468
 Rural,17803,16621,34424
