Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Master degree,13,43,56
 PhD,2,2,4
 Other,6,900,906
 Total,12820,115227,128047
NotApp :,11380,*,*
AREA # 090703,Thazi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,966,19123,20089
 Grade 1,245,5230,5475
 Grade 2,505,7683,8188
 Grade 3,780,12655,13435
 Grade 4,1184,16612,17796
 Grade 5,2741,44441,47182
 Grade 6,1173,10485,11658
 Grade 7,1098,9351,10449
 Grade 8,1181,8453,9634
 Grade 9,1473,8522,9995
 Grade 10,1621,5585,7206
 Grade 11,2547,8257,10804
 College,1024,2631,3655
 Vocational training,90,90,180
 Undergraduate diploma,155,441,596
 Graduate,2237,4369,6606
 Postgraduate diploma,53,108,161
 Master degree,39,66,105
 PhD,6,6,12
 Other,15,927,942
 Total,19133,165035,184168
NotApp :,18512,*,*
AREA # 090704,Wundwin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3327,30948,34275
 Grade 1,642,4421,5063
 Grade 2,1049,8100,9149
 Grade 3,1770,14389,16159
 Grade 4,2926,19760,22686
 Grade 5,5068,53086,58154
 Grade 6,1947,10425,12372
 Grade 7,1797,8907,10704
 Grade 8,1821,7990,9811
 Grade 9,1724,7343,9067
 Grade 10,1999,4280,6279
 Grade 11,2186,5612,7798
 College,1049,2531,3580
 Vocational training,32,137,169
 Undergraduate diploma,78,231,309
 Graduate,2545,3618,6163
 Postgraduate diploma,19,73,92
 Master degree,28,70,98
 PhD,5,7,12
 Other,26,593,619
 Total,30038,182521,212559
NotApp :,17201,*,*
AREA # 100101,Mawlamyine,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,13731,1908,15639
 Grade 1,6826,1803,8629
 Grade 2,9818,2451,12269
 Grade 3,13466,3041,16507
 Grade 4,18283,3560,21843
 Grade 5,29084,5273,34357
 Grade 6,16956,2399,19355
 Grade 7,14930,1932,16862
 Grade 8,16112,1835,17947
 Grade 9,18946,1839,20785
 Grade 10,18749,1664,20413
 Grade 11,19510,1583,21093
 College,9036,754,9790
 Vocational training,429,50,479
 Undergraduate diploma,1043,146,1189
 Graduate,25743,1855,27598
 Postgraduate diploma,604,63,667
 Master degree,781,73,854
 PhD,161,24,185
 Other,317,100,417
 Total,234525,32353,266878
NotApp :,22510,*,*
AREA # 100102,Kyaikemaraw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1386,39611,40997
 Grade 1,326,8636,8962
 Grade 2,465,12905,13370
 Grade 3,822,17022,17844
 Grade 4,814,16089,16903
 Grade 5,1384,25023,26407
 Grade 6,726,10349,11075
 Grade 7,561,8267,8828
 Grade 8,582,7283,7865
 Grade 9,604,6644,7248
 Grade 10,446,3733,4179
 Grade 11,927,4079,5006
 College,250,1253,1503
 Vocational training,9,70,79
 Undergraduate diploma,12,97,109
 Graduate,682,2215,2897
 Postgraduate diploma,8,42,50
 Master degree,5,35,40
 PhD,-,2,2
 Other,3,446,449
 Total,10012,163801,173813
NotApp :,21997,*,*
AREA # 100103,Chaungzon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,428,11860,12288
 Grade 1,241,4121,4362
 Grade 2,346,7063,7409
 Grade 3,554,11039,11593
 Grade 4,600,12025,12625
 Grade 5,1385,20617,22002
 Grade 6,541,7452,7993
 Grade 7,426,6099,6525
 Grade 8,443,5557,6000
 Grade 9,411,5052,5463
 Grade 10,408,3526,3934
 Grade 11,496,4407,4903
 College,201,1433,1634
 Vocational training,2,109,111
 Undergraduate diploma,11,168,179
 Graduate,512,3566,4078
 Postgraduate diploma,12,100,112
 Master degree,10,43,53
 PhD,2,5,7
 Other,32,170,202
 Total,7061,104412,111473
NotApp :,10653,*,*
AREA # 100104,Thanbyuzayat,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3465,20786,24251
 Grade 1,2027,4960,6987
 Grade 2,3310,7871,11181
 Grade 3,4356,11044,15400
 Grade 4,5299,10419,15718
 Grade 5,8396,16076,24472
 Grade 6,3988,6487,10475
 Grade 7,3531,5075,8606
 Grade 8,3323,4878,8201
 Grade 9,3304,4455,7759
 Grade 10,3039,3004,6043
 Grade 11,3180,2929,6109
 College,1464,1126,2590
 Vocational training,57,55,112
 Undergraduate diploma,168,175,343
 Graduate,3682,2411,6093
 Postgraduate diploma,48,54,102
 Master degree,30,33,63
 PhD,9,2,11
 Other,153,652,805
 Total,52829,102492,155321
NotApp :,15215,*,*
AREA # 100105,Mudon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2859,12989,15848
 Grade 1,1331,7250,8581
 Grade 2,2424,11366,13790
 Grade 3,3407,14367,17774
 Grade 4,4146,14839,18985
 Grade 5,7507,21939,29446
 Grade 6,3603,9315,12918
 Grade 7,3446,7101,10547
 Grade 8,3422,6659,10081
 Grade 9,3500,5737,9237
 Grade 10,2734,3698,6432
 Grade 11,3437,3937,7374
 College,1690,1588,3278
 Vocational training,95,86,181
 Undergraduate diploma,205,240,445
 Graduate,4567,3482,8049
 Postgraduate diploma,92,103,195
 Master degree,80,53,133
 PhD,10,9,19
 Other,101,811,912
 Total,48656,125569,174225
NotApp :,16512,*,*
AREA # 100106,Ye,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2844,18473,21317
 Grade 1,820,4772,5592
 Grade 2,1278,8020,9298
 Grade 3,2258,10796,13054
 Grade 4,2686,11831,14517
 Grade 5,4504,15515,20019
 Grade 6,2599,7374,9973
 Grade 7,2017,5822,7839
 Grade 8,2121,5298,7419
 Grade 9,2372,4771,7143
 Grade 10,1856,3550,5406
 Grade 11,3024,3424,6448
 College,911,1077,1988
 Vocational training,36,38,74
 Undergraduate diploma,69,128,197
 Graduate,2256,1845,4101
 Postgraduate diploma,17,30,47
 Master degree,15,22,37
 PhD,7,6,13
 Other,95,3988,4083
 Total,31785,106780,138565
NotApp :,13920,*,*
AREA # 100151,Lamine,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2419,17045,19464
 Grade 1,462,3295,3757
 Grade 2,831,4923,5754
 Grade 3,1188,6776,7964
 Grade 4,1236,6423,7659
 Grade 5,1519,8572,10091
 Grade 6,836,4096,4932
 Grade 7,723,3023,3746
 Grade 8,694,2866,3560
 Grade 9,766,2930,3696
 Grade 10,556,1723,2279
 Grade 11,386,2065,2451
 College,161,697,858
 Vocational training,8,10,18
 Undergraduate diploma,23,55,78
 Graduate,367,1175,1542
 Postgraduate diploma,5,18,23
 Master degree,5,15,20
 Other,125,1063,1188
 Total,12310,66770,79080
NotApp :,9396,*,*
AREA # 100152,Khawzar,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1138,5973,7111
 Grade 1,95,904,999
 Grade 2,226,1130,1356
 Grade 3,243,1506,1749
 Grade 4,235,1526,1761
 Grade 5,416,2360,2776
 Grade 6,187,1003,1190
 Grade 7,180,722,902
 Grade 8,160,604,764
 Grade 9,213,524,737
 Grade 10,75,145,220
 Grade 11,202,391,593
 College,36,39,75
 Vocational training,-,3,3
 Undergraduate diploma,5,9,14
 Graduate,65,84,149
 Postgraduate diploma,1,-,1
 Master degree,7,1,8
 PhD,1,-,1
 Other,-,6,6
 Total,3485,16930,20415
NotApp :,2248,*,*
AREA # 100201,Thaton,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4209,28376,32585
 Grade 1,1715,11266,12981
 Grade 2,2558,15306,17864
 Grade 3,3943,19230,23173
 Grade 4,4312,19831,24143
 Grade 5,7458,24774,32232
 Grade 6,3042,8584,11626
 Grade 7,2686,6956,9642
 Grade 8,3035,6468,9503
 Grade 9,3648,5796,9444
 Grade 10,2964,5423,8387
 Grade 11,4533,4351,8884
 College,1816,2340,4156
 Vocational training,117,140,257
 Undergraduate diploma,249,263,512
 Graduate,3941,3825,7766
 Postgraduate diploma,72,49,121
 Master degree,50,85,135
 PhD,7,8,15
 Other,329,598,927
 Total,50684,163669,214353
NotApp :,23753,*,*
AREA # 100202,Paung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4014,30338,34352
 Grade 1,1029,8837,9866
 Grade 2,1761,12770,14531
 Grade 3,2500,18178,20678
 Grade 4,2506,19729,22235
 Grade 5,4386,27906,32292
 Grade 6,1874,10676,12550
 Grade 7,1497,8610,10107
 Grade 8,1356,7932,9288
 Grade 9,1276,7215,8491
 Grade 10,945,5095,6040
 Grade 11,1623,5293,6916
 College,505,2106,2611
 Vocational training,36,70,106
 Undergraduate diploma,102,198,300
 Graduate,1491,4091,5582
 Postgraduate diploma,36,79,115
 Master degree,13,67,80
 PhD,1,7,8
 Other,33,686,719
 Total,26984,169883,196867
NotApp :,21592,*,*
AREA # 100203,Kyaikto,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2981,14703,17684
 Grade 1,1387,7130,8517
 Grade 2,2006,9677,11683
 Grade 3,2731,14377,17108
 Grade 4,3606,16113,19719
 Grade 5,4282,23338,27620
 Grade 6,1783,8475,10258
 Grade 7,1642,6553,8195
 Grade 8,1804,6454,8258
 Grade 9,1789,6709,8498
 Grade 10,2386,5839,8225
 Grade 11,1977,6436,8413
 College,952,2383,3335
 Vocational training,41,111,152
 Undergraduate diploma,99,218,317
 Graduate,2321,4023,6344
 Postgraduate diploma,43,104,147
 Master degree,15,71,86
 PhD,2,14,16
 Other,357,1451,1808
 Total,32204,134179,166383
NotApp :,18149,*,*
AREA # 100204,Bilin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,919,23748,24667
 Grade 1,520,7988,8508
 Grade 2,683,11224,11907
 Grade 3,1130,16229,17359
 Grade 4,1418,17219,18637
 Grade 5,2629,25846,28475
 Grade 6,1151,8446,9597
 Grade 7,939,6366,7305
 Grade 8,1012,5818,6830
 Grade 9,1336,5857,7193
 Grade 10,946,4746,5692
 Grade 11,1885,5407,7292
 College,593,1767,2360
 Vocational training,20,81,101
 Undergraduate diploma,225,236,461
 Graduate,1386,3048,4434
 Postgraduate diploma,44,84,128
 Master degree,17,27,44
 PhD,4,7,11
 Other,35,1829,1864
 Total,16892,145973,162865
NotApp :,18210,*,*
AREA # 110101,Sittway,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,10989,6335,17324
 Grade 1,2597,1930,4527
 Grade 2,4062,3028,7090
 Grade 3,5783,4208,9991
 Grade 4,7623,5550,13173
 Grade 5,10081,6776,16857
 Grade 6,5982,2614,8596
 Grade 7,5067,2223,7290
 Grade 8,5627,2205,7832
 Grade 9,6539,2217,8756
 Grade 10,5562,2031,7593
 Grade 11,8831,1910,10741
 College,3267,611,3878
 Vocational training,235,33,268
 Undergraduate diploma,404,82,486
 Graduate,10376,1296,11672
 Postgraduate diploma,383,62,445
 Master degree,324,69,393
 PhD,82,1,83
 Other,154,30,184
 Total,93968,43211,137179
NotApp :,10720,*,*
AREA # 110102,Ponnagyun,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1430,16353,17783
 Grade 1,378,5419,5797
 Grade 2,727,7987,8714
 Grade 3,1029,12404,13433
 Grade 4,1308,17156,18464
 Grade 5,1597,21781,23378
 Grade 6,637,6351,6988
 Grade 7,571,4824,5395
 Grade 8,554,4112,4666
 Grade 9,669,3660,4329
 Grade 10,545,1826,2371
 Grade 11,757,2387,3144
 College,378,649,1027
 Vocational training,40,38,78
 Undergraduate diploma,70,145,215
 Graduate,1001,1126,2127
 Postgraduate diploma,9,70,79
 Master degree,9,5,14
 Other,31,424,455
 Total,11740,106717,118457
NotApp :,11296,*,*
AREA # 110103,Pauktaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1403,22600,24003
 Grade 1,541,8121,8662
 Grade 2,741,11381,12122
 Grade 3,1083,17387,18470
 Grade 4,1524,20958,22482
 Grade 5,2100,21061,23161
 Grade 6,643,5993,6636
 Grade 7,540,3932,4472
 Grade 8,452,2942,3394
 Grade 9,513,2372,2885
 Grade 10,329,1407,1736
 Grade 11,662,1430,2092
 College,301,506,807
 Vocational training,16,45,61
 Undergraduate diploma,78,110,188
 Graduate,863,801,1664
 Postgraduate diploma,5,44,49
 Master degree,4,6,10
 Other,10,678,688
 Total,11808,121774,133582
NotApp :,12375,*,*
AREA # 110104,Yethedaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,878,16622,17500
 Grade 1,812,5283,6095
 Grade 2,263,7365,7628
 Grade 3,424,11087,11511
 Grade 4,514,14082,14596
 Grade 5,969,18044,19013
 Grade 6,336,5606,5942
 Grade 7,270,4082,4352
 Grade 8,282,3653,3935
 Grade 9,340,3224,3564
 Grade 10,291,1990,2281
 Grade 11,558,2404,2962
 College,271,768,1039
 Vocational training,12,68,80
 Undergraduate diploma,18,176,194
 Graduate,668,1197,1865
 Postgraduate diploma,16,155,171
 Master degree,1,17,18
 PhD,2,1,3
 Other,3,296,299
 Total,6928,96120,103048
NotApp :,8926,*,*
AREA # 110201,Myauk U,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3965,22919,26884
 Grade 1,1274,6970,8244
 Grade 2,2166,10211,12377
 Grade 3,2966,15702,18668
 Grade 4,4326,19196,23522
 Grade 5,4921,30338,35259
 Grade 6,2170,9020,11190
 Grade 7,1788,6553,8341
 Grade 8,1855,5850,7705
 Grade 9,1903,5658,7561
 Grade 10,1388,2105,3493
 Grade 11,1923,3343,5266
 College,604,719,1323
 Vocational training,50,73,123
 Undergraduate diploma,124,194,318
 Graduate,1841,1175,3016
 Postgraduate diploma,35,46,81
 Master degree,18,15,33
 PhD,1,1,2
 Other,121,75,196
 Total,33439,140163,173602
NotApp :,16028,*,*
AREA # 110202,Kyauktaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2118,22443,24561
 Grade 1,481,6227,6708
 Grade 2,870,8920,9790
 Grade 3,1309,14437,15746
 Grade 4,1885,18798,20683
 Grade 5,2356,26052,28408
 Grade 6,1137,9688,10825
 Grade 7,966,7592,8558
 Grade 8,1042,7032,8074
 Grade 9,1122,6964,8086
 Grade 10,952,3690,4642
 Grade 11,1498,4738,6236
 College,530,944,1474
 Vocational training,72,73,145
 Undergraduate diploma,58,220,278
 Graduate,1542,1560,3102
 Postgraduate diploma,54,98,152
 Master degree,11,24,35
 PhD,3,3,6
 Other,5,266,271
 Total,18011,139769,157780
NotApp :,15320,*,*
AREA # 110203,Minbya,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3685,26345,30030
 Grade 1,650,7371,8021
 Grade 2,1084,11643,12727
 Grade 3,1673,16619,18292
 Grade 4,2214,20135,22349
 Grade 5,2787,22159,24946
 Grade 6,1247,7523,8770
 Grade 7,1069,5918,6987
 Grade 8,1016,4581,5597
 Grade 9,1228,3912,5140
 Grade 10,839,2431,3270
 Grade 11,1608,1873,3481
 College,504,616,1120
 Vocational training,35,51,86
 Undergraduate diploma,43,119,162
 Graduate,1421,1015,2436
 Postgraduate diploma,29,25,54
 Master degree,6,36,42
 PhD,2,1,3
 Other,83,525,608
 Total,21223,132898,154121
NotApp :,15087,*,*
AREA # 110204,Myebon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2128,26527,28655
 Grade 1,610,6256,6866
 Grade 2,707,8650,9357
 Grade 3,853,12690,13543
 Grade 4,801,14176,14977
 Grade 5,1310,17252,18562
 Grade 6,533,6792,7325
 Grade 7,500,5029,5529
 Grade 8,423,4235,4658
 Grade 9,494,3899,4393
 Grade 10,341,1965,2306
 Grade 11,638,3120,3758
 College,253,761,1014
 Vocational training,19,80,99
 Undergraduate diploma,37,207,244
 Graduate,644,1060,1704
 Postgraduate diploma,16,38,54
 Master degree,3,7,10
 PhD,-,1,1
 Other,64,425,489
 Total,10374,113170,123544
NotApp :,13649,*,*
AREA # 110301,Maungtaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2043,8836,10879
 Grade 1,310,995,1305
 Grade 2,424,1013,1437
 Grade 3,516,1335,1851
 Grade 4,646,1548,2194
 Grade 5,800,2118,2918
 Grade 6,518,979,1497
 Grade 7,510,898,1408
 Grade 8,702,853,1555
 Grade 9,857,1127,1984
 Grade 10,737,1079,1816
 Grade 11,971,1199,2170
 College,492,318,810
 Vocational training,24,12,36
 Undergraduate diploma,63,91,154
 Graduate,1196,1068,2264
 Postgraduate diploma,23,30,53
 Master degree,14,9,23
 Other,47,119,166
 Total,10893,23627,34520
NotApp :,3679,*,*
AREA # 110302,Buthidaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1419,13027,14446
 Grade 1,267,1744,2011
 Grade 2,317,2206,2523
 Grade 3,528,3196,3724
 Grade 4,603,3627,4230
 Grade 5,982,6170,7152
 Grade 6,555,2253,2808
 Grade 7,422,1535,1957
 Grade 8,443,1347,1790
 Grade 9,634,1628,2262
 Grade 10,393,978,1371
 Grade 11,1120,1562,2682
 College,327,384,711
 Vocational training,19,13,32
 Undergraduate diploma,58,64,122
 Graduate,788,844,1632
 Postgraduate diploma,19,48,67
 Master degree,6,34,40
 PhD,-,2,2
 Other,10,126,136
 Total,8910,40788,49698
NotApp :,5847,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,253,785,1038
 Grade 1,28,77,105
 Grade 2,34,78,112
 Grade 3,31,107,138
 Grade 4,32,98,130
 Grade 5,49,162,211
 Grade 6,20,65,85
 Grade 7,12,46,58
 Grade 8,16,29,45
 Grade 9,26,42,68
 Grade 10,18,26,44
 Grade 11,38,36,74
 College,8,11,19
 Vocational training,1,-,1
 Undergraduate diploma,17,6,23
 Graduate,43,40,83
 Postgraduate diploma,1,-,1
 Master degree,-,1,1
 Other,2,1,3
 Total,629,1610,2239
NotApp :,347,*,*
AREA # 110401,Kyaukpyu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2507,31963,34470
 Grade 1,411,6438,6849
 Grade 2,692,8972,9664
 Grade 3,1064,12408,13472
 Grade 4,1545,15358,16903
 Grade 5,2202,20111,22313
 Grade 6,1071,7090,8161
 Grade 7,1015,5944,6959
 Grade 8,1164,5676,6840
 Grade 9,1306,5298,6604
 Grade 10,1090,3327,4417
 Grade 11,2433,5125,7558
 College,683,1142,1825
 Vocational training,30,79,109
 Undergraduate diploma,90,286,376
 Graduate,2094,2239,4333
 Postgraduate diploma,53,26,79
 Master degree,22,23,45
 PhD,2,8,10
 Other,90,256,346
 Total,19564,131769,151333
NotApp :,14019,*,*
AREA # 110402,Mannaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,236,4125,4361
 Grade 1,110,1296,1406
 Grade 2,242,3018,3260
 Grade 3,339,5150,5489
 Grade 4,419,8701,9120
 Grade 5,836,9608,10444
 Grade 6,288,3119,3407
 Grade 7,251,2444,2695
 Grade 8,260,2519,2779
 Grade 9,335,2563,2898
 Grade 10,251,1848,2099
 Grade 11,545,2186,2731
 College,175,574,749
 Vocational training,25,69,94
 Undergraduate diploma,19,109,128
 Graduate,558,961,1519
 Postgraduate diploma,9,21,30
 Master degree,6,9,15
 PhD,1,1,2
 Other,2,17,19
 Total,4907,48338,53245
NotApp :,3721,*,*
AREA # 110403,Yanbye,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1063,10701,11764
 Grade 1,261,3082,3343
 Grade 2,476,5133,5609
 Grade 3,844,8767,9611
 Grade 4,982,11747,12729
 Grade 5,1365,14416,15781
 Grade 6,537,5441,5978
 Grade 7,438,4418,4856
 Grade 8,400,4176,4576
 Grade 9,583,4130,4713
 Grade 10,362,2524,2886
 Grade 11,738,3648,4386
 College,282,879,1161
 Vocational training,72,94,166
 Undergraduate diploma,88,234,322
 Graduate,646,1379,2025
 Postgraduate diploma,41,29,70
 Master degree,10,11,21
 PhD,2,4,6
 Other,6,104,110
 Total,9196,80917,90113
NotApp :,7778,*,*
AREA # 110404,An,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,923,22188,23111
 Grade 1,278,4918,5196
 Grade 2,387,7214,7601
 Grade 3,536,10275,10811
 Grade 4,583,12555,13138
 Grade 5,1288,15971,17259
 Grade 6,465,5533,5998
 Grade 7,327,3975,4302
 Grade 8,342,3652,3994
 Grade 9,509,3738,4247
 Grade 10,387,2530,2917
 Grade 11,634,3609,4243
 College,341,1125,1466
 Vocational training,14,148,162
 Undergraduate diploma,45,189,234
 Graduate,656,1535,2191
 Postgraduate diploma,7,53,60
 Master degree,11,51,62
 PhD,-,9,9
 Other,8,209,217
 Total,7741,99477,107218
NotApp :,12496,*,*
AREA # 110501,Thandwe,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,639,10155,10794
 Grade 1,213,3178,3391
 Grade 2,362,4620,4982
 Grade 3,587,8193,8780
 Grade 4,1090,12675,13765
 Grade 5,1514,25136,26650
 Grade 6,789,7989,8778
 Grade 7,704,6232,6936
 Grade 8,972,6197,7169
 Grade 9,1132,6972,8104
 Grade 10,1396,4520,5916
 Grade 11,1594,7999,9593
 College,619,1851,2470
 Vocational training,73,146,219
 Undergraduate diploma,136,420,556
 Graduate,1606,3767,5373
 Postgraduate diploma,44,107,151
 Master degree,36,95,131
 PhD,1,19,20
 Other,5,201,206
 Total,13512,110472,123984
NotApp :,9500,*,*
AREA # 110502,Toungup,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2225,9479,11704
 Grade 1,600,3460,4060
 Grade 2,1043,4740,5783
 Grade 3,1578,7541,9119
 Grade 4,2387,10638,13025
 Grade 5,3949,14917,18866
 Grade 6,1717,5755,7472
 Grade 7,1439,4265,5704
 Grade 8,1652,3938,5590
 Grade 9,1825,3821,5646
 Grade 10,2025,2749,4774
 Grade 11,2681,4203,6884
 College,950,881,1831
 Vocational training,48,48,96
 Undergraduate diploma,178,128,306
 Graduate,2216,1485,3701
 Postgraduate diploma,53,37,90
 Master degree,38,20,58
 PhD,8,10,18
 Other,51,108,159
 Total,26663,78223,104886
NotApp :,9551,*,*
AREA # 110503,Gwa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,648,2048,2696
 Grade 1,233,922,1155
 Grade 2,403,1253,1656
 Grade 3,547,2238,2785
 Grade 4,863,3230,4093
 Grade 5,1338,7726,9064
 Grade 6,621,2468,3089
 Grade 7,483,2086,2569
 Grade 8,545,1926,2471
 Grade 9,644,2011,2655
 Grade 10,489,1221,1710
 Grade 11,971,1841,2812
 College,214,302,516
 Vocational training,11,24,35
 Undergraduate diploma,65,69,134
 Graduate,652,549,1201
 Postgraduate diploma,9,19,28
 Master degree,6,11,17
 PhD,-,1,1
 Other,63,548,611
 Total,8805,30493,39298
NotApp :,3136,*,*
AREA # 110551,Maei(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,690,5122,5812
 Grade 1,203,1879,2082
 Grade 2,434,2559,2993
 Grade 3,419,3817,4236
 Grade 4,559,4794,5353
 Grade 5,823,6717,7540
 Grade 6,336,2423,2759
 Grade 7,273,1556,1829
 Grade 8,226,1465,1691
 Grade 9,287,1523,1810
 Grade 10,145,893,1038
 Grade 11,327,1274,1601
 College,79,235,314
 Vocational training,2,16,18
 Undergraduate diploma,4,39,43
 Graduate,123,363,486
 Postgraduate diploma,2,5,7
 Master degree,-,3,3
 PhD,1,1,2
 Other,-,158,158
 Total,4933,34842,39775
NotApp :,4129,*,*
AREA # 110552,Kyeintali(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,264,1152,1416
 Grade 1,138,483,621
 Grade 2,236,682,918
 Grade 3,329,1185,1514
 Grade 4,626,2133,2759
 Grade 5,887,3823,4710
 Grade 6,508,1170,1678
 Grade 7,359,969,1328
 Grade 8,388,1087,1475
 Grade 9,414,1233,1647
 Grade 10,445,948,1393
 Grade 11,440,1104,1544
 College,83,182,265
 Vocational training,10,11,21
 Undergraduate diploma,72,20,92
 Graduate,301,389,690
 Postgraduate diploma,9,7,16
 Master degree,-,2,2
 PhD,1,-,1
 Other,1,7,8
 Total,5511,16587,22098
NotApp :,1483,*,*
AREA # 120101,Insein,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,12103,-,12103
 Grade 1,5911,-,5911
 Grade 2,7753,-,7753
 Grade 3,11050,-,11050
 Grade 4,18177,-,18177
 Grade 5,31734,-,31734
 Grade 6,17813,-,17813
 Grade 7,14945,-,14945
 Grade 8,20257,-,20257
 Grade 9,24189,-,24189
 Grade 10,30989,-,30989
 Grade 11,33151,-,33151
 College,13878,-,13878
 Vocational training,1117,-,1117
 Undergraduate diploma,1456,-,1456
 Graduate,37052,-,37052
 Postgraduate diploma,1246,-,1246
 Master degree,1155,-,1155
 PhD,300,-,300
 Other,1725,-,1725
 Total,286001,-,286001
NotApp :,19282,*,*
AREA # 120102,Mingaladon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,6927,5946,12873
 Grade 1,3973,2631,6604
 Grade 2,5372,3767,9139
 Grade 3,7343,5570,12913
 Grade 4,11836,9115,20951
 Grade 5,20942,18225,39167
 Grade 6,12235,9647,21882
 Grade 7,9837,7620,17457
 Grade 8,12710,8960,21670
 Grade 9,16610,11780,28390
 Grade 10,18808,10172,28980
 Grade 11,23380,15418,38798
 College,9189,4300,13489
 Vocational training,347,170,517
 Undergraduate diploma,723,429,1152
 Graduate,21792,9409,31201
 Postgraduate diploma,830,158,988
 Master degree,685,135,820
 PhD,139,46,185
 Other,945,385,1330
 Total,184623,123883,308506
NotApp :,23080,*,*
AREA # 120103,Hmawby,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1202,13903,15105
 Grade 1,687,6622,7309
 Grade 2,820,9305,10125
 Grade 3,1174,14519,15693
 Grade 4,1636,19240,20876
 Grade 5,3048,35809,38857
 Grade 6,1568,14146,15714
 Grade 7,1298,11127,12425
 Grade 8,1547,11898,13445
 Grade 9,1966,13768,15734
 Grade 10,2064,14375,16439
 Grade 11,2941,16351,19292
 College,1039,4860,5899
 Vocational training,46,286,332
 Undergraduate diploma,111,524,635
 Graduate,2756,10407,13163
 Postgraduate diploma,89,340,429
 Master degree,43,316,359
 PhD,14,36,50
 Other,161,2267,2428
 Total,24210,200099,224309
NotApp :,20298,*,*
AREA # 120104,Hlegu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1870,18449,20319
 Grade 1,808,7641,8449
 Grade 2,1124,10397,11521
 Grade 3,1842,16786,18628
 Grade 4,2742,20719,23461
 Grade 5,4760,41871,46631
 Grade 6,2619,15268,17887
 Grade 7,2168,11224,13392
 Grade 8,2522,11527,14049
 Grade 9,2907,12473,15380
 Grade 10,2228,9781,12009
 Grade 11,5133,15101,20234
 College,1836,4574,6410
 Vocational training,88,279,367
 Undergraduate diploma,114,529,643
 Graduate,4196,7373,11569
 Postgraduate diploma,106,286,392
 Master degree,54,244,298
 PhD,18,23,41
 Other,258,4803,5061
 Total,37393,209348,246741
NotApp :,24000,*,*
AREA # 120105,Taikkyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,7572,19519,27091
 Grade 1,2917,8000,10917
 Grade 2,3920,10913,14833
 Grade 3,5818,16953,22771
 Grade 4,8029,22961,30990
 Grade 5,12917,36014,48931
 Grade 6,5621,10291,15912
 Grade 7,4741,8245,12986
 Grade 8,4680,7820,12500
 Grade 9,4928,7997,12925
