Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Grade 9,2000,7631,9631
 Grade 10,2024,5456,7480
 Grade 11,2495,5886,8381
 College,883,2210,3093
 Vocational training,10,45,55
 Undergraduate diploma,65,116,181
 Graduate,1829,3382,5211
 Postgraduate diploma,35,71,106
 Master degree,19,81,100
 PhD,1,6,7
 Other,19,142,161
 Total,22830,96779,119609
NotApp :,12999,*,*
AREA # 010203,Phakant,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3299,16217,19516
 Grade 1,1056,4938,5994
 Grade 2,1305,6797,8102
 Grade 3,2093,11012,13105
 Grade 4,4265,19337,23602
 Grade 5,8549,39946,48495
 Grade 6,4839,20921,25760
 Grade 7,4137,17486,21623
 Grade 8,5297,19428,24725
 Grade 9,5825,22285,28110
 Grade 10,5330,18032,23362
 Grade 11,5036,19961,24997
 College,2124,5978,8102
 Vocational training,62,142,204
 Undergraduate diploma,127,422,549
 Graduate,2883,8553,11436
 Postgraduate diploma,35,156,191
 Master degree,29,107,136
 PhD,9,11,20
 Other,57,829,886
 Total,56357,232558,288915
NotApp :,23363,*,*
AREA # 010251,Hopin(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1447,1626,3073
 Grade 1,560,732,1292
 Grade 2,776,1002,1778
 Grade 3,1126,1409,2535
 Grade 4,1616,2630,4246
 Grade 5,3220,4979,8199
 Grade 6,1641,1976,3617
 Grade 7,1386,1730,3116
 Grade 8,1566,1785,3351
 Grade 9,1705,1514,3219
 Grade 10,1515,1366,2881
 Grade 11,2177,807,2984
 College,789,584,1373
 Vocational training,48,15,63
 Undergraduate diploma,49,22,71
 Graduate,1669,917,2586
 Postgraduate diploma,27,20,47
 Master degree,45,9,54
 PhD,-,1,1
 Other,76,78,154
 Total,21438,23202,44640
NotApp :,4054,*,*
AREA # 010252,Kamine(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,413,1270,1683
 Grade 1,197,598,795
 Grade 2,273,683,956
 Grade 3,410,1068,1478
 Grade 4,406,1069,1475
 Grade 5,615,1836,2451
 Grade 6,405,1139,1544
 Grade 7,334,890,1224
 Grade 8,386,854,1240
 Grade 9,421,933,1354
 Grade 10,374,564,938
 Grade 11,473,804,1277
 College,126,156,282
 Vocational training,1,2,3
 Undergraduate diploma,23,8,31
 Graduate,230,176,406
 Postgraduate diploma,3,4,7
 Master degree,2,2,4
 PhD,1,-,1
 Other,-,10,10
 Total,5093,12066,17159
NotApp :,2271,*,*
AREA # 010301,Bhamo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2911,5360,8271
 Grade 1,1509,2730,4239
 Grade 2,2131,3739,5870
 Grade 3,3102,5806,8908
 Grade 4,3806,7302,11108
 Grade 5,6720,14881,21601
 Grade 6,4058,5825,9883
 Grade 7,3400,4661,8061
 Grade 8,3720,4687,8407
 Grade 9,4466,4338,8804
 Grade 10,4255,2916,7171
 Grade 11,5768,2994,8762
 College,2181,1359,3540
 Vocational training,249,197,446
 Undergraduate diploma,229,123,352
 Graduate,4663,1694,6357
 Postgraduate diploma,357,86,443
 Master degree,149,69,218
 PhD,44,5,49
 Other,123,550,673
 Total,53841,69322,123163
NotApp :,12714,*,*
AREA # 010302,Shwegu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,749,3175,3924
 Grade 1,433,2064,2497
 Grade 2,545,2937,3482
 Grade 3,988,5317,6305
 Grade 4,1297,7015,8312
 Grade 5,2879,18694,21573
 Grade 6,1352,5231,6583
 Grade 7,1109,4457,5566
 Grade 8,1179,4192,5371
 Grade 9,1412,3739,5151
 Grade 10,1176,2308,3484
 Grade 11,1916,2341,4257
 College,660,872,1532
 Vocational training,14,34,48
 Undergraduate diploma,39,117,156
 Graduate,1389,1079,2468
 Postgraduate diploma,22,25,47
