Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,44,56604,56648
 Rural,7,25949,25956
 Total,51,82553,82604
NotApp :,922,*,*
AREA # 130102,Nyaungshwe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,119,2940,3059
 Rural,5222,34353,39575
 Total,5341,37293,42634
NotApp :,550,*,*
AREA # 130103,Hopon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,4535,4536
 Rural,38,20154,20192
 Total,39,24689,24728
NotApp :,246,*,*
AREA # 130104,Hsihseng,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2649,2649
 Rural,273,29849,30122
 Total,273,32498,32771
NotApp :,323,*,*
AREA # 130105,Kalaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,12594,12598
 Rural,15,28728,28743
 Total,19,41322,41341
NotApp :,409,*,*
AREA # 130106,Pindaya,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2259,2259
 Rural,2,15283,15285
 Total,2,17542,17544
NotApp :,214,*,*
AREA # 130107,Ywarngan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1155,1155
 Rural,4,17189,17193
 Total,4,18344,18348
NotApp :,248,*,*
AREA # 130108,Yatsauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,5677,5677
 Rural,17,20263,20280
 Total,17,25940,25957
NotApp :,294,*,*
AREA # 130109,Pinlaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2770,2770
 Rural,120,22614,22734
 Total,120,25384,25504
NotApp :,214,*,*
AREA # 130110,Phekon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,50,3381,3431
 Rural,101,16552,16653
 Total,151,19933,20084
NotApp :,187,*,*
AREA # 130151,Kyauktalongyi(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,602,602
 Rural,144,11519,11663
 Total,144,12121,12265
NotApp :,78,*,*
AREA # 130152,Indaw(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1836,1836
 Rural,2,6312,6314
 Total,2,8148,8150
NotApp :,120,*,*
AREA # 130153,Naungtayar(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,979,979
 Rural,3,15597,15600
 Total,3,16576,16579
NotApp :,149,*,*
AREA # 130201,Loilem,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2853,2853
 Rural,-,8048,8048
 Total,-,10901,10901
NotApp :,112,*,*
AREA # 130202,Le`char,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1330,1330
 Rural,2,7458,7460
 Total,2,8788,8790
NotApp :,101,*,*
AREA # 130203,Nanhsam(South),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,4840,4841
 Rural,9,14013,14022
 Total,10,18853,18863
NotApp :,264,*,*
AREA # 130204,Kunhing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1542,1542
 Rural,5,3023,3028
 Total,5,4565,4570
NotApp :,122,*,*
AREA # 130205,Kehsi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,841,842
 Rural,3,8056,8059
 Total,4,8897,8901
NotApp :,109,*,*
AREA # 130206,Mongkai,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2218,2219
 Rural,2,14111,14113
 Total,3,16329,16332
NotApp :,213,*,*
AREA # 130207,Mineshu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2082,2083
 Rural,2,7116,7118
 Total,3,9198,9201
NotApp :,161,*,*
AREA # 130251,Panglong(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,5224,5224
 Rural,-,9292,9292
 Total,-,14516,14516
NotApp :,104,*,*
AREA # 130252,Kholan(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1747,1748
 Rural,-,2616,2616
 Total,1,4363,4364
NotApp :,145,*,*
AREA # 130253,Karli(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1665,1665
 Rural,14,4888,4902
 Total,14,6553,6567
NotApp :,80,*,*
AREA # 130254,Minenaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,752,752
 Rural,7,5052,5059
 Total,7,5804,5811
NotApp :,69,*,*
AREA # 130255,Minesan(Monsan)(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,506,507
 Rural,2,6157,6159
 Total,3,6663,6666
NotApp :,259,*,*
AREA # 130301,Linkhe`,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,1711,1718
 Rural,22,6648,6670
 Total,29,8359,8388
NotApp :,100,*,*
AREA # 130302,Mone`,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2102,2103
 Rural,-,4121,4121
 Total,1,6223,6224
NotApp :,66,*,*
AREA # 130303,Maukme`,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1191,1192
 Rural,-,6002,6002
 Total,1,7193,7194
NotApp :,191,*,*
AREA # 130304,Minepan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1959,1959
 Rural,1,3461,3462
 Total,1,5420,5421
NotApp :,165,*,*
AREA # 130351,Homane(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,673,674
 Rural,-,486,486
 Total,1,1159,1160
NotApp :,17,*,*
AREA # 130352,Kengtaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2097,2097
 Rural,-,164,164
 Total,-,2261,2261
NotApp :,46,*,*
AREA # 130401,Lashio,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,34094,34099
 Rural,12,30821,30833
 Total,17,64915,64932
NotApp :,881,*,*
AREA # 130402,Theinni,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,1921,1923
 Rural,2,9854,9856
 Total,4,11775,11779
NotApp :,116,*,*
AREA # 130403,Mineye`,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1470,1470
 Rural,34,11824,11858
 Total,34,13294,13328
NotApp :,139,*,*
AREA # 130404,Tantyan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,6808,6808
 Rural,11,28323,28334
 Total,11,35131,35142
NotApp :,291,*,*
AREA # 130501,MuSe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,13329,13334
 Rural,25,8855,8880
 Total,30,22184,22214
NotApp :,873,*,*
AREA # 130502,Namkham,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,6,6126,6132
 Rural,9,15276,15285
 Total,15,21402,21417
NotApp :,200,*,*
AREA # 130503,Kukai,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,4682,4683
 Rural,4,14344,14348
 Total,5,19026,19031
NotApp :,175,*,*
AREA # 130551,Monekoe(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1469,1469
 Rural,-,2889,2889
 Total,-,4358,4358
NotApp :,29,*,*
AREA # 130552,Manhero(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,346,346
 Rural,2,1295,1297
 Total,2,1641,1643
NotApp :,30,*,*
AREA # 130553,Pansai(KyuKute)(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1768,1768
 Rural,-,2775,2775
 Total,-,4543,4543
NotApp :,51,*,*
AREA # 130554,Tamoenye(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2487,2487
 Rural,4,10558,10562
 Total,4,13045,13049
NotApp :,45,*,*
AREA # 130601,Kyukme,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,8653,8653
 Rural,12,19706,19718
 Total,12,28359,28371
NotApp :,367,*,*
AREA # 130602,Naungkhio,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,4171,4171
 Rural,77,27976,28053
 Total,77,32147,32224
NotApp :,365,*,*
AREA # 130603,Hsipaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,22,3987,4009
 Rural,104,33793,33897
 Total,126,37780,37906
NotApp :,454,*,*
AREA # 130604,Namtu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,3256,3257
 Rural,-,8384,8384
 Total,1,11640,11641
NotApp :,153,*,*
AREA # 130605,Namsan(North),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,935,935
 Rural,4,12746,12750
 Total,4,13681,13685
NotApp :,265,*,*
AREA # 130606,Momeik,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,2228,2233
 Rural,193,11226,11419
 Total,198,13454,13652
NotApp :,177,*,*
AREA # 130607,Mabane,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,24,690,714
 Rural,471,7447,7918
 Total,495,8137,8632
NotApp :,266,*,*
AREA # 130608,Manton,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,779,779
 Rural,3,6901,6904
 Total,3,7680,7683
NotApp :,136,*,*
AREA # 130651,Minengaw(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,613,613
 Rural,1,3415,3416
 Total,1,4028,4029
NotApp :,98,*,*
AREA # 130652,Minelon(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,585,586
 Rural,1,5269,5270
 Total,2,5854,5856
NotApp :,201,*,*
AREA # 130701,Kunlon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,1156,1158
 Rural,6,9228,9234
 Total,8,10384,10392
NotApp :,158,*,*
AREA # 130801,Laukine,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2940,2941
 Rural,5,11285,11290
 Total,6,14225,14231
NotApp :,557,*,*
AREA # 130802,Kongyan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,194,194
 Rural,-,5268,5268
 Total,-,5462,5462
NotApp :,14,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,619,619
 Rural,-,331,331
 Total,-,950,950
NotApp :,28,*,*
AREA # 130852,Mawhtike(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,85,85
 Rural,1,4117,4118
 Total,1,4202,4203
NotApp :,14,*,*
AREA # 130901,Hopan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,3376,3378
 Rural,16,6637,6653
 Total,18,10013,10031
NotApp :,72,*,*
AREA # 130902,Minemaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,843,853
 Rural,21,9571,9592
 Total,31,10414,10445
NotApp :,71,*,*
AREA # 130903,Panwine,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,466,469
 Rural,35,13465,13500
 Total,38,13931,13969
NotApp :,8,*,*
AREA # 130952,Panlon(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,661,661
 Rural,-,524,524
 Total,-,1185,1185
NotApp :,26,*,*
AREA # 131001,Makman,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,67,67
 Rural,5,3246,3251
 Total,5,3313,3318
NotApp :,55,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,2018,2022
 Rural,14,14106,14120
 Total,18,16124,16142
NotApp :,744,*,*
AREA # 131003,Naphang,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,155,155
 Rural,36,16283,16319
 Total,36,16438,16474
NotApp :,40,*,*
AREA # 131051,ManKan(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,81,81
 Rural,-,234,234
 Total,-,315,315
NotApp :,19,*,*
AREA # 131101,Kengtung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,23,9079,9102
 Rural,11,24983,24994
 Total,34,34062,34096
NotApp :,512,*,*
AREA # 131102,Minekat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,558,558
 Rural,17,7450,7467
 Total,17,8008,8025
NotApp :,133,*,*
AREA # 131103,Mineyan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,989,989
 Rural,9,9121,9130
 Total,9,10110,10119
NotApp :,153,*,*
AREA # 131104,Minelar,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,1557,1560
 Rural,2,3646,3648
 Total,5,5203,5208
NotApp :,231,*,*
AREA # 131151,Mine Pauk(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Rural,72,9213,9285
 Total,72,9213,9285
NotApp :,65,*,*
AREA # 131201,Minesat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,1559,1561
 Rural,40,14308,14348
 Total,42,15867,15909
NotApp :,313,*,*
AREA # 131202,Minepyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1333,1333
 Rural,21,9251,9272
 Total,21,10584,10605
NotApp :,144,*,*
AREA # 131203,Minetung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1119,1119
 Rural,3,3136,3139
 Total,3,4255,4258
NotApp :,57,*,*
AREA # 131251,Minekoke(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,284,284
 Rural,1,2917,2918
 Total,1,3201,3202
NotApp :,77,*,*
AREA # 131252,Tontar(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,427,427
 Rural,-,2267,2267
 Total,-,2694,2694
NotApp :,33,*,*
AREA # 131253,Ponparkyin(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,721,721
 Rural,5,6608,6613
 Total,5,7329,7334
NotApp :,83,*,*
AREA # 131254,Monehta(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,91,91
 Rural,-,838,838
 Total,-,929,929
NotApp :,3,*,*
AREA # 131301,Tachileik,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,11093,11094
 Rural,19,20066,20085
 Total,20,31159,31179
NotApp :,515,*,*
AREA # 131351,Talay(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,872,873
 Rural,2,3143,3145
 Total,3,4015,4018
NotApp :,85,*,*
AREA # 131352,Kenglat(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,58,704,762
 Rural,10,1704,1714
 Total,68,2408,2476
NotApp :,39,*,*
AREA # 131401,Minephyat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1322,1323
 Rural,-,4842,4842
 Total,1,6164,6165
NotApp :,161,*,*
AREA # 131402,Mineyaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1189,1190
 Rural,1,5138,5139
 Total,2,6327,6329
NotApp :,131,*,*
AREA # 131451,Mineyu(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,221,231
 Rural,47,10589,10636
 Total,57,10810,10867
NotApp :,165,*,*
AREA # 140101,Kangyidaunt,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,38,2636,2674
 Rural,2299,37993,40292
 Total,2337,40629,42966
NotApp :,345,*,*
AREA # 140102,Kyaungon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,30,3920,3950
 Rural,384,37068,37452
 Total,414,40988,41402
NotApp :,278,*,*
AREA # 140103,Kyonpyaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,32,5967,5999
 Rural,679,52810,53489
 Total,711,58777,59488
NotApp :,394,*,*
AREA # 140104,Ngaputaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,118,2423,2541
 Rural,3909,30926,34835
 Total,4027,33349,37376
NotApp :,231,*,*
AREA # 140105,Pathein,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,421,37020,37441
 Rural,1537,27058,28595
 Total,1958,64078,66036
NotApp :,851,*,*
AREA # 140106,Yekyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2765,2766
 Rural,520,24516,25036
 Total,521,27281,27802
NotApp :,199,*,*
AREA # 140107,Thapaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,31,1709,1740
 Rural,2565,32932,35497
 Total,2596,34641,37237
NotApp :,376,*,*
AREA # 140151,Ngayokaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,108,725,833
 Rural,749,8619,9368
 Total,857,9344,10201
NotApp :,68,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,238,3311,3549
 Rural,2617,22909,25526
 Total,2855,26220,29075
NotApp :,204,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,77,742,819
 Rural,904,8458,9362
 Total,981,9200,10181
NotApp :,202,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,72,2603,2675
 Rural,240,6555,6795
 Total,312,9158,9470
NotApp :,180,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,45,4552,4597
 Rural,857,17459,18316
 Total,902,22011,22913
NotApp :,199,*,*
AREA # 140201,Kyaiklatt,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,120,5297,5417
 Rural,6152,32179,38331
 Total,6272,37476,43748
NotApp :,526,*,*
AREA # 140202,Daydaye,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,135,3431,3566
 Rural,7919,37125,45044
 Total,8054,40556,48610
NotApp :,479,*,*
AREA # 140203,Phyapon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,206,9848,10054
 Rural,3679,27897,31576
 Total,3885,37745,41630
NotApp :,366,*,*
AREA # 140204,Bogale,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,214,9901,10115
 Rural,9582,56290,65872
 Total,9796,66191,75987
NotApp :,607,*,*
AREA # 140251,Ahmar(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,100,677,777
 Rural,2805,24204,27009
 Total,2905,24881,27786
NotApp :,383,*,*
AREA # 140301,Nyaungdon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,40,5860,5900
 Rural,2850,42451,45301
 Total,2890,48311,51201
NotApp :,457,*,*
AREA # 140302,Danubyu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,25,5155,5180
 Rural,1479,38138,39617
 Total,1504,43293,44797
NotApp :,310,*,*
AREA # 140303,Pantanaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,82,4210,4292
 Rural,3382,52603,55985
 Total,3464,56813,60277
NotApp :,434,*,*
AREA # 140304,Maubin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,75,9062,9137
 Rural,6089,56578,62667
 Total,6164,65640,71804
NotApp :,629,*,*
AREA # 140401,Myaungmya,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,176,12337,12513
 Rural,4552,49107,53659
 Total,4728,61444,66172
NotApp :,571,*,*
AREA # 140402,Wakema,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,109,5196,5305
 Rural,6608,55535,62143
 Total,6717,60731,67448
NotApp :,575,*,*
AREA # 140403,Einme,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,99,2947,3046
 Rural,1956,41453,43409
 Total,2055,44400,46455
NotApp :,362,*,*
AREA # 140501,Mawlamyinegyun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,332,7251,7583
 Rural,10780,56523,67303
 Total,11112,63774,74886
NotApp :,436,*,*
AREA # 140502,Labutta,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,197,7006,7203
 Rural,5564,42379,47943
 Total,5761,49385,55146
NotApp :,425,*,*
AREA # 140551,Pyinsalu(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,72,429,501
 Rural,2899,17037,19936
 Total,2971,17466,20437
NotApp :,161,*,*
AREA # 140601,Kyangin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,28,5278,5306
 Rural,155,21396,21551
 Total,183,26674,26857
NotApp :,241,*,*
AREA # 140602,Zalun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,58,5199,5257
 Rural,1009,35807,36816
 Total,1067,41006,42073
NotApp :,220,*,*
AREA # 140603,Myanaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,92,5957,6049
 Rural,367,53504,53871
 Total,459,59461,59920
NotApp :,437,*,*
AREA # 140604,Laymyethna,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,766,770
 Rural,251,25223,25474
 Total,255,25989,26244
NotApp :,310,*,*
AREA # 140605,Hinthada,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,81,19748,19829
 Rural,934,65366,66300
 Total,1015,85114,86129
NotApp :,639,*,*
AREA # 140606,Ingapu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,3577,3578
 Rural,377,53274,53651
 Total,378,56851,57229
NotApp :,515,*,*
AREA # 150101,Tatkon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,9144,9146
 Rural,14,42587,42601
 Total,16,51731,51747
NotApp :,415,*,*
AREA # 150102,Zeyarthiri,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,8244,8246
 Rural,15,17814,17829
 Total,17,26058,26075
NotApp :,326,*,*
AREA # 150103,Ottarathiri,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,4895,4895
 Rural,12,13754,13766
 Total,12,18649,18661
NotApp :,325,*,*
AREA # 150104,Pobbathiri,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,10243,10248
 Rural,1,17367,17368
 Total,6,27610,27616
NotApp :,382,*,*
AREA # 150201,Pyinmana,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,8,14448,14456
 Rural,13,25194,25207
 Total,21,39642,39663
NotApp :,695,*,*
AREA # 150202,Lewe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,6121,6123
 Rural,42,59009,59051
 Total,44,65130,65174
NotApp :,584,*,*
AREA # 150203,Zabuthiri,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,14,24708,24722
 Rural,1,1597,1598
 Total,15,26305,26320
NotApp :,869,*,*
AREA # 150204,Dekkhinathiri,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,908,908
 Rural,11,6078,6089
 Total,11,6986,6997
NotApp :,205,*,*
SUMMARY,*,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,15190,3034243,3049433
 Rural,221400,7606999,7828399
 Total,236590,10641242,10877832
NotApp :,137752,*,*
