Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total
 Total,-,9926,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,436,436
 Rural,-,2969,2969
 Total,-,3405,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,12,621,633
 Rural,31,1880,1911
 Total,43,2501,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,103,2646,2749
 Rural,8,1201,1209
 Total,111,3847,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,84,23932,24016
 Rural,86,17156,17242
 Total,170,41088,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,75,75
 Rural,3,983,986
 Total,3,1058,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,577,577
 Rural,-,1120,1120
 Total,-,1697,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,70,8412,8482
 Rural,1827,35189,37016
 Total,1897,43601,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,40,1777,1817
 Rural,355,19868,20223
 Total,395,21645,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,6091,6096
 Rural,78,11621,11699
 Total,83,17712,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,28,652,680
 Rural,85,9968,10053
 Total,113,10620,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,5217,5221
 Rural,5,4691,4696
 Total,9,9908,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,1502,1507
 Rural,27,8248,8275
 Total,32,9750,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,2000,2002
 Rural,9,6417,6426
 Total,11,8417,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2249,2250
 Rural,60,12373,12433
 Total,61,14622,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,640,640
 Rural,2,2769,2771
 Total,2,3409,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,669,670
 Rural,-,528,528
 Total,1,1197,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,215,215
 Rural,-,1315,1315
 Total,-,1530,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,2341,2343
 Rural,-,6179,6179
 Total,2,8520,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1669,1670
 Rural,8,5958,5966
 Total,9,7627,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,807,807
 Rural,-,3170,3170
 Total,-,3977,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,91,1259,1350
 Rural,602,11341,11943
 Total,693,12600,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,462,462
 Rural,1,2058,2059
 Total,1,2520,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,37,596,633
 Rural,370,5220,5590
 Total,407,5816,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,39,16457,16496
 Rural,688,47959,48647
 Total,727,64416,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,12,3619,3631
 Rural,73,21600,21673
 Total,85,25219,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,1948,1953
 Rural,598,21711,22309
 Total,603,23659,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,6,13525,13531
 Rural,42,36674,36716
 Total,48,50199,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2291,2291
 Rural,203,30130,30333
 Total,203,32421,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2306,2306
 Rural,406,44000,44406
 Total,406,46306,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,5179,5183
 Rural,236,55907,56143
 Total,240,61086,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,13,2486,2499
 Rural,269,18095,18364
 Total,282,20581,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,3963,3965
 Rural,8,22400,22408
 Total,10,26363,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,954,955
 Rural,13,29377,29390
 Total,14,30331,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2971,2972
 Rural,32,32933,32965
 Total,33,35904,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,122,2184,2306
 Rural,252,4492,4744
 Total,374,6676,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,268,40138,40406
 Rural,125,35431,35556
 Total,393,75569,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1193,1193
 Rural,151,27272,27423
 Total,151,28465,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,2152,2155
 Rural,57,33379,33436
 Total,60,35531,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,5078,5081
 Rural,67,18228,18295
 Total,70,23306,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,127,5136,5263
 Rural,2874,23824,26698
 Total,3001,28960,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,1839,1842
 Rural,66,21322,21388
 Total,69,23161,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,103,2967,3070
 Rural,1381,21938,23319
 Total,1484,24905,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1211,1212
