Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,16,420,436
 Rural,6,2963,2969
 Total,22,3383,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,633,633
 Rural,4,1907,1911
 Total,4,2540,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,57,2692,2749
 Rural,5,1204,1209
 Total,62,3896,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,749,23267,24016
 Rural,230,17012,17242
 Total,979,40279,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,73,75
 Rural,2,984,986
 Total,4,1057,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,577,577
 Rural,8,1112,1120
 Total,8,1689,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,491,7991,8482
 Rural,545,36471,37016
 Total,1036,44462,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,190,1627,1817
 Rural,157,20066,20223
 Total,347,21693,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,365,5731,6096
 Rural,15,11684,11699
 Total,380,17415,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,680,680
 Rural,8,10045,10053
 Total,8,10725,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,358,4863,5221
 Rural,16,4680,4696
 Total,374,9543,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,38,1469,1507
 Rural,42,8233,8275
 Total,80,9702,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,226,1776,2002
 Rural,19,6407,6426
 Total,245,8183,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,100,2150,2250
 Rural,174,12259,12433
 Total,274,14409,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,24,616,640
 Rural,2,2769,2771
 Total,26,3385,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,670,670
 Rural,-,528,528
 Total,-,1198,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,215,215
 Rural,-,1315,1315
 Total,-,1530,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,98,2245,2343
 Rural,8,6171,6179
 Total,106,8416,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,28,1642,1670
 Rural,7,5959,5966
 Total,35,7601,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,806,807
 Rural,5,3165,3170
 Total,6,3971,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4,1346,1350
 Rural,8,11935,11943
 Total,12,13281,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,460,462
 Rural,12,2047,2059
 Total,14,2507,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,11,622,633
 Rural,4,5586,5590
 Total,15,6208,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,484,16012,16496
 Rural,550,48097,48647
 Total,1034,64109,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,269,3362,3631
 Rural,146,21527,21673
 Total,415,24889,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,86,1867,1953
 Rural,190,22119,22309
 Total,276,23986,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1534,11997,13531
 Rural,838,35878,36716
 Total,2372,47875,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,338,1953,2291
 Rural,310,30023,30333
 Total,648,31976,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,270,2036,2306
 Rural,781,43625,44406
 Total,1051,45661,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,365,4818,5183
 Rural,635,55508,56143
 Total,1000,60326,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,389,2110,2499
 Rural,114,18250,18364
 Total,503,20360,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,452,3513,3965
 Rural,276,22132,22408
 Total,728,25645,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,118,837,955
 Rural,614,28776,29390
 Total,732,29613,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,265,2707,2972
 Rural,268,32697,32965
 Total,533,35404,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,178,2128,2306
 Rural,107,4637,4744
 Total,285,6765,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4336,36070,40406
 Rural,1385,34171,35556
 Total,5721,70241,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,221,972,1193
 Rural,349,27074,27423
 Total,570,28046,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,145,2010,2155
 Rural,259,33177,33436
 Total,404,35187,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,314,4767,5081
 Rural,303,17992,18295
 Total,617,22759,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,923,4340,5263
 Rural,378,26320,26698
 Total,1301,30660,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,255,1587,1842
 Rural,614,20774,21388
 Total,869,22361,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,427,2643,3070
 Rural,489,22830,23319
 Total,916,25473,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
