Highest_grade,Sex_Male,Sex_Female,Sex_Total
 None,7854,12479,20333
 Grade 1,3610,4144,7754
 Grade 2,4992,6942,11934
 Grade 3,7245,9500,16745
 Grade 4,16696,19680,36376
 Grade 5,13468,14283,27751
 Grade 6,5014,4818,9832
 Grade 7,4933,3977,8910
 Grade 8,4931,3854,8785
 Grade 9,3999,3204,7203
 Grade 10,4233,4080,8313
 Grade 11,1098,862,1960
 College,1313,1189,2502
 Vocational training,101,50,151
 Undergraduate diploma,186,116,302
 Graduate,2228,3546,5774
 Postgraduate diploma,40,97,137
 Master degree,33,68,101
 PhD,2,3,5
 Other,2553,2037,4590
 Total,84529,94929,179458
NotApp :,16171,*,*
AREA # 090304,Tada U,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8334,10653,18987
 Grade 1,1964,2315,4279
 Grade 2,2739,4170,6909
 Grade 3,4226,6415,10641
 Grade 4,11807,14895,26702
 Grade 5,10319,12393,22712
 Grade 6,3144,3270,6414
 Grade 7,2986,2607,5593
 Grade 8,2973,2234,5207
 Grade 9,2199,1820,4019
 Grade 10,3259,2517,5776
 Grade 11,856,434,1290
 College,819,743,1562
 Vocational training,33,32,65
 Undergraduate diploma,124,60,184
 Graduate,1775,2391,4166
 Postgraduate diploma,20,54,74
 Master degree,16,48,64
 PhD,4,7,11
 Other,1463,1224,2687
 Total,59060,68282,127342
NotApp :,11275,*,*
AREA # 090401,Myingyan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10825,18650,29475
 Grade 1,3514,4042,7556
 Grade 2,5419,6834,12253
 Grade 3,6803,10754,17557
 Grade 4,12324,17724,30048
 Grade 5,24769,34017,58786
 Grade 6,6646,7659,14305
 Grade 7,6247,6217,12464
 Grade 8,6413,6041,12454
 Grade 9,7467,5759,13226
 Grade 10,6325,5438,11763
 Grade 11,6912,6282,13194
 College,3215,2727,5942
 Vocational training,210,178,388
 Undergraduate diploma,690,363,1053
 Graduate,4819,8020,12839
 Postgraduate diploma,106,200,306
 Master degree,62,211,273
 PhD,15,38,53
 Other,1116,907,2023
 Total,113897,142061,255958
NotApp :,20138,*,*
AREA # 090402,Taungtha,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9549,14575,24124
 Grade 1,3071,3279,6350
 Grade 2,3841,5595,9436
 Grade 3,5630,9701,15331
 Grade 4,9120,13236,22356
 Grade 5,21592,27363,48955
 Grade 6,5451,6573,12024
 Grade 7,5062,5137,10199
 Grade 8,5087,4592,9679
 Grade 9,4879,4059,8938
 Grade 10,4540,4179,8719
 Grade 11,5225,5167,10392
 College,2017,2024,4041
 Vocational training,71,61,132
 Undergraduate diploma,284,165,449
 Graduate,2591,4652,7243
 Postgraduate diploma,73,127,200
 Master degree,21,91,112
 PhD,4,4,8
 Other,213,287,500
 Total,88321,110867,199188
NotApp :,17454,*,*
AREA # 090403,Natogyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10709,13886,24595
 Grade 1,2086,2337,4423
 Grade 2,3225,4157,7382
 Grade 3,5748,7832,13580
 Grade 4,8434,11630,20064
 Grade 5,18430,23195,41625
 Grade 6,4107,4752,8859
 Grade 7,3634,3811,7445
 Grade 8,3484,3403,6887
 Grade 9,3484,3187,6671
 Grade 10,3015,2709,5724
 Grade 11,2897,2783,5680
 College,1239,1164,2403
 Vocational training,80,72,152
 Undergraduate diploma,177,110,287
 Graduate,1733,2917,4650
 Postgraduate diploma,23,49,72
 Master degree,10,42,52
 PhD,4,2,6
 Other,1331,1272,2603
 Total,73850,89310,163160
NotApp :,13918,*,*
AREA # 090404,Kyaukpadaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9453,23237,32690
 Grade 1,4186,5711,9897
 Grade 2,5135,9196,14331
 Grade 3,6521,11318,17839
 Grade 4,13665,18942,32607
 Grade 5,19222,23070,42292
 Grade 6,6530,6392,12922
 Grade 7,7050,5859,12909
 Grade 8,7521,6051,13572
 Grade 9,7106,5390,12496
 Grade 10,8384,7125,15509
 Grade 11,2604,1942,4546
 College,2272,2118,4390
 Vocational training,223,164,387
 Undergraduate diploma,834,546,1380
 Graduate,3866,6023,9889
 Postgraduate diploma,56,96,152
 Master degree,41,96,137
 PhD,7,15,22
 Other,1041,1171,2212
 Total,105717,134462,240179
NotApp :,21729,*,*
AREA # 090405,Ngazun,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8143,9835,17978
 Grade 1,1716,1618,3334
 Grade 2,2292,2816,5108
 Grade 3,3854,5054,8908
 Grade 4,5194,7022,12216
 Grade 5,15709,20448,36157
 Grade 6,2466,3138,5604
 Grade 7,2262,2366,4628
 Grade 8,1967,2038,4005
 Grade 9,1991,1744,3735
 Grade 10,1784,1746,3530
 Grade 11,1794,1694,3488
 College,890,733,1623
 Vocational training,43,36,79
 Undergraduate diploma,89,61,150
 Graduate,1215,1879,3094
 Postgraduate diploma,24,39,63
 Master degree,13,36,49
 PhD,3,3,6
 Other,400,360,760
 Total,51849,62666,114515
NotApp :,9718,*,*
AREA # 090501,Nyaung U,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9488,17055,26543
 Grade 1,2858,3402,6260
 Grade 2,3666,5826,9492
 Grade 3,5144,7856,13000
 Grade 4,11665,15133,26798
 Grade 5,13366,16688,30054
 Grade 6,4639,4765,9404
 Grade 7,5213,4278,9491
 Grade 8,5735,4226,9961
 Grade 9,5115,3851,8966
 Grade 10,7713,5989,13702
 Grade 11,2060,1527,3587
 College,1735,1535,3270
 Vocational training,179,114,293
 Undergraduate diploma,331,260,591
 Graduate,3975,5582,9557
 Postgraduate diploma,74,113,187
 Master degree,37,102,139
 PhD,11,7,18
 Other,1063,1023,2086
 Total,84067,99332,183399
NotApp :,14786,*,*
AREA # 090551,Ngat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2935,5425,8360
 Grade 1,817,1166,1983
 Grade 2,1215,2047,3262
 Grade 3,1167,2002,3169
 Grade 4,3782,4840,8622
 Grade 5,1315,1535,2850
 Grade 6,882,931,1813
 Grade 7,940,859,1799
 Grade 8,924,715,1639
 Grade 9,680,609,1289
 Grade 10,889,883,1772
 Grade 11,199,221,420
 College,226,291,517
 Vocational training,9,8,17
 Undergraduate diploma,19,19,38
 Graduate,305,580,885
 Postgraduate diploma,11,19,30
 Master degree,6,10,16
 Other,8,12,20
 Total,16329,22172,38501
NotApp :,3261,*,*
AREA # 090601,Yame`thin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9196,21626,30822
 Grade 1,3783,4059,7842
 Grade 2,5090,7238,12328
 Grade 3,8734,11455,20189
 Grade 4,15976,18035,34011
 Grade 5,29233,27092,56325
 Grade 6,7517,6347,13864
 Grade 7,6843,5240,12083
 Grade 8,6970,4929,11899
 Grade 9,6512,4246,10758
 Grade 10,7051,4987,12038
 Grade 11,2846,1681,4527
 College,2475,1963,4438
 Vocational training,123,91,214
 Undergraduate diploma,262,150,412
 Graduate,2648,3418,6066
 Postgraduate diploma,59,78,137
 Master degree,32,73,105
 PhD,6,7,13
 Other,101,87,188
 Total,115457,122802,238259
NotApp :,19832,*,*
AREA # 090602,Pyawbwe,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10524,24342,34866
 Grade 1,3666,3993,7659
 Grade 2,4313,6688,11001
 Grade 3,6586,10550,17136
 Grade 4,13816,17782,31598
 Grade 5,27316,30655,57971
 Grade 6,7009,6745,13754
 Grade 7,6852,5788,12640
 Grade 8,7336,5492,12828
 Grade 9,5969,4183,10152
 Grade 10,7593,6219,13812
 Grade 11,2186,1526,3712
 College,1686,1684,3370
 Vocational training,86,55,141
 Undergraduate diploma,256,149,405
 Graduate,2448,3843,6291
 Postgraduate diploma,37,77,114
 Master degree,40,70,110
 PhD,4,6,10
 Other,578,394,972
 Total,108301,130241,238542
NotApp :,21751,*,*
AREA # 090701,Meiktila,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8642,21766,30408
 Grade 1,3716,4107,7823
 Grade 2,4314,6122,10436
 Grade 3,5948,9451,15399
 Grade 4,10040,14593,24633
 Grade 5,24197,30708,54905
 Grade 6,8186,8637,16823
 Grade 7,8352,7303,15655
 Grade 8,9783,7801,17584
 Grade 9,11113,8253,19366
 Grade 10,11341,9216,20557
 Grade 11,9679,8665,18344
 College,5250,4568,9818
 Vocational training,289,197,486
 Undergraduate diploma,836,384,1220
 Graduate,7707,11476,19183
 Postgraduate diploma,172,305,477
 Master degree,295,635,930
 PhD,58,133,191
 Other,101,105,206
 Total,130019,154425,284444
NotApp :,25219,*,*
AREA # 090702,MahlYaing,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4859,8862,13721
 Grade 1,1829,2143,3972
 Grade 2,2641,4325,6966
 Grade 3,3830,6532,10362
 Grade 4,5940,8526,14466
 Grade 5,16464,19899,36363
 Grade 6,3424,3465,6889
 Grade 7,3365,2837,6202
 Grade 8,3426,2681,6107
 Grade 9,3318,2507,5825
 Grade 10,2877,2324,5201
 Grade 11,2573,2154,4727
 College,1001,884,1885
 Vocational training,109,50,159
 Undergraduate diploma,116,69,185
 Graduate,1554,2421,3975
 Postgraduate diploma,35,41,76
 Master degree,18,38,56
 PhD,2,2,4
 Other,446,460,906
 Total,57827,70220,128047
NotApp :,11380,*,*
AREA # 090703,Thazi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6890,13199,20089
 Grade 1,2604,2871,5475
 Grade 2,3467,4721,8188
 Grade 3,5316,8119,13435
 Grade 4,7614,10182,17796
 Grade 5,21602,25580,47182
 Grade 6,5749,5909,11658
 Grade 7,5488,4961,10449
 Grade 8,5551,4083,9634
 Grade 9,5898,4097,9995
 Grade 10,4143,3063,7206
 Grade 11,5884,4920,10804
 College,1976,1679,3655
 Vocational training,128,52,180
 Undergraduate diploma,435,161,596
 Graduate,2770,3836,6606
 Postgraduate diploma,74,87,161
 Master degree,35,70,105
 PhD,6,6,12
 Other,488,454,942
 Total,86118,98050,184168
NotApp :,18512,*,*
AREA # 090704,Wundwin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13162,21113,34275
 Grade 1,2395,2668,5063
 Grade 2,3689,5460,9149
 Grade 3,6423,9736,16159
 Grade 4,9620,13066,22686
 Grade 5,27281,30873,58154
 Grade 6,5928,6444,12372
 Grade 7,5409,5295,10704
 Grade 8,5383,4428,9811
 Grade 9,5174,3893,9067
 Grade 10,3566,2713,6279
 Grade 11,4354,3444,7798
 College,1915,1665,3580
 Vocational training,86,83,169
 Undergraduate diploma,205,104,309
 Graduate,2558,3605,6163
 Postgraduate diploma,30,62,92
 Master degree,23,75,98
 PhD,6,6,12
 Other,348,271,619
 Total,97555,115004,212559
NotApp :,17201,*,*
AREA # 100101,Mawlamyine,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5979,9660,15639
 Grade 1,3986,4643,8629
 Grade 2,5449,6820,12269
 Grade 3,7203,9304,16507
 Grade 4,9479,12364,21843
 Grade 5,15820,18537,34357
 Grade 6,9755,9600,19355
 Grade 7,8931,7931,16862
 Grade 8,9851,8096,17947
 Grade 9,11965,8820,20785
 Grade 10,11340,9073,20413
 Grade 11,11160,9933,21093
 College,4874,4916,9790
 Vocational training,290,189,479
 Undergraduate diploma,840,349,1189
 Graduate,9882,17716,27598
 Postgraduate diploma,213,454,667
 Master degree,211,643,854
 PhD,73,112,185
 Other,264,153,417
 Total,127565,139313,266878
NotApp :,22510,*,*
AREA # 100102,Kyaikemaraw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,17774,23223,40997
 Grade 1,4537,4425,8962
 Grade 2,6387,6983,13370
 Grade 3,8503,9341,17844
 Grade 4,7863,9040,16903
 Grade 5,12608,13799,26407
 Grade 6,5301,5774,11075
 Grade 7,4311,4517,8828
 Grade 8,3957,3908,7865
 Grade 9,3681,3567,7248
 Grade 10,2057,2122,4179
 Grade 11,2424,2582,5006
 College,723,780,1503
 Vocational training,65,14,79
 Undergraduate diploma,40,69,109
 Graduate,974,1923,2897
 Postgraduate diploma,23,27,50
 Master degree,17,23,40
 PhD,2,-,2
 Other,328,121,449
 Total,81575,92238,173813
NotApp :,21997,*,*
AREA # 100103,Chaungzon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5619,6669,12288
 Grade 1,2172,2190,4362
 Grade 2,3373,4036,7409
 Grade 3,5169,6424,11593
 Grade 4,5522,7103,12625
 Grade 5,9546,12456,22002
 Grade 6,3644,4349,7993
 Grade 7,3218,3307,6525
 Grade 8,3092,2908,6000
 Grade 9,2774,2689,5463
 Grade 10,1787,2147,3934
 Grade 11,2123,2780,4903
 College,666,968,1634
 Vocational training,63,48,111
 Undergraduate diploma,87,92,179
 Graduate,1051,3027,4078
 Postgraduate diploma,20,92,112
 Master degree,11,42,53
 PhD,2,5,7
 Other,174,28,202
 Total,50113,61360,111473
NotApp :,10653,*,*
AREA # 100104,Thanbyuzayat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,11101,13150,24251
 Grade 1,3541,3446,6987
 Grade 2,5340,5841,11181
 Grade 3,7111,8289,15400
 Grade 4,7146,8572,15718
 Grade 5,11645,12827,24472
 Grade 6,5196,5279,10475
 Grade 7,4326,4280,8606
 Grade 8,4307,3894,8201
 Grade 9,4144,3615,7759
 Grade 10,2986,3057,6043
 Grade 11,2943,3166,6109
 College,1195,1395,2590
 Vocational training,64,48,112
 Undergraduate diploma,187,156,343
 Graduate,1888,4205,6093
 Postgraduate diploma,31,71,102
 Master degree,27,36,63
 PhD,5,6,11
 Other,615,190,805
 Total,73798,81523,155321
NotApp :,15215,*,*
AREA # 100105,Mudon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7012,8836,15848
 Grade 1,4144,4437,8581
 Grade 2,6578,7212,13790
 Grade 3,8333,9441,17774
 Grade 4,8583,10402,18985
 Grade 5,13590,15856,29446
 Grade 6,6161,6757,12918
 Grade 7,5359,5188,10547
 Grade 8,5273,4808,10081
 Grade 9,4851,4386,9237
 Grade 10,3220,3212,6432
 Grade 11,3451,3923,7374
 College,1576,1702,3278
 Vocational training,106,75,181
 Undergraduate diploma,312,133,445
 Graduate,2395,5654,8049
 Postgraduate diploma,58,137,195
 Master degree,36,97,133
 PhD,3,16,19
 Other,595,317,912
 Total,81636,92589,174225
NotApp :,16512,*,*
AREA # 100106,Ye,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9053,12264,21317
 Grade 1,2873,2719,5592
 Grade 2,4534,4764,9298
 Grade 3,6261,6793,13054
 Grade 4,6934,7583,14517
 Grade 5,10055,9964,20019
 Grade 6,5079,4894,9973
 Grade 7,4233,3606,7839
 Grade 8,3985,3434,7419
 Grade 9,4014,3129,7143
 Grade 10,2753,2653,5406
 Grade 11,3018,3430,6448
 College,914,1074,1988
 Vocational training,50,24,74
 Undergraduate diploma,126,71,197
 Graduate,1424,2677,4101
 Postgraduate diploma,18,29,47
 Master degree,22,15,37
 PhD,7,6,13
 Other,3565,518,4083
 Total,68918,69647,138565
NotApp :,13920,*,*
AREA # 100151,Lamine,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8224,11240,19464
 Grade 1,1934,1823,3757
 Grade 2,2835,2919,5754
 Grade 3,3810,4154,7964
 Grade 4,3588,4071,7659
 Grade 5,4936,5155,10091
 Grade 6,2373,2559,4932
 Grade 7,1778,1968,3746
 Grade 8,1730,1830,3560
 Grade 9,1828,1868,3696
 Grade 10,993,1286,2279
 Grade 11,1081,1370,2451
 College,385,473,858
 Vocational training,10,8,18
 Undergraduate diploma,53,25,78
 Graduate,419,1123,1542
 Postgraduate diploma,10,13,23
 Master degree,8,12,20
 Other,917,271,1188
 Total,36912,42168,79080
NotApp :,9396,*,*
AREA # 100152,Khawzar,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3609,3502,7111
 Grade 1,581,418,999
 Grade 2,693,663,1356
 Grade 3,818,931,1749
 Grade 4,814,947,1761
 Grade 5,1308,1468,2776
 Grade 6,546,644,1190
 Grade 7,422,480,902
 Grade 8,372,392,764
 Grade 9,364,373,737
 Grade 10,107,113,220
 Grade 11,257,336,593
 College,38,37,75
 Vocational training,2,1,3
 Undergraduate diploma,9,5,14
 Graduate,74,75,149
 Postgraduate diploma,1,-,1
 Master degree,6,2,8
 PhD,-,1,1
 Other,6,-,6
 Total,10027,10388,20415
NotApp :,2248,*,*
AREA # 100201,Thaton,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14478,18107,32585
 Grade 1,6389,6592,12981
 Grade 2,8771,9093,17864
 Grade 3,11018,12155,23173
 Grade 4,11405,12738,24143
 Grade 5,15683,16549,32232
 Grade 6,5917,5709,11626
 Grade 7,5117,4525,9642
 Grade 8,5158,4345,9503
 Grade 9,5458,3986,9444
 Grade 10,4505,3882,8387
 Grade 11,4552,4332,8884
 College,1974,2182,4156
 Vocational training,155,102,257
 Undergraduate diploma,321,191,512
 Graduate,2660,5106,7766
 Postgraduate diploma,41,80,121
 Master degree,59,76,135
 PhD,9,6,15
 Other,719,208,927
 Total,104389,109964,214353
NotApp :,23753,*,*
AREA # 100202,Paung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14888,19464,34352
 Grade 1,4953,4913,9866
 Grade 2,7093,7438,14531
 Grade 3,9834,10844,20678
 Grade 4,10439,11796,22235
 Grade 5,15294,16998,32292
 Grade 6,6260,6290,12550
 Grade 7,5275,4832,10107
 Grade 8,5009,4279,9288
 Grade 9,4706,3785,8491
 Grade 10,3237,2803,6040
 Grade 11,3559,3357,6916
 College,1174,1437,2611
 Vocational training,61,45,106
 Undergraduate diploma,181,119,300
 Graduate,1792,3790,5582
 Postgraduate diploma,43,72,115
 Master degree,26,54,80
 PhD,5,3,8
 Other,536,183,719
 Total,94365,102502,196867
NotApp :,21592,*,*
AREA # 100203,Kyaikto,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8020,9664,17684
 Grade 1,4304,4213,8517
 Grade 2,5316,6367,11683
 Grade 3,7598,9510,17108
 Grade 4,8957,10762,19719
 Grade 5,13248,14372,27620
 Grade 6,5119,5139,10258
 Grade 7,4390,3805,8195
 Grade 8,4557,3701,8258
 Grade 9,4919,3579,8498
 Grade 10,4477,3748,8225
 Grade 11,4421,3992,8413
 College,1619,1716,3335
 Vocational training,101,51,152
 Undergraduate diploma,199,118,317
 Graduate,2420,3924,6344
 Postgraduate diploma,50,97,147
 Master degree,39,47,86
 PhD,9,7,16
 Other,1118,690,1808
 Total,80881,85502,166383
NotApp :,18149,*,*
AREA # 100204,Bilin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10830,13837,24667
 Grade 1,4374,4134,8508
 Grade 2,5786,6121,11907
 Grade 3,8061,9298,17359
 Grade 4,8625,10012,18637
 Grade 5,13765,14710,28475
 Grade 6,4600,4997,9597
 Grade 7,3780,3525,7305
 Grade 8,3704,3126,6830
 Grade 9,4085,3108,7193
 Grade 10,2892,2800,5692
 Grade 11,3572,3720,7292
 College,1162,1198,2360
 Vocational training,57,44,101
 Undergraduate diploma,293,168,461
 Graduate,1585,2849,4434
 Postgraduate diploma,62,66,128
 Master degree,11,33,44
 PhD,2,9,11
 Other,1392,472,1864
 Total,78638,84227,162865
NotApp :,18210,*,*
AREA # 110101,Sittway,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6042,11282,17324
 Grade 1,2116,2411,4527
 Grade 2,2871,4219,7090
 Grade 3,3968,6023,9991
 Grade 4,5643,7530,13173
 Grade 5,7940,8917,16857
 Grade 6,4445,4151,8596
 Grade 7,3928,3362,7290
 Grade 8,4525,3307,7832
 Grade 9,5315,3441,8756
 Grade 10,4386,3207,7593
 Grade 11,5840,4901,10741
 College,2117,1761,3878
 Vocational training,163,105,268
 Undergraduate diploma,342,144,486
 Graduate,4942,6730,11672
 Postgraduate diploma,167,278,445
 Master degree,116,277,393
 PhD,22,61,83
 Other,87,97,184
 Total,64975,72204,137179
NotApp :,10720,*,*
AREA # 110102,Ponnagyun,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4995,12788,17783
 Grade 1,2528,3269,5797
 Grade 2,3358,5356,8714
 Grade 3,5055,8378,13433
 Grade 4,8596,9868,18464
 Grade 5,12244,11134,23378
 Grade 6,3692,3296,6988
 Grade 7,2983,2412,5395
 Grade 8,2755,1911,4666
 Grade 9,2630,1699,4329
 Grade 10,1422,949,2371
 Grade 11,1778,1366,3144
 College,608,419,1027
 Vocational training,39,39,78
 Undergraduate diploma,141,74,215
 Graduate,1002,1125,2127
 Postgraduate diploma,40,39,79
 Master degree,8,6,14
 Other,342,113,455
 Total,54216,64241,118457
NotApp :,11296,*,*
AREA # 110103,Pauktaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8103,15900,24003
 Grade 1,3919,4743,8662
 Grade 2,4542,7580,12122
 Grade 3,7623,10847,18470
 Grade 4,11097,11385,22482
 Grade 5,12410,10751,23161
 Grade 6,3650,2986,6636
 Grade 7,2580,1892,4472
 Grade 8,2028,1366,3394
 Grade 9,1795,1090,2885
 Grade 10,1044,692,1736
 Grade 11,1230,862,2092
 College,464,343,807
 Vocational training,39,22,61
 Undergraduate diploma,115,73,188
 Graduate,763,901,1664
 Postgraduate diploma,19,30,49
 Master degree,3,7,10
 Other,491,197,688
 Total,61915,71667,133582
NotApp :,12375,*,*
AREA # 110104,Yethedaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5369,12131,17500
 Grade 1,2811,3284,6095
 Grade 2,3043,4585,7628
 Grade 3,4307,7204,11511
 Grade 4,6210,8386,14596
 Grade 5,9091,9922,19013
 Grade 6,3020,2922,5942
 Grade 7,2394,1958,4352
 Grade 8,2298,1637,3935
 Grade 9,2119,1445,3564
 Grade 10,1262,1019,2281
 Grade 11,1580,1382,2962
 College,618,421,1039
 Vocational training,40,40,80
 Undergraduate diploma,124,70,194
 Graduate,923,942,1865
 Postgraduate diploma,75,96,171
 Master degree,11,7,18
 PhD,3,-,3
 Other,242,57,299
 Total,45540,57508,103048
NotApp :,8926,*,*
AREA # 110201,Myauk U,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9236,17648,26884
 Grade 1,3783,4461,8244
 Grade 2,4905,7472,12377
 Grade 3,7089,11579,18668
 Grade 4,10233,13289,23522
 Grade 5,17418,17841,35259
 Grade 6,5632,5558,11190
 Grade 7,4510,3831,8341
 Grade 8,4387,3318,7705
 Grade 9,4353,3208,7561
 Grade 10,2072,1421,3493
 Grade 11,3077,2189,5266
 College,811,512,1323
 Vocational training,68,55,123
 Undergraduate diploma,209,109,318
 Graduate,1536,1480,3016
 Postgraduate diploma,46,35,81
 Master degree,19,14,33
 PhD,1,1,2
 Other,133,63,196
 Total,79518,94084,173602
NotApp :,16028,*,*
AREA # 110202,Kyauktaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7638,16923,24561
 Grade 1,3082,3626,6708
 Grade 2,3786,6004,9790
 Grade 3,6018,9728,15746
 Grade 4,8868,11815,20683
 Grade 5,13630,14778,28408
 Grade 6,5435,5390,10825
 Grade 7,4490,4068,8558
 Grade 8,4427,3647,8074
 Grade 9,4327,3759,8086
 Grade 10,2471,2171,4642
 Grade 11,3310,2926,6236
 College,825,649,1474
 Vocational training,97,48,145
 Undergraduate diploma,197,81,278
 Graduate,1393,1709,3102
 Postgraduate diploma,63,89,152
 Master degree,26,9,35
 PhD,4,2,6
 Other,181,90,271
 Total,70268,87512,157780
NotApp :,15320,*,*
AREA # 110203,Minbya,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10672,19358,30030
 Grade 1,3779,4242,8021
 Grade 2,5148,7579,12727
 Grade 3,7410,10882,18292
 Grade 4,10264,12085,22349
 Grade 5,12796,12150,24946
 Grade 6,4505,4265,8770
 Grade 7,3796,3191,6987
 Grade 8,3315,2282,5597
 Grade 9,3105,2035,5140
 Grade 10,1926,1344,3270
 Grade 11,2012,1469,3481
 College,673,447,1120
 Vocational training,57,29,86
 Undergraduate diploma,124,38,162
 Graduate,1219,1217,2436
 Postgraduate diploma,23,31,54
 Master degree,35,7,42
 PhD,2,1,3
 Other,446,162,608
 Total,71307,82814,154121
NotApp :,15087,*,*
AREA # 110204,Myebon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9426,19229,28655
 Grade 1,3320,3546,6866
 Grade 2,3933,5424,9357
 Grade 3,6054,7489,13543
 Grade 4,7668,7309,14977
 Grade 5,10281,8281,18562
 Grade 6,3963,3362,7325
 Grade 7,3046,2483,5529
 Grade 8,2740,1918,4658
 Grade 9,2606,1787,4393
 Grade 10,1359,947,2306
 Grade 11,2036,1722,3758
 College,572,442,1014
 Vocational training,58,41,99
 Undergraduate diploma,152,92,244
 Graduate,813,891,1704
 Postgraduate diploma,26,28,54
 Master degree,6,4,10
 PhD,1,-,1
 Other,403,86,489
 Total,58463,65081,123544
NotApp :,13649,*,*
AREA # 110301,Maungtaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4442,6437,10879
 Grade 1,687,618,1305
 Grade 2,713,724,1437
 Grade 3,862,989,1851
 Grade 4,1094,1100,2194
 Grade 5,1519,1399,2918
 Grade 6,841,656,1497
 Grade 7,844,564,1408
 Grade 8,970,585,1555
 Grade 9,1329,655,1984
 Grade 10,1163,653,1816
 Grade 11,1350,820,2170
 College,487,323,810
 Vocational training,22,14,36
 Undergraduate diploma,107,47,154
 Graduate,1311,953,2264
 Postgraduate diploma,22,31,53
 Master degree,16,7,23
 Other,106,60,166
 Total,17885,16635,34520
NotApp :,3679,*,*
AREA # 110302,Buthidaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5820,8626,14446
 Grade 1,1027,984,2011
 Grade 2,1193,1330,2523
 Grade 3,1785,1939,3724
 Grade 4,2093,2137,4230
 Grade 5,3593,3559,7152
 Grade 6,1582,1226,2808
 Grade 7,1147,810,1957
 Grade 8,1143,647,1790
 Grade 9,1422,840,2262
 Grade 10,883,488,1371
 Grade 11,1412,1270,2682
 College,395,316,711
 Vocational training,15,17,32
 Undergraduate diploma,84,38,122
 Graduate,955,677,1632
 Postgraduate diploma,40,27,67
 Master degree,31,9,40
 PhD,1,1,2
 Other,115,21,136
 Total,24736,24962,49698
NotApp :,5847,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,449,589,1038
 Grade 1,52,53,105
 Grade 2,62,50,112
 Grade 3,80,58,138
 Grade 4,67,63,130
 Grade 5,105,106,211
 Grade 6,46,39,85
 Grade 7,37,21,58
 Grade 8,34,11,45
 Grade 9,51,17,68
 Grade 10,33,11,44
 Grade 11,46,28,74
 College,16,3,19
 Vocational training,1,-,1
 Undergraduate diploma,18,5,23
 Graduate,56,27,83
 Postgraduate diploma,1,-,1
 Master degree,-,1,1
 Other,2,1,3
 Total,1156,1083,2239
NotApp :,347,*,*
AREA # 110401,Kyaukpyu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10462,24008,34470
 Grade 1,3213,3636,6849
 Grade 2,4064,5600,9664
 Grade 3,5901,7571,13472
 Grade 4,8596,8307,16903
 Grade 5,12217,10096,22313
 Grade 6,4424,3737,8161
 Grade 7,3971,2988,6959
 Grade 8,4126,2714,6840
 Grade 9,3968,2636,6604
 Grade 10,2682,1735,4417
 Grade 11,4135,3423,7558
 College,1110,715,1825
 Vocational training,70,39,109
 Undergraduate diploma,244,132,376
 Graduate,2138,2195,4333
 Postgraduate diploma,43,36,79
 Master degree,28,17,45
 PhD,9,1,10
 Other,246,100,346
 Total,71647,79686,151333
NotApp :,14019,*,*
