Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Female,1308,2595,3,6,-,-,-,107,-,8,1,-,2,55,-,6,-,1,-,-,-,2,1,-,-,-,-,-,-,-,2,5,-,-,1,-,-,-,-,30,-,2,4,27,1029,10,11,-,1,-,2,151,-,-,-,3,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,54,158,31,2,15,-,-,-,5,7,-,24,5,1,1,5682,Tanaing,MMR001004
 Total,2711,8442,55,83,-,-,1,898,2,25,6,-,3,61,-,17,-,5,-,-,-,2,11,-,7,-,-,-,-,-,7,11,30,-,12,9,-,-,-,383,1,8,72,52,1646,531,166,-,8,-,6,232,1,1,-,6,-,-,4,-,-,4,1,-,-,-,-,3,1,1,-,1,1,-,12,470,185,41,6,73,1,-,2,6,19,-,62,11,10,2,16427,Tanaing,MMR001004
 Male,312,1791,43,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,5,-,6,-,-,-,-,30,-,-,1,2,31,18,-,-,-,-,-,8,-,1,1,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,5,-,6,197,29,8,2,16,1,-,-,-,38,-,10,-,-,2,2573,Chiphwe,MMR001005
 Female,256,1153,5,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,54,-,-,-,-,-,-,15,-,-,-,2,-,-,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,32,80,13,1,3,-,1,-,-,3,-,10,6,-,-,1646,Chiphwe,MMR001005
 Total,568,2944,48,1,-,-,-,3,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,5,-,6,-,-,-,-,30,-,-,1,5,85,18,-,-,-,-,-,23,-,1,1,4,-,-,4,-,-,-,3,-,-,-,-,-,-,-,-,-,5,-,6,229,109,21,3,19,1,1,-,-,41,-,20,6,-,2,4219,Chiphwe,MMR001005
 Male,139,1380,40,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,6,20,1,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,64,15,3,2,10,-,-,-,-,8,-,5,2,-,-,1713,Hsotlaw,MMR001006
 Female,104,1001,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,28,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,22,51,4,-,2,-,-,-,-,7,-,-,-,-,-,1232,Hsotlaw,MMR001006
 Total,243,2381,43,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,11,48,1,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,86,66,7,2,12,-,-,-,-,15,-,5,2,-,-,2945,Hsotlaw,MMR001006
 Male,244,2150,20,18,-,-,-,31,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,4,-,-,-,-,-,33,-,12,-,1,-,-,-,-,40,-,2,5,3,54,23,27,-,-,-,1,10,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,9,108,9,3,-,-,1,-,-,-,2,-,28,38,7,-,2893,Hsinbo(ST),MMR001001
 Female,197,887,4,3,-,-,-,8,-,-,-,-,2,12,-,3,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,6,-,-,-,5,133,-,3,-,-,-,-,33,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,8,31,8,-,-,-,-,-,-,-,-,13,14,5,-,1383,Hsinbo(ST),MMR001001
 Total,441,3037,24,21,-,-,-,39,-,1,-,-,2,12,-,6,-,-,-,-,-,-,-,-,6,-,-,-,-,-,35,-,12,-,1,-,-,-,-,46,-,2,5,8,187,23,30,-,-,-,1,43,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,10,116,40,11,-,-,1,-,-,-,2,-,41,52,12,-,4276,Hsinbo(ST),MMR001001
 Male,233,1827,11,-,-,-,-,8,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,1,-,2,-,4,-,-,-,-,35,-,-,4,-,30,15,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,25,7,4,-,6,-,-,-,-,1,-,13,10,-,-,2250,Hsadone(ST),MMR001002
 Female,194,1071,-,-,-,-,-,1,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,55,1,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,36,16,-,2,-,-,-,-,1,-,7,1,-,-,1400,Hsadone(ST),MMR001002
 Total,427,2898,11,-,-,-,-,9,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,1,-,2,-,4,-,-,-,-,38,-,-,4,-,85,16,-,-,-,-,-,7,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,26,43,20,-,8,-,-,-,-,2,-,20,11,-,-,3650,Hsadone(ST),MMR001002
 Male,254,1719,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,-,-,7,-,3,13,-,59,28,-,-,-,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,112,3,5,2,9,-,-,-,-,2,-,6,2,1,-,2249,Kanpaikti(ST),MMR001002
 Female,180,1169,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,62,2,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,5,20,6,-,5,-,-,-,-,2,-,9,-,-,-,1478,Kanpaikti(ST),MMR001002
 Total,434,2888,3,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,1,-,-,-,9,-,3,13,-,121,30,-,-,-,-,2,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,117,23,11,2,14,-,-,-,-,4,-,15,2,1,-,3727,Kanpaikti(ST),MMR001002
 Male,353,1654,13,5,-,-,-,1191,-,1,-,-,-,2,-,-,-,-,-,-,-,-,26,1,2,-,-,-,-,-,8,-,15,-,-,-,-,-,-,33,-,-,12,1,136,86,20,-,-,-,-,83,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,42,8,6,-,8,-,-,-,-,3,-,14,2,2,-,3735,Shinbwayyan(ST),MMR001004
 Female,205,815,-,1,-,-,-,125,-,-,-,-,-,7,-,1,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,5,186,1,-,-,-,-,-,135,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,7,27,8,-,3,-,-,-,-,-,-,4,13,-,-,1557,Shinbwayyan(ST),MMR001004
 Total,558,2469,13,6,-,-,-,1316,-,1,-,-,-,9,-,1,-,-,-,-,-,-,30,1,4,-,-,-,-,-,8,-,15,-,-,-,-,-,-,37,-,-,13,6,322,87,20,-,-,-,-,218,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,2,49,35,14,-,11,-,-,-,-,3,-,18,15,2,-,5292,Shinbwayyan(ST),MMR001004
 Male,212,1349,57,-,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,11,1,4,-,-,1,-,-,-,18,-,-,10,1,35,39,-,-,-,-,6,8,1,-,-,1,-,-,-,-,5,-,-,-,-,-,-,-,-,1,-,1,4,-,7,80,4,1,-,15,1,-,-,1,18,-,4,3,-,-,1905,Panwa(ST),MMR001005
 Female,270,850,5,-,-,-,-,-,-,1,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,8,-,-,-,1,72,-,-,-,-,-,9,22,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,6,7,18,11,3,7,2,-,-,-,8,-,11,7,5,-,1336,Panwa(ST),MMR001005
 Total,482,2199,62,-,-,-,-,3,-,3,-,-,-,4,-,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,12,2,4,-,-,1,-,-,-,26,-,-,10,2,107,39,-,-,-,-,15,30,1,-,-,1,-,-,-,-,6,1,-,-,-,-,-,-,-,1,-,2,4,-,13,87,22,12,3,22,3,-,-,1,26,-,15,10,5,-,3241,Panwa(ST),MMR001005
 Male,4522,21353,245,515,-,2,-,1642,1,192,11,-,2,37,-,104,-,11,-,-,5,8,2,38,82,-,2,-,-,-,140,40,287,-,50,24,-,-,1,2033,30,49,318,63,1776,1209,17,-,39,2,17,723,26,2,-,15,-,2,3,-,2,5,12,-,-,-,-,38,3,16,-,1,4,2,48,1085,181,112,3,15,19,-,17,5,56,10,317,262,68,2,37923,Mohnyin,MMR001007
 Female,3830,7659,23,98,-,-,-,204,-,70,5,3,31,561,-,438,-,4,-,-,5,2,1,1,12,-,-,-,-,-,3,16,8,-,2,6,-,-,1,278,9,1,13,54,3168,22,-,-,2,-,14,2067,8,1,-,11,1,-,8,-,4,3,21,-,-,-,-,16,1,15,-,1,2,2,21,321,1481,189,-,8,9,-,7,7,31,-,198,206,59,2,21244,Mohnyin,MMR001007
 Total,8352,29012,268,613,-,2,-,1846,1,262,16,3,33,598,-,542,-,15,-,-,10,10,3,39,94,-,2,-,-,-,143,56,295,-,52,30,-,-,2,2311,39,50,331,117,4944,1231,17,-,41,2,31,2790,34,3,-,26,1,2,11,-,6,8,33,-,-,-,-,54,4,31,-,2,6,4,69,1406,1662,301,3,23,28,-,24,12,87,10,515,468,127,4,59167,Mohnyin,MMR001007
 Male,2452,18193,187,151,1,1,-,599,-,204,10,-,5,37,-,114,-,7,-,-,3,5,4,17,80,-,-,1,-,-,84,26,239,-,19,26,-,-,1,1662,18,47,388,70,1782,1864,4,-,50,2,16,504,13,2,1,16,2,3,16,-,7,7,6,-,1,-,-,23,-,10,-,2,8,5,73,1129,172,77,1,87,22,1,14,7,131,17,275,122,43,9,31175,Mogaung,MMR001008
 Female,1911,6507,14,12,1,1,1,33,-,55,10,-,45,518,-,97,-,3,-,-,4,2,-,-,1,-,-,-,-,-,-,14,5,-,-,4,-,-,1,163,14,1,12,69,3629,35,1,-,2,1,11,1462,9,1,-,8,-,1,14,-,4,1,20,-,-,-,-,5,-,7,-,1,1,1,42,216,1203,140,2,38,5,1,6,5,62,1,143,115,21,8,16720,Mogaung,MMR001008
 Total,4363,24700,201,163,2,2,1,632,-,259,20,-,50,555,-,211,-,10,-,-,7,7,4,17,81,-,-,1,-,-,84,40,244,-,19,30,-,-,2,1825,32,48,400,139,5411,1899,5,-,52,3,27,1966,22,3,1,24,2,4,30,-,11,8,26,-,1,-,-,28,-,17,-,3,9,6,115,1345,1375,217,3,125,27,2,20,12,193,18,418,237,64,17,47895,Mogaung,MMR001008
 Male,6132,6410,245,19,-,-,-,19567,7,40,2,-,3,29,-,50,-,7,3,-,2,1,32,20,118,1,2,6,-,-,31,25,427,-,28,60,-,1,-,1263,8,26,520,767,10836,1414,57,-,34,-,9,1020,10,2,-,18,4,1,13,-,1,3,5,1,1,-,-,27,-,28,-,1,13,-,157,373,72,111,2,107,37,-,33,17,130,13,355,196,103,3,51059,Phakant,MMR001009
 Female,3986,2036,21,3,-,-,-,464,-,16,9,-,10,318,-,15,-,3,3,-,2,-,2,-,3,-,-,-,-,-,2,3,9,-,1,18,-,-,-,85,1,2,16,111,5017,21,-,1,2,1,7,1942,5,1,-,16,2,1,20,-,1,4,14,-,-,-,-,5,-,22,-,-,-,1,40,83,493,152,3,36,8,1,6,8,46,1,246,173,27,2,15547,Phakant,MMR001009
 Total,10118,8446,266,22,-,-,-,20031,7,56,11,-,13,347,-,65,-,10,6,-,4,1,34,20,121,1,2,6,-,-,33,28,436,-,29,78,-,1,-,1348,9,28,536,878,15853,1435,57,1,36,1,16,2962,15,3,-,34,6,2,33,-,2,7,19,1,1,-,-,32,-,50,-,1,13,1,197,456,565,263,5,143,45,1,39,25,176,14,601,369,130,5,66606,Phakant,MMR001009
 Male,855,6531,82,7,-,1,-,193,-,108,1,-,1,13,-,30,-,3,-,-,1,-,-,6,33,2,1,-,-,1,19,14,95,-,21,16,-,-,-,755,8,18,142,49,600,657,2,-,21,1,3,403,1,3,-,18,-,-,1,-,2,-,-,-,-,-,-,8,-,3,-,1,2,2,2,405,96,35,1,10,16,-,4,4,24,3,78,55,8,3,11478,Hopin(ST),MMR001007
 Female,867,3259,2,2,-,1,-,16,-,43,1,-,10,209,-,14,-,3,-,-,2,-,-,1,2,-,-,-,-,-,1,1,2,-,1,3,-,-,-,85,2,-,8,27,1103,21,-,-,-,-,4,1087,2,1,-,6,-,-,1,-,2,-,1,-,-,-,-,2,-,4,-,-,1,2,6,67,719,53,-,8,1,-,2,-,20,-,62,40,4,-,7781,Hopin(ST),MMR001007
 Total,1722,9790,84,9,-,2,-,209,-,151,2,-,11,222,-,44,-,6,-,-,3,-,-,7,35,2,1,-,-,1,20,15,97,-,22,19,-,-,-,840,10,18,150,76,1703,678,2,-,21,1,7,1490,3,4,-,24,-,-,2,-,4,-,1,-,-,-,-,10,-,7,-,1,3,4,8,472,815,88,1,18,17,-,6,4,44,3,140,95,12,3,19259,Hopin(ST),MMR001007
 Male,298,2622,154,61,-,-,-,58,-,20,-,-,-,-,-,5,-,-,1,-,-,-,-,1,1,-,-,-,-,-,5,7,25,-,5,-,-,-,-,81,-,1,29,4,84,121,4,-,1,-,1,105,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,5,40,13,1,-,21,-,-,1,-,11,-,13,10,73,-,3889,Kamine(ST),MMR001009
 Female,198,489,9,1,-,-,-,5,-,1,-,-,-,18,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,4,-,-,-,8,206,1,-,-,-,-,1,271,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,18,78,10,1,2,-,-,-,-,6,-,7,2,14,-,1359,Kamine(ST),MMR001009
 Total,496,3111,163,62,-,-,-,63,-,21,-,-,-,18,-,5,-,-,1,-,2,-,-,1,1,-,-,-,-,-,5,8,25,-,6,-,-,-,-,85,-,1,29,12,290,122,4,-,1,-,2,376,3,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,-,5,58,91,11,1,23,-,-,1,-,17,-,20,12,87,-,5248,Kamine(ST),MMR001009
 Male,2400,15492,213,164,-,-,-,592,-,126,19,-,5,27,-,118,-,11,1,-,2,-,10,34,99,-,2,-,-,-,78,49,197,-,51,60,-,-,-,2081,8,68,477,39,2319,1809,199,18,193,-,45,592,9,3,-,15,-,-,49,-,10,3,14,1,-,-,4,45,-,6,-,1,12,8,263,1612,135,107,2,15,29,-,29,9,141,17,757,555,54,12,31515,Bhamo,MMR001010
