Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Rural,15,735,750,Bawlakhe,MMR002005
 Total,27,1562,1589,Bawlakhe,MMR002005
 Urban,47,547,594,Parsaung,MMR002006
 Rural,80,4059,4139,Parsaung,MMR002006
 Total,127,4606,4733,Parsaung,MMR002006
 Urban,-,195,195,Meisi,MMR002007
 Rural,11,1096,1107,Meisi,MMR002007
 Total,11,1291,1302,Meisi,MMR002007
 Urban,-,292,292,Ywathit(ST),MMR002005
 Rural,1,199,200,Ywathit(ST),MMR002005
 Total,1,491,492,Ywathit(ST),MMR002005
 Urban,9573,5195,14768,Hpa-an,MMR003001
 Rural,17436,56993,74429,Hpa-an,MMR003001
 Total,27009,62188,89197,Hpa-an,MMR003001
 Urban,1071,1208,2279,Hlaingbwe,MMR003002
 Rural,2842,26465,29307,Hlaingbwe,MMR003002
 Total,3913,27673,31586,Hlaingbwe,MMR003002
 Urban,1612,1450,3062,Thandaunggyi,MMR003004
 Rural,381,2366,2747,Thandaunggyi,MMR003004
 Total,1993,3816,5809,Thandaunggyi,MMR003004
 Urban,75,732,807,Paingkyon(ST),MMR003002
 Rural,673,16298,16971,Paingkyon(ST),MMR003002
 Total,748,17030,17778,Paingkyon(ST),MMR003002
 Urban,4,79,83,Shan Ywathit(ST),MMR003002
 Rural,277,3396,3673,Shan Ywathit(ST),MMR003002
 Total,281,3475,3756,Shan Ywathit(ST),MMR003002
 Urban,154,453,607,Leiktho(ST),MMR003004
 Rural,645,8674,9319,Leiktho(ST),MMR003004
 Total,799,9127,9926,Leiktho(ST),MMR003004
 Urban,241,195,436,Bawgali(ST),MMR003004
 Rural,550,2419,2969,Bawgali(ST),MMR003004
 Total,791,2614,3405,Bawgali(ST),MMR003004
 Urban,177,456,633,Pharpon,MMR003003
 Rural,125,1786,1911,Pharpon,MMR003003
 Total,302,2242,2544,Pharpon,MMR003003
 Urban,1061,1688,2749,Kamamaung(ST},MMR003003
 Rural,119,1090,1209,Kamamaung(ST},MMR003003
 Total,1180,2778,3958,Kamamaung(ST},MMR003003
 Urban,13601,10415,24016,Myawady,MMR003005
 Rural,7478,9764,17242,Myawady,MMR003005
 Total,21079,20179,41258,Myawady,MMR003005
 Urban,29,46,75,Sugali(ST),MMR003005
 Rural,399,587,986,Sugali(ST),MMR003005
 Total,428,633,1061,Sugali(ST),MMR003005
 Urban,430,147,577,Wawlaymyaing(ST),MMR003005
 Rural,456,664,1120,Wawlaymyaing(ST),MMR003005
 Total,886,811,1697,Wawlaymyaing(ST),MMR003005
 Urban,3786,4696,8482,Kawkareik,MMR003006
 Rural,5246,31770,37016,Kawkareik,MMR003006
 Total,9032,36466,45498,Kawkareik,MMR003006
 Urban,1061,756,1817,Kyarinseikkyi,MMR003007
 Rural,2205,18018,20223,Kyarinseikkyi,MMR003007
 Total,3266,18774,22040,Kyarinseikkyi,MMR003007
 Urban,4821,1275,6096,Payarthonezu(ST),MMR003007
 Rural,1417,10282,11699,Payarthonezu(ST),MMR003007
 Total,6238,11557,17795,Payarthonezu(ST),MMR003007
 Urban,72,608,680,Kyaidon(ST),MMR003007
 Rural,70,9983,10053,Kyaidon(ST),MMR003007
 Total,142,10591,10733,Kyaidon(ST),MMR003007
 Urban,4076,1145,5221,HaKa,MMR004002
 Rural,813,3883,4696,HaKa,MMR004002
 Total,4889,5028,9917,HaKa,MMR004002
 Urban,377,1130,1507,Thantlang,MMR004003
 Rural,579,7696,8275,Thantlang,MMR004003
 Total,956,8826,9782,Thantlang,MMR004003
 Urban,1630,372,2002,Falam,MMR004001
 Rural,1507,4919,6426,Falam,MMR004001
 Total,3137,5291,8428,Falam,MMR004001
 Urban,1187,1063,2250,Tedim,MMR004004
 Rural,1739,10694,12433,Tedim,MMR004004
 Total,2926,11757,14683,Tedim,MMR004004
 Urban,188,452,640,Tonzaung,MMR004005
 Rural,164,2607,2771,Tonzaung,MMR004005
 Total,352,3059,3411,Tonzaung,MMR004005
 Urban,184,486,670,Rihkhuadal(ST),MMR004001
 Rural,226,302,528,Rihkhuadal(ST),MMR004001
 Total,410,788,1198,Rihkhuadal(ST),MMR004001
 Urban,3,212,215,Cikha(ST),MMR004005
 Rural,16,1299,1315,Cikha(ST),MMR004005
 Total,19,1511,1530,Cikha(ST),MMR004005
 Urban,1399,944,2343,Mindat,MMR004006
 Rural,685,5494,6179,Mindat,MMR004006
 Total,2084,6438,8522,Mindat,MMR004006
 Urban,51,1619,1670,Matupi,MMR004007
 Rural,86,5880,5966,Matupi,MMR004007
 Total,137,7499,7636,Matupi,MMR004007
 Urban,219,588,807,Kanpalet,MMR004008
 Rural,87,3083,3170,Kanpalet,MMR004008
 Total,306,3671,3977,Kanpalet,MMR004008
 Urban,217,1133,1350,Paletwat,MMR004009
 Rural,43,11900,11943,Paletwat,MMR004009
 Total,260,13033,13293,Paletwat,MMR004009
 Urban,2,460,462,Reazu(ST),MMR004007
 Rural,63,1996,2059,Reazu(ST),MMR004007
 Total,65,2456,2521,Reazu(ST),MMR004007
 Urban,3,630,633,Sami(ST),MMR004009
 Rural,23,5567,5590,Sami(ST),MMR004009
 Total,26,6197,6223,Sami(ST),MMR004009
 Urban,10613,5883,16496,Sagaing,MMR005001
 Rural,15611,33036,48647,Sagaing,MMR005001
 Total,26224,38919,65143,Sagaing,MMR005001
 Urban,1858,1773,3631,Myinmu,MMR005002
 Rural,3797,17876,21673,Myinmu,MMR005002
 Total,5655,19649,25304,Myinmu,MMR005002
 Urban,562,1391,1953,Myaung,MMR005003
 Rural,2716,19593,22309,Myaung,MMR005003
 Total,3278,20984,24262,Myaung,MMR005003
 Urban,7625,5906,13531,Shwebo,MMR005004
 Rural,7690,29026,36716,Shwebo,MMR005004
 Total,15315,34932,50247,Shwebo,MMR005004
 Urban,1189,1102,2291,Khin U,MMR005005
 Rural,3500,26833,30333,Khin U,MMR005005
 Total,4689,27935,32624,Khin U,MMR005005
 Urban,1034,1272,2306,Wetlet,MMR005006
 Rural,6426,37980,44406,Wetlet,MMR005006
 Total,7460,39252,46712,Wetlet,MMR005006
 Urban,2388,2795,5183,Kambalu,MMR005007
 Rural,6385,49758,56143,Kambalu,MMR005007
 Total,8773,52553,61326,Kambalu,MMR005007
 Urban,1412,1087,2499,Kyunhlau,MMR005008
 Rural,1964,16400,18364,Kyunhlau,MMR005008
 Total,3376,17487,20863,Kyunhlau,MMR005008
 Urban,2137,1828,3965,Ye U,MMR005009
 Rural,3910,18498,22408,Ye U,MMR005009
 Total,6047,20326,26373,Ye U,MMR005009
 Urban,437,518,955,Depayin,MMR005010
 Rural,3885,25505,29390,Depayin,MMR005010
 Total,4322,26023,30345,Depayin,MMR005010
 Urban,1559,1413,2972,Tasei,MMR005011
 Rural,4000,28965,32965,Tasei,MMR005011
 Total,5559,30378,35937,Tasei,MMR005011
 Urban,713,1593,2306,Kyaukmyaung(ST),MMR005004
 Rural,818,3926,4744,Kyaukmyaung(ST),MMR005004
 Total,1531,5519,7050,Kyaukmyaung(ST),MMR005004
 Urban,25401,15005,40406,Monywa,MMR005012
 Rural,13177,22379,35556,Monywa,MMR005012
 Total,38578,37384,75962,Monywa,MMR005012
 Urban,635,558,1193,Butalin,MMR005013
 Rural,3438,23985,27423,Butalin,MMR005013
 Total,4073,24543,28616,Butalin,MMR005013
 Urban,979,1176,2155,Ayartaw,MMR005014
 Rural,3820,29616,33436,Ayartaw,MMR005014
 Total,4799,30792,35591,Ayartaw,MMR005014
 Urban,2011,3070,5081,Chaung Oo,MMR005015
 Rural,4794,13501,18295,Chaung Oo,MMR005015
 Total,6805,16571,23376,Chaung Oo,MMR005015
 Urban,3118,2145,5263,Katha,MMR005020
 Rural,4816,21882,26698,Katha,MMR005020
 Total,7934,24027,31961,Katha,MMR005020
 Urban,1182,660,1842,Indaw,MMR005021
 Rural,4012,17376,21388,Indaw,MMR005021
 Total,5194,18036,23230,Indaw,MMR005021
 Urban,1354,1716,3070,Tigyaing,MMR005022
 Rural,3862,19457,23319,Tigyaing,MMR005022
 Total,5216,21173,26389,Tigyaing,MMR005022
 Urban,302,910,1212,Banmauk,MMR005023
 Rural,443,17213,17656,Banmauk,MMR005023
 Total,745,18123,18868,Banmauk,MMR005023
 Urban,2777,1792,4569,Kawlin,MMR005024
 Rural,3452,23382,26834,Kawlin,MMR005024
 Total,6229,25174,31403,Kawlin,MMR005024
 Urban,1385,1205,2590,Wuntho,MMR005025
 Rural,1959,9656,11615,Wuntho,MMR005025
 Total,3344,10861,14205,Wuntho,MMR005025
 Urban,768,701,1469,Pinlebu,MMR005026
 Rural,712,19719,20431,Pinlebu,MMR005026
 Total,1480,20420,21900,Pinlebu,MMR005026
 Urban,15432,10289,25721,Kalay,MMR014005
 Rural,11470,35578,47048,Kalay,MMR014005
 Total,26902,45867,72769,Kalay,MMR014005
 Urban,1108,845,1953,Kalewa,MMR005028
 Rural,757,9025,9782,Kalewa,MMR005028
 Total,1865,9870,11735,Kalewa,MMR005028
 Urban,105,731,836,Mingin,MMR005029
 Rural,249,20973,21222,Mingin,MMR005029
 Total,354,21704,22058,Mingin,MMR005029
 Urban,4885,4104,8989,Tamu,MMR005030
 Rural,632,2365,2997,Tamu,MMR005030
 Total,5517,6469,11986,Tamu,MMR005030
 Urban,38,270,308,Myothit(ST),MMR005030
 Rural,283,2506,2789,Myothit(ST),MMR005030
 Total,321,2776,3097,Myothit(ST),MMR005030
 Urban,702,2136,2838,Khampat(ST),MMR005030
 Rural,719,3951,4670,Khampat(ST),MMR005030
 Total,1421,6087,7508,Khampat(ST),MMR005030
 Urban,940,884,1824,Mawlaik,MMR005031
 Rural,900,7621,8521,Mawlaik,MMR005031
 Total,1840,8505,10345,Mawlaik,MMR005031
 Urban,172,1770,1942,Phaungpyin,MMR005032
 Rural,199,18105,18304,Phaungpyin,MMR005032
 Total,371,19875,20246,Phaungpyin,MMR005032
 Urban,1007,1176,2183,Hkamti,MMR005033
 Rural,411,4767,5178,Hkamti,MMR005033
 Total,1418,5943,7361,Hkamti,MMR005033
 Urban,1189,2386,3575,Homalin,MMR005034
 Rural,2816,29352,32168,Homalin,MMR005034
 Total,4005,31738,35743,Homalin,MMR005034
 Urban,43,210,253,Leshi,MMR005035
 Rural,27,1376,1403,Leshi,MMR005035
 Total,70,1586,1656,Leshi,MMR005035
 Urban,87,451,538,Lahe,MMR005036
 Rural,631,5808,6439,Lahe,MMR005036
 Total,718,6259,6977,Lahe,MMR005036
 Urban,93,282,375,Nanyun,MMR005037
 Rural,4,1189,1193,Nanyun,MMR005037
 Total,97,1471,1568,Nanyun,MMR005037
 Urban,11,199,210,Mobaingluk(ST),MMR005035
 Rural,9,91,100,Mobaingluk(ST),MMR005035
 Total,20,290,310,Mobaingluk(ST),MMR005035
 Urban,14,272,286,Sonemara(ST),MMR005035
 Rural,12,896,908,Sonemara(ST),MMR005035
 Total,26,1168,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,43,590,633,Htanparkway(ST),MMR005036
 Total,43,718,761,Htanparkway(ST),MMR005036
 Urban,48,290,338,Pansaung(ST),MMR005037
 Rural,24,1987,2011,Pansaung(ST),MMR005037
 Total,72,2277,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,1,3753,3754,Donhee(ST),MMR005037
 Total,1,3922,3923,Donhee(ST),MMR005037
 Urban,759,318,1077,Yinmarpin,MMR005016
 Rural,3587,24868,28455,Yinmarpin,MMR005016
 Total,4346,25186,29532,Yinmarpin,MMR005016
 Urban,498,724,1222,Salingyi,MMR005018
 Rural,5264,19981,25245,Salingyi,MMR005018
 Total,5762,20705,26467,Salingyi,MMR005018
 Urban,505,426,931,Palae,MMR005019
 Rural,3226,28205,31431,Palae,MMR005019
 Total,3731,28631,32362,Palae,MMR005019
 Urban,568,570,1138,Kani,MMR005017
 Rural,2069,26016,28085,Kani,MMR005017
 Total,2637,26586,29223,Kani,MMR005017
 Urban,11062,4320,15382,Dawei,MMR006001
 Rural,3022,6539,9561,Dawei,MMR006001
 Total,14084,10859,24943,Dawei,MMR006001
 Urban,697,543,1240,Lounglon,MMR006002
 Rural,7003,17492,24495,Lounglon,MMR006002
 Total,7700,18035,25735,Lounglon,MMR006002
 Urban,1244,1163,2407,Thayetchaung,MMR006003
 Rural,3281,17186,20467,Thayetchaung,MMR006003
 Total,4525,18349,22874,Thayetchaung,MMR006003
 Urban,787,290,1077,Yebyu,MMR006004
 Rural,3379,17617,20996,Yebyu,MMR006004
 Total,4166,17907,22073,Yebyu,MMR006004
 Urban,14,482,496,Myitta(ST),MMR006001
 Rural,92,3602,3694,Myitta(ST),MMR006001
 Total,106,4084,4190,Myitta(ST),MMR006001
 Urban,118,506,624,Kaleinaung(ST),MMR006004
 Rural,242,3411,3653,Kaleinaung(ST),MMR006004
 Total,360,3917,4277,Kaleinaung(ST),MMR006004
 Urban,11937,9611,21548,Myeik,MMR006005
 Rural,9702,23099,32801,Myeik,MMR006005
 Total,21639,32710,54349,Myeik,MMR006005
 Urban,752,390,1142,Kyunsu,MMR006006
 Rural,3120,28726,31846,Kyunsu,MMR006006
 Total,3872,29116,32988,Kyunsu,MMR006006
 Urban,1805,1766,3571,Palaw,MMR006007
 Rural,3022,11932,14954,Palaw,MMR006007
 Total,4827,13698,18525,Palaw,MMR006007
 Urban,747,379,1126,Tanintharyi,MMR006008
 Rural,2195,16608,18803,Tanintharyi,MMR006008
 Total,2942,16987,19929,Tanintharyi,MMR006008
 Urban,367,844,1211,Palauk(ST),MMR006007
 Rural,613,5304,5917,Palauk(ST),MMR006007
 Total,980,6148,7128,Palauk(ST),MMR006007
 Urban,10101,2479,12580,Kawthoung,MMR006009
 Rural,4221,8680,12901,Kawthoung,MMR006009
 Total,14322,11159,25481,Kawthoung,MMR006009
 Urban,655,392,1047,Bokepyin,MMR006010
 Rural,1713,6116,7829,Bokepyin,MMR006010
 Total,2368,6508,8876,Bokepyin,MMR006010
 Urban,383,1972,2355,Khamaukgyi,MMR006009
 Rural,1818,692,2510,Khamaukgyi,MMR006009
 Total,2201,2664,4865,Khamaukgyi,MMR006009
 Urban,17,698,715,Pyigyimandaing,MMR006010
 Rural,15,2374,2389,Pyigyimandaing,MMR006010
 Total,32,3072,3104,Pyigyimandaing,MMR006010
 Urban,42,244,286,Karathuri(ST),MMR006010
 Rural,286,3190,3476,Karathuri(ST),MMR006010
 Total,328,3434,3762,Karathuri(ST),MMR006010
 Urban,31387,23505,54892,Bago,MMR007001
 Rural,19863,32377,52240,Bago,MMR007001
 Total,51250,55882,107132,Bago,MMR007001
 Urban,1351,2278,3629,Tanatpin,MMR007002
 Rural,3638,25260,28898,Tanatpin,MMR007002
 Total,4989,27538,32527,Tanatpin,MMR007002
 Urban,1218,3036,4254,Kawa,MMR007003
 Rural,4257,37564,41821,Kawa,MMR007003
 Total,5475,40600,46075,Kawa,MMR007003
 Urban,2059,2987,5046,Waw,MMR007004
 Rural,4978,27059,32037,Waw,MMR007004
 Total,7037,30046,37083,Waw,MMR007004
 Urban,5519,7543,13062,Nyaunglebin,MMR007005
 Rural,6936,24764,31700,Nyaunglebin,MMR007005
 Total,12455,32307,44762,Nyaunglebin,MMR007005
 Urban,2758,4115,6873,Kyauktaga,MMR007006
 Rural,7518,37257,44775,Kyauktaga,MMR007006
 Total,10276,41372,51648,Kyauktaga,MMR007006
 Urban,3392,5348,8740,Daik U,MMR007007
 Rural,7050,29963,37013,Daik U,MMR007007
 Total,10442,35311,45753,Daik U,MMR007007
 Urban,2400,2465,4865,Shwegyin,MMR007008
 Rural,2697,14220,16917,Shwegyin,MMR007008
 Total,5097,16685,21782,Shwegyin,MMR007008
 Urban,13390,8510,21900,Toungoo,MMR007009
 Rural,12024,23536,35560,Toungoo,MMR007009
 Total,25414,32046,57460,Toungoo,MMR007009
 Urban,3033,2922,5955,Yaedashe,MMR007010
 Rural,11632,32940,44572,Yaedashe,MMR007010
 Total,14665,35862,50527,Yaedashe,MMR007010
 Urban,722,1536,2258,Kyaukkyi,MMR007011
 Rural,2622,18003,20625,Kyaukkyi,MMR007011
 Total,3344,19539,22883,Kyaukkyi,MMR007011
 Urban,6104,7723,13827,Pyu,MMR007012
 Rural,8330,32774,41104,Pyu,MMR007012
 Total,14434,40497,54931,Pyu,MMR007012
 Urban,1151,2058,3209,Oatwin,MMR007013
 Rural,7263,26398,33661,Oatwin,MMR007013
 Total,8414,28456,36870,Oatwin,MMR007013
 Urban,799,1577,2376,Htantapin,MMR007014
 Rural,3427,20978,24405,Htantapin,MMR007014
 Total,4226,22555,26781,Htantapin,MMR007014
 Urban,16112,12703,28815,Pyay,MMR008001
 Rural,8868,20874,29742,Pyay,MMR008001
 Total,24980,33577,58557,Pyay,MMR008001
 Urban,1638,1968,3606,Paukkhaung,MMR008002
 Rural,3817,24924,28741,Paukkhaung,MMR008002
 Total,5455,26892,32347,Paukkhaung,MMR008002
 Urban,1989,2479,4468,Padaung,MMR008003
 Rural,7566,26858,34424,Padaung,MMR008003
 Total,9555,29337,38892,Padaung,MMR008003
 Urban,2618,3863,6481,Paunde,MMR008004
 Rural,4627,25592,30219,Paunde,MMR008004
 Total,7245,29455,36700,Paunde,MMR008004
 Urban,1668,2598,4266,Thegon,MMR008005
 Rural,6670,25014,31684,Thegon,MMR008005
 Total,8338,27612,35950,Thegon,MMR008005
 Urban,2081,2437,4518,Shwedaung,MMR008006
 Rural,5106,23940,29046,Shwedaung,MMR008006
 Total,7187,26377,33564,Shwedaung,MMR008006
 Urban,3936,4228,8164,Tharyarwaddy,MMR008007
 Rural,4834,23628,28462,Tharyarwaddy,MMR008007
 Total,8770,27856,36626,Tharyarwaddy,MMR008007
 Urban,2678,3057,5735,Letpadan,MMR008008
 Rural,6646,31103,37749,Letpadan,MMR008008
 Total,9324,34160,43484,Letpadan,MMR008008
 Urban,1254,1448,2702,Minhla,MMR009013
 Rural,4714,23478,28192,Minhla,MMR009013
 Total,5968,24926,30894,Minhla,MMR009013
 Urban,1273,1527,2800,Okpo,MMR008010
 Rural,5752,23342,29094,Okpo,MMR008010
 Total,7025,24869,31894,Okpo,MMR008010
 Urban,1814,2153,3967,Zigon,MMR008011
 Rural,3389,10854,14243,Zigon,MMR008011
 Total,5203,13007,18210,Zigon,MMR008011
 Urban,2125,2517,4642,Nattalin,MMR008012
 Rural,7563,33564,41127,Nattalin,MMR008012
 Total,9688,36081,45769,Nattalin,MMR008012
 Urban,886,1494,2380,Monyo,MMR008013
 Rural,3719,27188,30907,Monyo,MMR008013
 Total,4605,28682,33287,Monyo,MMR008013
 Urban,2775,2809,5584,Gyobingauk,MMR008014
 Rural,5898,19104,25002,Gyobingauk,MMR008014
 Total,8673,21913,30586,Gyobingauk,MMR008014
 Urban,13532,6338,19870,Magway,MMR009001
 Rural,10114,38693,48807,Magway,MMR009001
 Total,23646,45031,68677,Magway,MMR009001
 Urban,5387,5289,10676,Yenangyoung,MMR009002
 Rural,4127,17697,21824,Yenangyoung,MMR009002
 Total,9514,22986,32500,Yenangyoung,MMR009002
 Urban,5750,4651,10401,Chauk,MMR009003
 Rural,5615,28602,34217,Chauk,MMR009003
 Total,11365,33253,44618,Chauk,MMR009003
 Urban,4663,5392,10055,Taungdwingyi,MMR009004
 Rural,8580,41628,50208,Taungdwingyi,MMR009004
 Total,13243,47020,60263,Taungdwingyi,MMR009004
 Urban,841,905,1746,Myothit,MMR009005
 Rural,3941,31261,35202,Myothit,MMR009005
 Total,4782,32166,36948,Myothit,MMR009005
 Urban,1464,1710,3174,Natmauk,MMR009006
 Rural,5108,40144,45252,Natmauk,MMR009006
 Total,6572,41854,48426,Natmauk,MMR009006
 Urban,4645,4545,9190,Minbu,MMR009007
 Rural,7990,26637,34627,Minbu,MMR009007
 Total,12635,31182,43817,Minbu,MMR009007
 Urban,848,606,1454,Pwint Phyu,MMR009008
 Rural,8417,29893,38310,Pwint Phyu,MMR009008
 Total,9265,30499,39764,Pwint Phyu,MMR009008
 Urban,494,485,979,Ngape,MMR009009
 Rural,3052,8426,11478,Ngape,MMR009009
 Total,3546,8911,12457,Ngape,MMR009009
 Urban,1444,1342,2786,Salin,MMR009010
 Rural,6914,45905,52819,Salin,MMR009010
 Total,8358,47247,55605,Salin,MMR009010
 Urban,710,815,1525,Saytottara,MMR009011
 Rural,425,8830,9255,Saytottara,MMR009011
 Total,1135,9645,10780,Saytottara,MMR009011
 Urban,2869,1694,4563,Thayet,MMR009012
 Rural,4305,17104,21409,Thayet,MMR009012
 Total,7174,18798,25972,Thayet,MMR009012
 Urban,1890,1091,2981,Minhla,MMR009013
 Rural,8396,20245,28641,Minhla,MMR009013
 Total,10286,21336,31622,Minhla,MMR009013
 Urban,716,554,1270,Mindon,MMR009014
 Rural,2153,13386,15539,Mindon,MMR009014
 Total,2869,13940,16809,Mindon,MMR009014
 Urban,512,782,1294,Kamma,MMR009015
 Rural,1909,15940,17849,Kamma,MMR009015
 Total,2421,16722,19143,Kamma,MMR009015
 Urban,5703,5922,11625,Aunglan,MMR009016
 Rural,9097,36887,45984,Aunglan,MMR009016
 Total,14800,42809,57609,Aunglan,MMR009016
 Urban,537,744,1281,Sinpaungwe`,MMR009017
 Rural,3969,23434,27403,Sinpaungwe`,MMR009017
 Total,4506,24178,28684,Sinpaungwe`,MMR009017
 Urban,10710,8359,19069,Pakokku,MMR009018
 Rural,13987,33284,47271,Pakokku,MMR009018
 Total,24697,41643,66340,Pakokku,MMR009018
 Urban,2256,2643,4899,Yesagyo,MMR009019
 Rural,11164,31269,42433,Yesagyo,MMR009019
 Total,13420,33912,47332,Yesagyo,MMR009019
 Urban,1091,710,1801,Myaing,MMR009020
 Rural,9043,42797,51840,Myaing,MMR009020
 Total,10134,43507,53641,Myaing,MMR009020
 Urban,869,832,1701,Pauk,MMR009021
 Rural,3892,33372,37264,Pauk,MMR009021
 Total,4761,34204,38965,Pauk,MMR009021
 Urban,1202,927,2129,Seikphyu,MMR009022
 Rural,3356,17942,21298,Seikphyu,MMR009022
 Total,4558,18869,23427,Seikphyu,MMR009022
 Urban,1873,1385,3258,Gangaw,MMR009023
 Rural,7015,19639,26654,Gangaw,MMR009023
 Total,8888,21024,29912,Gangaw,MMR009023
 Urban,589,534,1123,Htilin,MMR009024
 Rural,1782,7627,9409,Htilin,MMR009024
 Total,2371,8161,10532,Htilin,MMR009024
 Urban,617,644,1261,Saw,MMR009025
 Rural,1240,5824,7064,Saw,MMR009025
