Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Rural,12,1629,1641,Khaunglanphoo,MMR001018
 Total,12,1699,1711,Khaunglanphoo,MMR001018
 Urban,112,248,360,Naungmoon,MMR001017
 Rural,105,478,583,Naungmoon,MMR001017
 Total,217,726,943,Naungmoon,MMR001017
 Urban,4,20,24,Pannandin(ST),MMR001017
 Rural,1,244,245,Pannandin(ST),MMR001017
 Total,5,264,269,Pannandin(ST),MMR001017
 Urban,8165,2257,10422,Loikaw,MMR002001
 Rural,9891,6182,16073,Loikaw,MMR002001
 Total,18056,8439,26495,Loikaw,MMR002001
 Urban,864,273,1137,Dimawso,MMR002002
 Rural,9284,4926,14210,Dimawso,MMR002002
 Total,10148,5199,15347,Dimawso,MMR002002
 Urban,531,322,853,Phruso,MMR002003
 Rural,1543,3514,5057,Phruso,MMR002003
 Total,2074,3836,5910,Phruso,MMR002003
 Urban,137,199,336,Shardaw,MMR002004
 Rural,163,907,1070,Shardaw,MMR002004
 Total,300,1106,1406,Shardaw,MMR002004
 Urban,507,332,839,Bawlakhe,MMR002005
 Rural,373,377,750,Bawlakhe,MMR002005
 Total,880,709,1589,Bawlakhe,MMR002005
 Urban,375,219,594,Parsaung,MMR002006
 Rural,1627,2512,4139,Parsaung,MMR002006
 Total,2002,2731,4733,Parsaung,MMR002006
 Urban,117,78,195,Meisi,MMR002007
 Rural,604,503,1107,Meisi,MMR002007
 Total,721,581,1302,Meisi,MMR002007
 Urban,170,122,292,Ywathit(ST),MMR002005
 Rural,72,128,200,Ywathit(ST),MMR002005
 Total,242,250,492,Ywathit(ST),MMR002005
 Urban,8372,6396,14768,Hpa-an,MMR003001
 Rural,31010,43419,74429,Hpa-an,MMR003001
 Total,39382,49815,89197,Hpa-an,MMR003001
 Urban,958,1321,2279,Hlaingbwe,MMR003002
 Rural,10952,18355,29307,Hlaingbwe,MMR003002
 Total,11910,19676,31586,Hlaingbwe,MMR003002
 Urban,1519,1543,3062,Thandaunggyi,MMR003004
 Rural,1030,1717,2747,Thandaunggyi,MMR003004
 Total,2549,3260,5809,Thandaunggyi,MMR003004
 Urban,413,394,807,Paingkyon(ST),MMR003002
 Rural,5550,11421,16971,Paingkyon(ST),MMR003002
 Total,5963,11815,17778,Paingkyon(ST),MMR003002
 Urban,28,55,83,Shan Ywathit(ST),MMR003002
 Rural,565,3108,3673,Shan Ywathit(ST),MMR003002
 Total,593,3163,3756,Shan Ywathit(ST),MMR003002
 Urban,293,314,607,Leiktho(ST),MMR003004
 Rural,3126,6193,9319,Leiktho(ST),MMR003004
 Total,3419,6507,9926,Leiktho(ST),MMR003004
 Urban,234,202,436,Bawgali(ST),MMR003004
 Rural,1184,1785,2969,Bawgali(ST),MMR003004
 Total,1418,1987,3405,Bawgali(ST),MMR003004
 Urban,251,382,633,Pharpon,MMR003003
 Rural,340,1571,1911,Pharpon,MMR003003
 Total,591,1953,2544,Pharpon,MMR003003
 Urban,905,1844,2749,Kamamaung(ST},MMR003003
 Rural,281,928,1209,Kamamaung(ST},MMR003003
 Total,1186,2772,3958,Kamamaung(ST},MMR003003
 Urban,10548,13468,24016,Myawady,MMR003005
 Rural,6011,11231,17242,Myawady,MMR003005
 Total,16559,24699,41258,Myawady,MMR003005
 Urban,24,51,75,Sugali(ST),MMR003005
 Rural,134,852,986,Sugali(ST),MMR003005
 Total,158,903,1061,Sugali(ST),MMR003005
 Urban,124,453,577,Wawlaymyaing(ST),MMR003005
 Rural,293,827,1120,Wawlaymyaing(ST),MMR003005
 Total,417,1280,1697,Wawlaymyaing(ST),MMR003005
 Urban,4013,4469,8482,Kawkareik,MMR003006
 Rural,17201,19815,37016,Kawkareik,MMR003006
 Total,21214,24284,45498,Kawkareik,MMR003006
 Urban,963,854,1817,Kyarinseikkyi,MMR003007
 Rural,11499,8724,20223,Kyarinseikkyi,MMR003007
 Total,12462,9578,22040,Kyarinseikkyi,MMR003007
 Urban,3173,2923,6096,Payarthonezu(ST),MMR003007
 Rural,4343,7356,11699,Payarthonezu(ST),MMR003007
 Total,7516,10279,17795,Payarthonezu(ST),MMR003007
 Urban,327,353,680,Kyaidon(ST),MMR003007
 Rural,2276,7777,10053,Kyaidon(ST),MMR003007
 Total,2603,8130,10733,Kyaidon(ST),MMR003007
 Urban,2901,2320,5221,HaKa,MMR004002
 Rural,1558,3138,4696,HaKa,MMR004002
 Total,4459,5458,9917,HaKa,MMR004002
 Urban,723,784,1507,Thantlang,MMR004003
 Rural,2125,6150,8275,Thantlang,MMR004003
 Total,2848,6934,9782,Thantlang,MMR004003
 Urban,1227,775,2002,Falam,MMR004001
 Rural,2934,3492,6426,Falam,MMR004001
 Total,4161,4267,8428,Falam,MMR004001
 Urban,1232,1018,2250,Tedim,MMR004004
 Rural,4074,8359,12433,Tedim,MMR004004
 Total,5306,9377,14683,Tedim,MMR004004
 Urban,325,315,640,Tonzaung,MMR004005
 Rural,750,2021,2771,Tonzaung,MMR004005
 Total,1075,2336,3411,Tonzaung,MMR004005
 Urban,435,235,670,Rihkhuadal(ST),MMR004001
 Rural,299,229,528,Rihkhuadal(ST),MMR004001
 Total,734,464,1198,Rihkhuadal(ST),MMR004001
 Urban,98,117,215,Cikha(ST),MMR004005
 Rural,311,1004,1315,Cikha(ST),MMR004005
 Total,409,1121,1530,Cikha(ST),MMR004005
 Urban,1020,1323,2343,Mindat,MMR004006
 Rural,1364,4815,6179,Mindat,MMR004006
 Total,2384,6138,8522,Mindat,MMR004006
 Urban,825,845,1670,Matupi,MMR004007
 Rural,1438,4528,5966,Matupi,MMR004007
 Total,2263,5373,7636,Matupi,MMR004007
 Urban,369,438,807,Kanpalet,MMR004008
 Rural,663,2507,3170,Kanpalet,MMR004008
 Total,1032,2945,3977,Kanpalet,MMR004008
 Urban,61,1289,1350,Paletwat,MMR004009
 Rural,25,11918,11943,Paletwat,MMR004009
 Total,86,13207,13293,Paletwat,MMR004009
 Urban,187,275,462,Reazu(ST),MMR004007
 Rural,580,1479,2059,Reazu(ST),MMR004007
 Total,767,1754,2521,Reazu(ST),MMR004007
 Urban,9,624,633,Sami(ST),MMR004009
 Rural,60,5530,5590,Sami(ST),MMR004009
 Total,69,6154,6223,Sami(ST),MMR004009
 Urban,12061,4435,16496,Sagaing,MMR005001
 Rural,26878,21769,48647,Sagaing,MMR005001
 Total,38939,26204,65143,Sagaing,MMR005001
 Urban,2172,1459,3631,Myinmu,MMR005002
 Rural,10891,10782,21673,Myinmu,MMR005002
 Total,13063,12241,25304,Myinmu,MMR005002
 Urban,1062,891,1953,Myaung,MMR005003
 Rural,9991,12318,22309,Myaung,MMR005003
 Total,11053,13209,24262,Myaung,MMR005003
 Urban,9484,4047,13531,Shwebo,MMR005004
 Rural,20891,15825,36716,Shwebo,MMR005004
 Total,30375,19872,50247,Shwebo,MMR005004
 Urban,1582,709,2291,Khin U,MMR005005
 Rural,14726,15607,30333,Khin U,MMR005005
 Total,16308,16316,32624,Khin U,MMR005005
 Urban,1480,826,2306,Wetlet,MMR005006
 Rural,21430,22976,44406,Wetlet,MMR005006
 Total,22910,23802,46712,Wetlet,MMR005006
 Urban,3546,1637,5183,Kambalu,MMR005007
 Rural,27483,28660,56143,Kambalu,MMR005007
 Total,31029,30297,61326,Kambalu,MMR005007
 Urban,1913,586,2499,Kyunhlau,MMR005008
 Rural,10984,7380,18364,Kyunhlau,MMR005008
 Total,12897,7966,20863,Kyunhlau,MMR005008
 Urban,2866,1099,3965,Ye U,MMR005009
 Rural,13806,8602,22408,Ye U,MMR005009
 Total,16672,9701,26373,Ye U,MMR005009
 Urban,616,339,955,Depayin,MMR005010
 Rural,16115,13275,29390,Depayin,MMR005010
 Total,16731,13614,30345,Depayin,MMR005010
 Urban,2366,606,2972,Tasei,MMR005011
 Rural,19826,13139,32965,Tasei,MMR005011
 Total,22192,13745,35937,Tasei,MMR005011
 Urban,1070,1236,2306,Kyaukmyaung(ST),MMR005004
 Rural,1987,2757,4744,Kyaukmyaung(ST),MMR005004
 Total,3057,3993,7050,Kyaukmyaung(ST),MMR005004
 Urban,31334,9072,40406,Monywa,MMR005012
 Rural,24298,11258,35556,Monywa,MMR005012
 Total,55632,20330,75962,Monywa,MMR005012
 Urban,795,398,1193,Butalin,MMR005013
 Rural,13746,13677,27423,Butalin,MMR005013
 Total,14541,14075,28616,Butalin,MMR005013
 Urban,1438,717,2155,Ayartaw,MMR005014
 Rural,20214,13222,33436,Ayartaw,MMR005014
 Total,21652,13939,35591,Ayartaw,MMR005014
 Urban,3380,1701,5081,Chaung Oo,MMR005015
 Rural,11197,7098,18295,Chaung Oo,MMR005015
 Total,14577,8799,23376,Chaung Oo,MMR005015
 Urban,3929,1334,5263,Katha,MMR005020
 Rural,16197,10501,26698,Katha,MMR005020
 Total,20126,11835,31961,Katha,MMR005020
 Urban,1305,537,1842,Indaw,MMR005021
 Rural,14333,7055,21388,Indaw,MMR005021
 Total,15638,7592,23230,Indaw,MMR005021
 Urban,1809,1261,3070,Tigyaing,MMR005022
 Rural,13999,9320,23319,Tigyaing,MMR005022
 Total,15808,10581,26389,Tigyaing,MMR005022
 Urban,921,291,1212,Banmauk,MMR005023
 Rural,11096,6560,17656,Banmauk,MMR005023
 Total,12017,6851,18868,Banmauk,MMR005023
 Urban,3492,1077,4569,Kawlin,MMR005024
 Rural,18522,8312,26834,Kawlin,MMR005024
 Total,22014,9389,31403,Kawlin,MMR005024
 Urban,1789,801,2590,Wuntho,MMR005025
 Rural,7985,3630,11615,Wuntho,MMR005025
 Total,9774,4431,14205,Wuntho,MMR005025
 Urban,1041,428,1469,Pinlebu,MMR005026
 Rural,10634,9797,20431,Pinlebu,MMR005026
 Total,11675,10225,21900,Pinlebu,MMR005026
 Urban,18740,6981,25721,Kalay,MMR014005
 Rural,23916,23132,47048,Kalay,MMR014005
 Total,42656,30113,72769,Kalay,MMR014005
 Urban,1096,857,1953,Kalewa,MMR005028
 Rural,3284,6498,9782,Kalewa,MMR005028
 Total,4380,7355,11735,Kalewa,MMR005028
 Urban,384,452,836,Mingin,MMR005029
 Rural,7050,14172,21222,Mingin,MMR005029
 Total,7434,14624,22058,Mingin,MMR005029
 Urban,6166,2823,8989,Tamu,MMR005030
 Rural,1589,1408,2997,Tamu,MMR005030
 Total,7755,4231,11986,Tamu,MMR005030
 Urban,138,170,308,Myothit(ST),MMR005030
 Rural,1173,1616,2789,Myothit(ST),MMR005030
 Total,1311,1786,3097,Myothit(ST),MMR005030
 Urban,1335,1503,2838,Khampat(ST),MMR005030
 Rural,2212,2458,4670,Khampat(ST),MMR005030
 Total,3547,3961,7508,Khampat(ST),MMR005030
 Urban,975,849,1824,Mawlaik,MMR005031
 Rural,2985,5536,8521,Mawlaik,MMR005031
 Total,3960,6385,10345,Mawlaik,MMR005031
 Urban,1171,771,1942,Phaungpyin,MMR005032
 Rural,7375,10929,18304,Phaungpyin,MMR005032
 Total,8546,11700,20246,Phaungpyin,MMR005032
 Urban,1228,955,2183,Hkamti,MMR005033
 Rural,1222,3956,5178,Hkamti,MMR005033
 Total,2450,4911,7361,Hkamti,MMR005033
 Urban,2372,1203,3575,Homalin,MMR005034
 Rural,17010,15158,32168,Homalin,MMR005034
 Total,19382,16361,35743,Homalin,MMR005034
 Urban,87,166,253,Leshi,MMR005035
 Rural,188,1215,1403,Leshi,MMR005035
 Total,275,1381,1656,Leshi,MMR005035
 Urban,238,300,538,Lahe,MMR005036
 Rural,340,6099,6439,Lahe,MMR005036
 Total,578,6399,6977,Lahe,MMR005036
 Urban,152,223,375,Nanyun,MMR005037
 Rural,40,1153,1193,Nanyun,MMR005037
 Total,192,1376,1568,Nanyun,MMR005037
 Urban,62,148,210,Mobaingluk(ST),MMR005035
 Rural,23,77,100,Mobaingluk(ST),MMR005035
 Total,85,225,310,Mobaingluk(ST),MMR005035
 Urban,49,237,286,Sonemara(ST),MMR005035
 Rural,97,811,908,Sonemara(ST),MMR005035
 Total,146,1048,1194,Sonemara(ST),MMR005035
 Urban,20,108,128,Htanparkway(ST),MMR005036
 Rural,70,563,633,Htanparkway(ST),MMR005036
 Total,90,671,761,Htanparkway(ST),MMR005036
 Urban,79,259,338,Pansaung(ST),MMR005037
 Rural,47,1964,2011,Pansaung(ST),MMR005037
 Total,126,2223,2349,Pansaung(ST),MMR005037
 Urban,18,151,169,Donhee(ST),MMR005037
 Rural,30,3724,3754,Donhee(ST),MMR005037
 Total,48,3875,3923,Donhee(ST),MMR005037
 Urban,825,252,1077,Yinmarpin,MMR005016
 Rural,15246,13209,28455,Yinmarpin,MMR005016
 Total,16071,13461,29532,Yinmarpin,MMR005016
 Urban,823,399,1222,Salingyi,MMR005018
 Rural,14973,10272,25245,Salingyi,MMR005018
 Total,15796,10671,26467,Salingyi,MMR005018
 Urban,575,356,931,Palae,MMR005019
 Rural,13861,17570,31431,Palae,MMR005019
 Total,14436,17926,32362,Palae,MMR005019
 Urban,662,476,1138,Kani,MMR005017
 Rural,13578,14507,28085,Kani,MMR005017
 Total,14240,14983,29223,Kani,MMR005017
 Urban,10599,4783,15382,Dawei,MMR006001
 Rural,5394,4167,9561,Dawei,MMR006001
 Total,15993,8950,24943,Dawei,MMR006001
 Urban,842,398,1240,Lounglon,MMR006002
 Rural,12968,11527,24495,Lounglon,MMR006002
 Total,13810,11925,25735,Lounglon,MMR006002
 Urban,1166,1241,2407,Thayetchaung,MMR006003
 Rural,10089,10378,20467,Thayetchaung,MMR006003
 Total,11255,11619,22874,Thayetchaung,MMR006003
 Urban,721,356,1077,Yebyu,MMR006004
 Rural,10666,10330,20996,Yebyu,MMR006004
 Total,11387,10686,22073,Yebyu,MMR006004
 Urban,239,257,496,Myitta(ST),MMR006001
 Rural,1673,2021,3694,Myitta(ST),MMR006001
 Total,1912,2278,4190,Myitta(ST),MMR006001
 Urban,309,315,624,Kaleinaung(ST),MMR006004
 Rural,1489,2164,3653,Kaleinaung(ST),MMR006004
 Total,1798,2479,4277,Kaleinaung(ST),MMR006004
 Urban,11380,10168,21548,Myeik,MMR006005
 Rural,11994,20807,32801,Myeik,MMR006005
 Total,23374,30975,54349,Myeik,MMR006005
 Urban,432,710,1142,Kyunsu,MMR006006
 Rural,3684,28162,31846,Kyunsu,MMR006006
 Total,4116,28872,32988,Kyunsu,MMR006006
 Urban,1692,1879,3571,Palaw,MMR006007
 Rural,5560,9394,14954,Palaw,MMR006007
 Total,7252,11273,18525,Palaw,MMR006007
 Urban,535,591,1126,Tanintharyi,MMR006008
 Rural,6940,11863,18803,Tanintharyi,MMR006008
 Total,7475,12454,19929,Tanintharyi,MMR006008
 Urban,513,698,1211,Palauk(ST),MMR006007
 Rural,2296,3621,5917,Palauk(ST),MMR006007
 Total,2809,4319,7128,Palauk(ST),MMR006007
 Urban,6741,5839,12580,Kawthoung,MMR006009
 Rural,5190,7711,12901,Kawthoung,MMR006009
 Total,11931,13550,25481,Kawthoung,MMR006009
 Urban,516,531,1047,Bokepyin,MMR006010
 Rural,1652,6177,7829,Bokepyin,MMR006010
 Total,2168,6708,8876,Bokepyin,MMR006010
 Urban,630,1725,2355,Khamaukgyi,MMR006009
 Rural,941,1569,2510,Khamaukgyi,MMR006009
 Total,1571,3294,4865,Khamaukgyi,MMR006009
 Urban,300,415,715,Pyigyimandaing,MMR006010
 Rural,619,1770,2389,Pyigyimandaing,MMR006010
 Total,919,2185,3104,Pyigyimandaing,MMR006010
 Urban,101,185,286,Karathuri(ST),MMR006010
 Rural,453,3023,3476,Karathuri(ST),MMR006010
 Total,554,3208,3762,Karathuri(ST),MMR006010
 Urban,23807,31085,54892,Bago,MMR007001
 Rural,16319,35921,52240,Bago,MMR007001
 Total,40126,67006,107132,Bago,MMR007001
 Urban,1077,2552,3629,Tanatpin,MMR007002
 Rural,6695,22203,28898,Tanatpin,MMR007002
 Total,7772,24755,32527,Tanatpin,MMR007002
 Urban,1200,3054,4254,Kawa,MMR007003
 Rural,10599,31222,41821,Kawa,MMR007003
 Total,11799,34276,46075,Kawa,MMR007003
 Urban,1490,3556,5046,Waw,MMR007004
 Rural,7595,24442,32037,Waw,MMR007004
 Total,9085,27998,37083,Waw,MMR007004
 Urban,4403,8659,13062,Nyaunglebin,MMR007005
 Rural,10394,21306,31700,Nyaunglebin,MMR007005
 Total,14797,29965,44762,Nyaunglebin,MMR007005
 Urban,2562,4311,6873,Kyauktaga,MMR007006
 Rural,14674,30101,44775,Kyauktaga,MMR007006
 Total,17236,34412,51648,Kyauktaga,MMR007006
 Urban,3080,5660,8740,Daik U,MMR007007
 Rural,9978,27035,37013,Daik U,MMR007007
 Total,13058,32695,45753,Daik U,MMR007007
 Urban,2720,2145,4865,Shwegyin,MMR007008
 Rural,5478,11439,16917,Shwegyin,MMR007008
 Total,8198,13584,21782,Shwegyin,MMR007008
 Urban,12440,9460,21900,Toungoo,MMR007009
 Rural,14322,21238,35560,Toungoo,MMR007009
 Total,26762,30698,57460,Toungoo,MMR007009
 Urban,2697,3258,5955,Yaedashe,MMR007010
 Rural,14932,29640,44572,Yaedashe,MMR007010
 Total,17629,32898,50527,Yaedashe,MMR007010
 Urban,936,1322,2258,Kyaukkyi,MMR007011
 Rural,6798,13827,20625,Kyaukkyi,MMR007011
 Total,7734,15149,22883,Kyaukkyi,MMR007011
 Urban,5356,8471,13827,Pyu,MMR007012
 Rural,13174,27930,41104,Pyu,MMR007012
 Total,18530,36401,54931,Pyu,MMR007012
 Urban,1195,2014,3209,Oatwin,MMR007013
 Rural,11676,21985,33661,Oatwin,MMR007013
 Total,12871,23999,36870,Oatwin,MMR007013
 Urban,1092,1284,2376,Htantapin,MMR007014
 Rural,8410,15995,24405,Htantapin,MMR007014
 Total,9502,17279,26781,Htantapin,MMR007014
 Urban,14741,14074,28815,Pyay,MMR008001
 Rural,11890,17852,29742,Pyay,MMR008001
 Total,26631,31926,58557,Pyay,MMR008001
 Urban,1739,1867,3606,Paukkhaung,MMR008002
 Rural,8715,20026,28741,Paukkhaung,MMR008002
 Total,10454,21893,32347,Paukkhaung,MMR008002
 Urban,2065,2403,4468,Padaung,MMR008003
 Rural,12664,21760,34424,Padaung,MMR008003
 Total,14729,24163,38892,Padaung,MMR008003
 Urban,2468,4013,6481,Paunde,MMR008004
 Rural,10224,19995,30219,Paunde,MMR008004
 Total,12692,24008,36700,Paunde,MMR008004
 Urban,1683,2583,4266,Thegon,MMR008005
 Rural,12267,19417,31684,Thegon,MMR008005
 Total,13950,22000,35950,Thegon,MMR008005
 Urban,1988,2530,4518,Shwedaung,MMR008006
 Rural,9403,19643,29046,Shwedaung,MMR008006
 Total,11391,22173,33564,Shwedaung,MMR008006
 Urban,2897,5267,8164,Tharyarwaddy,MMR008007
 Rural,7492,20970,28462,Tharyarwaddy,MMR008007
 Total,10389,26237,36626,Tharyarwaddy,MMR008007
 Urban,2061,3674,5735,Letpadan,MMR008008
 Rural,9137,28612,37749,Letpadan,MMR008008
 Total,11198,32286,43484,Letpadan,MMR008008
 Urban,1143,1559,2702,Minhla,MMR009013
 Rural,9131,19061,28192,Minhla,MMR009013
 Total,10274,20620,30894,Minhla,MMR009013
 Urban,1012,1788,2800,Okpo,MMR008010
 Rural,9332,19762,29094,Okpo,MMR008010
 Total,10344,21550,31894,Okpo,MMR008010
 Urban,1576,2391,3967,Zigon,MMR008011
 Rural,5278,8965,14243,Zigon,MMR008011
 Total,6854,11356,18210,Zigon,MMR008011
 Urban,2056,2586,4642,Nattalin,MMR008012
 Rural,15960,25167,41127,Nattalin,MMR008012
 Total,18016,27753,45769,Nattalin,MMR008012
 Urban,825,1555,2380,Monyo,MMR008013
 Rural,7685,23222,30907,Monyo,MMR008013
 Total,8510,24777,33287,Monyo,MMR008013
 Urban,2388,3196,5584,Gyobingauk,MMR008014
 Rural,9240,15762,25002,Gyobingauk,MMR008014
 Total,11628,18958,30586,Gyobingauk,MMR008014
 Urban,14073,5797,19870,Magway,MMR009001
 Rural,15435,33372,48807,Magway,MMR009001
 Total,29508,39169,68677,Magway,MMR009001
 Urban,4053,6623,10676,Yenangyoung,MMR009002
 Rural,5454,16370,21824,Yenangyoung,MMR009002
 Total,9507,22993,32500,Yenangyoung,MMR009002
 Urban,4953,5448,10401,Chauk,MMR009003
 Rural,10860,23357,34217,Chauk,MMR009003
 Total,15813,28805,44618,Chauk,MMR009003
 Urban,4588,5467,10055,Taungdwingyi,MMR009004
 Rural,13658,36550,50208,Taungdwingyi,MMR009004
 Total,18246,42017,60263,Taungdwingyi,MMR009004
 Urban,791,955,1746,Myothit,MMR009005
 Rural,7488,27714,35202,Myothit,MMR009005
 Total,8279,28669,36948,Myothit,MMR009005
 Urban,1546,1628,3174,Natmauk,MMR009006
 Rural,11669,33583,45252,Natmauk,MMR009006
 Total,13215,35211,48426,Natmauk,MMR009006
 Urban,5110,4080,9190,Minbu,MMR009007
 Rural,14815,19812,34627,Minbu,MMR009007
 Total,19925,23892,43817,Minbu,MMR009007
 Urban,850,604,1454,Pwint Phyu,MMR009008
 Rural,15182,23128,38310,Pwint Phyu,MMR009008
 Total,16032,23732,39764,Pwint Phyu,MMR009008
 Urban,582,397,979,Ngape,MMR009009
 Rural,5477,6001,11478,Ngape,MMR009009
 Total,6059,6398,12457,Ngape,MMR009009
 Urban,1552,1234,2786,Salin,MMR009010
 Rural,17582,35237,52819,Salin,MMR009010
 Total,19134,36471,55605,Salin,MMR009010
 Urban,686,839,1525,Saytottara,MMR009011
 Rural,1895,7360,9255,Saytottara,MMR009011
 Total,2581,8199,10780,Saytottara,MMR009011
 Urban,2398,2165,4563,Thayet,MMR009012
 Rural,6349,15060,21409,Thayet,MMR009012
 Total,8747,17225,25972,Thayet,MMR009012
 Urban,1775,1206,2981,Minhla,MMR009013
 Rural,14128,14513,28641,Minhla,MMR009013
 Total,15903,15719,31622,Minhla,MMR009013
 Urban,673,597,1270,Mindon,MMR009014
 Rural,4912,10627,15539,Mindon,MMR009014
 Total,5585,11224,16809,Mindon,MMR009014
 Urban,547,747,1294,Kamma,MMR009015
 Rural,5707,12142,17849,Kamma,MMR009015
 Total,6254,12889,19143,Kamma,MMR009015
 Urban,5184,6441,11625,Aunglan,MMR009016
 Rural,11763,34221,45984,Aunglan,MMR009016
 Total,16947,40662,57609,Aunglan,MMR009016
 Urban,398,883,1281,Sinpaungwe`,MMR009017
 Rural,6308,21095,27403,Sinpaungwe`,MMR009017
 Total,6706,21978,28684,Sinpaungwe`,MMR009017
 Urban,12450,6619,19069,Pakokku,MMR009018
 Rural,22397,24874,47271,Pakokku,MMR009018
 Total,34847,31493,66340,Pakokku,MMR009018
 Urban,2662,2237,4899,Yesagyo,MMR009019
 Rural,20440,21993,42433,Yesagyo,MMR009019
 Total,23102,24230,47332,Yesagyo,MMR009019
 Urban,1373,428,1801,Myaing,MMR009020
 Rural,28163,23677,51840,Myaing,MMR009020
 Total,29536,24105,53641,Myaing,MMR009020
 Urban,1019,682,1701,Pauk,MMR009021
 Rural,14655,22609,37264,Pauk,MMR009021
 Total,15674,23291,38965,Pauk,MMR009021
 Urban,1113,1016,2129,Seikphyu,MMR009022
 Rural,6823,14475,21298,Seikphyu,MMR009022
 Total,7936,15491,23427,Seikphyu,MMR009022
 Urban,2199,1059,3258,Gangaw,MMR009023
 Rural,13781,12873,26654,Gangaw,MMR009023
 Total,15980,13932,29912,Gangaw,MMR009023
 Urban,540,583,1123,Htilin,MMR009024
 Rural,4221,5188,9409,Htilin,MMR009024
