Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,110647,121936,232583,Myitkyina,MMR001001
 Illiterate,5565,10252,15817,Myitkyina,MMR001001
 Total,116212,132188,248400,Myitkyina,MMR001001
 Literate,37429,37275,74704,Waingmaw,MMR001002
 Illiterate,5601,8520,14121,Waingmaw,MMR001002
 Total,43030,45795,88825,Waingmaw,MMR001002
 Literate,507,483,990,Ingyanyan,MMR001003
 Illiterate,104,139,243,Ingyanyan,MMR001003
 Total,611,622,1233,Ingyanyan,MMR001003
 Literate,15258,13684,28942,Tanaing,MMR001004
 Illiterate,1550,2566,4116,Tanaing,MMR001004
 Total,16808,16250,33058,Tanaing,MMR001004
 Literate,3185,2720,5905,Chiphwe,MMR001005
 Illiterate,1512,1910,3422,Chiphwe,MMR001005
 Total,4697,4630,9327,Chiphwe,MMR001005
 Literate,2156,1864,4020,Hsotlaw,MMR001006
 Illiterate,686,833,1519,Hsotlaw,MMR001006
 Total,2842,2697,5539,Hsotlaw,MMR001006
 Literate,4125,3882,8007,Hsinbo(ST),MMR001001
 Illiterate,238,371,609,Hsinbo(ST),MMR001001
 Total,4363,4253,8616,Hsinbo(ST),MMR001001
 Literate,3650,3627,7277,Hsadone(ST),MMR001002
 Illiterate,838,1034,1872,Hsadone(ST),MMR001002
 Total,4488,4661,9149,Hsadone(ST),MMR001002
 Literate,2757,2418,5175,Kanpaikti(ST),MMR001002
 Illiterate,971,1179,2150,Kanpaikti(ST),MMR001002
 Total,3728,3597,7325,Kanpaikti(ST),MMR001002
 Literate,4713,3500,8213,Shinbwayyan(ST),MMR001004
 Illiterate,661,989,1650,Shinbwayyan(ST),MMR001004
 Total,5374,4489,9863,Shinbwayyan(ST),MMR001004
 Literate,2279,1800,4079,Panwa(ST),MMR001005
 Illiterate,1282,1803,3085,Panwa(ST),MMR001005
 Total,3561,3603,7164,Panwa(ST),MMR001005
 Literate,59831,67203,127034,Mohnyin,MMR001007
 Illiterate,2334,4660,6994,Mohnyin,MMR001007
 Total,62165,71863,134028,Mohnyin,MMR001007
 Literate,49668,56475,106143,Mogaung,MMR001008
 Illiterate,2869,5003,7872,Mogaung,MMR001008
 Total,52537,61478,114015,Mogaung,MMR001008
 Literate,69007,57603,126610,Phakant,MMR001009
 Illiterate,3899,4981,8880,Phakant,MMR001009
 Total,72906,62584,135490,Phakant,MMR001009
 Literate,18611,22295,40906,Hopin(ST),MMR001007
 Illiterate,673,1219,1892,Hopin(ST),MMR001007
 Total,19284,23514,42798,Hopin(ST),MMR001007
 Literate,6774,7007,13781,Kamine(ST),MMR001009
 Illiterate,596,858,1454,Kamine(ST),MMR001009
 Total,7370,7865,15235,Kamine(ST),MMR001009
 Literate,48134,52534,100668,Bhamo,MMR001010
 Illiterate,2271,4047,6318,Bhamo,MMR001010
 Total,50405,56581,106986,Bhamo,MMR001010
 Literate,33520,36075,69595,Shwegu,MMR001011
 Illiterate,1082,1630,2712,Shwegu,MMR001011
 Total,34602,37705,72307,Shwegu,MMR001011
 Literate,15367,16118,31485,Momauk,MMR001012
 Illiterate,1755,3010,4765,Momauk,MMR001012
 Total,17122,19128,36250,Momauk,MMR001012
 Literate,20597,20783,41380,Mansi,MMR001013
 Illiterate,2027,2953,4980,Mansi,MMR001013
 Total,22624,23736,46360,Mansi,MMR001013
 Literate,1708,1597,3305,Myohla(ST),MMR001011
 Illiterate,91,112,203,Myohla(ST),MMR001011
 Total,1799,1709,3508,Myohla(ST),MMR001011
 Literate,2696,2849,5545,Lwe`ge`(ST),MMR001012
 Illiterate,703,836,1539,Lwe`ge`(ST),MMR001012
 Total,3399,3685,7084,Lwe`ge`(ST),MMR001012
 Literate,4040,3650,7690,Dotphoneyan(ST),MMR001012
 Illiterate,738,1191,1929,Dotphoneyan(ST),MMR001012
 Total,4778,4841,9619,Dotphoneyan(ST),MMR001012
 Literate,22312,22381,44693,Putao,MMR001014
 Illiterate,2151,3802,5953,Putao,MMR001014
 Total,24463,26183,50646,Putao,MMR001014
 Literate,877,814,1691,Sumprabum,MMR001015
 Illiterate,155,255,410,Sumprabum,MMR001015
 Total,1032,1069,2101,Sumprabum,MMR001015
 Literate,3137,3137,6274,Machanbaw,MMR001016
 Illiterate,335,507,842,Machanbaw,MMR001016
 Total,3472,3644,7116,Machanbaw,MMR001016
 Literate,4665,4458,9123,Khaunglanphoo,MMR001018
 Illiterate,817,937,1754,Khaunglanphoo,MMR001018
 Total,5482,5395,10877,Khaunglanphoo,MMR001018
 Literate,2090,2003,4093,Naungmoon,MMR001017
 Illiterate,167,276,443,Naungmoon,MMR001017
 Total,2257,2279,4536,Naungmoon,MMR001017
 Literate,661,507,1168,Pannandin(ST),MMR001017
 Illiterate,105,185,290,Pannandin(ST),MMR001017
 Total,766,692,1458,Pannandin(ST),MMR001017
 Literate,46726,47876,94602,Loikaw,MMR002001
 Illiterate,5075,9398,14473,Loikaw,MMR002001
 Total,51801,57274,109075,Loikaw,MMR002001
 Literate,28303,27353,55656,Dimawso,MMR002002
 Illiterate,4397,7631,12028,Dimawso,MMR002002
 Total,32700,34984,67684,Dimawso,MMR002002
 Literate,9039,8732,17771,Phruso,MMR002003
 Illiterate,2492,3926,6418,Phruso,MMR002003
 Total,11531,12658,24189,Phruso,MMR002003
 Literate,1641,1494,3135,Shardaw,MMR002004
 Illiterate,1143,1436,2579,Shardaw,MMR002004
 Total,2784,2930,5714,Shardaw,MMR002004
 Literate,2799,2725,5524,Bawlakhe,MMR002005
 Illiterate,266,456,722,Bawlakhe,MMR002005
 Total,3065,3181,6246,Bawlakhe,MMR002005
 Literate,8857,8603,17460,Parsaung,MMR002006
 Illiterate,1167,1182,2349,Parsaung,MMR002006
 Total,10024,9785,19809,Parsaung,MMR002006
 Literate,2281,2149,4430,Meisi,MMR002007
 Illiterate,215,250,465,Meisi,MMR002007
 Total,2496,2399,4895,Meisi,MMR002007
 Literate,836,701,1537,Ywathit(ST),MMR002005
 Illiterate,124,209,333,Ywathit(ST),MMR002005
 Total,960,910,1870,Ywathit(ST),MMR002005
 Literate,142100,150610,292710,Hpa-an,MMR003001
 Illiterate,26143,40695,66838,Hpa-an,MMR003001
 Total,168243,191305,359548,Hpa-an,MMR003001
 Literate,44789,47007,91796,Hlaingbwe,MMR003002
 Illiterate,17923,22715,40638,Hlaingbwe,MMR003002
 Total,62712,69722,132434,Hlaingbwe,MMR003002
 Literate,12120,12327,24447,Thandaunggyi,MMR003004
 Illiterate,726,783,1509,Thandaunggyi,MMR003004
 Total,12846,13110,25956,Thandaunggyi,MMR003004
 Literate,19475,19528,39003,Paingkyon(ST),MMR003002
 Illiterate,16335,20448,36783,Paingkyon(ST),MMR003002
 Total,35810,39976,75786,Paingkyon(ST),MMR003002
 Literate,2435,2630,5065,Shan Ywathit(ST),MMR003002
 Illiterate,6402,6449,12851,Shan Ywathit(ST),MMR003002
 Total,8837,9079,17916,Shan Ywathit(ST),MMR003002
 Literate,17934,17139,35073,Leiktho(ST),MMR003004
 Illiterate,2622,2996,5618,Leiktho(ST),MMR003004
 Total,20556,20135,40691,Leiktho(ST),MMR003004
 Literate,6872,7143,14015,Bawgali(ST),MMR003004
 Illiterate,539,546,1085,Bawgali(ST),MMR003004
 Total,7411,7689,15100,Bawgali(ST),MMR003004
 Literate,5047,4992,10039,Pharpon,MMR003003
 Illiterate,588,774,1362,Pharpon,MMR003003
 Total,5635,5766,11401,Pharpon,MMR003003
 Literate,6821,7171,13992,Kamamaung(ST},MMR003003
 Illiterate,1374,1957,3331,Kamamaung(ST},MMR003003
 Total,8195,9128,17323,Kamamaung(ST},MMR003003
 Literate,70091,68847,138938,Myawady,MMR003005
 Illiterate,11272,14278,25550,Myawady,MMR003005
 Total,81363,83125,164488,Myawady,MMR003005
 Literate,1448,1198,2646,Sugali(ST),MMR003005
 Illiterate,1013,1102,2115,Sugali(ST),MMR003005
 Total,2461,2300,4761,Sugali(ST),MMR003005
 Literate,2565,2280,4845,Wawlaymyaing(ST),MMR003005
 Illiterate,1448,1408,2856,Wawlaymyaing(ST),MMR003005
 Total,4013,3688,7701,Wawlaymyaing(ST),MMR003005
 Literate,70447,74111,144558,Kawkareik,MMR003006
 Illiterate,17325,27250,44575,Kawkareik,MMR003006
 Total,87772,101361,189133,Kawkareik,MMR003006
 Literate,33285,34969,68254,Kyarinseikkyi,MMR003007
 Illiterate,9995,13204,23199,Kyarinseikkyi,MMR003007
 Total,43280,48173,91453,Kyarinseikkyi,MMR003007
 Literate,27970,29541,57511,Payarthonezu(ST),MMR003007
 Illiterate,8846,10047,18893,Payarthonezu(ST),MMR003007
 Total,36816,39588,76404,Payarthonezu(ST),MMR003007
 Literate,13179,11603,24782,Kyaidon(ST),MMR003007
 Illiterate,10849,12926,23775,Kyaidon(ST),MMR003007
 Total,24028,24529,48557,Kyaidon(ST),MMR003007
 Literate,16692,18917,35609,HaKa,MMR004002
 Illiterate,1999,3277,5276,HaKa,MMR004002
 Total,18691,22194,40885,HaKa,MMR004002
 Literate,17660,18052,35712,Thantlang,MMR004003
 Illiterate,2888,4293,7181,Thantlang,MMR004003
 Total,20548,22345,42893,Thantlang,MMR004003
 Literate,15620,15383,31003,Falam,MMR004001
 Illiterate,1310,2519,3829,Falam,MMR004001
 Total,16930,17902,34832,Falam,MMR004001
 Literate,32077,32386,64463,Tedim,MMR004004
 Illiterate,3367,6996,10363,Tedim,MMR004004
 Total,35444,39382,74826,Tedim,MMR004004
 Literate,7282,7307,14589,Tonzaung,MMR004005
 Illiterate,857,1521,2378,Tonzaung,MMR004005
 Total,8139,8828,16967,Tonzaung,MMR004005
 Literate,2634,2565,5199,Rihkhuadal(ST),MMR004001
 Illiterate,168,336,504,Rihkhuadal(ST),MMR004001
 Total,2802,2901,5703,Rihkhuadal(ST),MMR004001
 Literate,4370,3863,8233,Cikha(ST),MMR004005
 Illiterate,381,936,1317,Cikha(ST),MMR004005
 Total,4751,4799,9550,Cikha(ST),MMR004005
 Literate,13052,12627,25679,Mindat,MMR004006
 Illiterate,2714,6706,9420,Mindat,MMR004006
 Total,15766,19333,35099,Mindat,MMR004006
 Literate,13093,12905,25998,Matupi,MMR004007
 Illiterate,2380,4854,7234,Matupi,MMR004007
 Total,15473,17759,33232,Matupi,MMR004007
 Literate,6800,6152,12952,Kanpalet,MMR004008
 Illiterate,1166,3154,4320,Kanpalet,MMR004008
 Total,7966,9306,17272,Kanpalet,MMR004008
 Literate,20174,17361,37535,Paletwat,MMR004009
 Illiterate,5955,12178,18133,Paletwat,MMR004009
 Total,26129,29539,55668,Paletwat,MMR004009
 Literate,3835,4430,8265,Reazu(ST),MMR004007
 Illiterate,707,1520,2227,Reazu(ST),MMR004007
 Total,4542,5950,10492,Reazu(ST),MMR004007
 Literate,10206,8169,18375,Sami(ST),MMR004009
 Illiterate,2175,5453,7628,Sami(ST),MMR004009
 Total,12381,13622,26003,Sami(ST),MMR004009
 Literate,113144,135942,249086,Sagaing,MMR005001
 Illiterate,3079,6914,9993,Sagaing,MMR005001
 Total,116223,142856,259079,Sagaing,MMR005001
 Literate,41943,50319,92262,Myinmu,MMR005002
 Illiterate,1479,3551,5030,Myinmu,MMR005002
 Total,43422,53870,97292,Myinmu,MMR005002
 Literate,40403,50772,91175,Myaung,MMR005003
 Illiterate,1177,2482,3659,Myaung,MMR005003
 Total,41580,53254,94834,Myaung,MMR005003
 Literate,90643,108460,199103,Shwebo,MMR005004
 Illiterate,3438,7571,11009,Shwebo,MMR005004
 Total,94081,116031,210112,Shwebo,MMR005004
 Literate,57987,67678,125665,Khin U,MMR005005
 Illiterate,1850,4327,6177,Khin U,MMR005005
 Total,59837,72005,131842,Khin U,MMR005005
 Literate,77066,90682,167748,Wetlet,MMR005006
 Illiterate,2653,7730,10383,Wetlet,MMR005006
 Total,79719,98412,178131,Wetlet,MMR005006
 Literate,118461,132696,251157,Kambalu,MMR005007
 Illiterate,3930,8706,12636,Kambalu,MMR005007
 Total,122391,141402,263793,Kambalu,MMR005007
 Literate,42569,43565,86134,Kyunhlau,MMR005008
 Illiterate,1338,3711,5049,Kyunhlau,MMR005008
 Total,43907,47276,91183,Kyunhlau,MMR005008
 Literate,41552,56928,98480,Ye U,MMR005009
 Illiterate,1259,3377,4636,Ye U,MMR005009
 Total,42811,60305,103116,Ye U,MMR005009
 Literate,53051,60889,113940,Depayin,MMR005010
 Illiterate,2588,8654,11242,Depayin,MMR005010
 Total,55639,69543,125182,Depayin,MMR005010
 Literate,60800,79402,140202,Tasei,MMR005011
 Illiterate,1743,5055,6798,Tasei,MMR005011
 Total,62543,84457,147000,Tasei,MMR005011
 Literate,12326,13819,26145,Kyaukmyaung(ST),MMR005004
 Illiterate,618,1387,2005,Kyaukmyaung(ST),MMR005004
 Total,12944,15206,28150,Kyaukmyaung(ST),MMR005004
 Literate,138887,164945,303832,Monywa,MMR005012
 Illiterate,5366,14138,19504,Monywa,MMR005012
 Total,144253,179083,323336,Monywa,MMR005012
 Literate,45708,57367,103075,Butalin,MMR005013
 Illiterate,1598,4822,6420,Butalin,MMR005013
 Total,47306,62189,109495,Butalin,MMR005013
 Literate,59029,69055,128084,Ayartaw,MMR005014
 Illiterate,2962,9556,12518,Ayartaw,MMR005014
 Total,61991,78611,140602,Ayartaw,MMR005014
 Literate,40244,48720,88964,Chaung Oo,MMR005015
 Illiterate,1613,3333,4946,Chaung Oo,MMR005015
 Total,41857,52053,93910,Chaung Oo,MMR005015
 Literate,66575,71595,138170,Katha,MMR005020
 Illiterate,1985,3737,5722,Katha,MMR005020
 Total,68560,75332,143892,Katha,MMR005020
 Literate,47018,53429,100447,Indaw,MMR005021
 Illiterate,1372,3190,4562,Indaw,MMR005021
 Total,48390,56619,105009,Indaw,MMR005021
 Literate,51573,55516,107089,Tigyaing,MMR005022
 Illiterate,1562,2798,4360,Tigyaing,MMR005022
 Total,53135,58314,111449,Tigyaing,MMR005022
 Literate,39805,39648,79453,Banmauk,MMR005023
 Illiterate,2180,7556,9736,Banmauk,MMR005023
 Total,41985,47204,89189,Banmauk,MMR005023
 Literate,58327,64671,122998,Kawlin,MMR005024
 Illiterate,1444,3660,5104,Kawlin,MMR005024
 Total,59771,68331,128102,Kawlin,MMR005024
 Literate,28224,31371,59595,Wuntho,MMR005025
 Illiterate,866,1813,2679,Wuntho,MMR005025
 Total,29090,33184,62274,Wuntho,MMR005025
 Literate,42498,48623,91121,Pinlebu,MMR005026
 Illiterate,1628,4608,6236,Pinlebu,MMR005026
 Total,44126,53231,97357,Pinlebu,MMR005026
 Literate,138002,150097,288099,Kalay,MMR014005
 Illiterate,6411,11504,17915,Kalay,MMR014005
 Total,144413,161601,306014,Kalay,MMR014005
