Urban_Rural,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Total,23806,20013,43819,Ponparkyin(ST),MMR016008
 Urban,279,125,404,Monehta(ST),MMR016008
 Rural,2221,1651,3872,Monehta(ST),MMR016008
 Total,2500,1776,4276,Monehta(ST),MMR016008
 Urban,25146,26407,51553,Tachileik,MMR016009
 Rural,49681,46787,96468,Tachileik,MMR016009
 Total,74827,73194,148021,Tachileik,MMR016009
 Urban,2066,1903,3969,Talay(ST),MMR016009
 Rural,7437,6842,14279,Talay(ST),MMR016009
 Total,9503,8745,18248,Talay(ST),MMR016009
 Urban,1762,1483,3245,Kenglat(ST),MMR016009
 Rural,4032,3767,7799,Kenglat(ST),MMR016009
 Total,5794,5250,11044,Kenglat(ST),MMR016009
 Urban,3251,2823,6074,Minephyat,MMR016010
 Rural,12958,11524,24482,Minephyat,MMR016010
 Total,16209,14347,30556,Minephyat,MMR016010
 Urban,2483,2397,4880,Mineyaung,MMR016011
 Rural,11927,10752,22679,Mineyaung,MMR016011
 Total,14410,13149,27559,Mineyaung,MMR016011
 Urban,514,458,972,Mineyu(ST),MMR016011
 Rural,26950,24409,51359,Mineyu(ST),MMR016011
 Total,27464,24867,52331,Mineyu(ST),MMR016011
 Urban,5421,5671,11092,Kangyidaunt,MMR017002
 Rural,81476,85422,166898,Kangyidaunt,MMR017002
 Total,86897,91093,177990,Kangyidaunt,MMR017002
 Urban,7496,8556,16052,Kyaungon,MMR017007
 Rural,71259,75724,146983,Kyaungon,MMR017007
 Total,78755,84280,163035,Kyaungon,MMR017007
 Urban,11315,12651,23966,Kyonpyaw,MMR017005
 Rural,102423,109338,211761,Kyonpyaw,MMR017005
 Total,113738,121989,235727,Kyonpyaw,MMR017005
 Urban,5072,5610,10682,Ngaputaw,MMR017004
 Rural,79110,78984,158094,Ngaputaw,MMR017004
 Total,84182,84594,168776,Ngaputaw,MMR017004
 Urban,79524,90249,169773,Pathein,MMR017001
 Rural,58139,59159,117298,Pathein,MMR017001
 Total,137663,149408,287071,Pathein,MMR017001
 Urban,4834,5793,10627,Yekyi,MMR017006
 Rural,44973,49470,94443,Yekyi,MMR017006
 Total,49807,55263,105070,Yekyi,MMR017006
 Urban,3423,3877,7300,Thapaung,MMR017003
 Rural,72240,74860,147100,Thapaung,MMR017003
 Total,75663,78737,154400,Thapaung,MMR017003
 Urban,1568,1688,3256,Ngayokaung(ST),MMR017004
 Rural,19347,18591,37938,Ngayokaung(ST),MMR017004
 Total,20915,20279,41194,Ngayokaung(ST),MMR017004
 Urban,7765,7029,14794,Hainggyikyun(ST),MMR017004
 Rural,50150,49565,99715,Hainggyikyun(ST),MMR017004
 Total,57915,56594,114509,Hainggyikyun(ST),MMR017004
 Urban,1599,1581,3180,Shwethaungyan(ST),MMR017001
 Rural,22891,23467,46358,Shwethaungyan(ST),MMR017001
 Total,24490,25048,49538,Shwethaungyan(ST),MMR017001
 Urban,7596,6893,14489,Ngwehsaung(ST),MMR017001
 Rural,15055,14832,29887,Ngwehsaung(ST),MMR017001
 Total,22651,21725,44376,Ngwehsaung(ST),MMR017001
 Urban,8696,10047,18743,Ngathaingchaung(ST),MMR017006
 Rural,33884,36403,70287,Ngathaingchaung(ST),MMR017006
 Total,42580,46450,89030,Ngathaingchaung(ST),MMR017006
 Urban,11719,12760,24479,Kyaiklatt,MMR017025
 Rural,83118,85743,168861,Kyaiklatt,MMR017025
 Total,94837,98503,193340,Kyaiklatt,MMR017025
 Urban,7231,8089,15320,Daydaye,MMR017026
 Rural,92383,95223,187606,Daydaye,MMR017026
 Total,99614,103312,202926,Daydaye,MMR017026
 Urban,23992,25136,49128,Phyapon,MMR017023
 Rural,67920,70295,138215,Phyapon,MMR017023
 Total,91912,95431,187343,Phyapon,MMR017023
 Urban,20530,22694,43224,Bogale,MMR017024
 Rural,138766,140675,279441,Bogale,MMR017024
 Total,159296,163369,322665,Bogale,MMR017024
 Urban,1673,1685,3358,Ahmar(ST),MMR017023
 Rural,62021,61400,123421,Ahmar(ST),MMR017023
 Total,63694,63085,126779,Ahmar(ST),MMR017023
 Urban,11566,12889,24455,Nyaungdon,MMR017021
 Rural,94147,97304,191451,Nyaungdon,MMR017021
 Total,105713,110193,215906,Nyaungdon,MMR017021
 Urban,9977,11785,21762,Danubyu,MMR017022
 Rural,75798,81793,157591,Danubyu,MMR017022
 Total,85775,93578,179353,Danubyu,MMR017022
 Urban,9385,10435,19820,Pantanaw,MMR017020
 Rural,118737,126039,244776,Pantanaw,MMR017020
 Total,128122,136474,264596,Pantanaw,MMR017020
 Urban,20277,22834,43111,Maubin,MMR017019
 Rural,132663,138319,270982,Maubin,MMR017019
 Total,152940,161153,314093,Maubin,MMR017019
 Urban,27626,31072,58698,Myaungmya,MMR017014
 Rural,118346,121593,239939,Myaungmya,MMR017014
 Total,145972,152665,298637,Myaungmya,MMR017014
 Urban,10455,11726,22181,Wakema,MMR017017
 Rural,130243,136682,266925,Wakema,MMR017017
 Total,140698,148408,289106,Wakema,MMR017017
 Urban,6395,7159,13554,Einme,MMR017015
 Rural,88234,92313,180547,Einme,MMR017015
 Total,94629,99472,194101,Einme,MMR017015
 Urban,15800,17115,32915,Mawlamyinegyun,MMR017018
 Rural,137327,141098,278425,Mawlamyinegyun,MMR017018
 Total,153127,158213,311340,Mawlamyinegyun,MMR017018
 Urban,14987,16187,31174,Labutta,MMR017016
 Rural,99759,98996,198755,Labutta,MMR017016
 Total,114746,115183,229929,Labutta,MMR017016
 Urban,1186,1043,2229,Pyinsalu(ST),MMR017016
 Rural,42980,40080,83060,Pyinsalu(ST),MMR017016
 Total,44166,41123,85289,Pyinsalu(ST),MMR017016
 Urban,9123,10372,19495,Kyangin,MMR017012
 Rural,36500,40088,76588,Kyangin,MMR017012
 Total,45623,50460,96083,Kyangin,MMR017012
 Urban,9969,11285,21254,Zalun,MMR017009
 Rural,69684,77265,146949,Zalun,MMR017009
 Total,79653,88550,168203,Zalun,MMR017009
 Urban,10120,12430,22550,Myanaung,MMR017011
 Rural,92183,103848,196031,Myanaung,MMR017011
 Total,102303,116278,218581,Myanaung,MMR017011
 Urban,1338,1519,2857,Laymyethna,MMR017010
 Rural,48323,51844,100167,Laymyethna,MMR017010
 Total,49661,53363,103024,Laymyethna,MMR017010
 Urban,38868,44894,83762,Hinthada,MMR017008
 Rural,120826,133847,254673,Hinthada,MMR017008
 Total,159694,178741,338435,Hinthada,MMR017008
 Urban,6167,7153,13320,Ingapu,MMR017013
 Rural,96210,104854,201064,Ingapu,MMR017013
 Total,102377,112007,214384,Ingapu,MMR017013
 Urban,19609,22074,41683,Tatkon,MMR018003
 Rural,84106,91304,175410,Tatkon,MMR018003
 Total,103715,113378,217093,Tatkon,MMR018003
 Urban,18864,16242,35106,Zeyarthiri,MMR018001
 Rural,36778,39409,76187,Zeyarthiri,MMR018001
 Total,55642,55651,111293,Zeyarthiri,MMR018001
 Urban,12459,11496,23955,Ottarathiri,MMR018008
 Rural,28850,28815,57665,Ottarathiri,MMR018008
 Total,41309,40311,81620,Ottarathiri,MMR018008
 Urban,22018,22419,44437,Pobbathiri,MMR018005
 Rural,35308,36746,72054,Pobbathiri,MMR018005
 Total,57326,59165,116491,Pobbathiri,MMR018005
 Urban,34214,37796,72010,Pyinmana,MMR018006
 Rural,56517,59038,115555,Pyinmana,MMR018006
 Total,90731,96834,187565,Pyinmana,MMR018006
 Urban,14498,15710,30208,Lewe,MMR018007
 Rural,123637,130548,254185,Lewe,MMR018007
 Total,138135,146258,284393,Lewe,MMR018007
 Urban,48415,56181,104596,Zabuthiri,MMR018002
 Rural,2832,3031,5863,Zabuthiri,MMR018002
 Total,51247,59212,110459,Zabuthiri,MMR018002
 Urban,12950,10244,23194,Dekkhinathiri,MMR018004
 Rural,14100,14034,28134,Dekkhinathiri,MMR018004
 Total,27050,24278,51328,Dekkhinathiri,MMR018004
 Urban,7114224,7763719,14877943,Dekkhinathiri,MMR018004
 Rural,17114490,18287467,35401957,Dekkhinathiri,MMR018004
 Total,24228714,26051186,50279900,Dekkhinathiri,MMR018004
