Urban_Rural,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Rural,38311,45715,84026,Chaung Oo,MMR005015
 Total,48456,57499,105955,Chaung Oo,MMR005015
 Urban,12932,13800,26732,Katha,MMR005020
 Rural,69393,71609,141002,Katha,MMR005020
 Total,82325,85409,167734,Katha,MMR005020
 Urban,3898,4631,8529,Indaw,MMR005021
 Rural,52916,58821,111737,Indaw,MMR005021
 Total,56814,63452,120266,Indaw,MMR005021
 Urban,6395,7140,13535,Tigyaing,MMR005022
 Rural,57341,59079,116420,Tigyaing,MMR005022
 Total,63736,66219,129955,Tigyaing,MMR005022
 Urban,2883,3282,6165,Banmauk,MMR005023
 Rural,54312,52191,106503,Banmauk,MMR005023
 Total,57195,55473,112668,Banmauk,MMR005023
 Urban,9957,11474,21431,Kawlin,MMR005024
 Rural,59825,64041,123866,Kawlin,MMR005024
 Total,69782,75515,145297,Kawlin,MMR005024
 Urban,5598,6374,11972,Wuntho,MMR005025
 Rural,29867,31556,61423,Wuntho,MMR005025
 Total,35465,37930,73395,Wuntho,MMR005025
 Urban,3259,3704,6963,Pinlebu,MMR005026
 Rural,49134,55871,105005,Pinlebu,MMR005026
 Total,52393,59575,111968,Pinlebu,MMR005026
 Urban,60657,69849,130506,Kalay,MMR014005
 Rural,106901,111166,218067,Kalay,MMR014005
 Total,167558,181015,348573,Kalay,MMR014005
 Urban,4168,4651,8819,Kalewa,MMR005028
 Rural,23547,24066,47613,Kalewa,MMR005028
 Total,27715,28717,56432,Kalewa,MMR005028
 Urban,1579,1888,3467,Mingin,MMR005029
 Rural,48592,52304,100896,Mingin,MMR005029
 Total,50171,54192,104363,Mingin,MMR005029
 Urban,21295,22442,43737,Tamu,MMR005030
 Rural,7944,7662,15606,Tamu,MMR005030
 Total,29239,30104,59343,Tamu,MMR005030
 Urban,917,725,1642,Myothit(ST),MMR005030
 Rural,7843,7313,15156,Myothit(ST),MMR005030
 Total,8760,8038,16798,Myothit(ST),MMR005030
 Urban,7004,7555,14559,Khampat(ST),MMR005030
 Rural,12004,12165,24169,Khampat(ST),MMR005030
 Total,19008,19720,38728,Khampat(ST),MMR005030
 Urban,4401,4155,8556,Mawlaik,MMR005031
 Rural,20654,22104,42758,Mawlaik,MMR005031
 Total,25055,26259,51314,Mawlaik,MMR005031
 Urban,4905,5144,10049,Phaungpyin,MMR005032
 Rural,48964,53681,102645,Phaungpyin,MMR005032
 Total,53869,58825,112694,Phaungpyin,MMR005032
 Urban,5881,5670,11551,Hkamti,MMR005033
 Rural,21035,15072,36107,Hkamti,MMR005033
 Total,26916,20742,47658,Hkamti,MMR005033
 Urban,10958,10262,21220,Homalin,MMR005034
 Rural,122792,114194,236986,Homalin,MMR005034
 Total,133750,124456,258206,Homalin,MMR005034
 Urban,885,820,1705,Leshi,MMR005035
 Rural,3606,3750,7356,Leshi,MMR005035
 Total,4491,4570,9061,Leshi,MMR005035
 Urban,1700,1441,3141,Lahe,MMR005036
 Rural,19743,20307,40050,Lahe,MMR005036
 Total,21443,21748,43191,Lahe,MMR005036
 Urban,1396,1048,2444,Nanyun,MMR005037
 Rural,4398,3672,8070,Nanyun,MMR005037
 Total,5794,4720,10514,Nanyun,MMR005037
 Urban,497,490,987,Mobaingluk(ST),MMR005035
 Rural,216,227,443,Mobaingluk(ST),MMR005035
 Total,713,717,1430,Mobaingluk(ST),MMR005035
 Urban,705,779,1484,Sonemara(ST),MMR005035
 Rural,2041,2306,4347,Sonemara(ST),MMR005035
 Total,2746,3085,5831,Sonemara(ST),MMR005035
 Urban,594,394,988,Htanparkway(ST),MMR005036
 Rural,2242,2105,4347,Htanparkway(ST),MMR005036
 Total,2836,2499,5335,Htanparkway(ST),MMR005036
 Urban,1094,1084,2178,Pansaung(ST),MMR005037
 Rural,6978,6541,13519,Pansaung(ST),MMR005037
 Total,8072,7625,15697,Pansaung(ST),MMR005037
 Urban,929,592,1521,Donhee(ST),MMR005037
 Rural,11888,12360,24248,Donhee(ST),MMR005037
 Total,12817,12952,25769,Donhee(ST),MMR005037
 Urban,2259,2547,4806,Yinmarpin,MMR005016
 Rural,63715,72959,136674,Yinmarpin,MMR005016
 Total,65974,75506,141480,Yinmarpin,MMR005016
 Urban,2465,3088,5553,Salingyi,MMR005018
 Rural,53264,62991,116255,Salingyi,MMR005018
 Total,55729,66079,121808,Salingyi,MMR005018
 Urban,1943,2152,4095,Palae,MMR005019
 Rural,64866,75045,139911,Palae,MMR005019
 Total,66809,77197,144006,Palae,MMR005019
 Urban,2216,2671,4887,Kani,MMR005017
 Rural,60249,69405,129654,Kani,MMR005017
 Total,62465,72076,134541,Kani,MMR005017
 Urban,38008,42109,80117,Dawei,MMR006001
 Rural,22036,23452,45488,Dawei,MMR006001
 Total,60044,65561,125605,Dawei,MMR006001
 Urban,2457,2877,5334,Lounglon,MMR006002
 Rural,53101,59882,112983,Lounglon,MMR006002
 Total,55558,62759,118317,Lounglon,MMR006002
 Urban,5642,5663,11305,Thayetchaung,MMR006003
 Rural,44779,49578,94357,Thayetchaung,MMR006003
 Total,50421,55241,105662,Thayetchaung,MMR006003
 Urban,2327,2417,4744,Yebyu,MMR006004
 Rural,48455,47569,96024,Yebyu,MMR006004
 Total,50782,49986,100768,Yebyu,MMR006004
 Urban,1760,1582,3342,Myitta(ST),MMR006001
 Rural,8849,9168,18017,Myitta(ST),MMR006001
 Total,10609,10750,21359,Myitta(ST),MMR006001
 Urban,1621,1493,3114,Kaleinaung(ST),MMR006004
 Rural,10038,8713,18751,Kaleinaung(ST),MMR006004
 Total,11659,10206,21865,Kaleinaung(ST),MMR006004
 Urban,55056,60085,115141,Myeik,MMR006005
 Rural,84536,84812,169348,Myeik,MMR006005
 Total,139592,144897,284489,Myeik,MMR006005
 Urban,3054,2494,5548,Kyunsu,MMR006006
 Rural,84723,81482,166205,Kyunsu,MMR006006
 Total,87777,83976,171753,Kyunsu,MMR006006
 Urban,9206,9730,18936,Palaw,MMR006007
 Rural,36160,38342,74502,Palaw,MMR006007
 Total,45366,48072,93438,Palaw,MMR006007
 Urban,2746,2768,5514,Tanintharyi,MMR006008
 Rural,52071,49268,101339,Tanintharyi,MMR006008
 Total,54817,52036,106853,Tanintharyi,MMR006008
 Urban,3064,3112,6176,Palauk(ST),MMR006007
 Rural,15055,15323,30378,Palauk(ST),MMR006007
 Total,18119,18435,36554,Palauk(ST),MMR006007
 Urban,28657,29292,57949,Kawthoung,MMR006009
 Rural,30850,28181,59031,Kawthoung,MMR006009
 Total,59507,57473,116980,Kawthoung,MMR006009
 Urban,2707,2677,5384,Bokepyin,MMR006010
 Rural,22285,19152,41437,Bokepyin,MMR006010
 Total,24992,21829,46821,Bokepyin,MMR006010
 Urban,5924,4833,10757,Khamaukgyi,MMR006009
 Rural,6732,5551,12283,Khamaukgyi,MMR006009
 Total,12656,10384,23040,Khamaukgyi,MMR006009
 Urban,1965,1681,3646,Pyigyimandaing,MMR006010
 Rural,6833,6125,12958,Pyigyimandaing,MMR006010
 Total,8798,7806,16604,Pyigyimandaing,MMR006010
 Urban,788,624,1412,Karathuri(ST),MMR006010
 Rural,9134,7747,16881,Karathuri(ST),MMR006010
 Total,9922,8371,18293,Karathuri(ST),MMR006010
 Urban,119243,135181,254424,Bago,MMR007001
 Rural,116286,120724,237010,Bago,MMR007001
 Total,235529,255905,491434,Bago,MMR007001
 Urban,7381,8441,15822,Tanatpin,MMR007002
 Rural,61755,67710,129465,Tanatpin,MMR007002
 Total,69136,76151,145287,Tanatpin,MMR007002
 Urban,8050,9346,17396,Kawa,MMR007003
 Rural,85754,94213,179967,Kawa,MMR007003
 Total,93804,103559,197363,Kawa,MMR007003
 Urban,10752,12391,23143,Waw,MMR007004
 Rural,72947,79924,152871,Waw,MMR007004
 Total,83699,92315,176014,Waw,MMR007004
 Urban,27863,31381,59244,Nyaunglebin,MMR007005
 Rural,66601,73638,140239,Nyaunglebin,MMR007005
 Total,94464,105019,199483,Nyaunglebin,MMR007005
 Urban,14849,16807,31656,Kyauktaga,MMR007006
 Rural,105175,114381,219556,Kyauktaga,MMR007006
 Total,120024,131188,251212,Kyauktaga,MMR007006
 Urban,18054,20423,38477,Daik U,MMR007007
 Rural,78308,85745,164053,Daik U,MMR007007
 Total,96362,106168,202530,Daik U,MMR007007
 Urban,11994,12585,24579,Shwegyin,MMR007008
 Rural,41098,41785,82883,Shwegyin,MMR007008
 Total,53092,54370,107462,Shwegyin,MMR007008
 Urban,50614,57975,108589,Toungoo,MMR007009
 Rural,74528,78939,153467,Toungoo,MMR007009
 Total,125142,136914,262056,Toungoo,MMR007009
 Urban,11364,13056,24420,Yaedashe,MMR007010
 Rural,91934,97239,189173,Yaedashe,MMR007010
 Total,103298,110295,213593,Yaedashe,MMR007010
 Urban,5051,5764,10815,Kyaukkyi,MMR007011
 Rural,49236,53278,102514,Kyaukkyi,MMR007011
 Total,54287,59042,113329,Kyaukkyi,MMR007011
 Urban,29680,34200,63880,Pyu,MMR007012
 Rural,91443,101950,193393,Pyu,MMR007012
 Total,121123,136150,257273,Pyu,MMR007012
 Urban,6481,7662,14143,Oatwin,MMR007013
 Rural,68900,76785,145685,Oatwin,MMR007013
 Total,75381,84447,159828,Oatwin,MMR007013
 Urban,4646,5243,9889,Htantapin,MMR007014
 Rural,50687,56700,107387,Htantapin,MMR007014
 Total,55333,61943,117276,Htantapin,MMR007014
 Urban,62903,71958,134861,Pyay,MMR008001
 Rural,56767,60015,116782,Pyay,MMR008001
 Total,119670,131973,251643,Pyay,MMR008001
 Urban,6477,7560,14037,Paukkhaung,MMR008002
 Rural,54464,56355,110819,Paukkhaung,MMR008002
 Total,60941,63915,124856,Paukkhaung,MMR008002
 Urban,8187,9491,17678,Padaung,MMR008003
 Rural,61097,65439,126536,Padaung,MMR008003
 Total,69284,74930,144214,Padaung,MMR008003
 Urban,11974,13481,25455,Paunde,MMR008004
 Rural,54238,57868,112106,Paunde,MMR008004
 Total,66212,71349,137561,Paunde,MMR008004
 Urban,7280,8472,15752,Thegon,MMR008005
 Rural,54527,60678,115205,Thegon,MMR008005
 Total,61807,69150,130957,Thegon,MMR008005
 Urban,7956,9725,17681,Shwedaung,MMR008006
 Rural,48681,55309,103990,Shwedaung,MMR008006
 Total,56637,65034,121671,Shwedaung,MMR008006
 Urban,17282,18533,35815,Tharyarwaddy,MMR008007
 Rural,55490,59799,115289,Tharyarwaddy,MMR008007
 Total,72772,78332,151104,Tharyarwaddy,MMR008007
 Urban,11638,13154,24792,Letpadan,MMR008008
 Rural,72758,79857,152615,Letpadan,MMR008008
 Total,84396,93011,177407,Letpadan,MMR008008
 Urban,5384,6313,11697,Minhla,MMR009013
 Rural,53193,57601,110794,Minhla,MMR009013
 Total,58577,63914,122491,Minhla,MMR009013
 Urban,5304,6221,11525,Okpo,MMR008010
 Rural,55401,59736,115137,Okpo,MMR008010
 Total,60705,65957,126662,Okpo,MMR008010
 Urban,7076,8157,15233,Zigon,MMR008011
 Rural,25091,27199,52290,Zigon,MMR008011
 Total,32167,35356,67523,Zigon,MMR008011
 Urban,8632,10297,18929,Nattalin,MMR008012
 Rural,73451,79761,153212,Nattalin,MMR008012
 Total,82083,90058,172141,Nattalin,MMR008012
 Urban,4478,4979,9457,Monyo,MMR008013
 Rural,56186,61927,118113,Monyo,MMR008013
 Total,60664,66906,127570,Monyo,MMR008013
 Urban,10564,12383,22947,Gyobingauk,MMR008014
 Rural,45185,49301,94486,Gyobingauk,MMR008014
 Total,55749,61684,117433,Gyobingauk,MMR008014
 Urban,43890,50148,94038,Magway,MMR009001
 Rural,91213,103996,195209,Magway,MMR009001
 Total,135103,154144,289247,Magway,MMR009001
 Urban,20271,24849,45120,Yenangyoung,MMR009002
 Rural,39957,49150,89107,Yenangyoung,MMR009002
 Total,60228,73999,134227,Yenangyoung,MMR009002
 Urban,20281,24795,45076,Chauk,MMR009003
 Rural,62104,78009,140113,Chauk,MMR009003
 Total,82385,102804,185189,Chauk,MMR009003
 Urban,21742,24281,46023,Taungdwingyi,MMR009004
 Rural,100964,112873,213837,Taungdwingyi,MMR009004
 Total,122706,137154,259860,Taungdwingyi,MMR009004
 Urban,3706,4374,8080,Myothit,MMR009005
 Rural,70333,81098,151431,Myothit,MMR009005
 Total,74039,85472,159511,Myothit,MMR009005
 Urban,6774,7963,14737,Natmauk,MMR009006
 Rural,86000,106259,192259,Natmauk,MMR009006
 Total,92774,114222,206996,Natmauk,MMR009006
 Urban,18140,21419,39559,Minbu,MMR009007
 Rural,70122,78501,148623,Minbu,MMR009007
 Total,88262,99920,188182,Minbu,MMR009007
 Urban,2910,3440,6350,Pwint Phyu,MMR009008
 Rural,73830,83512,157342,Pwint Phyu,MMR009008
 Total,76740,86952,163692,Pwint Phyu,MMR009008
 Urban,1884,2181,4065,Ngape,MMR009009
 Rural,23191,24886,48077,Ngape,MMR009009
 Total,25075,27067,52142,Ngape,MMR009009
 Urban,5571,6587,12158,Salin,MMR009010
 Rural,103154,120721,223875,Salin,MMR009010
 Total,108725,127308,236033,Salin,MMR009010
 Urban,3222,3292,6514,Saytottara,MMR009011
 Rural,20116,20896,41012,Saytottara,MMR009011
 Total,23338,24188,47526,Saytottara,MMR009011
 Urban,9403,10848,20251,Thayet,MMR009012
 Rural,39982,44114,84096,Thayet,MMR009012
 Total,49385,54962,104347,Thayet,MMR009012
 Urban,5892,6618,12510,Minhla,MMR009013
 Rural,67241,66331,133572,Minhla,MMR009013
 Total,73133,72949,146082,Minhla,MMR009013
 Urban,2112,2482,4594,Mindon,MMR009014
 Rural,25849,28914,54763,Mindon,MMR009014
 Total,27961,31396,59357,Mindon,MMR009014
 Urban,2417,2785,5202,Kamma,MMR009015
 Rural,33437,36556,69993,Kamma,MMR009015
 Total,35854,39341,75195,Kamma,MMR009015
 Urban,24632,27855,52487,Aunglan,MMR009016
 Rural,87133,95602,182735,Aunglan,MMR009016
 Total,111765,123457,235222,Aunglan,MMR009016
 Urban,2354,2735,5089,Sinpaungwe`,MMR009017
 Rural,53435,59320,112755,Sinpaungwe`,MMR009017
 Total,55789,62055,117844,Sinpaungwe`,MMR009017
 Urban,41225,49617,90842,Pakokku,MMR009018
 Rural,89516,109781,199297,Pakokku,MMR009018
 Total,130741,159398,290139,Pakokku,MMR009018
 Urban,10471,12858,23329,Yesagyo,MMR009019
 Rural,83882,108141,192023,Yesagyo,MMR009019
 Total,94353,120999,215352,Yesagyo,MMR009019
 Urban,3486,4220,7706,Myaing,MMR009020
 Rural,97368,120697,218065,Myaing,MMR009020
 Total,100854,124917,225771,Myaing,MMR009020
