Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Total,102,6948,7050,Kyaukmyaung(ST),MMR005004
 Urban,3566,36840,40406,Monywa,MMR005012
 Rural,474,35082,35556,Monywa,MMR005012
 Total,4040,71922,75962,Monywa,MMR005012
 Urban,55,1138,1193,Butalin,MMR005013
 Rural,184,27239,27423,Butalin,MMR005013
 Total,239,28377,28616,Butalin,MMR005013
 Urban,81,2074,2155,Ayartaw,MMR005014
 Rural,255,33181,33436,Ayartaw,MMR005014
 Total,336,35255,35591,Ayartaw,MMR005014
 Urban,186,4895,5081,Chaung Oo,MMR005015
 Rural,213,18082,18295,Chaung Oo,MMR005015
 Total,399,22977,23376,Chaung Oo,MMR005015
 Urban,199,5064,5263,Katha,MMR005020
 Rural,324,26374,26698,Katha,MMR005020
 Total,523,31438,31961,Katha,MMR005020
 Urban,75,1767,1842,Indaw,MMR005021
 Rural,167,21221,21388,Indaw,MMR005021
 Total,242,22988,23230,Indaw,MMR005021
 Urban,68,3002,3070,Tigyaing,MMR005022
 Rural,493,22826,23319,Tigyaing,MMR005022
 Total,561,25828,26389,Tigyaing,MMR005022
 Urban,72,1140,1212,Banmauk,MMR005023
 Rural,218,17438,17656,Banmauk,MMR005023
 Total,290,18578,18868,Banmauk,MMR005023
 Urban,187,4382,4569,Kawlin,MMR005024
 Rural,485,26349,26834,Kawlin,MMR005024
 Total,672,30731,31403,Kawlin,MMR005024
 Urban,62,2528,2590,Wuntho,MMR005025
 Rural,91,11524,11615,Wuntho,MMR005025
 Total,153,14052,14205,Wuntho,MMR005025
 Urban,57,1412,1469,Pinlebu,MMR005026
 Rural,198,20233,20431,Pinlebu,MMR005026
 Total,255,21645,21900,Pinlebu,MMR005026
 Urban,1107,24614,25721,Kalay,MMR014005
 Rural,457,46591,47048,Kalay,MMR014005
 Total,1564,71205,72769,Kalay,MMR014005
 Urban,91,1862,1953,Kalewa,MMR005028
 Rural,60,9722,9782,Kalewa,MMR005028
 Total,151,11584,11735,Kalewa,MMR005028
 Urban,10,826,836,Mingin,MMR005029
 Rural,52,21170,21222,Mingin,MMR005029
 Total,62,21996,22058,Mingin,MMR005029
 Urban,341,8648,8989,Tamu,MMR005030
 Rural,9,2988,2997,Tamu,MMR005030
 Total,350,11636,11986,Tamu,MMR005030
 Urban,7,301,308,Myothit(ST),MMR005030
 Rural,27,2762,2789,Myothit(ST),MMR005030
 Total,34,3063,3097,Myothit(ST),MMR005030
 Urban,22,2816,2838,Khampat(ST),MMR005030
 Rural,37,4633,4670,Khampat(ST),MMR005030
 Total,59,7449,7508,Khampat(ST),MMR005030
 Urban,26,1798,1824,Mawlaik,MMR005031
 Rural,40,8481,8521,Mawlaik,MMR005031
 Total,66,10279,10345,Mawlaik,MMR005031
 Urban,28,1914,1942,Phaungpyin,MMR005032
 Rural,108,18196,18304,Phaungpyin,MMR005032
 Total,136,20110,20246,Phaungpyin,MMR005032
 Urban,40,2143,2183,Hkamti,MMR005033
 Rural,48,5130,5178,Hkamti,MMR005033
 Total,88,7273,7361,Hkamti,MMR005033
 Urban,96,3479,3575,Homalin,MMR005034
 Rural,438,31730,32168,Homalin,MMR005034
 Total,534,35209,35743,Homalin,MMR005034
 Urban,10,243,253,Leshi,MMR005035
 Rural,-,1403,1403,Leshi,MMR005035
 Total,10,1646,1656,Leshi,MMR005035
 Urban,5,533,538,Lahe,MMR005036
 Rural,4,6435,6439,Lahe,MMR005036
 Total,9,6968,6977,Lahe,MMR005036
 Urban,5,370,375,Nanyun,MMR005037
 Rural,-,1193,1193,Nanyun,MMR005037
 Total,5,1563,1568,Nanyun,MMR005037
 Urban,-,210,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,-,310,310,Mobaingluk(ST),MMR005035
 Urban,8,278,286,Sonemara(ST),MMR005035
 Rural,7,901,908,Sonemara(ST),MMR005035
 Total,15,1179,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,7,331,338,Pansaung(ST),MMR005037
 Rural,1,2010,2011,Pansaung(ST),MMR005037
 Total,8,2341,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,-,3754,3754,Donhee(ST),MMR005037
 Total,-,3923,3923,Donhee(ST),MMR005037
 Urban,57,1020,1077,Yinmarpin,MMR005016
 Rural,276,28179,28455,Yinmarpin,MMR005016
 Total,333,29199,29532,Yinmarpin,MMR005016
 Urban,29,1193,1222,Salingyi,MMR005018
 Rural,377,24868,25245,Salingyi,MMR005018
 Total,406,26061,26467,Salingyi,MMR005018
 Urban,39,892,931,Palae,MMR005019
 Rural,264,31167,31431,Palae,MMR005019
 Total,303,32059,32362,Palae,MMR005019
 Urban,37,1101,1138,Kani,MMR005017
 Rural,231,27854,28085,Kani,MMR005017
 Total,268,28955,29223,Kani,MMR005017
 Urban,1067,14315,15382,Dawei,MMR006001
 Rural,268,9293,9561,Dawei,MMR006001
 Total,1335,23608,24943,Dawei,MMR006001
 Urban,46,1194,1240,Lounglon,MMR006002
 Rural,410,24085,24495,Lounglon,MMR006002
 Total,456,25279,25735,Lounglon,MMR006002
 Urban,85,2322,2407,Thayetchaung,MMR006003
 Rural,237,20230,20467,Thayetchaung,MMR006003
 Total,322,22552,22874,Thayetchaung,MMR006003
 Urban,28,1049,1077,Yebyu,MMR006004
 Rural,318,20678,20996,Yebyu,MMR006004
 Total,346,21727,22073,Yebyu,MMR006004
 Urban,17,479,496,Myitta(ST),MMR006001
 Rural,75,3619,3694,Myitta(ST),MMR006001
 Total,92,4098,4190,Myitta(ST),MMR006001
 Urban,17,607,624,Kaleinaung(ST),MMR006004
 Rural,39,3614,3653,Kaleinaung(ST),MMR006004
 Total,56,4221,4277,Kaleinaung(ST),MMR006004
 Urban,916,20632,21548,Myeik,MMR006005
 Rural,430,32371,32801,Myeik,MMR006005
 Total,1346,53003,54349,Myeik,MMR006005
 Urban,14,1128,1142,Kyunsu,MMR006006
 Rural,42,31804,31846,Kyunsu,MMR006006
 Total,56,32932,32988,Kyunsu,MMR006006
 Urban,62,3509,3571,Palaw,MMR006007
 Rural,98,14856,14954,Palaw,MMR006007
 Total,160,18365,18525,Palaw,MMR006007
 Urban,17,1109,1126,Tanintharyi,MMR006008
 Rural,110,18693,18803,Tanintharyi,MMR006008
 Total,127,19802,19929,Tanintharyi,MMR006008
 Urban,13,1198,1211,Palauk(ST),MMR006007
 Rural,25,5892,5917,Palauk(ST),MMR006007
 Total,38,7090,7128,Palauk(ST),MMR006007
 Urban,272,12308,12580,Kawthoung,MMR006009
 Rural,140,12761,12901,Kawthoung,MMR006009
 Total,412,25069,25481,Kawthoung,MMR006009
 Urban,22,1025,1047,Bokepyin,MMR006010
 Rural,34,7795,7829,Bokepyin,MMR006010
 Total,56,8820,8876,Bokepyin,MMR006010
 Urban,21,2334,2355,Khamaukgyi,MMR006009
 Rural,13,2497,2510,Khamaukgyi,MMR006009
 Total,34,4831,4865,Khamaukgyi,MMR006009
 Urban,9,706,715,Pyigyimandaing,MMR006010
 Rural,3,2386,2389,Pyigyimandaing,MMR006010
 Total,12,3092,3104,Pyigyimandaing,MMR006010
 Urban,5,281,286,Karathuri(ST),MMR006010
 Rural,8,3468,3476,Karathuri(ST),MMR006010
 Total,13,3749,3762,Karathuri(ST),MMR006010
 Urban,2325,52567,54892,Bago,MMR007001
 Rural,603,51637,52240,Bago,MMR007001
 Total,2928,104204,107132,Bago,MMR007001
 Urban,118,3511,3629,Tanatpin,MMR007002
 Rural,73,28825,28898,Tanatpin,MMR007002
 Total,191,32336,32527,Tanatpin,MMR007002
 Urban,82,4172,4254,Kawa,MMR007003
 Rural,129,41692,41821,Kawa,MMR007003
 Total,211,45864,46075,Kawa,MMR007003
 Urban,133,4913,5046,Waw,MMR007004
 Rural,163,31874,32037,Waw,MMR007004
 Total,296,36787,37083,Waw,MMR007004
 Urban,276,12786,13062,Nyaunglebin,MMR007005
 Rural,112,31588,31700,Nyaunglebin,MMR007005
 Total,388,44374,44762,Nyaunglebin,MMR007005
 Urban,164,6709,6873,Kyauktaga,MMR007006
 Rural,255,44520,44775,Kyauktaga,MMR007006
 Total,419,51229,51648,Kyauktaga,MMR007006
 Urban,210,8530,8740,Daik U,MMR007007
 Rural,303,36710,37013,Daik U,MMR007007
 Total,513,45240,45753,Daik U,MMR007007
 Urban,149,4716,4865,Shwegyin,MMR007008
 Rural,54,16863,16917,Shwegyin,MMR007008
 Total,203,21579,21782,Shwegyin,MMR007008
 Urban,1127,20773,21900,Toungoo,MMR007009
 Rural,309,35251,35560,Toungoo,MMR007009
 Total,1436,56024,57460,Toungoo,MMR007009
 Urban,244,5711,5955,Yaedashe,MMR007010
 Rural,446,44126,44572,Yaedashe,MMR007010
 Total,690,49837,50527,Yaedashe,MMR007010
 Urban,48,2210,2258,Kyaukkyi,MMR007011
 Rural,88,20537,20625,Kyaukkyi,MMR007011
 Total,136,22747,22883,Kyaukkyi,MMR007011
 Urban,377,13450,13827,Pyu,MMR007012
 Rural,189,40915,41104,Pyu,MMR007012
 Total,566,54365,54931,Pyu,MMR007012
 Urban,73,3136,3209,Oatwin,MMR007013
 Rural,222,33439,33661,Oatwin,MMR007013
 Total,295,36575,36870,Oatwin,MMR007013
 Urban,61,2315,2376,Htantapin,MMR007014
 Rural,127,24278,24405,Htantapin,MMR007014
 Total,188,26593,26781,Htantapin,MMR007014
 Urban,1338,27477,28815,Pyay,MMR008001
 Rural,387,29355,29742,Pyay,MMR008001
 Total,1725,56832,58557,Pyay,MMR008001
 Urban,177,3429,3606,Paukkhaung,MMR008002
 Rural,236,28505,28741,Paukkhaung,MMR008002
 Total,413,31934,32347,Paukkhaung,MMR008002
 Urban,171,4297,4468,Padaung,MMR008003
 Rural,287,34137,34424,Padaung,MMR008003
 Total,458,38434,38892,Padaung,MMR008003
 Urban,182,6299,6481,Paunde,MMR008004
 Rural,103,30116,30219,Paunde,MMR008004
 Total,285,36415,36700,Paunde,MMR008004
 Urban,70,4196,4266,Thegon,MMR008005
 Rural,150,31534,31684,Thegon,MMR008005
 Total,220,35730,35950,Thegon,MMR008005
 Urban,127,4391,4518,Shwedaung,MMR008006
 Rural,163,28883,29046,Shwedaung,MMR008006
 Total,290,33274,33564,Shwedaung,MMR008006
 Urban,224,7940,8164,Tharyarwaddy,MMR008007
 Rural,112,28350,28462,Tharyarwaddy,MMR008007
 Total,336,36290,36626,Tharyarwaddy,MMR008007
 Urban,166,5569,5735,Letpadan,MMR008008
 Rural,100,37649,37749,Letpadan,MMR008008
 Total,266,43218,43484,Letpadan,MMR008008
 Urban,78,2624,2702,Minhla,MMR009013
 Rural,124,28068,28192,Minhla,MMR009013
 Total,202,30692,30894,Minhla,MMR009013
 Urban,64,2736,2800,Okpo,MMR008010
 Rural,124,28970,29094,Okpo,MMR008010
 Total,188,31706,31894,Okpo,MMR008010
 Urban,100,3867,3967,Zigon,MMR008011
 Rural,53,14190,14243,Zigon,MMR008011
 Total,153,18057,18210,Zigon,MMR008011
 Urban,164,4478,4642,Nattalin,MMR008012
 Rural,110,41017,41127,Nattalin,MMR008012
 Total,274,45495,45769,Nattalin,MMR008012
 Urban,37,2343,2380,Monyo,MMR008013
 Rural,55,30852,30907,Monyo,MMR008013
 Total,92,33195,33287,Monyo,MMR008013
 Urban,186,5398,5584,Gyobingauk,MMR008014
 Rural,95,24907,25002,Gyobingauk,MMR008014
 Total,281,30305,30586,Gyobingauk,MMR008014
 Urban,1400,18470,19870,Magway,MMR009001
 Rural,377,48430,48807,Magway,MMR009001
 Total,1777,66900,68677,Magway,MMR009001
 Urban,321,10355,10676,Yenangyoung,MMR009002
 Rural,138,21686,21824,Yenangyoung,MMR009002
 Total,459,32041,32500,Yenangyoung,MMR009002
 Urban,398,10003,10401,Chauk,MMR009003
 Rural,310,33907,34217,Chauk,MMR009003
 Total,708,43910,44618,Chauk,MMR009003
 Urban,258,9797,10055,Taungdwingyi,MMR009004
 Rural,242,49966,50208,Taungdwingyi,MMR009004
 Total,500,59763,60263,Taungdwingyi,MMR009004
 Urban,40,1706,1746,Myothit,MMR009005
 Rural,141,35061,35202,Myothit,MMR009005
 Total,181,36767,36948,Myothit,MMR009005
 Urban,115,3059,3174,Natmauk,MMR009006
 Rural,224,45028,45252,Natmauk,MMR009006
 Total,339,48087,48426,Natmauk,MMR009006
 Urban,457,8733,9190,Minbu,MMR009007
 Rural,327,34300,34627,Minbu,MMR009007
 Total,784,43033,43817,Minbu,MMR009007
 Urban,69,1385,1454,Pwint Phyu,MMR009008
 Rural,374,37936,38310,Pwint Phyu,MMR009008
 Total,443,39321,39764,Pwint Phyu,MMR009008
 Urban,26,953,979,Ngape,MMR009009
 Rural,120,11358,11478,Ngape,MMR009009
 Total,146,12311,12457,Ngape,MMR009009
 Urban,91,2695,2786,Salin,MMR009010
 Rural,316,52503,52819,Salin,MMR009010
 Total,407,55198,55605,Salin,MMR009010
 Urban,37,1488,1525,Saytottara,MMR009011
 Rural,31,9224,9255,Saytottara,MMR009011
 Total,68,10712,10780,Saytottara,MMR009011
 Urban,146,4417,4563,Thayet,MMR009012
 Rural,94,21315,21409,Thayet,MMR009012
 Total,240,25732,25972,Thayet,MMR009012
 Urban,214,2767,2981,Minhla,MMR009013
 Rural,548,28093,28641,Minhla,MMR009013
 Total,762,30860,31622,Minhla,MMR009013
 Urban,48,1222,1270,Mindon,MMR009014
 Rural,52,15487,15539,Mindon,MMR009014
 Total,100,16709,16809,Mindon,MMR009014
 Urban,25,1269,1294,Kamma,MMR009015
 Rural,106,17743,17849,Kamma,MMR009015
 Total,131,19012,19143,Kamma,MMR009015
 Urban,437,11188,11625,Aunglan,MMR009016
 Rural,349,45635,45984,Aunglan,MMR009016
 Total,786,56823,57609,Aunglan,MMR009016
 Urban,34,1247,1281,Sinpaungwe`,MMR009017
 Rural,179,27224,27403,Sinpaungwe`,MMR009017
 Total,213,28471,28684,Sinpaungwe`,MMR009017
 Urban,1094,17975,19069,Pakokku,MMR009018
 Rural,635,46636,47271,Pakokku,MMR009018
 Total,1729,64611,66340,Pakokku,MMR009018
 Urban,148,4751,4899,Yesagyo,MMR009019
 Rural,225,42208,42433,Yesagyo,MMR009019
 Total,373,46959,47332,Yesagyo,MMR009019
 Urban,122,1679,1801,Myaing,MMR009020
 Rural,743,51097,51840,Myaing,MMR009020
 Total,865,52776,53641,Myaing,MMR009020
 Urban,101,1600,1701,Pauk,MMR009021
 Rural,456,36808,37264,Pauk,MMR009021
 Total,557,38408,38965,Pauk,MMR009021
 Urban,98,2031,2129,Seikphyu,MMR009022
 Rural,178,21120,21298,Seikphyu,MMR009022
 Total,276,23151,23427,Seikphyu,MMR009022
 Urban,160,3098,3258,Gangaw,MMR009023
 Rural,333,26321,26654,Gangaw,MMR009023
 Total,493,29419,29912,Gangaw,MMR009023
 Urban,21,1102,1123,Htilin,MMR009024
 Rural,75,9334,9409,Htilin,MMR009024
 Total,96,10436,10532,Htilin,MMR009024
 Urban,25,1236,1261,Saw,MMR009025
 Rural,71,6993,7064,Saw,MMR009025
 Total,96,8229,8325,Saw,MMR009025
 Urban,40,1100,1140,Kyaukhtu(ST),MMR009025
 Rural,55,6414,6469,Kyaukhtu(ST),MMR009025
 Total,95,7514,7609,Kyaukhtu(ST),MMR009025
 Urban,6444,43287,49731,Aungmyetharzan,MMR010001
 Total,6444,43287,49731,Aungmyetharzan,MMR010001
 Urban,6800,26481,33281,Chanayeharzan,MMR010002
 Total,6800,26481,33281,Chanayeharzan,MMR010002
