Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Rural,13797,21700,35497,Thapaung,MMR017003
 Total,13942,23295,37237,Thapaung,MMR017003
 Urban,94,739,833,Ngayokaung(ST),MMR017004
 Rural,220,9148,9368,Ngayokaung(ST),MMR017004
 Total,314,9887,10201,Ngayokaung(ST),MMR017004
 Urban,131,3418,3549,Hainggyikyun(ST),MMR017004
 Rural,2077,23449,25526,Hainggyikyun(ST),MMR017004
 Total,2208,26867,29075,Hainggyikyun(ST),MMR017004
 Urban,148,671,819,Shwethaungyan(ST),MMR017001
 Rural,507,8855,9362,Shwethaungyan(ST),MMR017001
 Total,655,9526,10181,Shwethaungyan(ST),MMR017001
 Urban,23,2652,2675,Ngwehsaung(ST),MMR017001
 Rural,183,6612,6795,Ngwehsaung(ST),MMR017001
 Total,206,9264,9470,Ngwehsaung(ST),MMR017001
 Urban,127,4470,4597,Ngathaingchaung(ST),MMR017006
 Rural,3362,14954,18316,Ngathaingchaung(ST),MMR017006
 Total,3489,19424,22913,Ngathaingchaung(ST),MMR017006
 Urban,70,5347,5417,Kyaiklatt,MMR017025
 Rural,12254,26077,38331,Kyaiklatt,MMR017025
 Total,12324,31424,43748,Kyaiklatt,MMR017025
 Urban,43,3523,3566,Daydaye,MMR017026
 Rural,7403,37641,45044,Daydaye,MMR017026
 Total,7446,41164,48610,Daydaye,MMR017026
 Urban,143,9911,10054,Phyapon,MMR017023
 Rural,6074,25502,31576,Phyapon,MMR017023
 Total,6217,35413,41630,Phyapon,MMR017023
 Urban,145,9970,10115,Bogale,MMR017024
 Rural,15062,50810,65872,Bogale,MMR017024
 Total,15207,60780,75987,Bogale,MMR017024
 Urban,33,744,777,Ahmar(ST),MMR017023
 Rural,4002,23007,27009,Ahmar(ST),MMR017023
 Total,4035,23751,27786,Ahmar(ST),MMR017023
 Urban,60,5840,5900,Nyaungdon,MMR017021
 Rural,8666,36635,45301,Nyaungdon,MMR017021
 Total,8726,42475,51201,Nyaungdon,MMR017021
 Urban,23,5157,5180,Danubyu,MMR017022
 Rural,5483,34134,39617,Danubyu,MMR017022
 Total,5506,39291,44797,Danubyu,MMR017022
 Urban,197,4095,4292,Pantanaw,MMR017020
 Rural,14426,41559,55985,Pantanaw,MMR017020
 Total,14623,45654,60277,Pantanaw,MMR017020
 Urban,97,9040,9137,Maubin,MMR017019
 Rural,14772,47895,62667,Maubin,MMR017019
 Total,14869,56935,71804,Maubin,MMR017019
 Urban,137,12376,12513,Myaungmya,MMR017014
 Rural,8458,45201,53659,Myaungmya,MMR017014
 Total,8595,57577,66172,Myaungmya,MMR017014
 Urban,93,5212,5305,Wakema,MMR017017
 Rural,13317,48826,62143,Wakema,MMR017017
 Total,13410,54038,67448,Wakema,MMR017017
 Urban,85,2961,3046,Einme,MMR017015
 Rural,7020,36389,43409,Einme,MMR017015
 Total,7105,39350,46455,Einme,MMR017015
 Urban,130,7453,7583,Mawlamyinegyun,MMR017018
 Rural,17149,50154,67303,Mawlamyinegyun,MMR017018
 Total,17279,57607,74886,Mawlamyinegyun,MMR017018
 Urban,221,6982,7203,Labutta,MMR017016
 Rural,10293,37650,47943,Labutta,MMR017016
 Total,10514,44632,55146,Labutta,MMR017016
 Urban,96,405,501,Pyinsalu(ST),MMR017016
 Rural,5517,14419,19936,Pyinsalu(ST),MMR017016
 Total,5613,14824,20437,Pyinsalu(ST),MMR017016
 Urban,95,5211,5306,Kyangin,MMR017012
 Rural,395,21156,21551,Kyangin,MMR017012
 Total,490,26367,26857,Kyangin,MMR017012
 Urban,37,5220,5257,Zalun,MMR017009
 Rural,3916,32900,36816,Zalun,MMR017009
 Total,3953,38120,42073,Zalun,MMR017009
 Urban,158,5891,6049,Myanaung,MMR017011
 Rural,1238,52633,53871,Myanaung,MMR017011
 Total,1396,58524,59920,Myanaung,MMR017011
 Urban,4,766,770,Laymyethna,MMR017010
 Rural,2424,23050,25474,Laymyethna,MMR017010
 Total,2428,23816,26244,Laymyethna,MMR017010
 Urban,263,19566,19829,Hinthada,MMR017008
 Rural,3887,62413,66300,Hinthada,MMR017008
 Total,4150,81979,86129,Hinthada,MMR017008
 Urban,-,3578,3578,Ingapu,MMR017013
 Rural,2771,50880,53651,Ingapu,MMR017013
 Total,2771,54458,57229,Ingapu,MMR017013
 Urban,3,9143,9146,Tatkon,MMR018003
 Rural,175,42426,42601,Tatkon,MMR018003
 Total,178,51569,51747,Tatkon,MMR018003
 Urban,-,8246,8246,Zeyarthiri,MMR018001
 Rural,37,17792,17829,Zeyarthiri,MMR018001
 Total,37,26038,26075,Zeyarthiri,MMR018001
 Urban,2,4893,4895,Ottarathiri,MMR018008
 Rural,168,13598,13766,Ottarathiri,MMR018008
 Total,170,18491,18661,Ottarathiri,MMR018008
 Urban,3,10245,10248,Pobbathiri,MMR018005
 Rural,3,17365,17368,Pobbathiri,MMR018005
 Total,6,27610,27616,Pobbathiri,MMR018005
 Urban,8,14448,14456,Pyinmana,MMR018006
 Rural,71,25136,25207,Pyinmana,MMR018006
 Total,79,39584,39663,Pyinmana,MMR018006
 Urban,3,6120,6123,Lewe,MMR018007
 Rural,224,58827,59051,Lewe,MMR018007
 Total,227,64947,65174,Lewe,MMR018007
 Urban,6,24716,24722,Zabuthiri,MMR018002
 Rural,1,1597,1598,Zabuthiri,MMR018002
 Total,7,26313,26320,Zabuthiri,MMR018002
 Urban,-,908,908,Dekkhinathiri,MMR018004
 Rural,4,6085,6089,Dekkhinathiri,MMR018004
 Total,4,6993,6997,Dekkhinathiri,MMR018004
 Urban,18260,3031172,3049432,Dekkhinathiri,MMR018004
 Rural,402346,7426053,7828399,Dekkhinathiri,MMR018004
 Total,420606,10457225,10877831,Dekkhinathiri,MMR018004
