Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Rural,16,6163,6179,Mindat,MMR004006
 Total,142,8380,8522,Mindat,MMR004006
 Urban,101,1569,1670,Matupi,MMR004007
 Rural,18,5948,5966,Matupi,MMR004007
 Total,119,7517,7636,Matupi,MMR004007
 Urban,47,760,807,Kanpalet,MMR004008
 Rural,10,3160,3170,Kanpalet,MMR004008
 Total,57,3920,3977,Kanpalet,MMR004008
 Urban,112,1238,1350,Paletwat,MMR004009
 Rural,24,11919,11943,Paletwat,MMR004009
 Total,136,13157,13293,Paletwat,MMR004009
 Urban,7,455,462,Reazu(ST),MMR004007
 Rural,10,2049,2059,Reazu(ST),MMR004007
 Total,17,2504,2521,Reazu(ST),MMR004007
 Urban,4,629,633,Sami(ST),MMR004009
 Rural,14,5576,5590,Sami(ST),MMR004009
 Total,18,6205,6223,Sami(ST),MMR004009
 Urban,1060,15436,16496,Sagaing,MMR005001
 Rural,482,48165,48647,Sagaing,MMR005001
 Total,1542,63601,65143,Sagaing,MMR005001
 Urban,187,3444,3631,Myinmu,MMR005002
 Rural,91,21582,21673,Myinmu,MMR005002
 Total,278,25026,25304,Myinmu,MMR005002
 Urban,77,1876,1953,Myaung,MMR005003
 Rural,111,22198,22309,Myaung,MMR005003
 Total,188,24074,24262,Myaung,MMR005003
 Urban,897,12634,13531,Shwebo,MMR005004
 Rural,272,36444,36716,Shwebo,MMR005004
 Total,1169,49078,50247,Shwebo,MMR005004
 Urban,88,2203,2291,Khin U,MMR005005
 Rural,97,30236,30333,Khin U,MMR005005
 Total,185,32439,32624,Khin U,MMR005005
 Urban,132,2174,2306,Wetlet,MMR005006
 Rural,212,44194,44406,Wetlet,MMR005006
 Total,344,46368,46712,Wetlet,MMR005006
 Urban,232,4951,5183,Kambalu,MMR005007
 Rural,322,55821,56143,Kambalu,MMR005007
 Total,554,60772,61326,Kambalu,MMR005007
 Urban,131,2368,2499,Kyunhlau,MMR005008
 Rural,55,18309,18364,Kyunhlau,MMR005008
 Total,186,20677,20863,Kyunhlau,MMR005008
 Urban,235,3730,3965,Ye U,MMR005009
 Rural,76,22332,22408,Ye U,MMR005009
 Total,311,26062,26373,Ye U,MMR005009
 Urban,50,905,955,Depayin,MMR005010
 Rural,178,29212,29390,Depayin,MMR005010
 Total,228,30117,30345,Depayin,MMR005010
 Urban,169,2803,2972,Tasei,MMR005011
 Rural,138,32827,32965,Tasei,MMR005011
 Total,307,35630,35937,Tasei,MMR005011
 Urban,49,2257,2306,Kyaukmyaung(ST),MMR005004
 Rural,18,4726,4744,Kyaukmyaung(ST),MMR005004
 Total,67,6983,7050,Kyaukmyaung(ST),MMR005004
 Urban,3612,36794,40406,Monywa,MMR005012
 Rural,557,34999,35556,Monywa,MMR005012
 Total,4169,71793,75962,Monywa,MMR005012
 Urban,102,1091,1193,Butalin,MMR005013
 Rural,122,27301,27423,Butalin,MMR005013
 Total,224,28392,28616,Butalin,MMR005013
 Urban,70,2085,2155,Ayartaw,MMR005014
 Rural,129,33307,33436,Ayartaw,MMR005014
 Total,199,35392,35591,Ayartaw,MMR005014
 Urban,157,4924,5081,Chaung Oo,MMR005015
 Rural,123,18172,18295,Chaung Oo,MMR005015
 Total,280,23096,23376,Chaung Oo,MMR005015
 Urban,381,4882,5263,Katha,MMR005020
 Rural,110,26588,26698,Katha,MMR005020
 Total,491,31470,31961,Katha,MMR005020
 Urban,125,1717,1842,Indaw,MMR005021
 Rural,175,21213,21388,Indaw,MMR005021
 Total,300,22930,23230,Indaw,MMR005021
 Urban,135,2935,3070,Tigyaing,MMR005022
 Rural,118,23201,23319,Tigyaing,MMR005022
 Total,253,26136,26389,Tigyaing,MMR005022
 Urban,82,1130,1212,Banmauk,MMR005023
 Rural,87,17569,17656,Banmauk,MMR005023
 Total,169,18699,18868,Banmauk,MMR005023
 Urban,243,4326,4569,Kawlin,MMR005024
 Rural,319,26515,26834,Kawlin,MMR005024
 Total,562,30841,31403,Kawlin,MMR005024
 Urban,101,2489,2590,Wuntho,MMR005025
 Rural,66,11549,11615,Wuntho,MMR005025
 Total,167,14038,14205,Wuntho,MMR005025
 Urban,98,1371,1469,Pinlebu,MMR005026
 Rural,58,20373,20431,Pinlebu,MMR005026
 Total,156,21744,21900,Pinlebu,MMR005026
 Urban,1650,24071,25721,Kalay,MMR014005
 Rural,474,46574,47048,Kalay,MMR014005
 Total,2124,70645,72769,Kalay,MMR014005
 Urban,87,1866,1953,Kalewa,MMR005028
 Rural,27,9755,9782,Kalewa,MMR005028
 Total,114,11621,11735,Kalewa,MMR005028
 Urban,55,781,836,Mingin,MMR005029
 Rural,68,21154,21222,Mingin,MMR005029
 Total,123,21935,22058,Mingin,MMR005029
 Urban,418,8571,8989,Tamu,MMR005030
 Rural,8,2989,2997,Tamu,MMR005030
 Total,426,11560,11986,Tamu,MMR005030
 Urban,13,295,308,Myothit(ST),MMR005030
 Rural,23,2766,2789,Myothit(ST),MMR005030
 Total,36,3061,3097,Myothit(ST),MMR005030
 Urban,49,2789,2838,Khampat(ST),MMR005030
 Rural,42,4628,4670,Khampat(ST),MMR005030
 Total,91,7417,7508,Khampat(ST),MMR005030
 Urban,101,1723,1824,Mawlaik,MMR005031
 Rural,33,8488,8521,Mawlaik,MMR005031
 Total,134,10211,10345,Mawlaik,MMR005031
 Urban,79,1863,1942,Phaungpyin,MMR005032
 Rural,85,18219,18304,Phaungpyin,MMR005032
 Total,164,20082,20246,Phaungpyin,MMR005032
 Urban,140,2043,2183,Hkamti,MMR005033
 Rural,32,5146,5178,Hkamti,MMR005033
 Total,172,7189,7361,Hkamti,MMR005033
 Urban,227,3348,3575,Homalin,MMR005034
 Rural,319,31849,32168,Homalin,MMR005034
 Total,546,35197,35743,Homalin,MMR005034
 Urban,11,242,253,Leshi,MMR005035
 Rural,-,1403,1403,Leshi,MMR005035
 Total,11,1645,1656,Leshi,MMR005035
 Urban,20,518,538,Lahe,MMR005036
 Rural,3,6436,6439,Lahe,MMR005036
 Total,23,6954,6977,Lahe,MMR005036
 Urban,12,363,375,Nanyun,MMR005037
 Rural,3,1190,1193,Nanyun,MMR005037
 Total,15,1553,1568,Nanyun,MMR005037
 Urban,3,207,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,3,307,310,Mobaingluk(ST),MMR005035
 Urban,3,283,286,Sonemara(ST),MMR005035
 Rural,3,905,908,Sonemara(ST),MMR005035
 Total,6,1188,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,11,327,338,Pansaung(ST),MMR005037
 Rural,3,2008,2011,Pansaung(ST),MMR005037
 Total,14,2335,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,-,3754,3754,Donhee(ST),MMR005037
 Total,-,3923,3923,Donhee(ST),MMR005037
 Urban,122,955,1077,Yinmarpin,MMR005016
 Rural,161,28294,28455,Yinmarpin,MMR005016
 Total,283,29249,29532,Yinmarpin,MMR005016
 Urban,67,1155,1222,Salingyi,MMR005018
 Rural,415,24830,25245,Salingyi,MMR005018
 Total,482,25985,26467,Salingyi,MMR005018
 Urban,52,879,931,Palae,MMR005019
 Rural,177,31254,31431,Palae,MMR005019
 Total,229,32133,32362,Palae,MMR005019
 Urban,59,1079,1138,Kani,MMR005017
 Rural,116,27969,28085,Kani,MMR005017
 Total,175,29048,29223,Kani,MMR005017
 Urban,1542,13840,15382,Dawei,MMR006001
 Rural,270,9291,9561,Dawei,MMR006001
 Total,1812,23131,24943,Dawei,MMR006001
 Urban,76,1164,1240,Lounglon,MMR006002
 Rural,400,24095,24495,Lounglon,MMR006002
 Total,476,25259,25735,Lounglon,MMR006002
 Urban,82,2325,2407,Thayetchaung,MMR006003
 Rural,213,20254,20467,Thayetchaung,MMR006003
 Total,295,22579,22874,Thayetchaung,MMR006003
 Urban,74,1003,1077,Yebyu,MMR006004
 Rural,390,20606,20996,Yebyu,MMR006004
 Total,464,21609,22073,Yebyu,MMR006004
 Urban,7,489,496,Myitta(ST),MMR006001
 Rural,30,3664,3694,Myitta(ST),MMR006001
 Total,37,4153,4190,Myitta(ST),MMR006001
 Urban,20,604,624,Kaleinaung(ST),MMR006004
 Rural,28,3625,3653,Kaleinaung(ST),MMR006004
 Total,48,4229,4277,Kaleinaung(ST),MMR006004
 Urban,1572,19976,21548,Myeik,MMR006005
 Rural,716,32085,32801,Myeik,MMR006005
 Total,2288,52061,54349,Myeik,MMR006005
 Urban,96,1046,1142,Kyunsu,MMR006006
 Rural,179,31667,31846,Kyunsu,MMR006006
 Total,275,32713,32988,Kyunsu,MMR006006
 Urban,158,3413,3571,Palaw,MMR006007
 Rural,126,14828,14954,Palaw,MMR006007
 Total,284,18241,18525,Palaw,MMR006007
 Urban,62,1064,1126,Tanintharyi,MMR006008
 Rural,174,18629,18803,Tanintharyi,MMR006008
 Total,236,19693,19929,Tanintharyi,MMR006008
 Urban,21,1190,1211,Palauk(ST),MMR006007
 Rural,66,5851,5917,Palauk(ST),MMR006007
 Total,87,7041,7128,Palauk(ST),MMR006007
 Urban,1067,11513,12580,Kawthoung,MMR006009
 Rural,200,12701,12901,Kawthoung,MMR006009
 Total,1267,24214,25481,Kawthoung,MMR006009
 Urban,43,1004,1047,Bokepyin,MMR006010
 Rural,95,7734,7829,Bokepyin,MMR006010
 Total,138,8738,8876,Bokepyin,MMR006010
 Urban,55,2300,2355,Khamaukgyi,MMR006009
 Rural,43,2467,2510,Khamaukgyi,MMR006009
 Total,98,4767,4865,Khamaukgyi,MMR006009
 Urban,15,700,715,Pyigyimandaing,MMR006010
 Rural,9,2380,2389,Pyigyimandaing,MMR006010
 Total,24,3080,3104,Pyigyimandaing,MMR006010
 Urban,9,277,286,Karathuri(ST),MMR006010
 Rural,35,3441,3476,Karathuri(ST),MMR006010
 Total,44,3718,3762,Karathuri(ST),MMR006010
 Urban,2735,52157,54892,Bago,MMR007001
 Rural,697,51543,52240,Bago,MMR007001
 Total,3432,103700,107132,Bago,MMR007001
 Urban,129,3500,3629,Tanatpin,MMR007002
 Rural,67,28831,28898,Tanatpin,MMR007002
 Total,196,32331,32527,Tanatpin,MMR007002
 Urban,126,4128,4254,Kawa,MMR007003
 Rural,128,41693,41821,Kawa,MMR007003
 Total,254,45821,46075,Kawa,MMR007003
 Urban,124,4922,5046,Waw,MMR007004
 Rural,130,31907,32037,Waw,MMR007004
 Total,254,36829,37083,Waw,MMR007004
 Urban,322,12740,13062,Nyaunglebin,MMR007005
 Rural,110,31590,31700,Nyaunglebin,MMR007005
 Total,432,44330,44762,Nyaunglebin,MMR007005
 Urban,184,6689,6873,Kyauktaga,MMR007006
 Rural,228,44547,44775,Kyauktaga,MMR007006
 Total,412,51236,51648,Kyauktaga,MMR007006
 Urban,271,8469,8740,Daik U,MMR007007
 Rural,187,36826,37013,Daik U,MMR007007
 Total,458,45295,45753,Daik U,MMR007007
 Urban,183,4682,4865,Shwegyin,MMR007008
 Rural,69,16848,16917,Shwegyin,MMR007008
 Total,252,21530,21782,Shwegyin,MMR007008
 Urban,1420,20480,21900,Toungoo,MMR007009
 Rural,528,35032,35560,Toungoo,MMR007009
 Total,1948,55512,57460,Toungoo,MMR007009
 Urban,215,5740,5955,Yaedashe,MMR007010
 Rural,341,44231,44572,Yaedashe,MMR007010
 Total,556,49971,50527,Yaedashe,MMR007010
 Urban,73,2185,2258,Kyaukkyi,MMR007011
 Rural,112,20513,20625,Kyaukkyi,MMR007011
 Total,185,22698,22883,Kyaukkyi,MMR007011
 Urban,518,13309,13827,Pyu,MMR007012
 Rural,320,40784,41104,Pyu,MMR007012
 Total,838,54093,54931,Pyu,MMR007012
 Urban,87,3122,3209,Oatwin,MMR007013
 Rural,302,33359,33661,Oatwin,MMR007013
 Total,389,36481,36870,Oatwin,MMR007013
 Urban,59,2317,2376,Htantapin,MMR007014
 Rural,96,24309,24405,Htantapin,MMR007014
 Total,155,26626,26781,Htantapin,MMR007014
 Urban,2034,26781,28815,Pyay,MMR008001
 Rural,255,29487,29742,Pyay,MMR008001
 Total,2289,56268,58557,Pyay,MMR008001
 Urban,134,3472,3606,Paukkhaung,MMR008002
 Rural,78,28663,28741,Paukkhaung,MMR008002
 Total,212,32135,32347,Paukkhaung,MMR008002
 Urban,168,4300,4468,Padaung,MMR008003
 Rural,316,34108,34424,Padaung,MMR008003
 Total,484,38408,38892,Padaung,MMR008003
 Urban,251,6230,6481,Paunde,MMR008004
 Rural,79,30140,30219,Paunde,MMR008004
 Total,330,36370,36700,Paunde,MMR008004
 Urban,106,4160,4266,Thegon,MMR008005
 Rural,164,31520,31684,Thegon,MMR008005
 Total,270,35680,35950,Thegon,MMR008005
 Urban,171,4347,4518,Shwedaung,MMR008006
 Rural,186,28860,29046,Shwedaung,MMR008006
 Total,357,33207,33564,Shwedaung,MMR008006
 Urban,284,7880,8164,Tharyarwaddy,MMR008007
 Rural,58,28404,28462,Tharyarwaddy,MMR008007
 Total,342,36284,36626,Tharyarwaddy,MMR008007
 Urban,204,5531,5735,Letpadan,MMR008008
 Rural,87,37662,37749,Letpadan,MMR008008
 Total,291,43193,43484,Letpadan,MMR008008
 Urban,95,2607,2702,Minhla,MMR009013
 Rural,94,28098,28192,Minhla,MMR009013
 Total,189,30705,30894,Minhla,MMR009013
 Urban,103,2697,2800,Okpo,MMR008010
 Rural,127,28967,29094,Okpo,MMR008010
 Total,230,31664,31894,Okpo,MMR008010
 Urban,142,3825,3967,Zigon,MMR008011
 Rural,28,14215,14243,Zigon,MMR008011
 Total,170,18040,18210,Zigon,MMR008011
 Urban,195,4447,4642,Nattalin,MMR008012
 Rural,89,41038,41127,Nattalin,MMR008012
 Total,284,45485,45769,Nattalin,MMR008012
 Urban,57,2323,2380,Monyo,MMR008013
 Rural,59,30848,30907,Monyo,MMR008013
 Total,116,33171,33287,Monyo,MMR008013
 Urban,257,5327,5584,Gyobingauk,MMR008014
 Rural,69,24933,25002,Gyobingauk,MMR008014
 Total,326,30260,30586,Gyobingauk,MMR008014
 Urban,2001,17869,19870,Magway,MMR009001
 Rural,292,48515,48807,Magway,MMR009001
 Total,2293,66384,68677,Magway,MMR009001
 Urban,407,10269,10676,Yenangyoung,MMR009002
 Rural,48,21776,21824,Yenangyoung,MMR009002
 Total,455,32045,32500,Yenangyoung,MMR009002
 Urban,346,10055,10401,Chauk,MMR009003
 Rural,138,34079,34217,Chauk,MMR009003
 Total,484,44134,44618,Chauk,MMR009003
 Urban,413,9642,10055,Taungdwingyi,MMR009004
 Rural,211,49997,50208,Taungdwingyi,MMR009004
 Total,624,59639,60263,Taungdwingyi,MMR009004
 Urban,72,1674,1746,Myothit,MMR009005
 Rural,72,35130,35202,Myothit,MMR009005
 Total,144,36804,36948,Myothit,MMR009005
 Urban,157,3017,3174,Natmauk,MMR009006
 Rural,100,45152,45252,Natmauk,MMR009006
 Total,257,48169,48426,Natmauk,MMR009006
 Urban,519,8671,9190,Minbu,MMR009007
 Rural,237,34390,34627,Minbu,MMR009007
 Total,756,43061,43817,Minbu,MMR009007
 Urban,96,1358,1454,Pwint Phyu,MMR009008
 Rural,241,38069,38310,Pwint Phyu,MMR009008
 Total,337,39427,39764,Pwint Phyu,MMR009008
 Urban,51,928,979,Ngape,MMR009009
 Rural,90,11388,11478,Ngape,MMR009009
 Total,141,12316,12457,Ngape,MMR009009
 Urban,130,2656,2786,Salin,MMR009010
 Rural,217,52602,52819,Salin,MMR009010
 Total,347,55258,55605,Salin,MMR009010
 Urban,54,1471,1525,Saytottara,MMR009011
 Rural,8,9247,9255,Saytottara,MMR009011
 Total,62,10718,10780,Saytottara,MMR009011
 Urban,193,4370,4563,Thayet,MMR009012
 Rural,77,21332,21409,Thayet,MMR009012
 Total,270,25702,25972,Thayet,MMR009012
 Urban,110,2871,2981,Minhla,MMR009013
 Rural,296,28345,28641,Minhla,MMR009013
 Total,406,31216,31622,Minhla,MMR009013
 Urban,48,1222,1270,Mindon,MMR009014
 Rural,39,15500,15539,Mindon,MMR009014
 Total,87,16722,16809,Mindon,MMR009014
 Urban,42,1252,1294,Kamma,MMR009015
 Rural,63,17786,17849,Kamma,MMR009015
 Total,105,19038,19143,Kamma,MMR009015
 Urban,449,11176,11625,Aunglan,MMR009016
 Rural,203,45781,45984,Aunglan,MMR009016
 Total,652,56957,57609,Aunglan,MMR009016
 Urban,31,1250,1281,Sinpaungwe`,MMR009017
 Rural,67,27336,27403,Sinpaungwe`,MMR009017
 Total,98,28586,28684,Sinpaungwe`,MMR009017
 Urban,1180,17889,19069,Pakokku,MMR009018
 Rural,638,46633,47271,Pakokku,MMR009018
 Total,1818,64522,66340,Pakokku,MMR009018
 Urban,202,4697,4899,Yesagyo,MMR009019
 Rural,241,42192,42433,Yesagyo,MMR009019
 Total,443,46889,47332,Yesagyo,MMR009019
 Urban,132,1669,1801,Myaing,MMR009020
 Rural,299,51541,51840,Myaing,MMR009020
 Total,431,53210,53641,Myaing,MMR009020
 Urban,91,1610,1701,Pauk,MMR009021
 Rural,143,37121,37264,Pauk,MMR009021
 Total,234,38731,38965,Pauk,MMR009021
 Urban,119,2010,2129,Seikphyu,MMR009022
 Rural,104,21194,21298,Seikphyu,MMR009022
 Total,223,23204,23427,Seikphyu,MMR009022
 Urban,192,3066,3258,Gangaw,MMR009023
 Rural,279,26375,26654,Gangaw,MMR009023
 Total,471,29441,29912,Gangaw,MMR009023
 Urban,39,1084,1123,Htilin,MMR009024
 Rural,36,9373,9409,Htilin,MMR009024
 Total,75,10457,10532,Htilin,MMR009024
 Urban,40,1221,1261,Saw,MMR009025
 Rural,42,7022,7064,Saw,MMR009025
 Total,82,8243,8325,Saw,MMR009025
 Urban,22,1118,1140,Kyaukhtu(ST),MMR009025
 Rural,24,6445,6469,Kyaukhtu(ST),MMR009025
 Total,46,7563,7609,Kyaukhtu(ST),MMR009025
 Urban,6064,43667,49731,Aungmyetharzan,MMR010001
 Total,6064,43667,49731,Aungmyetharzan,MMR010001
 Urban,6731,26550,33281,Chanayeharzan,MMR010002
 Total,6731,26550,33281,Chanayeharzan,MMR010002
 Urban,5683,36244,41927,Mahaaungmye,MMR010003
