Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Female,8,6,-,1,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,2,-,-,-,-,3,1,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,1,1,2,-,-,1,1,1,-,1,-,-,-,-,1,1,-,2,-,1,-,1,1,-,-,-,2,4,-,-,1,-,2,-,-,-,1,2,-,-,1,1,-,1,-,-,-,4,65,Tanaing,MMR001004
 Total,22,8,1,1,-,-,-,1,1,-,2,2,2,-,-,-,-,-,1,1,2,-,1,2,-,4,3,-,1,-,2,-,1,3,1,-,1,2,-,2,2,1,-,1,2,5,-,2,3,2,2,2,2,3,1,-,1,4,4,-,2,1,3,3,1,2,1,-,-,2,7,1,1,1,1,5,-,-,3,2,2,-,-,2,1,-,1,-,-,-,6,152,Tanaing,MMR001004
 Male,6,3,1,1,-,1,-,-,-,-,-,-,1,1,-,-,-,1,1,-,1,1,1,2,1,3,-,-,1,-,2,-,-,-,-,-,1,-,2,-,-,-,2,2,-,1,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,43,Chiphwe,MMR001005
 Female,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,Chiphwe,MMR001005
 Total,12,4,1,1,-,1,-,-,-,-,-,-,1,1,-,-,-,2,2,-,2,1,1,2,1,3,-,-,1,-,2,-,-,-,-,-,1,1,4,-,-,-,2,2,-,1,-,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,59,Chiphwe,MMR001005
 Male,3,3,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,2,1,-,-,1,1,2,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,2,31,Hsotlaw,MMR001006
 Female,5,4,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,24,Hsotlaw,MMR001006
 Total,8,7,2,-,1,1,1,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2,3,-,-,2,1,2,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,2,-,-,-,-,-,-,1,1,-,-,-,-,1,-,2,-,-,-,-,3,55,Hsotlaw,MMR001006
 Male,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,1,-,-,-,1,1,2,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,32,Hsinbo(ST),MMR001001
 Female,2,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,Hsinbo(ST),MMR001001
 Total,6,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,2,2,1,2,1,-,-,-,1,1,2,-,-,1,-,1,-,1,-,1,1,2,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,2,-,2,-,-,-,-,1,2,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,45,Hsinbo(ST),MMR001001
 Male,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,Hsadone(ST),MMR001002
 Female,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,Hsadone(ST),MMR001002
 Total,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,2,3,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,Hsadone(ST),MMR001002
 Male,-,-,-,-,-,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,1,2,1,1,1,1,-,-,-,-,-,-,1,-,-,1,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,29,Kanpaikti(ST),MMR001002
 Female,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,11,Kanpaikti(ST),MMR001002
 Total,-,-,1,-,-,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,-,1,-,1,-,1,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,1,-,2,2,1,1,2,1,1,-,-,-,-,-,1,-,-,1,2,-,1,-,1,-,2,-,-,1,1,-,-,-,-,-,-,-,1,40,Kanpaikti(ST),MMR001002
 Male,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,21,Shinbwayyan(ST),MMR001004
 Female,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,Shinbwayyan(ST),MMR001004
 Total,2,-,-,2,-,1,-,-,-,1,-,-,1,-,-,-,1,-,-,1,-,-,-,2,-,-,-,1,-,-,-,-,-,2,-,1,-,-,-,-,1,-,-,1,-,1,-,1,1,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,32,Shinbwayyan(ST),MMR001004
 Male,2,-,1,-,-,-,-,-,1,-,-,1,-,1,1,-,-,-,-,1,1,1,-,3,1,2,2,-,3,-,1,-,-,-,-,-,1,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,31,Panwa(ST),MMR001005
 Female,1,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15,Panwa(ST),MMR001005
 Total,3,-,1,1,1,-,-,-,2,-,-,1,-,1,1,-,1,-,-,2,2,1,-,3,1,2,2,-,3,-,2,1,-,-,-,-,1,-,2,1,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2,46,Panwa(ST),MMR001005
 Male,29,5,-,3,1,1,2,1,2,2,-,2,1,-,2,-,3,1,4,4,3,7,6,7,1,5,11,6,7,11,15,12,7,11,5,10,13,9,8,10,12,4,3,5,5,7,12,8,5,6,6,4,5,2,6,9,4,7,5,4,7,4,8,3,7,3,5,4,3,4,7,1,5,3,7,11,9,6,4,6,4,3,3,4,9,1,2,4,-,3,11,497,Mohnyin,MMR001007
 Female,11,4,-,3,2,-,-,-,-,1,3,1,-,-,2,-,3,1,2,4,-,-,1,-,-,-,1,3,-,-,3,-,3,-,1,-,3,-,2,3,2,4,1,3,4,5,2,1,3,6,3,5,6,7,3,1,4,8,3,4,2,1,3,7,6,3,8,5,7,4,3,7,4,5,9,10,9,3,12,4,8,5,6,6,3,6,8,3,4,4,13,310,Mohnyin,MMR001007
 Total,40,9,-,6,3,1,2,1,2,3,3,3,1,-,4,-,6,2,6,8,3,7,7,7,1,5,12,9,7,11,18,12,10,11,6,10,16,9,10,13,14,8,4,8,9,12,14,9,8,12,9,9,11,9,9,10,8,15,8,8,9,5,11,10,13,6,13,9,10,8,10,8,9,8,16,21,18,9,16,10,12,8,9,10,12,7,10,7,4,7,24,807,Mohnyin,MMR001007
 Male,22,1,2,1,2,1,2,1,1,1,1,1,-,1,-,4,2,1,1,4,5,4,6,5,3,4,5,6,7,4,4,3,4,2,5,7,6,7,4,6,8,2,5,8,5,6,5,4,7,3,4,5,3,8,6,10,4,6,7,4,10,4,9,8,11,5,6,8,5,4,3,5,6,5,4,8,8,6,3,3,8,2,3,4,2,-,1,4,3,2,5,411,Mogaung,MMR001008
 Female,17,-,3,-,-,1,1,2,-,1,1,-,-,2,1,1,-,1,1,3,-,4,1,-,-,1,2,-,2,2,3,2,3,4,2,2,3,3,1,4,-,3,3,2,1,4,2,4,5,4,3,2,5,8,7,2,4,2,3,2,8,4,5,4,7,3,15,2,2,-,3,5,6,7,5,12,11,5,7,4,11,6,6,3,5,4,5,3,2,-,18,318,Mogaung,MMR001008
 Total,39,1,5,1,2,2,3,3,1,2,2,1,-,3,1,5,2,2,2,7,5,8,7,5,3,5,7,6,9,6,7,5,7,6,7,9,9,10,5,10,8,5,8,10,6,10,7,8,12,7,7,7,8,16,13,12,8,8,10,6,18,8,14,12,18,8,21,10,7,4,6,10,12,12,9,20,19,11,10,7,19,8,9,7,7,4,6,7,5,2,23,729,Mogaung,MMR001008
 Male,52,7,4,3,3,-,1,-,-,2,1,-,-,1,2,-,2,1,-,2,4,5,7,4,2,4,5,5,3,7,7,5,4,6,4,6,9,2,4,6,7,3,9,6,3,5,4,2,5,3,4,5,6,4,3,1,6,3,1,2,2,2,5,5,5,6,2,8,4,1,4,-,-,2,1,2,1,-,4,3,-,1,-,1,-,1,1,-,1,-,-,324,Phakant,MMR001009
 Female,29,6,6,2,1,-,-,5,1,-,-,-,1,1,1,-,-,-,-,1,-,1,2,3,-,-,1,-,-,2,1,-,-,1,-,1,2,2,1,1,2,3,4,-,1,4,2,4,2,2,3,4,1,4,-,1,2,1,4,1,3,1,5,3,5,4,2,2,3,1,1,1,2,2,1,2,-,2,2,1,5,2,2,1,2,-,2,-,1,-,3,178,Phakant,MMR001009
 Total,81,13,10,5,4,-,1,5,1,2,1,-,1,2,3,-,2,1,-,3,4,6,9,7,2,4,6,5,3,9,8,5,4,7,4,7,11,4,5,7,9,6,13,6,4,9,6,6,7,5,7,9,7,8,3,2,8,4,5,3,5,3,10,8,10,10,4,10,7,2,5,1,2,4,2,4,1,2,6,4,5,3,2,2,2,1,3,-,2,-,3,502,Phakant,MMR001009
 Male,3,-,-,-,-,1,1,-,-,2,-,1,-,-,1,2,-,1,2,-,-,4,1,2,3,4,3,-,3,4,1,3,1,2,3,1,1,-,2,3,-,4,3,2,1,4,6,2,2,1,1,2,4,2,1,3,5,1,6,-,3,3,1,3,5,3,2,-,3,-,3,1,2,3,1,1,2,3,2,2,4,-,2,2,1,1,1,-,1,1,2,163,Hopin(ST),MMR001007
 Female,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,1,2,1,1,2,-,3,-,-,2,2,1,-,2,1,1,6,4,1,2,-,-,-,2,-,3,1,4,-,1,1,2,6,2,5,-,-,4,3,-,3,1,2,2,1,-,2,5,95,Hopin(ST),MMR001007
 Total,4,-,1,-,-,1,2,-,-,2,-,1,-,1,1,2,1,1,3,-,1,5,1,2,4,4,3,-,3,4,1,3,2,2,3,1,2,2,2,3,-,4,3,3,3,5,7,4,2,4,1,2,6,4,2,3,7,2,7,6,7,4,3,3,5,3,4,-,6,1,7,1,3,4,3,7,4,8,2,2,8,3,2,5,2,3,3,1,1,3,7,258,Hopin(ST),MMR001007
 Male,5,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,2,-,-,1,-,-,-,1,-,1,-,-,1,-,1,1,1,1,-,1,-,2,-,-,-,-,-,2,-,1,-,-,1,1,3,-,-,2,-,1,1,1,-,1,1,1,-,1,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,49,Kamine(ST),MMR001009
 Female,4,3,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,1,-,3,1,1,-,-,1,1,-,3,-,-,-,2,-,-,1,-,1,1,1,-,-,1,1,1,-,-,3,-,-,1,-,-,4,45,Kamine(ST),MMR001009
 Total,9,6,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,2,-,-,1,-,-,1,1,1,2,-,-,1,-,1,2,1,2,-,1,-,2,1,-,-,1,-,2,-,1,-,1,2,1,6,1,1,2,-,2,2,1,3,1,1,1,2,1,-,1,-,2,2,1,-,1,1,1,1,-,-,3,-,-,1,-,-,6,94,Kamine(ST),MMR001009
 Male,22,-,-,-,-,-,-,1,1,1,-,3,-,-,-,-,2,1,4,4,2,4,4,4,2,3,5,3,5,6,6,7,12,12,4,9,8,6,11,10,11,7,4,8,7,3,2,3,3,4,4,6,2,7,4,6,7,6,5,4,14,7,3,5,6,4,3,4,3,3,6,4,1,5,6,4,4,4,-,3,2,2,4,3,3,-,3,4,-,1,9,385,Bhamo,MMR001010
 Female,16,7,1,-,1,2,-,-,-,1,3,-,-,1,-,-,1,1,1,2,2,-,-,1,2,3,2,1,-,-,1,-,1,1,-,-,2,1,-,1,2,3,-,1,2,1,-,3,1,3,6,5,8,2,1,-,3,1,4,4,5,3,1,5,10,6,5,7,7,4,6,2,6,5,9,6,6,2,7,2,7,6,4,6,6,7,1,3,6,4,12,271,Bhamo,MMR001010
 Total,38,7,1,-,1,2,-,1,1,2,3,3,-,1,-,-,3,2,5,6,4,4,4,5,4,6,7,4,5,6,7,7,13,13,4,9,10,7,11,11,13,10,4,9,9,4,2,6,4,7,10,11,10,9,5,6,10,7,9,8,19,10,4,10,16,10,8,11,10,7,12,6,7,10,15,10,10,6,7,5,9,8,8,9,9,7,4,7,6,5,21,656,Bhamo,MMR001010
 Male,22,1,3,3,1,-,-,1,4,1,-,1,-,1,2,-,1,-,-,2,2,2,2,2,2,1,1,2,4,3,4,5,1,-,-,4,3,2,5,3,7,2,5,2,2,4,3,5,6,3,4,3,1,7,2,4,6,3,2,1,3,4,1,1,4,3,5,3,3,4,3,6,1,1,5,1,6,4,1,3,2,3,2,2,3,1,2,-,-,-,2,242,Shwegu,MMR001011
 Female,6,7,-,1,1,1,1,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,1,1,2,-,1,3,-,-,-,-,-,-,2,-,1,1,1,1,3,-,2,-,1,2,2,-,-,3,4,3,3,2,3,1,2,6,2,2,5,6,4,4,2,4,7,5,2,2,1,3,4,-,3,2,2,3,5,1,-,5,4,2,4,-,4,2,1,3,4,170,Shwegu,MMR001011
 Total,28,8,3,4,2,1,1,1,4,1,-,1,-,2,2,1,1,-,1,2,2,3,3,3,4,1,2,5,4,3,4,5,1,-,2,4,4,3,6,4,10,2,7,2,3,6,5,5,6,6,8,6,4,9,5,5,8,9,4,3,8,10,5,5,6,7,12,8,5,6,4,9,5,1,8,3,8,7,6,4,2,8,6,4,7,1,6,2,1,3,6,412,Shwegu,MMR001011
 Male,6,-,1,1,-,-,1,-,1,1,-,1,1,-,-,-,-,1,-,2,2,-,-,2,-,1,1,2,3,1,2,-,2,5,3,1,2,1,-,2,1,2,2,6,2,2,1,1,1,-,2,-,-,3,1,4,5,3,1,-,2,-,4,1,4,1,3,1,1,3,4,-,1,3,-,5,1,1,2,1,2,1,-,1,-,2,2,-,-,-,1,130,Momauk,MMR001012
 Female,7,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,1,2,-,2,-,-,-,1,-,-,2,-,1,-,1,-,2,2,-,1,1,1,-,2,1,-,1,-,1,3,2,2,4,1,-,2,4,2,3,-,-,2,4,3,5,-,-,2,1,3,3,2,1,2,1,1,4,91,Momauk,MMR001012
 Total,13,-,2,1,-,-,1,-,1,1,-,1,1,1,-,-,-,1,-,2,2,-,-,2,-,1,1,3,3,2,3,-,2,5,4,3,2,3,-,2,1,3,2,6,4,2,2,1,2,-,4,2,-,4,2,5,5,5,2,-,3,-,5,4,6,3,7,2,1,5,8,2,4,3,-,7,5,4,7,1,2,3,1,4,3,4,3,2,1,1,5,221,Momauk,MMR001012
 Male,11,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,2,-,-,1,2,-,2,1,2,-,2,2,-,1,3,4,4,6,1,4,3,4,2,2,2,-,3,4,1,4,2,-,1,1,4,4,4,2,1,-,-,1,-,1,-,-,1,2,2,4,2,2,1,3,2,1,2,1,1,-,-,3,-,-,1,-,-,-,-,-,-,5,133,Mansi,MMR001013
 Female,4,1,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,3,-,1,-,-,1,2,1,1,-,-,-,2,-,1,-,2,1,-,-,-,-,-,3,2,1,1,1,3,1,3,1,-,3,3,2,2,-,2,-,2,5,-,4,1,-,3,-,1,1,4,76,Mansi,MMR001013
 Total,15,3,-,-,-,1,-,-,1,-,-,-,1,-,1,-,1,1,1,2,-,-,1,2,-,2,1,2,-,2,2,-,1,3,4,5,8,1,5,3,7,2,3,2,-,4,6,2,5,2,-,1,3,4,5,4,4,2,-,-,1,-,1,3,2,2,3,3,7,3,5,2,3,5,4,4,3,1,2,-,5,5,-,5,1,-,3,-,1,1,9,209,Mansi,MMR001013
 Male,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,11,Myohla(ST),MMR001011
 Female,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,Myohla(ST),MMR001011
