Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,43,41884,41927,Mahaaungmye,MMR010003
 Total,43,41884,41927,Mahaaungmye,MMR010003
 Urban,60,52987,53047,Chanmyatharzi,MMR010004
 Total,60,52987,53047,Chanmyatharzi,MMR010004
 Urban,20,43855,43875,Pyigyidagun,MMR010005
 Total,20,43855,43875,Pyigyidagun,MMR010005
 Urban,12,16618,16630,Amarapura,MMR010006
 Rural,99,32897,32996,Amarapura,MMR010006
 Total,111,49515,49626,Amarapura,MMR010006
 Urban,3,2699,2702,Patheingyi,MMR010007
 Rural,697,49591,50288,Patheingyi,MMR010007
 Total,700,52290,52990,Patheingyi,MMR010007
 Urban,7,31934,31941,Pyin Oo Lwin,MMR010008
 Rural,18,21423,21441,Pyin Oo Lwin,MMR010008
 Total,25,53357,53382,Pyin Oo Lwin,MMR010008
 Urban,8,5303,5311,Madaya,MMR010009
 Rural,1580,51754,53334,Madaya,MMR010009
 Total,1588,57057,58645,Madaya,MMR010009
 Urban,35,1697,1732,Sinku,MMR010010
 Rural,1493,31308,32801,Sinku,MMR010010
 Total,1528,33005,34533,Sinku,MMR010010
 Urban,2,16684,16686,Mogok,MMR010011
 Rural,1,18560,18561,Mogok,MMR010011
 Total,3,35244,35247,Mogok,MMR010011
 Urban,144,1044,1188,Thabeikkyin,MMR010012
 Rural,464,24097,24561,Thabeikkyin,MMR010012
 Total,608,25141,25749,Thabeikkyin,MMR010012
 Urban,147,1646,1793,Tagaung,MMR010012
 Rural,371,5228,5599,Tagaung,MMR010012
 Total,518,6874,7392,Tagaung,MMR010012
 Urban,5,8486,8491,Kyaukse,MMR010013
 Rural,62,49212,49274,Kyaukse,MMR010013
 Total,67,57698,57765,Kyaukse,MMR010013
 Urban,-,1780,1780,Singaing,MMR010014
 Rural,48,31751,31799,Singaing,MMR010014
 Total,48,33531,33579,Singaing,MMR010014
 Urban,-,4346,4346,Myitthar,MMR010015
 Rural,31,41640,41671,Myitthar,MMR010015
 Total,31,45986,46017,Myitthar,MMR010015
 Urban,1,2651,2652,Tada U,MMR010016
 Rural,116,29859,29975,Tada U,MMR010016
 Total,117,32510,32627,Tada U,MMR010016
 Urban,9,18888,18897,Myingyan,MMR010017
 Rural,457,42986,43443,Myingyan,MMR010017
 Total,466,61874,62340,Myingyan,MMR010017
 Urban,-,3863,3863,Taungtha,MMR010018
 Rural,158,45831,45989,Taungtha,MMR010018
 Total,158,49694,49852,Taungtha,MMR010018
 Urban,-,2842,2842,Natogyi,MMR010019
 Rural,15,38108,38123,Natogyi,MMR010019
 Total,15,40950,40965,Natogyi,MMR010019
 Urban,-,9013,9013,Kyaukpadaung,MMR010020
 Rural,16,52932,52948,Kyaukpadaung,MMR010020
 Total,16,61945,61961,Kyaukpadaung,MMR010020
 Urban,60,1597,1657,Ngazun,MMR010021
 Rural,219,25962,26181,Ngazun,MMR010021
 Total,279,27559,27838,Ngazun,MMR010021
 Urban,49,9466,9515,Nyaung U,MMR010022
 Rural,234,34913,35147,Nyaung U,MMR010022
 Total,283,44379,44662,Nyaung U,MMR010022
 Urban,2,5325,5327,Yame`thin,MMR010023
 Rural,18,51914,51932,Yame`thin,MMR010023
 Total,20,57239,57259,Yame`thin,MMR010023
 Urban,-,6874,6874,Pyawbwe,MMR010024
 Rural,17,51972,51989,Pyawbwe,MMR010024
 Total,17,58846,58863,Pyawbwe,MMR010024
 Urban,12,23951,23963,Meiktila,MMR010028
 Rural,18,44458,44476,Meiktila,MMR010028
 Total,30,68409,68439,Meiktila,MMR010028
 Urban,-,4720,4720,Thazi,MMR010030
 Rural,102,40070,40172,Thazi,MMR010030
 Total,102,44790,44892,Thazi,MMR010030
 Urban,-,7300,7300,Wundwin,MMR010031
 Rural,13,46256,46269,Wundwin,MMR010031
 Total,13,53556,53569,Wundwin,MMR010031
 Urban,201,49533,49734,Mawlamyine,MMR011001
 Rural,689,7034,7723,Mawlamyine,MMR011001
 Total,890,56567,57457,Mawlamyine,MMR011001
 Urban,53,2123,2176,Kyaikemaraw,MMR011002
 Rural,1513,35199,36712,Kyaikemaraw,MMR011002
 Total,1566,37322,38888,Kyaikemaraw,MMR011002
 Urban,1,1743,1744,Chaungzon,MMR011003
 Rural,736,25464,26200,Chaungzon,MMR011003
 Total,737,27207,27944,Chaungzon,MMR011003
 Urban,142,11573,11715,Thanbyuzayat,MMR011004
 Rural,243,24276,24519,Thanbyuzayat,MMR011004
 Total,385,35849,36234,Thanbyuzayat,MMR011004
 Urban,23,10769,10792,Mudon,MMR011005
 Rural,494,28026,28520,Mudon,MMR011005
 Total,517,38795,39312,Mudon,MMR011005
 Urban,24,6089,6113,Ye,MMR011006
 Rural,749,23129,23878,Ye,MMR011006
 Total,773,29218,29991,Ye,MMR011006
 Urban,7,2960,2967,Lamine,MMR011006
 Rural,203,15469,15672,Lamine,MMR011006
 Total,210,18429,18639,Lamine,MMR011006
 Urban,6,772,778,Khawzar,MMR011006
 Rural,98,3942,4040,Khawzar,MMR011006
 Total,104,4714,4818,Khawzar,MMR011006
 Urban,51,10655,10706,Thaton,MMR011007
 Rural,794,36784,37578,Thaton,MMR011007
 Total,845,47439,48284,Thaton,MMR011007
 Urban,21,5881,5902,Paung,MMR011008
 Rural,1208,36616,37824,Paung,MMR011008
 Total,1229,42497,43726,Paung,MMR011008
 Urban,152,7364,7516,Kyaikto,MMR011009
 Rural,588,29984,30572,Kyaikto,MMR011009
 Total,740,37348,38088,Kyaikto,MMR011009
 Urban,27,4017,4044,Bilin,MMR011010
 Rural,343,34844,35187,Bilin,MMR011010
 Total,370,38861,39231,Bilin,MMR011010
 Urban,109,18797,18906,Sittway,MMR012001
 Rural,291,9839,10130,Sittway,MMR012001
 Total,400,28636,29036,Sittway,MMR012001
 Urban,63,2403,2466,Ponnagyun,MMR012002
 Rural,656,22213,22869,Ponnagyun,MMR012002
 Total,719,24616,25335,Ponnagyun,MMR012002
 Urban,71,2399,2470,Pauktaw,MMR012007
 Rural,2309,25765,28074,Pauktaw,MMR012007
 Total,2380,28164,30544,Pauktaw,MMR012007
 Urban,61,1449,1510,Yethedaung,MMR012008
 Rural,635,22196,22831,Yethedaung,MMR012008
 Total,696,23645,24341,Yethedaung,MMR012008
 Urban,202,7072,7274,Myauk U,MMR012003
 Rural,2548,31703,34251,Myauk U,MMR012003
 Total,2750,38775,41525,Myauk U,MMR012003
 Urban,59,3780,3839,Kyauktaw,MMR012004
 Rural,655,32001,32656,Kyauktaw,MMR012004
 Total,714,35781,36495,Kyauktaw,MMR012004
 Urban,132,4483,4615,Minbya,MMR012005
 Rural,1507,30506,32013,Minbya,MMR012005
 Total,1639,34989,36628,Minbya,MMR012005
 Urban,108,2510,2618,Myebon,MMR012006
 Rural,4382,24339,28721,Myebon,MMR012006
 Total,4490,26849,31339,Myebon,MMR012006
 Urban,4,2310,2314,Maungtaw,MMR012009
 Rural,13,5063,5076,Maungtaw,MMR012009
 Total,17,7373,7390,Maungtaw,MMR012009
 Urban,14,2048,2062,Buthidaung,MMR012010
 Rural,114,9088,9202,Buthidaung,MMR012010
 Total,128,11136,11264,Buthidaung,MMR012010
 Urban,-,158,158,Taungpyoletwe(ST),MMR012009
 Rural,-,348,348,Taungpyoletwe(ST),MMR012009
 Total,-,506,506,Taungpyoletwe(ST),MMR012009
 Urban,111,4143,4254,Kyaukpyu,MMR012011
 Rural,2282,30728,33010,Kyaukpyu,MMR012011
 Total,2393,34871,37264,Kyaukpyu,MMR012011
 Urban,13,1293,1306,Mannaung,MMR017011
 Rural,449,12980,13429,Mannaung,MMR017011
 Total,462,14273,14735,Mannaung,MMR017011
 Urban,39,2209,2248,Yanbye,MMR012013
 Rural,1112,19058,20170,Yanbye,MMR012013
 Total,1151,21267,22418,Yanbye,MMR012013
 Urban,15,1863,1878,An,MMR012014
 Rural,1666,23815,25481,An,MMR012014
 Total,1681,25678,27359,An,MMR012014
 Urban,18,3332,3350,Thandwe,MMR012015
 Rural,1397,26328,27725,Thandwe,MMR012015
 Total,1415,29660,31075,Thandwe,MMR012015
 Urban,150,6028,6178,Toungup,MMR012016
 Rural,1956,17105,19061,Toungup,MMR012016
 Total,2106,23133,25239,Toungup,MMR012016
 Urban,115,2373,2488,Gwa,MMR012017
 Rural,600,8157,8757,Gwa,MMR012017
 Total,715,10530,11245,Gwa,MMR012017
 Urban,109,1106,1215,Maei(ST),MMR012016
 Rural,890,7848,8738,Maei(ST),MMR012016
 Total,999,8954,9953,Maei(ST),MMR012016
 Urban,72,1403,1475,Kyeintali(ST),MMR012017
 Rural,156,4450,4606,Kyeintali(ST),MMR012017
 Total,228,5853,6081,Kyeintali(ST),MMR012017
 Urban,75,61601,61676,Insein,MMR013001
 Total,75,61601,61676,Insein,MMR013001
 Urban,57,41584,41641,Mingaladon,MMR013002
 Rural,36,24626,24662,Mingaladon,MMR013002
 Total,93,66210,66303,Mingaladon,MMR013002
 Urban,2,5940,5942,Hmawby,MMR013003
 Rural,383,50144,50527,Hmawby,MMR013003
 Total,385,56084,56469,Hmawby,MMR013003
 Urban,27,8722,8749,Hlegu,MMR013004
 Rural,632,48642,49274,Hlegu,MMR013004
 Total,659,57364,58023,Hlegu,MMR013004
 Urban,101,20258,20359,Taikkyi,MMR013005
 Rural,728,45912,46640,Taikkyi,MMR013005
 Total,829,66170,66999,Taikkyi,MMR013005
 Urban,24,2032,2056,Htantabin,MMR013006
 Rural,1659,30496,32155,Htantabin,MMR013006
 Total,1683,32528,34211,Htantabin,MMR013006
 Urban,156,58355,58511,Shwepyitha,MMR013007
 Rural,2,15262,15264,Shwepyitha,MMR013007
 Total,158,73617,73775,Shwepyitha,MMR013007
 Urban,68,103739,103807,Hlinethaya,MMR013008
 Rural,82,44822,44904,Hlinethaya,MMR013008
 Total,150,148561,148711,Hlinethaya,MMR013008
 Urban,10,43310,43320,Thingangyun,MMR013009
 Total,10,43310,43320,Thingangyun,MMR013009
 Urban,1,14636,14637,Yankin,MMR013010
 Total,1,14636,14637,Yankin,MMR013010
 Urban,10,32715,32725,South Okkalapa,MMR013011
 Total,10,32715,32725,South Okkalapa,MMR013011
 Urban,37,64719,64756,North Okkalapa,MMR013012
 Total,37,64719,64756,North Okkalapa,MMR013012
 Urban,29,45427,45456,Thakayta,MMR013013
 Total,29,45427,45456,Thakayta,MMR013013
 Urban,73,14336,14409,Dawbon,MMR013014
 Total,73,14336,14409,Dawbon,MMR013014
 Urban,46,35314,35360,Tamway,MMR013015
 Total,46,35314,35360,Tamway,MMR013015
 Urban,11,10295,10306,Pazuntaung,MMR013016
 Total,11,10295,10306,Pazuntaung,MMR013016
 Urban,19,8378,8397,Botahtaung,MMR013017
 Total,19,8378,8397,Botahtaung,MMR013017
 Urban,252,76732,76984,Dagon Myothit(South),MMR013018
 Total,252,76732,76984,Dagon Myothit(South),MMR013018
 Urban,37,42667,42704,Dagon Myothit(North),MMR013019
 Total,37,42667,42704,Dagon Myothit(North),MMR013019
 Urban,7,31888,31895,Dagon Myothit(East),MMR013020
 Rural,54,1964,2018,Dagon Myothit(East),MMR013020
 Total,61,33852,33913,Dagon Myothit(East),MMR013020
 Urban,57,34115,34172,Dagon Myothit(Seik),MMR013021
 Rural,36,3697,3733,Dagon Myothit(Seik),MMR013021
 Total,93,37812,37905,Dagon Myothit(Seik),MMR013021
 Urban,18,25900,25918,Mingala Taungnyunt,MMR013022
 Total,18,25900,25918,Mingala Taungnyunt,MMR013022
 Urban,55,18654,18709,Thanlyin,MMR013023
 Rural,403,42485,42888,Thanlyin,MMR013023
 Total,458,61139,61597,Thanlyin,MMR013023
 Urban,139,9725,9864,Kyauktan,MMR013024
 Rural,950,22162,23112,Kyauktan,MMR013024
 Total,1089,31887,32976,Kyauktan,MMR013024
 Urban,27,6729,6756,Thongwa,MMR013025
 Rural,796,32535,33331,Thongwa,MMR013025
 Total,823,39264,40087,Thongwa,MMR013025
 Urban,35,7843,7878,Khayan,MMR013026
 Rural,792,30644,31436,Khayan,MMR013026
 Total,827,38487,39314,Khayan,MMR013026
 Urban,230,8967,9197,Twantay,MMR013027
 Rural,3188,39217,42405,Twantay,MMR013027
 Total,3418,48184,51602,Twantay,MMR013027
 Urban,24,2207,2231,Kawhmu,MMR013028
 Rural,1400,26161,27561,Kawhmu,MMR013028
 Total,1424,28368,29792,Kawhmu,MMR013028
 Urban,157,3801,3958,Kungyangon,MMR013029
 Rural,1353,23041,24394,Kungyangon,MMR013029
 Total,1510,26842,28352,Kungyangon,MMR013029
 Urban,68,25263,25331,Dala,MMR013030
 Rural,587,11994,12581,Dala,MMR013030
 Total,655,37257,37912,Dala,MMR013030
 Urban,10,341,351,Cocogyun,MMR013032
 Total,10,341,351,Cocogyun,MMR013032
 Urban,66,2424,2490,Tada(ST),MMR013024
 Rural,357,6646,7003,Tada(ST),MMR013024
 Total,423,9070,9493,Tada(ST),MMR013024
 Urban,4,6116,6120,Kyauktada,MMR013033
 Total,4,6116,6120,Kyauktada,MMR013033
 Urban,9,6554,6563,Pabedan,MMR013034
 Total,9,6554,6563,Pabedan,MMR013034
 Urban,35,8564,8599,Lanmadaw,MMR013035
 Total,35,8564,8599,Lanmadaw,MMR013035
 Urban,7,4466,4473,Latha,MMR013036
 Total,7,4466,4473,Latha,MMR013036
 Urban,22,10921,10943,Ahlon,MMR013037
 Total,22,10921,10943,Ahlon,MMR013037
 Urban,115,22947,23062,Kyimyindine,MMR013038
 Total,115,22947,23062,Kyimyindine,MMR013038
 Urban,20,20615,20635,Sangyoung,MMR013039
 Total,20,20615,20635,Sangyoung,MMR013039
 Urban,102,32735,32837,Hline,MMR013040
 Total,102,32735,32837,Hline,MMR013040
 Urban,23,16276,16299,Kamayut,MMR013041
 Total,23,16276,16299,Kamayut,MMR013041
 Urban,30,38777,38807,Mayangon,MMR013042
 Total,30,38777,38807,Mayangon,MMR013042
 Urban,9,4599,4608,Dagon,MMR013043
 Total,9,4599,4608,Dagon,MMR013043
 Urban,12,17414,17426,Bahan,MMR013044
 Total,12,17414,17426,Bahan,MMR013044
 Urban,-,410,410,Seikkan,MMR013045
 Total,-,410,410,Seikkan,MMR013045
 Urban,44,56604,56648,Taunggyi,MMR014001
 Rural,7,25949,25956,Taunggyi,MMR014001
 Total,51,82553,82604,Taunggyi,MMR014001
 Urban,119,2940,3059,Nyaungshwe,MMR014002
 Rural,5222,34353,39575,Nyaungshwe,MMR014002
 Total,5341,37293,42634,Nyaungshwe,MMR014002
 Urban,1,4535,4536,Hopon,MMR014003
 Rural,38,20154,20192,Hopon,MMR014003
 Total,39,24689,24728,Hopon,MMR014003
 Urban,-,2649,2649,Hsihseng,MMR014004
 Rural,273,29849,30122,Hsihseng,MMR014004
 Total,273,32498,32771,Hsihseng,MMR014004
 Urban,4,12594,12598,Kalaw,MMR014005
 Rural,15,28728,28743,Kalaw,MMR014005
 Total,19,41322,41341,Kalaw,MMR014005
 Urban,-,2259,2259,Pindaya,MMR014006
 Rural,2,15283,15285,Pindaya,MMR014006
 Total,2,17542,17544,Pindaya,MMR014006
 Urban,-,1155,1155,Ywarngan,MMR014007
 Rural,4,17189,17193,Ywarngan,MMR014007
 Total,4,18344,18348,Ywarngan,MMR014007
 Urban,-,5677,5677,Yatsauk,MMR014008
 Rural,17,20263,20280,Yatsauk,MMR014008
 Total,17,25940,25957,Yatsauk,MMR014008
 Urban,-,2770,2770,Pinlaung,MMR014009
 Rural,120,22614,22734,Pinlaung,MMR014009
 Total,120,25384,25504,Pinlaung,MMR014009
 Urban,50,3381,3431,Phekon,MMR014010
 Rural,101,16552,16653,Phekon,MMR014010
 Total,151,19933,20084,Phekon,MMR014010
 Urban,-,602,602,Kyauktalongyi(ST),MMR014001
 Rural,144,11519,11663,Kyauktalongyi(ST),MMR014001
 Total,144,12121,12265,Kyauktalongyi(ST),MMR014001
 Urban,-,1836,1836,Indaw(ST),MMR014008
 Rural,2,6312,6314,Indaw(ST),MMR014008
 Total,2,8148,8150,Indaw(ST),MMR014008
 Urban,-,979,979,Naungtayar(ST),MMR014009
 Rural,3,15597,15600,Naungtayar(ST),MMR014009
 Total,3,16576,16579,Naungtayar(ST),MMR014009
 Urban,-,2853,2853,Loilem,MMR014011
 Rural,-,8048,8048,Loilem,MMR014011
 Total,-,10901,10901,Loilem,MMR014011
 Urban,-,1330,1330,Le`char,MMR014012
 Rural,2,7458,7460,Le`char,MMR014012
 Total,2,8788,8790,Le`char,MMR014012
 Urban,1,4840,4841,Nanhsam(South),MMR014013
 Rural,9,14013,14022,Nanhsam(South),MMR014013
 Total,10,18853,18863,Nanhsam(South),MMR014013
 Urban,-,1542,1542,Kunhing,MMR014014
 Rural,5,3023,3028,Kunhing,MMR014014
 Total,5,4565,4570,Kunhing,MMR014014
 Urban,1,841,842,Kehsi,MMR014015
 Rural,3,8056,8059,Kehsi,MMR014015
 Total,4,8897,8901,Kehsi,MMR014015
 Urban,1,2218,2219,Mongkai,MMR014016
 Rural,2,14111,14113,Mongkai,MMR014016
 Total,3,16329,16332,Mongkai,MMR014016
 Urban,1,2082,2083,Mineshu,MMR014017
 Rural,2,7116,7118,Mineshu,MMR014017
 Total,3,9198,9201,Mineshu,MMR014017
 Urban,-,5224,5224,Panglong(ST),MMR014011
 Rural,-,9292,9292,Panglong(ST),MMR014011
 Total,-,14516,14516,Panglong(ST),MMR014011
 Urban,1,1747,1748,Kholan(ST),MMR014013
 Rural,-,2616,2616,Kholan(ST),MMR014013
 Total,1,4363,4364,Kholan(ST),MMR014013
 Urban,-,1665,1665,Karli(ST),MMR014014
 Rural,14,4888,4902,Karli(ST),MMR014014
 Total,14,6553,6567,Karli(ST),MMR014014
 Urban,-,752,752,Minenaung(ST),MMR014015
 Rural,7,5052,5059,Minenaung(ST),MMR014015
 Total,7,5804,5811,Minenaung(ST),MMR014015
 Urban,1,506,507,Minesan(Monsan)(ST),MMR014017
 Rural,2,6157,6159,Minesan(Monsan)(ST),MMR014017
 Total,3,6663,6666,Minesan(Monsan)(ST),MMR014017
 Urban,7,1711,1718,Linkhe`,MMR014018
 Rural,22,6648,6670,Linkhe`,MMR014018
 Total,29,8359,8388,Linkhe`,MMR014018
 Urban,1,2102,2103,Mone`,MMR014019
 Rural,-,4121,4121,Mone`,MMR014019
 Total,1,6223,6224,Mone`,MMR014019
 Urban,1,1191,1192,Maukme`,MMR014020
 Rural,-,6002,6002,Maukme`,MMR014020
 Total,1,7193,7194,Maukme`,MMR014020
 Urban,-,1959,1959,Minepan,MMR014021
 Rural,1,3461,3462,Minepan,MMR014021
 Total,1,5420,5421,Minepan,MMR014021
 Urban,1,673,674,Homane(ST),MMR014018
 Rural,-,486,486,Homane(ST),MMR014018
 Total,1,1159,1160,Homane(ST),MMR014018
 Urban,-,2097,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,-,2261,2261,Kengtaung(ST),MMR014019
 Urban,5,34094,34099,Lashio,MMR015001
 Rural,12,30821,30833,Lashio,MMR015001
 Total,17,64915,64932,Lashio,MMR015001
 Urban,2,1921,1923,Theinni,MMR015002
 Rural,2,9854,9856,Theinni,MMR015002
 Total,4,11775,11779,Theinni,MMR015002
 Urban,-,1470,1470,Mineye`,MMR015003
 Rural,34,11824,11858,Mineye`,MMR015003
 Total,34,13294,13328,Mineye`,MMR015003
 Urban,-,6808,6808,Tantyan,MMR015004
 Rural,11,28323,28334,Tantyan,MMR015004
 Total,11,35131,35142,Tantyan,MMR015004
 Urban,5,13329,13334,MuSe,MMR015009
 Rural,25,8855,8880,MuSe,MMR015009
 Total,30,22184,22214,MuSe,MMR015009
 Urban,6,6126,6132,Namkham,MMR015010
 Rural,9,15276,15285,Namkham,MMR015010
 Total,15,21402,21417,Namkham,MMR015010
 Urban,1,4682,4683,Kukai,MMR015011
 Rural,4,14344,14348,Kukai,MMR015011
 Total,5,19026,19031,Kukai,MMR015011
 Urban,-,1469,1469,Monekoe(ST),MMR015009
 Rural,-,2889,2889,Monekoe(ST),MMR015009
 Total,-,4358,4358,Monekoe(ST),MMR015009
 Urban,-,346,346,Manhero(ST),MMR015009
 Rural,2,1295,1297,Manhero(ST),MMR015009
 Total,2,1641,1643,Manhero(ST),MMR015009
 Urban,-,1768,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,-,2775,2775,Pansai(KyuKute)(ST),MMR015009
 Total,-,4543,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,-,2487,2487,Tamoenye(ST),MMR015011
 Rural,4,10558,10562,Tamoenye(ST),MMR015011
 Total,4,13045,13049,Tamoenye(ST),MMR015011
 Urban,-,8653,8653,Kyukme,MMR015012
 Rural,12,19706,19718,Kyukme,MMR015012
 Total,12,28359,28371,Kyukme,MMR015012
 Urban,-,4171,4171,Naungkhio,MMR015013
 Rural,77,27976,28053,Naungkhio,MMR015013
 Total,77,32147,32224,Naungkhio,MMR015013
 Urban,22,3987,4009,Hsipaw,MMR015014
 Rural,104,33793,33897,Hsipaw,MMR015014
 Total,126,37780,37906,Hsipaw,MMR015014
 Urban,1,3256,3257,Namtu,MMR015015
 Rural,-,8384,8384,Namtu,MMR015015
 Total,1,11640,11641,Namtu,MMR015015
 Urban,-,935,935,Namsan(North),MMR015016
 Rural,4,12746,12750,Namsan(North),MMR015016
 Total,4,13681,13685,Namsan(North),MMR015016
 Urban,5,2228,2233,Momeik,MMR015017
 Rural,193,11226,11419,Momeik,MMR015017
 Total,198,13454,13652,Momeik,MMR015017
 Urban,24,690,714,Mabane,MMR015018
 Rural,471,7447,7918,Mabane,MMR015018
 Total,495,8137,8632,Mabane,MMR015018
 Urban,-,779,779,Manton,MMR015019
 Rural,3,6901,6904,Manton,MMR015019
 Total,3,7680,7683,Manton,MMR015019
 Urban,-,613,613,Minengaw(ST),MMR015012
 Rural,1,3415,3416,Minengaw(ST),MMR015012
 Total,1,4028,4029,Minengaw(ST),MMR015012
 Urban,1,585,586,Minelon(ST),MMR015012
 Rural,1,5269,5270,Minelon(ST),MMR015012
 Total,2,5854,5856,Minelon(ST),MMR015012
 Urban,2,1156,1158,Kunlon,MMR015020
 Rural,6,9228,9234,Kunlon,MMR015020
 Total,8,10384,10392,Kunlon,MMR015020
 Urban,1,2940,2941,Laukine,MMR015022
 Rural,5,11285,11290,Laukine,MMR015022
 Total,6,14225,14231,Laukine,MMR015022
 Urban,-,194,194,Kongyan,MMR015023
 Rural,-,5268,5268,Kongyan,MMR015023
 Total,-,5462,5462,Kongyan,MMR015023
 Urban,-,619,619,Chinshwehaw(ST),MMR015022
 Rural,-,331,331,Chinshwehaw(ST),MMR015022
 Total,-,950,950,Chinshwehaw(ST),MMR015022
 Urban,-,85,85,Mawhtike(ST),MMR015023
 Rural,1,4117,4118,Mawhtike(ST),MMR015023
 Total,1,4202,4203,Mawhtike(ST),MMR015023
 Urban,2,3376,3378,Hopan,MMR015021
 Rural,16,6637,6653,Hopan,MMR015021
 Total,18,10013,10031,Hopan,MMR015021
 Urban,10,843,853,Minemaw,MMR015008
 Rural,21,9571,9592,Minemaw,MMR015008
 Total,31,10414,10445,Minemaw,MMR015008
 Urban,3,466,469,Panwine,MMR015007
 Rural,35,13465,13500,Panwine,MMR015007
 Total,38,13931,13969,Panwine,MMR015007
 Urban,-,661,661,Panlon(ST),MMR015021
 Rural,-,524,524,Panlon(ST),MMR015021
 Total,-,1185,1185,Panlon(ST),MMR015021
 Urban,-,67,67,Makman,MMR015024
 Rural,5,3246,3251,Makman,MMR015024
 Total,5,3313,3318,Makman,MMR015024
 Urban,4,2018,2022,Pan San(Pan Kham),MMR015005
 Rural,14,14106,14120,Pan San(Pan Kham),MMR015005
 Total,18,16124,16142,Pan San(Pan Kham),MMR015005
 Urban,-,155,155,Naphang,MMR015006
 Rural,36,16283,16319,Naphang,MMR015006
 Total,36,16438,16474,Naphang,MMR015006
 Urban,-,81,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,-,315,315,ManKan(ST),MMR015005
 Urban,23,9079,9102,Kengtung,MMR016001
 Rural,11,24983,24994,Kengtung,MMR016001
 Total,34,34062,34096,Kengtung,MMR016001
 Urban,-,558,558,Minekat,MMR016002
 Rural,17,7450,7467,Minekat,MMR016002
 Total,17,8008,8025,Minekat,MMR016002
 Urban,-,989,989,Mineyan,MMR016003
 Rural,9,9121,9130,Mineyan,MMR016003
 Total,9,10110,10119,Mineyan,MMR016003
 Urban,3,1557,1560,Minelar,MMR016005
 Rural,2,3646,3648,Minelar,MMR016005
 Total,5,5203,5208,Minelar,MMR016005
 Rural,72,9213,9285,Mine Pauk(ST),MMR016003
 Total,72,9213,9285,Mine Pauk(ST),MMR016003
 Urban,2,1559,1561,Minesat,MMR016006
 Rural,40,14308,14348,Minesat,MMR016006
 Total,42,15867,15909,Minesat,MMR016006
 Urban,-,1333,1333,Minepyin,MMR016007
 Rural,21,9251,9272,Minepyin,MMR016007
 Total,21,10584,10605,Minepyin,MMR016007
 Urban,-,1119,1119,Minetung,MMR016008
 Rural,3,3136,3139,Minetung,MMR016008
 Total,3,4255,4258,Minetung,MMR016008
 Urban,-,284,284,Minekoke(ST),MMR016006
 Rural,1,2917,2918,Minekoke(ST),MMR016006
 Total,1,3201,3202,Minekoke(ST),MMR016006
 Urban,-,427,427,Tontar(ST),MMR016007
 Rural,-,2267,2267,Tontar(ST),MMR016007
 Total,-,2694,2694,Tontar(ST),MMR016007
 Urban,-,721,721,Ponparkyin(ST),MMR016008
 Rural,5,6608,6613,Ponparkyin(ST),MMR016008
 Total,5,7329,7334,Ponparkyin(ST),MMR016008
 Urban,-,91,91,Monehta(ST),MMR016008
 Rural,-,838,838,Monehta(ST),MMR016008
 Total,-,929,929,Monehta(ST),MMR016008
 Urban,1,11093,11094,Tachileik,MMR016009
 Rural,19,20066,20085,Tachileik,MMR016009
 Total,20,31159,31179,Tachileik,MMR016009
 Urban,1,872,873,Talay(ST),MMR016009
 Rural,2,3143,3145,Talay(ST),MMR016009
 Total,3,4015,4018,Talay(ST),MMR016009
 Urban,58,704,762,Kenglat(ST),MMR016009
 Rural,10,1704,1714,Kenglat(ST),MMR016009
 Total,68,2408,2476,Kenglat(ST),MMR016009
 Urban,1,1322,1323,Minephyat,MMR016010
 Rural,-,4842,4842,Minephyat,MMR016010
 Total,1,6164,6165,Minephyat,MMR016010
 Urban,1,1189,1190,Mineyaung,MMR016011
 Rural,1,5138,5139,Mineyaung,MMR016011
 Total,2,6327,6329,Mineyaung,MMR016011
 Urban,10,221,231,Mineyu(ST),MMR016011
 Rural,47,10589,10636,Mineyu(ST),MMR016011
 Total,57,10810,10867,Mineyu(ST),MMR016011
 Urban,38,2636,2674,Kangyidaunt,MMR017002
 Rural,2299,37993,40292,Kangyidaunt,MMR017002
 Total,2337,40629,42966,Kangyidaunt,MMR017002
 Urban,30,3920,3950,Kyaungon,MMR017007
 Rural,384,37068,37452,Kyaungon,MMR017007
 Total,414,40988,41402,Kyaungon,MMR017007
 Urban,32,5967,5999,Kyonpyaw,MMR017005
 Rural,679,52810,53489,Kyonpyaw,MMR017005
 Total,711,58777,59488,Kyonpyaw,MMR017005
 Urban,118,2423,2541,Ngaputaw,MMR017004
 Rural,3909,30926,34835,Ngaputaw,MMR017004
 Total,4027,33349,37376,Ngaputaw,MMR017004
 Urban,421,37020,37441,Pathein,MMR017001
 Rural,1537,27058,28595,Pathein,MMR017001
 Total,1958,64078,66036,Pathein,MMR017001
 Urban,1,2765,2766,Yekyi,MMR017006
 Rural,520,24516,25036,Yekyi,MMR017006
 Total,521,27281,27802,Yekyi,MMR017006
 Urban,31,1709,1740,Thapaung,MMR017003
 Rural,2565,32932,35497,Thapaung,MMR017003
