Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Wooden house,2488,12169,14657,Mohnyin,MMR001007
 Bamboo,1914,8882,10796,Mohnyin,MMR001007
 Hut 2 - 3 years,32,191,223,Mohnyin,MMR001007
 Hut 1 year,3,50,53,Mohnyin,MMR001007
 Other,105,57,162,Mohnyin,MMR001007
 Total,6353,23837,30190,Mohnyin,MMR001007
 Condominium/Apartment/Flat,41,645,686,Mogaung,MMR001008
 Bungalow/Brick house,575,1100,1675,Mogaung,MMR001008
 Semi-pacca house,518,1225,1743,Mogaung,MMR001008
 Wooden house,2109,8199,10308,Mogaung,MMR001008
 Bamboo,1177,9057,10234,Mogaung,MMR001008
 Hut 2 - 3 years,12,95,107,Mogaung,MMR001008
 Hut 1 year,4,33,37,Mogaung,MMR001008
 Other,12,96,108,Mogaung,MMR001008
 Total,4448,20450,24898,Mogaung,MMR001008
 Condominium/Apartment/Flat,38,160,198,Phakant,MMR001009
 Bungalow/Brick house,122,328,450,Phakant,MMR001009
 Semi-pacca house,368,865,1233,Phakant,MMR001009
 Wooden house,3775,14714,18489,Phakant,MMR001009
 Bamboo,2469,9049,11518,Phakant,MMR001009
 Hut 2 - 3 years,25,414,439,Phakant,MMR001009
 Hut 1 year,15,121,136,Phakant,MMR001009
 Other,44,627,671,Phakant,MMR001009
 Total,6856,26278,33134,Phakant,MMR001009
 Condominium/Apartment/Flat,114,151,265,Hopin(ST),MMR001007
 Bungalow/Brick house,590,137,727,Hopin(ST),MMR001007
 Semi-pacca house,442,214,656,Hopin(ST),MMR001007
 Wooden house,1313,2173,3486,Hopin(ST),MMR001007
 Bamboo,1999,2183,4182,Hopin(ST),MMR001007
 Hut 2 - 3 years,56,20,76,Hopin(ST),MMR001007
 Hut 1 year,12,13,25,Hopin(ST),MMR001007
 Other,15,-,15,Hopin(ST),MMR001007
 Total,4541,4891,9432,Hopin(ST),MMR001007
 Condominium/Apartment/Flat,9,-,9,Kamine(ST),MMR001009
 Bungalow/Brick house,33,18,51,Kamine(ST),MMR001009
 Semi-pacca house,56,50,106,Kamine(ST),MMR001009
 Wooden house,336,661,997,Kamine(ST),MMR001009
 Bamboo,592,1707,2299,Kamine(ST),MMR001009
 Hut 2 - 3 years,1,21,22,Kamine(ST),MMR001009
 Hut 1 year,2,8,10,Kamine(ST),MMR001009
 Other,1,3,4,Kamine(ST),MMR001009
 Total,1030,2468,3498,Kamine(ST),MMR001009
 Condominium/Apartment/Flat,479,427,906,Bhamo,MMR001010
 Bungalow/Brick house,1140,614,1754,Bhamo,MMR001010
 Semi-pacca house,1261,783,2044,Bhamo,MMR001010
 Wooden house,3571,6692,10263,Bhamo,MMR001010
 Bamboo,2899,5902,8801,Bhamo,MMR001010
 Hut 2 - 3 years,38,148,186,Bhamo,MMR001010
 Hut 1 year,17,42,59,Bhamo,MMR001010
 Other,110,38,148,Bhamo,MMR001010
 Total,9515,14646,24161,Bhamo,MMR001010
 Condominium/Apartment/Flat,42,159,201,Shwegu,MMR001011
 Bungalow/Brick house,378,314,692,Shwegu,MMR001011
 Semi-pacca house,278,348,626,Shwegu,MMR001011
 Wooden house,1955,6871,8826,Shwegu,MMR001011
 Bamboo,675,4310,4985,Shwegu,MMR001011
 Hut 2 - 3 years,46,261,307,Shwegu,MMR001011
 Hut 1 year,5,66,71,Shwegu,MMR001011
 Other,23,97,120,Shwegu,MMR001011
 Total,3402,12426,15828,Shwegu,MMR001011
 Condominium/Apartment/Flat,1,392,393,Momauk,MMR001012
 Bungalow/Brick house,76,380,456,Momauk,MMR001012
 Semi-pacca house,55,384,439,Momauk,MMR001012
 Wooden house,426,2052,2478,Momauk,MMR001012
 Bamboo,1287,3175,4462,Momauk,MMR001012
 Hut 2 - 3 years,41,107,148,Momauk,MMR001012
 Hut 1 year,3,32,35,Momauk,MMR001012
 Other,201,22,223,Momauk,MMR001012
 Total,2090,6544,8634,Momauk,MMR001012
 Condominium/Apartment/Flat,81,156,237,Mansi,MMR001013
 Bungalow/Brick house,104,479,583,Mansi,MMR001013
 Semi-pacca house,158,483,641,Mansi,MMR001013
 Wooden house,620,3382,4002,Mansi,MMR001013
 Bamboo,639,3676,4315,Mansi,MMR001013
 Hut 2 - 3 years,7,80,87,Mansi,MMR001013
 Hut 1 year,1,656,657,Mansi,MMR001013
 Other,8,24,32,Mansi,MMR001013
 Total,1618,8936,10554,Mansi,MMR001013
 Condominium/Apartment/Flat,15,-,15,Myohla(ST),MMR001011
 Bungalow/Brick house,8,1,9,Myohla(ST),MMR001011
 Semi-pacca house,3,2,5,Myohla(ST),MMR001011
 Wooden house,223,220,443,Myohla(ST),MMR001011
 Bamboo,90,204,294,Myohla(ST),MMR001011
 Hut 2 - 3 years,16,-,16,Myohla(ST),MMR001011
 Hut 1 year,5,-,5,Myohla(ST),MMR001011
 Other,1,5,6,Myohla(ST),MMR001011
 Total,361,432,793,Myohla(ST),MMR001011
 Condominium/Apartment/Flat,241,1,242,Lwe`ge`(ST),MMR001012
 Bungalow/Brick house,500,29,529,Lwe`ge`(ST),MMR001012
 Semi-pacca house,215,103,318,Lwe`ge`(ST),MMR001012
 Wooden house,113,32,145,Lwe`ge`(ST),MMR001012
 Bamboo,129,111,240,Lwe`ge`(ST),MMR001012
 Hut 2 - 3 years,1,-,1,Lwe`ge`(ST),MMR001012
 Other,26,2,28,Lwe`ge`(ST),MMR001012
 Total,1225,278,1503,Lwe`ge`(ST),MMR001012
 Condominium/Apartment/Flat,19,76,95,Dotphoneyan(ST),MMR001012
 Bungalow/Brick house,9,71,80,Dotphoneyan(ST),MMR001012
 Semi-pacca house,7,105,112,Dotphoneyan(ST),MMR001012
 Wooden house,72,447,519,Dotphoneyan(ST),MMR001012
 Bamboo,189,1184,1373,Dotphoneyan(ST),MMR001012
 Hut 2 - 3 years,2,29,31,Dotphoneyan(ST),MMR001012
 Hut 1 year,4,7,11,Dotphoneyan(ST),MMR001012
 Other,9,3,12,Dotphoneyan(ST),MMR001012
 Total,311,1922,2233,Dotphoneyan(ST),MMR001012
 Condominium/Apartment/Flat,60,151,211,Putao,MMR001014
 Bungalow/Brick house,95,2,97,Putao,MMR001014
 Semi-pacca house,78,9,87,Putao,MMR001014
 Wooden house,1618,2839,4457,Putao,MMR001014
 Bamboo,945,4849,5794,Putao,MMR001014
 Hut 2 - 3 years,12,71,83,Putao,MMR001014
 Hut 1 year,1,11,12,Putao,MMR001014
 Other,2,-,2,Putao,MMR001014
 Total,2811,7932,10743,Putao,MMR001014
 Condominium/Apartment/Flat,6,-,6,Sumprabum,MMR001015
 Bungalow/Brick house,1,-,1,Sumprabum,MMR001015
 Semi-pacca house,2,-,2,Sumprabum,MMR001015
 Wooden house,41,20,61,Sumprabum,MMR001015
 Bamboo,122,285,407,Sumprabum,MMR001015
 Hut 1 year,-,1,1,Sumprabum,MMR001015
 Other,-,1,1,Sumprabum,MMR001015
 Total,172,307,479,Sumprabum,MMR001015
 Condominium/Apartment/Flat,53,-,53,Machanbaw,MMR001016
 Bungalow/Brick house,6,-,6,Machanbaw,MMR001016
 Semi-pacca house,3,1,4,Machanbaw,MMR001016
 Wooden house,176,399,575,Machanbaw,MMR001016
 Bamboo,169,910,1079,Machanbaw,MMR001016
 Hut 2 - 3 years,-,1,1,Machanbaw,MMR001016
 Other,1,-,1,Machanbaw,MMR001016
 Total,408,1311,1719,Machanbaw,MMR001016
 Semi-pacca house,-,1,1,Khaunglanphoo,MMR001018
 Wooden house,41,243,284,Khaunglanphoo,MMR001018
 Bamboo,29,1395,1424,Khaunglanphoo,MMR001018
 Hut 2 - 3 years,-,2,2,Khaunglanphoo,MMR001018
 Total,70,1641,1711,Khaunglanphoo,MMR001018
 Semi-pacca house,1,-,1,Naungmoon,MMR001017
 Wooden house,120,69,189,Naungmoon,MMR001017
 Bamboo,239,514,753,Naungmoon,MMR001017
 Total,360,583,943,Naungmoon,MMR001017
 Wooden house,2,111,113,Pannandin(ST),MMR001017
 Bamboo,22,134,156,Pannandin(ST),MMR001017
 Total,24,245,269,Pannandin(ST),MMR001017
 Condominium/Apartment/Flat,738,781,1519,Loikaw,MMR002001
 Bungalow/Brick house,2576,2174,4750,Loikaw,MMR002001
 Semi-pacca house,1306,1385,2691,Loikaw,MMR002001
 Wooden house,4127,7105,11232,Loikaw,MMR002001
 Bamboo,1587,4543,6130,Loikaw,MMR002001
 Hut 2 - 3 years,27,37,64,Loikaw,MMR002001
 Hut 1 year,26,23,49,Loikaw,MMR002001
 Other,35,25,60,Loikaw,MMR002001
 Total,10422,16073,26495,Loikaw,MMR002001
 Condominium/Apartment/Flat,23,210,233,Dimawso,MMR002002
 Bungalow/Brick house,360,1697,2057,Dimawso,MMR002002
 Semi-pacca house,207,1654,1861,Dimawso,MMR002002
 Wooden house,405,7604,8009,Dimawso,MMR002002
 Bamboo,140,2984,3124,Dimawso,MMR002002
 Hut 2 - 3 years,-,40,40,Dimawso,MMR002002
 Hut 1 year,-,7,7,Dimawso,MMR002002
 Other,2,14,16,Dimawso,MMR002002
 Total,1137,14210,15347,Dimawso,MMR002002
 Condominium/Apartment/Flat,93,106,199,Phruso,MMR002003
 Bungalow/Brick house,257,288,545,Phruso,MMR002003
 Semi-pacca house,129,271,400,Phruso,MMR002003
 Wooden house,134,2272,2406,Phruso,MMR002003
 Bamboo,240,2116,2356,Phruso,MMR002003
 Hut 2 - 3 years,-,2,2,Phruso,MMR002003
 Other,-,2,2,Phruso,MMR002003
 Total,853,5057,5910,Phruso,MMR002003
 Bungalow/Brick house,4,1,5,Shardaw,MMR002004
 Semi-pacca house,11,-,11,Shardaw,MMR002004
 Wooden house,207,224,431,Shardaw,MMR002004
 Bamboo,108,842,950,Shardaw,MMR002004
 Hut 2 - 3 years,4,2,6,Shardaw,MMR002004
 Hut 1 year,2,1,3,Shardaw,MMR002004
 Total,336,1070,1406,Shardaw,MMR002004
 Condominium/Apartment/Flat,212,-,212,Bawlakhe,MMR002005
 Bungalow/Brick house,28,21,49,Bawlakhe,MMR002005
 Semi-pacca house,47,23,70,Bawlakhe,MMR002005
 Wooden house,427,363,790,Bawlakhe,MMR002005
 Bamboo,121,319,440,Bawlakhe,MMR002005
 Hut 2 - 3 years,1,22,23,Bawlakhe,MMR002005
 Hut 1 year,3,2,5,Bawlakhe,MMR002005
 Total,839,750,1589,Bawlakhe,MMR002005
 Condominium/Apartment/Flat,59,51,110,Parsaung,MMR002006
 Bungalow/Brick house,45,38,83,Parsaung,MMR002006
 Semi-pacca house,49,126,175,Parsaung,MMR002006
 Wooden house,345,1070,1415,Parsaung,MMR002006
 Bamboo,85,2430,2515,Parsaung,MMR002006
 Hut 2 - 3 years,4,78,82,Parsaung,MMR002006
 Hut 1 year,3,181,184,Parsaung,MMR002006
 Other,4,165,169,Parsaung,MMR002006
 Total,594,4139,4733,Parsaung,MMR002006
 Condominium/Apartment/Flat,9,77,86,Meisi,MMR002007
 Bungalow/Brick house,14,6,20,Meisi,MMR002007
 Semi-pacca house,16,21,37,Meisi,MMR002007
 Wooden house,127,719,846,Meisi,MMR002007
 Bamboo,29,283,312,Meisi,MMR002007
 Hut 1 year,-,1,1,Meisi,MMR002007
 Total,195,1107,1302,Meisi,MMR002007
 Condominium/Apartment/Flat,8,33,41,Ywathit(ST),MMR002005
 Bungalow/Brick house,3,1,4,Ywathit(ST),MMR002005
 Semi-pacca house,23,6,29,Ywathit(ST),MMR002005
 Wooden house,246,124,370,Ywathit(ST),MMR002005
 Bamboo,7,36,43,Ywathit(ST),MMR002005
 Hut 2 - 3 years,5,-,5,Ywathit(ST),MMR002005
 Total,292,200,492,Ywathit(ST),MMR002005
 Condominium/Apartment/Flat,1200,1928,3128,Hpa-an,MMR003001
 Bungalow/Brick house,2582,4349,6931,Hpa-an,MMR003001
 Semi-pacca house,1892,5445,7337,Hpa-an,MMR003001
 Wooden house,7527,48768,56295,Hpa-an,MMR003001
 Bamboo,1272,10980,12252,Hpa-an,MMR003001
 Hut 2 - 3 years,100,1711,1811,Hpa-an,MMR003001
 Hut 1 year,154,816,970,Hpa-an,MMR003001
 Other,41,432,473,Hpa-an,MMR003001
 Total,14768,74429,89197,Hpa-an,MMR003001
 Condominium/Apartment/Flat,92,344,436,Hlaingbwe,MMR003002
 Bungalow/Brick house,125,469,594,Hlaingbwe,MMR003002
 Semi-pacca house,212,1680,1892,Hlaingbwe,MMR003002
 Wooden house,1705,22566,24271,Hlaingbwe,MMR003002
 Bamboo,90,2687,2777,Hlaingbwe,MMR003002
 Hut 2 - 3 years,26,1091,1117,Hlaingbwe,MMR003002
 Hut 1 year,24,325,349,Hlaingbwe,MMR003002
 Other,5,145,150,Hlaingbwe,MMR003002
 Total,2279,29307,31586,Hlaingbwe,MMR003002
 Condominium/Apartment/Flat,525,2,527,Thandaunggyi,MMR003004
 Bungalow/Brick house,583,105,688,Thandaunggyi,MMR003004
 Semi-pacca house,572,268,840,Thandaunggyi,MMR003004
 Wooden house,799,1270,2069,Thandaunggyi,MMR003004
 Bamboo,543,1061,1604,Thandaunggyi,MMR003004
 Hut 2 - 3 years,13,28,41,Thandaunggyi,MMR003004
 Hut 1 year,8,12,20,Thandaunggyi,MMR003004
 Other,19,1,20,Thandaunggyi,MMR003004
 Total,3062,2747,5809,Thandaunggyi,MMR003004
 Condominium/Apartment/Flat,3,125,128,Paingkyon(ST),MMR003002
 Bungalow/Brick house,23,358,381,Paingkyon(ST),MMR003002
 Semi-pacca house,142,874,1016,Paingkyon(ST),MMR003002
 Wooden house,593,12268,12861,Paingkyon(ST),MMR003002
 Bamboo,42,2902,2944,Paingkyon(ST),MMR003002
 Hut 2 - 3 years,2,313,315,Paingkyon(ST),MMR003002
 Hut 1 year,1,113,114,Paingkyon(ST),MMR003002
 Other,1,18,19,Paingkyon(ST),MMR003002
 Total,807,16971,17778,Paingkyon(ST),MMR003002
 Bungalow/Brick house,3,2,5,Shan Ywathit(ST),MMR003002
 Semi-pacca house,-,12,12,Shan Ywathit(ST),MMR003002
 Wooden house,53,1293,1346,Shan Ywathit(ST),MMR003002
 Bamboo,26,2299,2325,Shan Ywathit(ST),MMR003002
 Hut 2 - 3 years,-,50,50,Shan Ywathit(ST),MMR003002
 Hut 1 year,-,17,17,Shan Ywathit(ST),MMR003002
 Other,1,-,1,Shan Ywathit(ST),MMR003002
 Total,83,3673,3756,Shan Ywathit(ST),MMR003002
 Condominium/Apartment/Flat,73,1,74,Leiktho(ST),MMR003004
 Bungalow/Brick house,123,112,235,Leiktho(ST),MMR003004
 Semi-pacca house,106,514,620,Leiktho(ST),MMR003004
 Wooden house,131,4641,4772,Leiktho(ST),MMR003004
 Bamboo,172,3918,4090,Leiktho(ST),MMR003004
 Hut 2 - 3 years,1,94,95,Leiktho(ST),MMR003004
 Hut 1 year,-,35,35,Leiktho(ST),MMR003004
 Other,1,4,5,Leiktho(ST),MMR003004
 Total,607,9319,9926,Leiktho(ST),MMR003004
 Condominium/Apartment/Flat,11,8,19,Bawgali(ST),MMR003004
 Bungalow/Brick house,36,16,52,Bawgali(ST),MMR003004
 Semi-pacca house,81,76,157,Bawgali(ST),MMR003004
 Wooden house,135,1001,1136,Bawgali(ST),MMR003004
 Bamboo,168,1767,1935,Bawgali(ST),MMR003004
 Hut 2 - 3 years,5,87,92,Bawgali(ST),MMR003004
 Hut 1 year,-,8,8,Bawgali(ST),MMR003004
 Other,-,6,6,Bawgali(ST),MMR003004
 Total,436,2969,3405,Bawgali(ST),MMR003004
 Condominium/Apartment/Flat,18,168,186,Pharpon,MMR003003
 Bungalow/Brick house,26,14,40,Pharpon,MMR003003
 Semi-pacca house,38,29,67,Pharpon,MMR003003
 Wooden house,384,611,995,Pharpon,MMR003003
 Bamboo,128,1010,1138,Pharpon,MMR003003
 Hut 2 - 3 years,7,48,55,Pharpon,MMR003003
 Hut 1 year,11,21,32,Pharpon,MMR003003
 Other,21,10,31,Pharpon,MMR003003
 Total,633,1911,2544,Pharpon,MMR003003
 Condominium/Apartment/Flat,11,132,143,Kamamaung(ST},MMR003003
 Bungalow/Brick house,110,9,119,Kamamaung(ST},MMR003003
 Semi-pacca house,197,20,217,Kamamaung(ST},MMR003003
 Wooden house,1954,768,2722,Kamamaung(ST},MMR003003
 Bamboo,366,214,580,Kamamaung(ST},MMR003003
 Hut 2 - 3 years,61,47,108,Kamamaung(ST},MMR003003
 Hut 1 year,42,16,58,Kamamaung(ST},MMR003003
 Other,8,3,11,Kamamaung(ST},MMR003003
 Total,2749,1209,3958,Kamamaung(ST},MMR003003
 Condominium/Apartment/Flat,1683,672,2355,Myawady,MMR003005
 Bungalow/Brick house,1884,385,2269,Myawady,MMR003005
 Semi-pacca house,2848,829,3677,Myawady,MMR003005
 Wooden house,14028,11488,25516,Myawady,MMR003005
 Bamboo,2625,2758,5383,Myawady,MMR003005
 Hut 2 - 3 years,474,762,1236,Myawady,MMR003005
 Hut 1 year,250,193,443,Myawady,MMR003005
 Other,224,155,379,Myawady,MMR003005
 Total,24016,17242,41258,Myawady,MMR003005
 Condominium/Apartment/Flat,12,1,13,Sugali(ST),MMR003005
 Bungalow/Brick house,1,5,6,Sugali(ST),MMR003005
 Semi-pacca house,1,8,9,Sugali(ST),MMR003005
 Wooden house,22,458,480,Sugali(ST),MMR003005
 Bamboo,35,504,539,Sugali(ST),MMR003005
 Hut 2 - 3 years,1,6,7,Sugali(ST),MMR003005
 Hut 1 year,3,-,3,Sugali(ST),MMR003005
 Other,-,4,4,Sugali(ST),MMR003005
 Total,75,986,1061,Sugali(ST),MMR003005
 Condominium/Apartment/Flat,7,-,7,Wawlaymyaing(ST),MMR003005
 Bungalow/Brick house,1,-,1,Wawlaymyaing(ST),MMR003005
 Semi-pacca house,6,2,8,Wawlaymyaing(ST),MMR003005
 Wooden house,526,465,991,Wawlaymyaing(ST),MMR003005
 Bamboo,15,647,662,Wawlaymyaing(ST),MMR003005
 Hut 2 - 3 years,2,5,7,Wawlaymyaing(ST),MMR003005
 Hut 1 year,7,-,7,Wawlaymyaing(ST),MMR003005
 Other,13,1,14,Wawlaymyaing(ST),MMR003005
 Total,577,1120,1697,Wawlaymyaing(ST),MMR003005
 Condominium/Apartment/Flat,272,447,719,Kawkareik,MMR003006
 Bungalow/Brick house,588,2443,3031,Kawkareik,MMR003006
 Semi-pacca house,693,3287,3980,Kawkareik,MMR003006
 Wooden house,6181,24777,30958,Kawkareik,MMR003006
 Bamboo,458,3834,4292,Kawkareik,MMR003006
 Hut 2 - 3 years,164,1510,1674,Kawkareik,MMR003006
 Hut 1 year,58,536,594,Kawkareik,MMR003006
 Other,68,182,250,Kawkareik,MMR003006
 Total,8482,37016,45498,Kawkareik,MMR003006
 Condominium/Apartment/Flat,126,92,218,Kyarinseikkyi,MMR003007
 Bungalow/Brick house,284,939,1223,Kyarinseikkyi,MMR003007
 Semi-pacca house,185,2287,2472,Kyarinseikkyi,MMR003007
 Wooden house,972,13352,14324,Kyarinseikkyi,MMR003007
 Bamboo,57,1833,1890,Kyarinseikkyi,MMR003007
 Hut 2 - 3 years,115,1249,1364,Kyarinseikkyi,MMR003007
 Hut 1 year,41,379,420,Kyarinseikkyi,MMR003007
 Other,37,92,129,Kyarinseikkyi,MMR003007
 Total,1817,20223,22040,Kyarinseikkyi,MMR003007
 Condominium/Apartment/Flat,1392,20,1412,Payarthonezu(ST),MMR003007
 Bungalow/Brick house,893,278,1171,Payarthonezu(ST),MMR003007
 Semi-pacca house,829,397,1226,Payarthonezu(ST),MMR003007
 Wooden house,2650,6933,9583,Payarthonezu(ST),MMR003007
 Bamboo,290,3120,3410,Payarthonezu(ST),MMR003007
 Hut 2 - 3 years,24,639,663,Payarthonezu(ST),MMR003007
 Hut 1 year,6,179,185,Payarthonezu(ST),MMR003007
 Other,12,133,145,Payarthonezu(ST),MMR003007
 Total,6096,11699,17795,Payarthonezu(ST),MMR003007
 Condominium/Apartment/Flat,24,2,26,Kyaidon(ST),MMR003007
 Bungalow/Brick house,22,20,42,Kyaidon(ST),MMR003007
 Semi-pacca house,89,181,270,Kyaidon(ST),MMR003007
 Wooden house,429,5232,5661,Kyaidon(ST),MMR003007
 Bamboo,101,4441,4542,Kyaidon(ST),MMR003007
 Hut 2 - 3 years,2,87,89,Kyaidon(ST),MMR003007
 Hut 1 year,12,37,49,Kyaidon(ST),MMR003007
 Other,1,53,54,Kyaidon(ST),MMR003007
 Total,680,10053,10733,Kyaidon(ST),MMR003007
 Condominium/Apartment/Flat,180,4,184,HaKa,MMR004002
 Bungalow/Brick house,420,23,443,HaKa,MMR004002
 Semi-pacca house,461,21,482,HaKa,MMR004002
 Wooden house,4115,4508,8623,HaKa,MMR004002
 Bamboo,6,127,133,HaKa,MMR004002
 Hut 2 - 3 years,15,3,18,HaKa,MMR004002
 Hut 1 year,2,-,2,HaKa,MMR004002
 Other,22,10,32,HaKa,MMR004002
 Total,5221,4696,9917,HaKa,MMR004002
 Condominium/Apartment/Flat,5,-,5,Thantlang,MMR004003
 Bungalow/Brick house,75,12,87,Thantlang,MMR004003
 Semi-pacca house,68,15,83,Thantlang,MMR004003
 Wooden house,1326,7610,8936,Thantlang,MMR004003
 Bamboo,14,616,630,Thantlang,MMR004003
 Hut 2 - 3 years,-,3,3,Thantlang,MMR004003
 Hut 1 year,1,12,13,Thantlang,MMR004003
 Other,18,7,25,Thantlang,MMR004003
 Total,1507,8275,9782,Thantlang,MMR004003
 Condominium/Apartment/Flat,141,3,144,Falam,MMR004001
 Bungalow/Brick house,192,8,200,Falam,MMR004001
 Semi-pacca house,170,6,176,Falam,MMR004001
 Wooden house,1488,5999,7487,Falam,MMR004001
 Bamboo,-,209,209,Falam,MMR004001
 Hut 2 - 3 years,1,35,36,Falam,MMR004001
