Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Urban,45,625,670,Rihkhuadal(ST),MMR004001
 Rural,98,430,528,Rihkhuadal(ST),MMR004001
 Total,143,1055,1198,Rihkhuadal(ST),MMR004001
 Urban,30,185,215,Cikha(ST),MMR004005
 Rural,120,1195,1315,Cikha(ST),MMR004005
 Total,150,1380,1530,Cikha(ST),MMR004005
 Urban,1168,1175,2343,Mindat,MMR004006
 Rural,1771,4408,6179,Mindat,MMR004006
 Total,2939,5583,8522,Mindat,MMR004006
 Urban,390,1280,1670,Matupi,MMR004007
 Rural,712,5254,5966,Matupi,MMR004007
 Total,1102,6534,7636,Matupi,MMR004007
 Urban,437,370,807,Kanpalet,MMR004008
 Rural,1013,2157,3170,Kanpalet,MMR004008
 Total,1450,2527,3977,Kanpalet,MMR004008
 Urban,535,815,1350,Paletwat,MMR004009
 Rural,2514,9429,11943,Paletwat,MMR004009
 Total,3049,10244,13293,Paletwat,MMR004009
 Urban,118,344,462,Reazu(ST),MMR004007
 Rural,306,1753,2059,Reazu(ST),MMR004007
 Total,424,2097,2521,Reazu(ST),MMR004007
 Urban,112,521,633,Sami(ST),MMR004009
 Rural,1030,4560,5590,Sami(ST),MMR004009
 Total,1142,5081,6223,Sami(ST),MMR004009
 Urban,4278,12218,16496,Sagaing,MMR005001
 Rural,20579,28068,48647,Sagaing,MMR005001
 Total,24857,40286,65143,Sagaing,MMR005001
 Urban,1174,2457,3631,Myinmu,MMR005002
 Rural,11795,9878,21673,Myinmu,MMR005002
 Total,12969,12335,25304,Myinmu,MMR005002
 Urban,637,1316,1953,Myaung,MMR005003
 Rural,14098,8211,22309,Myaung,MMR005003
 Total,14735,9527,24262,Myaung,MMR005003
 Urban,3188,10343,13531,Shwebo,MMR005004
 Rural,14647,22069,36716,Shwebo,MMR005004
 Total,17835,32412,50247,Shwebo,MMR005004
 Urban,647,1644,2291,Khin U,MMR005005
 Rural,13595,16738,30333,Khin U,MMR005005
 Total,14242,18382,32624,Khin U,MMR005005
 Urban,831,1475,2306,Wetlet,MMR005006
 Rural,23679,20727,44406,Wetlet,MMR005006
 Total,24510,22202,46712,Wetlet,MMR005006
 Urban,2064,3119,5183,Kambalu,MMR005007
 Rural,24592,31551,56143,Kambalu,MMR005007
 Total,26656,34670,61326,Kambalu,MMR005007
 Urban,733,1766,2499,Kyunhlau,MMR005008
 Rural,7898,10466,18364,Kyunhlau,MMR005008
 Total,8631,12232,20863,Kyunhlau,MMR005008
 Urban,1105,2860,3965,Ye U,MMR005009
 Rural,10805,11603,22408,Ye U,MMR005009
 Total,11910,14463,26373,Ye U,MMR005009
 Urban,258,697,955,Depayin,MMR005010
 Rural,13594,15796,29390,Depayin,MMR005010
 Total,13852,16493,30345,Depayin,MMR005010
 Urban,979,1993,2972,Tasei,MMR005011
 Rural,15878,17087,32965,Tasei,MMR005011
 Total,16857,19080,35937,Tasei,MMR005011
 Urban,530,1776,2306,Kyaukmyaung(ST),MMR005004
 Rural,1822,2922,4744,Kyaukmyaung(ST),MMR005004
 Total,2352,4698,7050,Kyaukmyaung(ST),MMR005004
 Urban,14681,25725,40406,Monywa,MMR005012
 Rural,16516,19040,35556,Monywa,MMR005012
 Total,31197,44765,75962,Monywa,MMR005012
 Urban,563,630,1193,Butalin,MMR005013
 Rural,14571,12852,27423,Butalin,MMR005013
 Total,15134,13482,28616,Butalin,MMR005013
 Urban,687,1468,2155,Ayartaw,MMR005014
 Rural,17120,16316,33436,Ayartaw,MMR005014
 Total,17807,17784,35591,Ayartaw,MMR005014
 Urban,2025,3056,5081,Chaung Oo,MMR005015
 Rural,10256,8039,18295,Chaung Oo,MMR005015
 Total,12281,11095,23376,Chaung Oo,MMR005015
 Urban,2179,3084,5263,Katha,MMR005020
 Rural,14236,12462,26698,Katha,MMR005020
 Total,16415,15546,31961,Katha,MMR005020
 Urban,413,1429,1842,Indaw,MMR005021
 Rural,7186,14202,21388,Indaw,MMR005021
 Total,7599,15631,23230,Indaw,MMR005021
 Urban,475,2595,3070,Tigyaing,MMR005022
 Rural,7524,15795,23319,Tigyaing,MMR005022
 Total,7999,18390,26389,Tigyaing,MMR005022
 Urban,286,926,1212,Banmauk,MMR005023
 Rural,5071,12585,17656,Banmauk,MMR005023
 Total,5357,13511,18868,Banmauk,MMR005023
 Urban,647,3922,4569,Kawlin,MMR005024
 Rural,8332,18502,26834,Kawlin,MMR005024
 Total,8979,22424,31403,Kawlin,MMR005024
 Urban,434,2156,2590,Wuntho,MMR005025
 Rural,3104,8511,11615,Wuntho,MMR005025
 Total,3538,10667,14205,Wuntho,MMR005025
 Urban,389,1080,1469,Pinlebu,MMR005026
 Rural,5934,14497,20431,Pinlebu,MMR005026
 Total,6323,15577,21900,Pinlebu,MMR005026
 Urban,7347,18374,25721,Kalay,MMR014005
 Rural,14370,32678,47048,Kalay,MMR014005
 Total,21717,51052,72769,Kalay,MMR014005
 Urban,778,1175,1953,Kalewa,MMR005028
 Rural,4627,5155,9782,Kalewa,MMR005028
 Total,5405,6330,11735,Kalewa,MMR005028
 Urban,446,390,836,Mingin,MMR005029
 Rural,11719,9503,21222,Mingin,MMR005029
 Total,12165,9893,22058,Mingin,MMR005029
 Urban,2832,6157,8989,Tamu,MMR005030
 Rural,1008,1989,2997,Tamu,MMR005030
 Total,3840,8146,11986,Tamu,MMR005030
 Urban,108,200,308,Myothit(ST),MMR005030
 Rural,806,1983,2789,Myothit(ST),MMR005030
 Total,914,2183,3097,Myothit(ST),MMR005030
 Urban,600,2238,2838,Khampat(ST),MMR005030
 Rural,1160,3510,4670,Khampat(ST),MMR005030
 Total,1760,5748,7508,Khampat(ST),MMR005030
 Urban,845,979,1824,Mawlaik,MMR005031
 Rural,4366,4155,8521,Mawlaik,MMR005031
 Total,5211,5134,10345,Mawlaik,MMR005031
 Urban,852,1090,1942,Phaungpyin,MMR005032
 Rural,8415,9889,18304,Phaungpyin,MMR005032
 Total,9267,10979,20246,Phaungpyin,MMR005032
 Urban,818,1365,2183,Hkamti,MMR005033
 Rural,1464,3714,5178,Hkamti,MMR005033
 Total,2282,5079,7361,Hkamti,MMR005033
 Urban,1312,2263,3575,Homalin,MMR005034
 Rural,10939,21229,32168,Homalin,MMR005034
 Total,12251,23492,35743,Homalin,MMR005034
 Urban,126,127,253,Leshi,MMR005035
 Rural,395,1008,1403,Leshi,MMR005035
 Total,521,1135,1656,Leshi,MMR005035
 Urban,211,327,538,Lahe,MMR005036
 Rural,598,5841,6439,Lahe,MMR005036
 Total,809,6168,6977,Lahe,MMR005036
 Urban,194,181,375,Nanyun,MMR005037
 Rural,303,890,1193,Nanyun,MMR005037
 Total,497,1071,1568,Nanyun,MMR005037
 Urban,63,147,210,Mobaingluk(ST),MMR005035
 Rural,23,77,100,Mobaingluk(ST),MMR005035
 Total,86,224,310,Mobaingluk(ST),MMR005035
 Urban,101,185,286,Sonemara(ST),MMR005035
 Rural,255,653,908,Sonemara(ST),MMR005035
 Total,356,838,1194,Sonemara(ST),MMR005035
 Urban,15,113,128,Htanparkway(ST),MMR005036
 Rural,35,598,633,Htanparkway(ST),MMR005036
 Total,50,711,761,Htanparkway(ST),MMR005036
 Urban,129,209,338,Pansaung(ST),MMR005037
 Rural,205,1806,2011,Pansaung(ST),MMR005037
 Total,334,2015,2349,Pansaung(ST),MMR005037
 Urban,24,145,169,Donhee(ST),MMR005037
 Rural,146,3608,3754,Donhee(ST),MMR005037
 Total,170,3753,3923,Donhee(ST),MMR005037
 Urban,501,576,1077,Yinmarpin,MMR005016
 Rural,18127,10328,28455,Yinmarpin,MMR005016
 Total,18628,10904,29532,Yinmarpin,MMR005016
 Urban,567,655,1222,Salingyi,MMR005018
 Rural,13807,11438,25245,Salingyi,MMR005018
 Total,14374,12093,26467,Salingyi,MMR005018
 Urban,335,596,931,Palae,MMR005019
 Rural,17883,13548,31431,Palae,MMR005019
 Total,18218,14144,32362,Palae,MMR005019
 Urban,882,256,1138,Kani,MMR005017
 Rural,18174,9911,28085,Kani,MMR005017
 Total,19056,10167,29223,Kani,MMR005017
 Urban,5839,9543,15382,Dawei,MMR006001
 Rural,4386,5175,9561,Dawei,MMR006001
 Total,10225,14718,24943,Dawei,MMR006001
 Urban,396,844,1240,Lounglon,MMR006002
 Rural,10204,14291,24495,Lounglon,MMR006002
 Total,10600,15135,25735,Lounglon,MMR006002
 Urban,1116,1291,2407,Thayetchaung,MMR006003
 Rural,7380,13087,20467,Thayetchaung,MMR006003
 Total,8496,14378,22874,Thayetchaung,MMR006003
 Urban,606,471,1077,Yebyu,MMR006004
 Rural,8345,12651,20996,Yebyu,MMR006004
 Total,8951,13122,22073,Yebyu,MMR006004
 Urban,113,383,496,Myitta(ST),MMR006001
 Rural,1102,2592,3694,Myitta(ST),MMR006001
 Total,1215,2975,4190,Myitta(ST),MMR006001
 Urban,234,390,624,Kaleinaung(ST),MMR006004
 Rural,985,2668,3653,Kaleinaung(ST),MMR006004
 Total,1219,3058,4277,Kaleinaung(ST),MMR006004
 Urban,7545,14003,21548,Myeik,MMR006005
 Rural,12178,20623,32801,Myeik,MMR006005
 Total,19723,34626,54349,Myeik,MMR006005
 Urban,525,617,1142,Kyunsu,MMR006006
 Rural,11422,20424,31846,Kyunsu,MMR006006
 Total,11947,21041,32988,Kyunsu,MMR006006
 Urban,779,2792,3571,Palaw,MMR006007
 Rural,4361,10593,14954,Palaw,MMR006007
 Total,5140,13385,18525,Palaw,MMR006007
 Urban,248,878,1126,Tanintharyi,MMR006008
 Rural,5572,13231,18803,Tanintharyi,MMR006008
 Total,5820,14109,19929,Tanintharyi,MMR006008
 Urban,218,993,1211,Palauk(ST),MMR006007
 Rural,1528,4389,5917,Palauk(ST),MMR006007
 Total,1746,5382,7128,Palauk(ST),MMR006007
 Urban,2372,10208,12580,Kawthoung,MMR006009
 Rural,3086,9815,12901,Kawthoung,MMR006009
 Total,5458,20023,25481,Kawthoung,MMR006009
 Urban,229,818,1047,Bokepyin,MMR006010
 Rural,1776,6053,7829,Bokepyin,MMR006010
 Total,2005,6871,8876,Bokepyin,MMR006010
 Urban,442,1913,2355,Khamaukgyi,MMR006009
 Rural,563,1947,2510,Khamaukgyi,MMR006009
 Total,1005,3860,4865,Khamaukgyi,MMR006009
 Urban,196,519,715,Pyigyimandaing,MMR006010
 Rural,585,1804,2389,Pyigyimandaing,MMR006010
 Total,781,2323,3104,Pyigyimandaing,MMR006010
 Urban,132,154,286,Karathuri(ST),MMR006010
 Rural,990,2486,3476,Karathuri(ST),MMR006010
 Total,1122,2640,3762,Karathuri(ST),MMR006010
 Urban,13022,41870,54892,Bago,MMR007001
 Rural,18010,34230,52240,Bago,MMR007001
 Total,31032,76100,107132,Bago,MMR007001
 Urban,1091,2538,3629,Tanatpin,MMR007002
 Rural,11409,17489,28898,Tanatpin,MMR007002
 Total,12500,20027,32527,Tanatpin,MMR007002
 Urban,1015,3239,4254,Kawa,MMR007003
 Rural,18116,23705,41821,Kawa,MMR007003
 Total,19131,26944,46075,Kawa,MMR007003
 Urban,1390,3656,5046,Waw,MMR007004
 Rural,13993,18044,32037,Waw,MMR007004
 Total,15383,21700,37083,Waw,MMR007004
 Urban,3909,9153,13062,Nyaunglebin,MMR007005
 Rural,14339,17361,31700,Nyaunglebin,MMR007005
 Total,18248,26514,44762,Nyaunglebin,MMR007005
 Urban,1707,5166,6873,Kyauktaga,MMR007006
 Rural,15440,29335,44775,Kyauktaga,MMR007006
 Total,17147,34501,51648,Kyauktaga,MMR007006
 Urban,2322,6418,8740,Daik U,MMR007007
 Rural,14773,22240,37013,Daik U,MMR007007
 Total,17095,28658,45753,Daik U,MMR007007
 Urban,1506,3359,4865,Shwegyin,MMR007008
 Rural,7253,9664,16917,Shwegyin,MMR007008
 Total,8759,13023,21782,Shwegyin,MMR007008
 Urban,6096,15804,21900,Toungoo,MMR007009
 Rural,11067,24493,35560,Toungoo,MMR007009
 Total,17163,40297,57460,Toungoo,MMR007009
 Urban,1326,4629,5955,Yaedashe,MMR007010
 Rural,15024,29548,44572,Yaedashe,MMR007010
 Total,16350,34177,50527,Yaedashe,MMR007010
 Urban,658,1600,2258,Kyaukkyi,MMR007011
 Rural,6411,14214,20625,Kyaukkyi,MMR007011
 Total,7069,15814,22883,Kyaukkyi,MMR007011
 Urban,2597,11230,13827,Pyu,MMR007012
 Rural,13265,27839,41104,Pyu,MMR007012
 Total,15862,39069,54931,Pyu,MMR007012
 Urban,710,2499,3209,Oatwin,MMR007013
 Rural,11389,22272,33661,Oatwin,MMR007013
 Total,12099,24771,36870,Oatwin,MMR007013
 Urban,709,1667,2376,Htantapin,MMR007014
 Rural,7884,16521,24405,Htantapin,MMR007014
 Total,8593,18188,26781,Htantapin,MMR007014
 Urban,8258,20557,28815,Pyay,MMR008001
 Rural,14199,15543,29742,Pyay,MMR008001
 Total,22457,36100,58557,Pyay,MMR008001
 Urban,1497,2109,3606,Paukkhaung,MMR008002
 Rural,15114,13627,28741,Paukkhaung,MMR008002
 Total,16611,15736,32347,Paukkhaung,MMR008002
