Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Rural,1479,3660,5139,Mineyaung,MMR016011
 Total,1760,4569,6329,Mineyaung,MMR016011
 Urban,36,195,231,Mineyu(ST),MMR016011
 Rural,625,10011,10636,Mineyu(ST),MMR016011
 Total,661,10206,10867,Mineyu(ST),MMR016011
 Urban,811,1863,2674,Kangyidaunt,MMR017002
 Rural,15480,24812,40292,Kangyidaunt,MMR017002
 Total,16291,26675,42966,Kangyidaunt,MMR017002
 Urban,1106,2844,3950,Kyaungon,MMR017007
 Rural,14521,22931,37452,Kyaungon,MMR017007
 Total,15627,25775,41402,Kyaungon,MMR017007
 Urban,1684,4315,5999,Kyonpyaw,MMR017005
 Rural,22848,30641,53489,Kyonpyaw,MMR017005
 Total,24532,34956,59488,Kyonpyaw,MMR017005
 Urban,963,1578,2541,Ngaputaw,MMR017004
 Rural,15632,19203,34835,Ngaputaw,MMR017004
 Total,16595,20781,37376,Ngaputaw,MMR017004
 Urban,9449,27992,37441,Pathein,MMR017001
 Rural,11448,17147,28595,Pathein,MMR017001
 Total,20897,45139,66036,Pathein,MMR017001
 Urban,865,1901,2766,Yekyi,MMR017006
 Rural,10411,14625,25036,Yekyi,MMR017006
 Total,11276,16526,27802,Yekyi,MMR017006
 Urban,526,1214,1740,Thapaung,MMR017003
 Rural,14508,20989,35497,Thapaung,MMR017003
 Total,15034,22203,37237,Thapaung,MMR017003
 Urban,419,414,833,Ngayokaung(ST),MMR017004
 Rural,4080,5288,9368,Ngayokaung(ST),MMR017004
 Total,4499,5702,10201,Ngayokaung(ST),MMR017004
 Urban,1701,1848,3549,Hainggyikyun(ST),MMR017004
 Rural,11847,13679,25526,Hainggyikyun(ST),MMR017004
 Total,13548,15527,29075,Hainggyikyun(ST),MMR017004
 Urban,405,414,819,Shwethaungyan(ST),MMR017001
 Rural,3878,5484,9362,Shwethaungyan(ST),MMR017001
 Total,4283,5898,10181,Shwethaungyan(ST),MMR017001
 Urban,1023,1652,2675,Ngwehsaung(ST),MMR017001
 Rural,2884,3911,6795,Ngwehsaung(ST),MMR017001
 Total,3907,5563,9470,Ngwehsaung(ST),MMR017001
 Urban,1280,3317,4597,Ngathaingchaung(ST),MMR017006
 Rural,8198,10118,18316,Ngathaingchaung(ST),MMR017006
 Total,9478,13435,22913,Ngathaingchaung(ST),MMR017006
 Urban,1352,4065,5417,Kyaiklatt,MMR017025
 Rural,17302,21029,38331,Kyaiklatt,MMR017025
 Total,18654,25094,43748,Kyaiklatt,MMR017025
 Urban,1028,2538,3566,Daydaye,MMR017026
 Rural,20972,24072,45044,Daydaye,MMR017026
 Total,22000,26610,48610,Daydaye,MMR017026
 Urban,2607,7447,10054,Phyapon,MMR017023
 Rural,13651,17925,31576,Phyapon,MMR017023
 Total,16258,25372,41630,Phyapon,MMR017023
 Urban,2589,7526,10115,Bogale,MMR017024
 Rural,26235,39637,65872,Bogale,MMR017024
 Total,28824,47163,75987,Bogale,MMR017024
 Urban,357,420,777,Ahmar(ST),MMR017023
 Rural,8861,18148,27009,Ahmar(ST),MMR017023
 Total,9218,18568,27786,Ahmar(ST),MMR017023
 Urban,1682,4218,5900,Nyaungdon,MMR017021
 Rural,19024,26277,45301,Nyaungdon,MMR017021
 Total,20706,30495,51201,Nyaungdon,MMR017021
 Urban,1513,3667,5180,Danubyu,MMR017022
 Rural,18610,21007,39617,Danubyu,MMR017022
 Total,20123,24674,44797,Danubyu,MMR017022
 Urban,1694,2598,4292,Pantanaw,MMR017020
 Rural,28797,27188,55985,Pantanaw,MMR017020
 Total,30491,29786,60277,Pantanaw,MMR017020
 Urban,2437,6700,9137,Maubin,MMR017019
 Rural,30089,32578,62667,Maubin,MMR017019
 Total,32526,39278,71804,Maubin,MMR017019
 Urban,3405,9108,12513,Myaungmya,MMR017014
 Rural,21754,31905,53659,Myaungmya,MMR017014
 Total,25159,41013,66172,Myaungmya,MMR017014
 Urban,1398,3907,5305,Wakema,MMR017017
 Rural,30352,31791,62143,Wakema,MMR017017
 Total,31750,35698,67448,Wakema,MMR017017
 Urban,994,2052,3046,Einme,MMR017015
 Rural,19982,23427,43409,Einme,MMR017015
 Total,20976,25479,46455,Einme,MMR017015
 Urban,2651,4932,7583,Mawlamyinegyun,MMR017018
 Rural,30178,37125,67303,Mawlamyinegyun,MMR017018
 Total,32829,42057,74886,Mawlamyinegyun,MMR017018
 Urban,1861,5342,7203,Labutta,MMR017016
 Rural,18113,29830,47943,Labutta,MMR017016
 Total,19974,35172,55146,Labutta,MMR017016
 Urban,222,279,501,Pyinsalu(ST),MMR017016
 Rural,8100,11836,19936,Pyinsalu(ST),MMR017016
 Total,8322,12115,20437,Pyinsalu(ST),MMR017016
 Urban,1702,3604,5306,Kyangin,MMR017012
 Rural,11786,9765,21551,Kyangin,MMR017012
 Total,13488,13369,26857,Kyangin,MMR017012
 Urban,1523,3734,5257,Zalun,MMR017009
 Rural,16177,20639,36816,Zalun,MMR017009
 Total,17700,24373,42073,Zalun,MMR017009
 Urban,1304,4745,6049,Myanaung,MMR017011
 Rural,24868,29003,53871,Myanaung,MMR017011
 Total,26172,33748,59920,Myanaung,MMR017011
 Urban,260,510,770,Laymyethna,MMR017010
 Rural,10943,14531,25474,Laymyethna,MMR017010
 Total,11203,15041,26244,Laymyethna,MMR017010
 Urban,4045,15784,19829,Hinthada,MMR017008
 Rural,26952,39348,66300,Hinthada,MMR017008
 Total,30997,55132,86129,Hinthada,MMR017008
 Urban,1185,2393,3578,Ingapu,MMR017013
 Rural,22386,31265,53651,Ingapu,MMR017013
 Total,23571,33658,57229,Ingapu,MMR017013
 Urban,2656,6490,9146,Tatkon,MMR018003
 Rural,19970,22631,42601,Tatkon,MMR018003
 Total,22626,29121,51747,Tatkon,MMR018003
 Urban,1987,6259,8246,Zeyarthiri,MMR018001
 Rural,6608,11221,17829,Zeyarthiri,MMR018001
 Total,8595,17480,26075,Zeyarthiri,MMR018001
 Urban,1326,3569,4895,Ottarathiri,MMR018008
 Rural,6617,7149,13766,Ottarathiri,MMR018008
 Total,7943,10718,18661,Ottarathiri,MMR018008
 Urban,2771,7477,10248,Pobbathiri,MMR018005
 Rural,6152,11216,17368,Pobbathiri,MMR018005
 Total,8923,18693,27616,Pobbathiri,MMR018005
 Urban,4013,10443,14456,Pyinmana,MMR018006
 Rural,8490,16717,25207,Pyinmana,MMR018006
 Total,12503,27160,39663,Pyinmana,MMR018006
 Urban,2031,4092,6123,Lewe,MMR018007
 Rural,26991,32060,59051,Lewe,MMR018007
 Total,29022,36152,65174,Lewe,MMR018007
 Urban,7322,17400,24722,Zabuthiri,MMR018002
 Rural,492,1106,1598,Zabuthiri,MMR018002
 Total,7814,18506,26320,Zabuthiri,MMR018002
 Urban,275,633,908,Dekkhinathiri,MMR018004
 Rural,2673,3416,6089,Dekkhinathiri,MMR018004
 Total,2948,4049,6997,Dekkhinathiri,MMR018004
 Urban,830142,2219291,3049433,Dekkhinathiri,MMR018004
 Rural,3036039,4792360,7828399,Dekkhinathiri,MMR018004
 Total,3866181,7011651,10877832,Dekkhinathiri,MMR018004
