Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Total,1320,2085,3405,Bawgali(ST),MMR003004
 Urban,289,344,633,Pharpon,MMR003003
 Rural,400,1511,1911,Pharpon,MMR003003
 Total,689,1855,2544,Pharpon,MMR003003
 Urban,1310,1439,2749,Kamamaung(ST},MMR003003
 Rural,267,942,1209,Kamamaung(ST},MMR003003
 Total,1577,2381,3958,Kamamaung(ST},MMR003003
 Urban,16873,7143,24016,Myawady,MMR003005
 Rural,7512,9730,17242,Myawady,MMR003005
 Total,24385,16873,41258,Myawady,MMR003005
 Urban,18,57,75,Sugali(ST),MMR003005
 Rural,174,812,986,Sugali(ST),MMR003005
 Total,192,869,1061,Sugali(ST),MMR003005
 Urban,262,315,577,Wawlaymyaing(ST),MMR003005
 Rural,280,840,1120,Wawlaymyaing(ST),MMR003005
 Total,542,1155,1697,Wawlaymyaing(ST),MMR003005
 Urban,5161,3321,8482,Kawkareik,MMR003006
 Rural,16996,20020,37016,Kawkareik,MMR003006
 Total,22157,23341,45498,Kawkareik,MMR003006
 Urban,1193,624,1817,Kyarinseikkyi,MMR003007
 Rural,8612,11611,20223,Kyarinseikkyi,MMR003007
 Total,9805,12235,22040,Kyarinseikkyi,MMR003007
 Urban,4480,1616,6096,Payarthonezu(ST),MMR003007
 Rural,3578,8121,11699,Payarthonezu(ST),MMR003007
 Total,8058,9737,17795,Payarthonezu(ST),MMR003007
 Urban,417,263,680,Kyaidon(ST),MMR003007
 Rural,1940,8113,10053,Kyaidon(ST),MMR003007
 Total,2357,8376,10733,Kyaidon(ST),MMR003007
 Urban,3693,1528,5221,HaKa,MMR004002
 Rural,1365,3331,4696,HaKa,MMR004002
 Total,5058,4859,9917,HaKa,MMR004002
 Urban,1002,505,1507,Thantlang,MMR004003
 Rural,1909,6366,8275,Thantlang,MMR004003
 Total,2911,6871,9782,Thantlang,MMR004003
 Urban,1473,529,2002,Falam,MMR004001
 Rural,2028,4398,6426,Falam,MMR004001
 Total,3501,4927,8428,Falam,MMR004001
 Urban,1479,771,2250,Tedim,MMR004004
 Rural,3002,9431,12433,Tedim,MMR004004
 Total,4481,10202,14683,Tedim,MMR004004
 Urban,326,314,640,Tonzaung,MMR004005
 Rural,463,2308,2771,Tonzaung,MMR004005
 Total,789,2622,3411,Tonzaung,MMR004005
 Urban,468,202,670,Rihkhuadal(ST),MMR004001
 Rural,167,361,528,Rihkhuadal(ST),MMR004001
 Total,635,563,1198,Rihkhuadal(ST),MMR004001
 Urban,88,127,215,Cikha(ST),MMR004005
 Rural,139,1176,1315,Cikha(ST),MMR004005
 Total,227,1303,1530,Cikha(ST),MMR004005
 Urban,1132,1211,2343,Mindat,MMR004006
 Rural,856,5323,6179,Mindat,MMR004006
 Total,1988,6534,8522,Mindat,MMR004006
 Urban,1136,534,1670,Matupi,MMR004007
 Rural,873,5093,5966,Matupi,MMR004007
 Total,2009,5627,7636,Matupi,MMR004007
 Urban,300,507,807,Kanpalet,MMR004008
 Rural,197,2973,3170,Kanpalet,MMR004008
 Total,497,3480,3977,Kanpalet,MMR004008
 Urban,682,668,1350,Paletwat,MMR004009
 Rural,1109,10834,11943,Paletwat,MMR004009
 Total,1791,11502,13293,Paletwat,MMR004009
 Urban,197,265,462,Reazu(ST),MMR004007
 Rural,387,1672,2059,Reazu(ST),MMR004007
 Total,584,1937,2521,Reazu(ST),MMR004007
 Urban,60,573,633,Sami(ST),MMR004009
 Rural,353,5237,5590,Sami(ST),MMR004009
 Total,413,5810,6223,Sami(ST),MMR004009
 Urban,13079,3417,16496,Sagaing,MMR005001
 Rural,24283,24364,48647,Sagaing,MMR005001
 Total,37362,27781,65143,Sagaing,MMR005001
 Urban,2625,1006,3631,Myinmu,MMR005002
 Rural,7406,14267,21673,Myinmu,MMR005002
 Total,10031,15273,25304,Myinmu,MMR005002
 Urban,1252,701,1953,Myaung,MMR005003
 Rural,6364,15945,22309,Myaung,MMR005003
 Total,7616,16646,24262,Myaung,MMR005003
 Urban,9568,3963,13531,Shwebo,MMR005004
 Rural,13974,22742,36716,Shwebo,MMR005004
 Total,23542,26705,50247,Shwebo,MMR005004
 Urban,1550,741,2291,Khin U,MMR005005
 Rural,8505,21828,30333,Khin U,MMR005005
 Total,10055,22569,32624,Khin U,MMR005005
 Urban,1622,684,2306,Wetlet,MMR005006
 Rural,14375,30031,44406,Wetlet,MMR005006
 Total,15997,30715,46712,Wetlet,MMR005006
 Urban,3387,1796,5183,Kambalu,MMR005007
 Rural,16578,39565,56143,Kambalu,MMR005007
 Total,19965,41361,61326,Kambalu,MMR005007
 Urban,1980,519,2499,Kyunhlau,MMR005008
 Rural,6600,11764,18364,Kyunhlau,MMR005008
 Total,8580,12283,20863,Kyunhlau,MMR005008
 Urban,2713,1252,3965,Ye U,MMR005009
 Rural,7206,15202,22408,Ye U,MMR005009
 Total,9919,16454,26373,Ye U,MMR005009
 Urban,566,389,955,Depayin,MMR005010
 Rural,7358,22032,29390,Depayin,MMR005010
 Total,7924,22421,30345,Depayin,MMR005010
 Urban,1991,981,2972,Tasei,MMR005011
 Rural,8854,24111,32965,Tasei,MMR005011
 Total,10845,25092,35937,Tasei,MMR005011
 Urban,1569,737,2306,Kyaukmyaung(ST),MMR005004
 Rural,1651,3093,4744,Kyaukmyaung(ST),MMR005004
 Total,3220,3830,7050,Kyaukmyaung(ST),MMR005004
 Urban,30680,9726,40406,Monywa,MMR005012
 Rural,15626,19930,35556,Monywa,MMR005012
 Total,46306,29656,75962,Monywa,MMR005012
 Urban,857,336,1193,Butalin,MMR005013
 Rural,6921,20502,27423,Butalin,MMR005013
 Total,7778,20838,28616,Butalin,MMR005013
 Urban,1321,834,2155,Ayartaw,MMR005014
 Rural,8721,24715,33436,Ayartaw,MMR005014
 Total,10042,25549,35591,Ayartaw,MMR005014
 Urban,2836,2245,5081,Chaung Oo,MMR005015
 Rural,5725,12570,18295,Chaung Oo,MMR005015
 Total,8561,14815,23376,Chaung Oo,MMR005015
 Urban,4425,838,5263,Katha,MMR005020
 Rural,12879,13819,26698,Katha,MMR005020
 Total,17304,14657,31961,Katha,MMR005020
 Urban,1600,242,1842,Indaw,MMR005021
 Rural,11710,9678,21388,Indaw,MMR005021
 Total,13310,9920,23230,Indaw,MMR005021
 Urban,2413,657,3070,Tigyaing,MMR005022
 Rural,12826,10493,23319,Tigyaing,MMR005022
 Total,15239,11150,26389,Tigyaing,MMR005022
 Urban,1086,126,1212,Banmauk,MMR005023
 Rural,10134,7522,17656,Banmauk,MMR005023
 Total,11220,7648,18868,Banmauk,MMR005023
 Urban,3902,667,4569,Kawlin,MMR005024
 Rural,14125,12709,26834,Kawlin,MMR005024
 Total,18027,13376,31403,Kawlin,MMR005024
 Urban,2172,418,2590,Wuntho,MMR005025
 Rural,6683,4932,11615,Wuntho,MMR005025
 Total,8855,5350,14205,Wuntho,MMR005025
 Urban,1072,397,1469,Pinlebu,MMR005026
 Rural,9288,11143,20431,Pinlebu,MMR005026
 Total,10360,11540,21900,Pinlebu,MMR005026
 Urban,16557,9164,25721,Kalay,MMR014005
 Rural,19921,27127,47048,Kalay,MMR014005
 Total,36478,36291,72769,Kalay,MMR014005
 Urban,1245,708,1953,Kalewa,MMR005028
 Rural,3336,6446,9782,Kalewa,MMR005028
 Total,4581,7154,11735,Kalewa,MMR005028
 Urban,533,303,836,Mingin,MMR005029
 Rural,5590,15632,21222,Mingin,MMR005029
 Total,6123,15935,22058,Mingin,MMR005029
 Urban,5151,3838,8989,Tamu,MMR005030
 Rural,1293,1704,2997,Tamu,MMR005030
 Total,6444,5542,11986,Tamu,MMR005030
 Urban,164,144,308,Myothit(ST),MMR005030
 Rural,1045,1744,2789,Myothit(ST),MMR005030
 Total,1209,1888,3097,Myothit(ST),MMR005030
 Urban,1195,1643,2838,Khampat(ST),MMR005030
 Rural,2090,2580,4670,Khampat(ST),MMR005030
 Total,3285,4223,7508,Khampat(ST),MMR005030
 Urban,1089,735,1824,Mawlaik,MMR005031
 Rural,3690,4831,8521,Mawlaik,MMR005031
 Total,4779,5566,10345,Mawlaik,MMR005031
 Urban,902,1040,1942,Phaungpyin,MMR005032
 Rural,5197,13107,18304,Phaungpyin,MMR005032
 Total,6099,14147,20246,Phaungpyin,MMR005032
 Urban,1404,779,2183,Hkamti,MMR005033
 Rural,1926,3252,5178,Hkamti,MMR005033
 Total,3330,4031,7361,Hkamti,MMR005033
 Urban,2446,1129,3575,Homalin,MMR005034
 Rural,16986,15182,32168,Homalin,MMR005034
 Total,19432,16311,35743,Homalin,MMR005034
 Urban,99,154,253,Leshi,MMR005035
 Rural,88,1315,1403,Leshi,MMR005035
 Total,187,1469,1656,Leshi,MMR005035
 Urban,220,318,538,Lahe,MMR005036
 Rural,232,6207,6439,Lahe,MMR005036
 Total,452,6525,6977,Lahe,MMR005036
 Urban,146,229,375,Nanyun,MMR005037
 Rural,68,1125,1193,Nanyun,MMR005037
 Total,214,1354,1568,Nanyun,MMR005037
 Urban,49,161,210,Mobaingluk(ST),MMR005035
 Rural,21,79,100,Mobaingluk(ST),MMR005035
 Total,70,240,310,Mobaingluk(ST),MMR005035
 Urban,16,270,286,Sonemara(ST),MMR005035
 Rural,23,885,908,Sonemara(ST),MMR005035
 Total,39,1155,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,10,623,633,Htanparkway(ST),MMR005036
 Total,10,751,761,Htanparkway(ST),MMR005036
 Urban,87,251,338,Pansaung(ST),MMR005037
 Rural,21,1990,2011,Pansaung(ST),MMR005037
 Total,108,2241,2349,Pansaung(ST),MMR005037
 Urban,4,165,169,Donhee(ST),MMR005037
 Rural,16,3738,3754,Donhee(ST),MMR005037
 Total,20,3903,3923,Donhee(ST),MMR005037
 Urban,835,242,1077,Yinmarpin,MMR005016
 Rural,7958,20497,28455,Yinmarpin,MMR005016
 Total,8793,20739,29532,Yinmarpin,MMR005016
 Urban,836,386,1222,Salingyi,MMR005018
 Rural,10903,14342,25245,Salingyi,MMR005018
 Total,11739,14728,26467,Salingyi,MMR005018
 Urban,668,263,931,Palae,MMR005019
 Rural,8744,22687,31431,Palae,MMR005019
 Total,9412,22950,32362,Palae,MMR005019
 Urban,558,580,1138,Kani,MMR005017
 Rural,6644,21441,28085,Kani,MMR005017
 Total,7202,22021,29223,Kani,MMR005017
 Urban,12392,2990,15382,Dawei,MMR006001
 Rural,5083,4478,9561,Dawei,MMR006001
 Total,17475,7468,24943,Dawei,MMR006001
 Urban,850,390,1240,Lounglon,MMR006002
 Rural,12968,11527,24495,Lounglon,MMR006002
 Total,13818,11917,25735,Lounglon,MMR006002
 Urban,1485,922,2407,Thayetchaung,MMR006003
 Rural,8979,11488,20467,Thayetchaung,MMR006003
 Total,10464,12410,22874,Thayetchaung,MMR006003
 Urban,694,383,1077,Yebyu,MMR006004
 Rural,8974,12022,20996,Yebyu,MMR006004
 Total,9668,12405,22073,Yebyu,MMR006004
 Urban,180,316,496,Myitta(ST),MMR006001
 Rural,1506,2188,3694,Myitta(ST),MMR006001
 Total,1686,2504,4190,Myitta(ST),MMR006001
 Urban,346,278,624,Kaleinaung(ST),MMR006004
 Rural,1412,2241,3653,Kaleinaung(ST),MMR006004
 Total,1758,2519,4277,Kaleinaung(ST),MMR006004
 Urban,15873,5675,21548,Myeik,MMR006005
 Rural,15203,17598,32801,Myeik,MMR006005
 Total,31076,23273,54349,Myeik,MMR006005
 Urban,790,352,1142,Kyunsu,MMR006006
 Rural,10762,21084,31846,Kyunsu,MMR006006
 Total,11552,21436,32988,Kyunsu,MMR006006
 Urban,2137,1434,3571,Palaw,MMR006007
 Rural,6288,8666,14954,Palaw,MMR006007
 Total,8425,10100,18525,Palaw,MMR006007
 Urban,718,408,1126,Tanintharyi,MMR006008
 Rural,5755,13048,18803,Tanintharyi,MMR006008
 Total,6473,13456,19929,Tanintharyi,MMR006008
 Urban,510,701,1211,Palauk(ST),MMR006007
 Rural,2283,3634,5917,Palauk(ST),MMR006007
 Total,2793,4335,7128,Palauk(ST),MMR006007
 Urban,10020,2560,12580,Kawthoung,MMR006009
 Rural,6024,6877,12901,Kawthoung,MMR006009
 Total,16044,9437,25481,Kawthoung,MMR006009
 Urban,657,390,1047,Bokepyin,MMR006010
 Rural,3137,4692,7829,Bokepyin,MMR006010
 Total,3794,5082,8876,Bokepyin,MMR006010
 Urban,905,1450,2355,Khamaukgyi,MMR006009
 Rural,1266,1244,2510,Khamaukgyi,MMR006009
 Total,2171,2694,4865,Khamaukgyi,MMR006009
 Urban,137,578,715,Pyigyimandaing,MMR006010
 Rural,69,2320,2389,Pyigyimandaing,MMR006010
 Total,206,2898,3104,Pyigyimandaing,MMR006010
 Urban,181,105,286,Karathuri(ST),MMR006010
 Rural,1511,1965,3476,Karathuri(ST),MMR006010
 Total,1692,2070,3762,Karathuri(ST),MMR006010
 Urban,37907,16985,54892,Bago,MMR007001
 Rural,21890,30350,52240,Bago,MMR007001
 Total,59797,47335,107132,Bago,MMR007001
 Urban,2083,1546,3629,Tanatpin,MMR007002
 Rural,11339,17559,28898,Tanatpin,MMR007002
 Total,13422,19105,32527,Tanatpin,MMR007002
 Urban,2492,1762,4254,Kawa,MMR007003
 Rural,16264,25557,41821,Kawa,MMR007003
 Total,18756,27319,46075,Kawa,MMR007003
 Urban,2983,2063,5046,Waw,MMR007004
 Rural,13488,18549,32037,Waw,MMR007004
 Total,16471,20612,37083,Waw,MMR007004
 Urban,7805,5257,13062,Nyaunglebin,MMR007005
 Rural,8683,23017,31700,Nyaunglebin,MMR007005
 Total,16488,28274,44762,Nyaunglebin,MMR007005
 Urban,4291,2582,6873,Kyauktaga,MMR007006
 Rural,13603,31172,44775,Kyauktaga,MMR007006
 Total,17894,33754,51648,Kyauktaga,MMR007006
 Urban,4957,3783,8740,Daik U,MMR007007
 Rural,13404,23609,37013,Daik U,MMR007007
 Total,18361,27392,45753,Daik U,MMR007007
 Urban,3549,1316,4865,Shwegyin,MMR007008
 Rural,5303,11614,16917,Shwegyin,MMR007008
 Total,8852,12930,21782,Shwegyin,MMR007008
 Urban,17119,4781,21900,Toungoo,MMR007009
 Rural,16264,19296,35560,Toungoo,MMR007009
 Total,33383,24077,57460,Toungoo,MMR007009
 Urban,4396,1559,5955,Yaedashe,MMR007010
 Rural,19274,25298,44572,Yaedashe,MMR007010
 Total,23670,26857,50527,Yaedashe,MMR007010
 Urban,883,1375,2258,Kyaukkyi,MMR007011
 Rural,6321,14304,20625,Kyaukkyi,MMR007011
 Total,7204,15679,22883,Kyaukkyi,MMR007011
 Urban,9319,4508,13827,Pyu,MMR007012
 Rural,14599,26505,41104,Pyu,MMR007012
 Total,23918,31013,54931,Pyu,MMR007012
 Urban,2162,1047,3209,Oatwin,MMR007013
 Rural,13358,20303,33661,Oatwin,MMR007013
 Total,15520,21350,36870,Oatwin,MMR007013
 Urban,1317,1059,2376,Htantapin,MMR007014
 Rural,9311,15094,24405,Htantapin,MMR007014
 Total,10628,16153,26781,Htantapin,MMR007014
 Urban,23348,5467,28815,Pyay,MMR008001
 Rural,16884,12858,29742,Pyay,MMR008001
 Total,40232,18325,58557,Pyay,MMR008001
 Urban,2618,988,3606,Paukkhaung,MMR008002
 Rural,11713,17028,28741,Paukkhaung,MMR008002
 Total,14331,18016,32347,Paukkhaung,MMR008002
 Urban,3311,1157,4468,Padaung,MMR008003
 Rural,18941,15483,34424,Padaung,MMR008003
 Total,22252,16640,38892,Padaung,MMR008003
 Urban,4185,2296,6481,Paunde,MMR008004
 Rural,11158,19061,30219,Paunde,MMR008004
 Total,15343,21357,36700,Paunde,MMR008004
 Urban,2825,1441,4266,Thegon,MMR008005
 Rural,14719,16965,31684,Thegon,MMR008005
 Total,17544,18406,35950,Thegon,MMR008005
 Urban,3519,999,4518,Shwedaung,MMR008006
 Rural,13872,15174,29046,Shwedaung,MMR008006
 Total,17391,16173,33564,Shwedaung,MMR008006
 Urban,5125,3039,8164,Tharyarwaddy,MMR008007
 Rural,8502,19960,28462,Tharyarwaddy,MMR008007
 Total,13627,22999,36626,Tharyarwaddy,MMR008007
 Urban,3666,2069,5735,Letpadan,MMR008008
 Rural,11898,25851,37749,Letpadan,MMR008008
 Total,15564,27920,43484,Letpadan,MMR008008
 Urban,1898,804,2702,Minhla,MMR009013
 Rural,9518,18674,28192,Minhla,MMR009013
 Total,11416,19478,30894,Minhla,MMR009013
 Urban,1835,965,2800,Okpo,MMR008010
 Rural,10109,18985,29094,Okpo,MMR008010
 Total,11944,19950,31894,Okpo,MMR008010
 Urban,2730,1237,3967,Zigon,MMR008011
 Rural,6444,7799,14243,Zigon,MMR008011
 Total,9174,9036,18210,Zigon,MMR008011
 Urban,3193,1449,4642,Nattalin,MMR008012
 Rural,17321,23806,41127,Nattalin,MMR008012
 Total,20514,25255,45769,Nattalin,MMR008012
 Urban,1232,1148,2380,Monyo,MMR008013
 Rural,9666,21241,30907,Monyo,MMR008013
 Total,10898,22389,33287,Monyo,MMR008013
 Urban,3866,1718,5584,Gyobingauk,MMR008014
 Rural,9726,15276,25002,Gyobingauk,MMR008014
 Total,13592,16994,30586,Gyobingauk,MMR008014
 Urban,16357,3513,19870,Magway,MMR009001
 Rural,16255,32552,48807,Magway,MMR009001
 Total,32612,36065,68677,Magway,MMR009001
 Urban,7655,3021,10676,Yenangyoung,MMR009002
 Rural,5163,16661,21824,Yenangyoung,MMR009002
 Total,12818,19682,32500,Yenangyoung,MMR009002
 Urban,7905,2496,10401,Chauk,MMR009003
 Rural,10006,24211,34217,Chauk,MMR009003
 Total,17911,26707,44618,Chauk,MMR009003
 Urban,7417,2638,10055,Taungdwingyi,MMR009004
 Rural,17739,32469,50208,Taungdwingyi,MMR009004
 Total,25156,35107,60263,Taungdwingyi,MMR009004
 Urban,1121,625,1746,Myothit,MMR009005
 Rural,8287,26915,35202,Myothit,MMR009005
 Total,9408,27540,36948,Myothit,MMR009005
 Urban,2145,1029,3174,Natmauk,MMR009006
 Rural,11012,34240,45252,Natmauk,MMR009006
 Total,13157,35269,48426,Natmauk,MMR009006
 Urban,6912,2278,9190,Minbu,MMR009007
 Rural,13121,21506,34627,Minbu,MMR009007
 Total,20033,23784,43817,Minbu,MMR009007
 Urban,1136,318,1454,Pwint Phyu,MMR009008
 Rural,15662,22648,38310,Pwint Phyu,MMR009008
 Total,16798,22966,39764,Pwint Phyu,MMR009008
 Urban,758,221,979,Ngape,MMR009009
 Rural,4293,7185,11478,Ngape,MMR009009
 Total,5051,7406,12457,Ngape,MMR009009
 Urban,2134,652,2786,Salin,MMR009010
 Rural,15353,37466,52819,Salin,MMR009010
 Total,17487,38118,55605,Salin,MMR009010
 Urban,1086,439,1525,Saytottara,MMR009011
 Rural,1521,7734,9255,Saytottara,MMR009011
 Total,2607,8173,10780,Saytottara,MMR009011
 Urban,3617,946,4563,Thayet,MMR009012
 Rural,8249,13160,21409,Thayet,MMR009012
 Total,11866,14106,25972,Thayet,MMR009012
 Urban,2427,554,2981,Minhla,MMR009013
 Rural,10505,18136,28641,Minhla,MMR009013
 Total,12932,18690,31622,Minhla,MMR009013
 Urban,773,497,1270,Mindon,MMR009014
 Rural,4780,10759,15539,Mindon,MMR009014
 Total,5553,11256,16809,Mindon,MMR009014
 Urban,796,498,1294,Kamma,MMR009015
 Rural,6988,10861,17849,Kamma,MMR009015
 Total,7784,11359,19143,Kamma,MMR009015
 Urban,8635,2990,11625,Aunglan,MMR009016
 Rural,18513,27471,45984,Aunglan,MMR009016
 Total,27148,30461,57609,Aunglan,MMR009016
 Urban,877,404,1281,Sinpaungwe`,MMR009017
 Rural,8756,18647,27403,Sinpaungwe`,MMR009017
 Total,9633,19051,28684,Sinpaungwe`,MMR009017
 Urban,13739,5330,19069,Pakokku,MMR009018
 Rural,18678,28593,47271,Pakokku,MMR009018
 Total,32417,33923,66340,Pakokku,MMR009018
 Urban,3319,1580,4899,Yesagyo,MMR009019
 Rural,13045,29388,42433,Yesagyo,MMR009019
 Total,16364,30968,47332,Yesagyo,MMR009019
 Urban,1335,466,1801,Myaing,MMR009020
 Rural,14077,37763,51840,Myaing,MMR009020
 Total,15412,38229,53641,Myaing,MMR009020
 Urban,1250,451,1701,Pauk,MMR009021
 Rural,7606,29658,37264,Pauk,MMR009021
 Total,8856,30109,38965,Pauk,MMR009021
 Urban,1288,841,2129,Seikphyu,MMR009022
 Rural,3810,17488,21298,Seikphyu,MMR009022
 Total,5098,18329,23427,Seikphyu,MMR009022
 Urban,2127,1131,3258,Gangaw,MMR009023
 Rural,10874,15780,26654,Gangaw,MMR009023
 Total,13001,16911,29912,Gangaw,MMR009023
 Urban,597,526,1123,Htilin,MMR009024
 Rural,2697,6712,9409,Htilin,MMR009024
 Total,3294,7238,10532,Htilin,MMR009024
 Urban,669,592,1261,Saw,MMR009025
 Rural,2183,4881,7064,Saw,MMR009025
