Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total,Township,MIMU_code
 Total,419,59069,59488,Kyonpyaw,MMR017005
 Urban,198,2343,2541,Ngaputaw,MMR017004
 Rural,331,34504,34835,Ngaputaw,MMR017004
 Total,529,36847,37376,Ngaputaw,MMR017004
 Urban,5482,31959,37441,Pathein,MMR017001
 Rural,842,27753,28595,Pathein,MMR017001
 Total,6324,59712,66036,Pathein,MMR017001
 Urban,192,2574,2766,Yekyi,MMR017006
 Rural,378,24658,25036,Yekyi,MMR017006
 Total,570,27232,27802,Yekyi,MMR017006
 Urban,11,1729,1740,Thapaung,MMR017003
 Rural,55,35442,35497,Thapaung,MMR017003
 Total,66,37171,37237,Thapaung,MMR017003
 Urban,6,827,833,Ngayokaung(ST),MMR017004
 Rural,42,9326,9368,Ngayokaung(ST),MMR017004
 Total,48,10153,10201,Ngayokaung(ST),MMR017004
 Urban,5,3544,3549,Hainggyikyun(ST),MMR017004
 Rural,162,25364,25526,Hainggyikyun(ST),MMR017004
 Total,167,28908,29075,Hainggyikyun(ST),MMR017004
 Urban,6,813,819,Shwethaungyan(ST),MMR017001
 Rural,450,8912,9362,Shwethaungyan(ST),MMR017001
 Total,456,9725,10181,Shwethaungyan(ST),MMR017001
 Urban,357,2318,2675,Ngwehsaung(ST),MMR017001
 Rural,99,6696,6795,Ngwehsaung(ST),MMR017001
 Total,456,9014,9470,Ngwehsaung(ST),MMR017001
 Urban,412,4185,4597,Ngathaingchaung(ST),MMR017006
 Rural,423,17893,18316,Ngathaingchaung(ST),MMR017006
 Total,835,22078,22913,Ngathaingchaung(ST),MMR017006
 Urban,398,5019,5417,Kyaiklatt,MMR017025
 Rural,193,38138,38331,Kyaiklatt,MMR017025
 Total,591,43157,43748,Kyaiklatt,MMR017025
 Urban,170,3396,3566,Daydaye,MMR017026
 Rural,453,44591,45044,Daydaye,MMR017026
 Total,623,47987,48610,Daydaye,MMR017026
 Urban,926,9128,10054,Phyapon,MMR017023
 Rural,494,31082,31576,Phyapon,MMR017023
 Total,1420,40210,41630,Phyapon,MMR017023
 Urban,640,9475,10115,Bogale,MMR017024
 Rural,976,64896,65872,Bogale,MMR017024
 Total,1616,74371,75987,Bogale,MMR017024
 Urban,63,714,777,Ahmar(ST),MMR017023
 Rural,499,26510,27009,Ahmar(ST),MMR017023
 Total,562,27224,27786,Ahmar(ST),MMR017023
 Urban,704,5196,5900,Nyaungdon,MMR017021
 Rural,829,44472,45301,Nyaungdon,MMR017021
 Total,1533,49668,51201,Nyaungdon,MMR017021
 Urban,500,4680,5180,Danubyu,MMR017022
 Rural,476,39141,39617,Danubyu,MMR017022
 Total,976,43821,44797,Danubyu,MMR017022
 Urban,376,3916,4292,Pantanaw,MMR017020
 Rural,724,55261,55985,Pantanaw,MMR017020
 Total,1100,59177,60277,Pantanaw,MMR017020
 Urban,950,8187,9137,Maubin,MMR017019
 Rural,831,61836,62667,Maubin,MMR017019
 Total,1781,70023,71804,Maubin,MMR017019
 Urban,1269,11244,12513,Myaungmya,MMR017014
 Rural,706,52953,53659,Myaungmya,MMR017014
 Total,1975,64197,66172,Myaungmya,MMR017014
 Urban,201,5104,5305,Wakema,MMR017017
 Rural,662,61481,62143,Wakema,MMR017017
 Total,863,66585,67448,Wakema,MMR017017
 Urban,238,2808,3046,Einme,MMR017015
 Rural,489,42920,43409,Einme,MMR017015
 Total,727,45728,46455,Einme,MMR017015
 Urban,363,7220,7583,Mawlamyinegyun,MMR017018
 Rural,529,66774,67303,Mawlamyinegyun,MMR017018
 Total,892,73994,74886,Mawlamyinegyun,MMR017018
 Urban,443,6760,7203,Labutta,MMR017016
 Rural,295,47648,47943,Labutta,MMR017016
 Total,738,54408,55146,Labutta,MMR017016
 Urban,1,500,501,Pyinsalu(ST),MMR017016
 Rural,73,19863,19936,Pyinsalu(ST),MMR017016
 Total,74,20363,20437,Pyinsalu(ST),MMR017016
 Urban,52,5254,5306,Kyangin,MMR017012
 Rural,207,21344,21551,Kyangin,MMR017012
 Total,259,26598,26857,Kyangin,MMR017012
 Urban,475,4782,5257,Zalun,MMR017009
 Rural,398,36418,36816,Zalun,MMR017009
 Total,873,41200,42073,Zalun,MMR017009
 Urban,724,5325,6049,Myanaung,MMR017011
 Rural,732,53139,53871,Myanaung,MMR017011
 Total,1456,58464,59920,Myanaung,MMR017011
 Urban,3,767,770,Laymyethna,MMR017010
 Rural,278,25196,25474,Laymyethna,MMR017010
 Total,281,25963,26244,Laymyethna,MMR017010
 Urban,716,19113,19829,Hinthada,MMR017008
 Rural,357,65943,66300,Hinthada,MMR017008
 Total,1073,85056,86129,Hinthada,MMR017008
 Urban,273,3305,3578,Ingapu,MMR017013
 Rural,886,52765,53651,Ingapu,MMR017013
 Total,1159,56070,57229,Ingapu,MMR017013
 Urban,1047,8099,9146,Tatkon,MMR018003
 Rural,1534,41067,42601,Tatkon,MMR018003
 Total,2581,49166,51747,Tatkon,MMR018003
 Urban,1392,6854,8246,Zeyarthiri,MMR018001
 Rural,1110,16719,17829,Zeyarthiri,MMR018001
 Total,2502,23573,26075,Zeyarthiri,MMR018001
 Urban,757,4138,4895,Ottarathiri,MMR018008
 Rural,772,12994,13766,Ottarathiri,MMR018008
 Total,1529,17132,18661,Ottarathiri,MMR018008
 Urban,700,9548,10248,Pobbathiri,MMR018005
 Rural,560,16808,17368,Pobbathiri,MMR018005
 Total,1260,26356,27616,Pobbathiri,MMR018005
 Urban,2181,12275,14456,Pyinmana,MMR018006
 Rural,1572,23635,25207,Pyinmana,MMR018006
 Total,3753,35910,39663,Pyinmana,MMR018006
 Urban,431,5692,6123,Lewe,MMR018007
 Rural,1209,57842,59051,Lewe,MMR018007
 Total,1640,63534,65174,Lewe,MMR018007
 Urban,9361,15361,24722,Zabuthiri,MMR018002
 Rural,135,1463,1598,Zabuthiri,MMR018002
 Total,9496,16824,26320,Zabuthiri,MMR018002
 Urban,91,817,908,Dekkhinathiri,MMR018004
 Rural,111,5978,6089,Dekkhinathiri,MMR018004
 Total,202,6795,6997,Dekkhinathiri,MMR018004
 Urban,519532,2529901,3049433,Dekkhinathiri,MMR018004
 Rural,155743,7672656,7828399,Dekkhinathiri,MMR018004
 Total,675275,10202557,10877832,Dekkhinathiri,MMR018004
