Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Total,4255,45476,49731,Aungmyetharzan,MMR010001
 Urban,5950,27331,33281,Chanayeharzan,MMR010002
 Total,5950,27331,33281,Chanayeharzan,MMR010002
 Urban,3958,37969,41927,Mahaaungmye,MMR010003
 Total,3958,37969,41927,Mahaaungmye,MMR010003
 Urban,2904,50143,53047,Chanmyatharzi,MMR010004
 Total,2904,50143,53047,Chanmyatharzi,MMR010004
 Urban,1965,41910,43875,Pyigyidagun,MMR010005
 Total,1965,41910,43875,Pyigyidagun,MMR010005
 Urban,699,15931,16630,Amarapura,MMR010006
 Rural,687,32309,32996,Amarapura,MMR010006
 Total,1386,48240,49626,Amarapura,MMR010006
 Urban,368,2334,2702,Patheingyi,MMR010007
 Rural,1114,49174,50288,Patheingyi,MMR010007
 Total,1482,51508,52990,Patheingyi,MMR010007
 Urban,2159,29782,31941,Pyin Oo Lwin,MMR010008
 Rural,598,20843,21441,Pyin Oo Lwin,MMR010008
 Total,2757,50625,53382,Pyin Oo Lwin,MMR010008
 Urban,693,4618,5311,Madaya,MMR010009
 Rural,1474,51860,53334,Madaya,MMR010009
 Total,2167,56478,58645,Madaya,MMR010009
 Urban,115,1617,1732,Sinku,MMR010010
 Rural,1592,31209,32801,Sinku,MMR010010
 Total,1707,32826,34533,Sinku,MMR010010
 Urban,942,15744,16686,Mogok,MMR010011
 Rural,643,17918,18561,Mogok,MMR010011
 Total,1585,33662,35247,Mogok,MMR010011
 Urban,86,1102,1188,Thabeikkyin,MMR010012
 Rural,1052,23509,24561,Thabeikkyin,MMR010012
 Total,1138,24611,25749,Thabeikkyin,MMR010012
 Urban,178,1615,1793,Tagaung,MMR010012
 Rural,149,5450,5599,Tagaung,MMR010012
 Total,327,7065,7392,Tagaung,MMR010012
 Urban,567,7924,8491,Kyaukse,MMR010013
 Rural,502,48772,49274,Kyaukse,MMR010013
 Total,1069,56696,57765,Kyaukse,MMR010013
 Urban,236,1544,1780,Singaing,MMR010014
 Rural,554,31245,31799,Singaing,MMR010014
 Total,790,32789,33579,Singaing,MMR010014
 Urban,283,4063,4346,Myitthar,MMR010015
 Rural,680,40991,41671,Myitthar,MMR010015
 Total,963,45054,46017,Myitthar,MMR010015
 Urban,297,2355,2652,Tada U,MMR010016
 Rural,501,29474,29975,Tada U,MMR010016
 Total,798,31829,32627,Tada U,MMR010016
 Urban,1420,17477,18897,Myingyan,MMR010017
 Rural,1294,42149,43443,Myingyan,MMR010017
 Total,2714,59626,62340,Myingyan,MMR010017
 Urban,595,3268,3863,Taungtha,MMR010018
 Rural,1328,44661,45989,Taungtha,MMR010018
 Total,1923,47929,49852,Taungtha,MMR010018
 Urban,369,2473,2842,Natogyi,MMR010019
 Rural,1658,36465,38123,Natogyi,MMR010019
 Total,2027,38938,40965,Natogyi,MMR010019
 Urban,1566,7447,9013,Kyaukpadaung,MMR010020
 Rural,1293,51655,52948,Kyaukpadaung,MMR010020
 Total,2859,59102,61961,Kyaukpadaung,MMR010020
 Urban,147,1510,1657,Ngazun,MMR010021
 Rural,1025,25156,26181,Ngazun,MMR010021
 Total,1172,26666,27838,Ngazun,MMR010021
 Urban,694,8821,9515,Nyaung U,MMR010022
 Rural,913,34234,35147,Nyaung U,MMR010022
 Total,1607,43055,44662,Nyaung U,MMR010022
 Urban,499,4828,5327,Yame`thin,MMR010023
 Rural,737,51195,51932,Yame`thin,MMR010023
 Total,1236,56023,57259,Yame`thin,MMR010023
 Urban,685,6189,6874,Pyawbwe,MMR010024
 Rural,1110,50879,51989,Pyawbwe,MMR010024
 Total,1795,57068,58863,Pyawbwe,MMR010024
 Urban,2199,21764,23963,Meiktila,MMR010028
 Rural,1017,43459,44476,Meiktila,MMR010028
 Total,3216,65223,68439,Meiktila,MMR010028
 Urban,496,4224,4720,Thazi,MMR010030
 Rural,881,39291,40172,Thazi,MMR010030
 Total,1377,43515,44892,Thazi,MMR010030
 Urban,511,6789,7300,Wundwin,MMR010031
 Rural,1668,44601,46269,Wundwin,MMR010031
 Total,2179,51390,53569,Wundwin,MMR010031
 Urban,3553,46181,49734,Mawlamyine,MMR011001
 Rural,179,7544,7723,Mawlamyine,MMR011001
 Total,3732,53725,57457,Mawlamyine,MMR011001
 Urban,121,2055,2176,Kyaikemaraw,MMR011002
 Rural,1581,35131,36712,Kyaikemaraw,MMR011002
 Total,1702,37186,38888,Kyaikemaraw,MMR011002
 Urban,176,1568,1744,Chaungzon,MMR011003
 Rural,1159,25041,26200,Chaungzon,MMR011003
 Total,1335,26609,27944,Chaungzon,MMR011003
 Urban,1047,10668,11715,Thanbyuzayat,MMR011004
 Rural,944,23575,24519,Thanbyuzayat,MMR011004
 Total,1991,34243,36234,Thanbyuzayat,MMR011004
 Urban,833,9959,10792,Mudon,MMR011005
 Rural,872,27648,28520,Mudon,MMR011005
 Total,1705,37607,39312,Mudon,MMR011005
 Urban,507,5606,6113,Ye,MMR011006
 Rural,659,23219,23878,Ye,MMR011006
 Total,1166,28825,29991,Ye,MMR011006
 Urban,144,2823,2967,Lamine,MMR011006
 Rural,587,15085,15672,Lamine,MMR011006
 Total,731,17908,18639,Lamine,MMR011006
 Urban,124,654,778,Khawzar,MMR011006
 Rural,131,3909,4040,Khawzar,MMR011006
 Total,255,4563,4818,Khawzar,MMR011006
 Urban,723,9983,10706,Thaton,MMR011007
 Rural,1279,36299,37578,Thaton,MMR011007
 Total,2002,46282,48284,Thaton,MMR011007
 Urban,329,5573,5902,Paung,MMR011008
 Rural,1585,36239,37824,Paung,MMR011008
 Total,1914,41812,43726,Paung,MMR011008
 Urban,426,7090,7516,Kyaikto,MMR011009
 Rural,1210,29362,30572,Kyaikto,MMR011009
 Total,1636,36452,38088,Kyaikto,MMR011009
 Urban,331,3713,4044,Bilin,MMR011010
 Rural,899,34288,35187,Bilin,MMR011010
 Total,1230,38001,39231,Bilin,MMR011010
 Urban,1372,17534,18906,Sittway,MMR012001
 Rural,128,10002,10130,Sittway,MMR012001
 Total,1500,27536,29036,Sittway,MMR012001
 Urban,48,2418,2466,Ponnagyun,MMR012002
 Rural,473,22396,22869,Ponnagyun,MMR012002
 Total,521,24814,25335,Ponnagyun,MMR012002
 Urban,74,2396,2470,Pauktaw,MMR012007
 Rural,521,27553,28074,Pauktaw,MMR012007
 Total,595,29949,30544,Pauktaw,MMR012007
 Urban,15,1495,1510,Yethedaung,MMR012008
 Rural,979,21852,22831,Yethedaung,MMR012008
 Total,994,23347,24341,Yethedaung,MMR012008
 Urban,281,6993,7274,Myauk U,MMR012003
 Rural,723,33528,34251,Myauk U,MMR012003
 Total,1004,40521,41525,Myauk U,MMR012003
 Urban,222,3617,3839,Kyauktaw,MMR012004
 Rural,753,31903,32656,Kyauktaw,MMR012004
 Total,975,35520,36495,Kyauktaw,MMR012004
 Urban,185,4430,4615,Minbya,MMR012005
 Rural,558,31455,32013,Minbya,MMR012005
 Total,743,35885,36628,Minbya,MMR012005
 Urban,30,2588,2618,Myebon,MMR012006
 Rural,539,28182,28721,Myebon,MMR012006
 Total,569,30770,31339,Myebon,MMR012006
 Urban,131,2183,2314,Maungtaw,MMR012009
 Rural,138,4938,5076,Maungtaw,MMR012009
 Total,269,7121,7390,Maungtaw,MMR012009
 Urban,45,2017,2062,Buthidaung,MMR012010
 Rural,214,8988,9202,Buthidaung,MMR012010
 Total,259,11005,11264,Buthidaung,MMR012010
 Urban,5,153,158,Taungpyoletwe(ST),MMR012009
 Rural,2,346,348,Taungpyoletwe(ST),MMR012009
 Total,7,499,506,Taungpyoletwe(ST),MMR012009
 Urban,432,3822,4254,Kyaukpyu,MMR012011
 Rural,498,32512,33010,Kyaukpyu,MMR012011
 Total,930,36334,37264,Kyaukpyu,MMR012011
 Urban,16,1290,1306,Mannaung,MMR017011
 Rural,315,13114,13429,Mannaung,MMR017011
 Total,331,14404,14735,Mannaung,MMR017011
 Urban,46,2202,2248,Yanbye,MMR012013
 Rural,187,19983,20170,Yanbye,MMR012013
 Total,233,22185,22418,Yanbye,MMR012013
 Urban,51,1827,1878,An,MMR012014
 Rural,825,24656,25481,An,MMR012014
 Total,876,26483,27359,An,MMR012014
 Urban,392,2958,3350,Thandwe,MMR012015
 Rural,831,26894,27725,Thandwe,MMR012015
 Total,1223,29852,31075,Thandwe,MMR012015
 Urban,480,5698,6178,Toungup,MMR012016
 Rural,436,18625,19061,Toungup,MMR012016
 Total,916,24323,25239,Toungup,MMR012016
 Urban,44,2444,2488,Gwa,MMR012017
 Rural,258,8499,8757,Gwa,MMR012017
 Total,302,10943,11245,Gwa,MMR012017
 Urban,68,1147,1215,Maei(ST),MMR012016
 Rural,253,8485,8738,Maei(ST),MMR012016
 Total,321,9632,9953,Maei(ST),MMR012016
 Urban,69,1406,1475,Kyeintali(ST),MMR012017
 Rural,249,4357,4606,Kyeintali(ST),MMR012017
 Total,318,5763,6081,Kyeintali(ST),MMR012017
 Urban,4760,56916,61676,Insein,MMR013001
 Total,4760,56916,61676,Insein,MMR013001
 Urban,2414,39227,41641,Mingaladon,MMR013002
 Rural,748,23914,24662,Mingaladon,MMR013002
 Total,3162,63141,66303,Mingaladon,MMR013002
 Urban,399,5543,5942,Hmawby,MMR013003
 Rural,1178,49349,50527,Hmawby,MMR013003
 Total,1577,54892,56469,Hmawby,MMR013003
 Urban,874,7875,8749,Hlegu,MMR013004
 Rural,1437,47837,49274,Hlegu,MMR013004
 Total,2311,55712,58023,Hlegu,MMR013004
 Urban,1242,19117,20359,Taikkyi,MMR013005
 Rural,1412,45228,46640,Taikkyi,MMR013005
 Total,2654,64345,66999,Taikkyi,MMR013005
 Urban,147,1909,2056,Htantabin,MMR013006
 Rural,960,31195,32155,Htantabin,MMR013006
 Total,1107,33104,34211,Htantabin,MMR013006
 Urban,1918,56593,58511,Shwepyitha,MMR013007
 Rural,239,15025,15264,Shwepyitha,MMR013007
 Total,2157,71618,73775,Shwepyitha,MMR013007
 Urban,3203,100604,103807,Hlinethaya,MMR013008
 Rural,981,43923,44904,Hlinethaya,MMR013008
 Total,4184,144527,148711,Hlinethaya,MMR013008
 Urban,5497,37823,43320,Thingangyun,MMR013009
 Total,5497,37823,43320,Thingangyun,MMR013009
 Urban,4093,10544,14637,Yankin,MMR013010
 Total,4093,10544,14637,Yankin,MMR013010
 Urban,4461,28264,32725,South Okkalapa,MMR013011
 Total,4461,28264,32725,South Okkalapa,MMR013011
 Urban,3195,61561,64756,North Okkalapa,MMR013012
 Total,3195,61561,64756,North Okkalapa,MMR013012
 Urban,2254,43202,45456,Thakayta,MMR013013
 Total,2254,43202,45456,Thakayta,MMR013013
 Urban,554,13855,14409,Dawbon,MMR013014
 Total,554,13855,14409,Dawbon,MMR013014
 Urban,7268,28092,35360,Tamway,MMR013015
 Total,7268,28092,35360,Tamway,MMR013015
 Urban,3530,6776,10306,Pazuntaung,MMR013016
 Total,3530,6776,10306,Pazuntaung,MMR013016
 Urban,2728,5669,8397,Botahtaung,MMR013017
 Total,2728,5669,8397,Botahtaung,MMR013017
 Urban,2592,74392,76984,Dagon Myothit(South),MMR013018
 Total,2592,74392,76984,Dagon Myothit(South),MMR013018
 Urban,3789,38915,42704,Dagon Myothit(North),MMR013019
 Total,3789,38915,42704,Dagon Myothit(North),MMR013019
 Urban,699,31196,31895,Dagon Myothit(East),MMR013020
 Rural,47,1971,2018,Dagon Myothit(East),MMR013020
 Total,746,33167,33913,Dagon Myothit(East),MMR013020
 Urban,684,33488,34172,Dagon Myothit(Seik),MMR013021
 Rural,98,3635,3733,Dagon Myothit(Seik),MMR013021
 Total,782,37123,37905,Dagon Myothit(Seik),MMR013021
 Urban,5029,20889,25918,Mingala Taungnyunt,MMR013022
 Total,5029,20889,25918,Mingala Taungnyunt,MMR013022
 Urban,1341,17368,18709,Thanlyin,MMR013023
 Rural,1065,41823,42888,Thanlyin,MMR013023
 Total,2406,59191,61597,Thanlyin,MMR013023
 Urban,637,9227,9864,Kyauktan,MMR013024
 Rural,874,22238,23112,Kyauktan,MMR013024
 Total,1511,31465,32976,Kyauktan,MMR013024
 Urban,741,6015,6756,Thongwa,MMR013025
 Rural,1513,31818,33331,Thongwa,MMR013025
 Total,2254,37833,40087,Thongwa,MMR013025
 Urban,739,7139,7878,Khayan,MMR013026
 Rural,1267,30169,31436,Khayan,MMR013026
 Total,2006,37308,39314,Khayan,MMR013026
 Urban,750,8447,9197,Twantay,MMR013027
 Rural,1990,40415,42405,Twantay,MMR013027
 Total,2740,48862,51602,Twantay,MMR013027
 Urban,171,2060,2231,Kawhmu,MMR013028
 Rural,1128,26433,27561,Kawhmu,MMR013028
 Total,1299,28493,29792,Kawhmu,MMR013028
 Urban,465,3493,3958,Kungyangon,MMR013029
 Rural,936,23458,24394,Kungyangon,MMR013029
 Total,1401,26951,28352,Kungyangon,MMR013029
 Urban,703,24628,25331,Dala,MMR013030
 Rural,283,12298,12581,Dala,MMR013030
 Total,986,36926,37912,Dala,MMR013030
 Urban,2,349,351,Cocogyun,MMR013032
 Total,2,349,351,Cocogyun,MMR013032
 Urban,381,2109,2490,Tada(ST),MMR013024
 Rural,50,6953,7003,Tada(ST),MMR013024
 Total,431,9062,9493,Tada(ST),MMR013024
 Urban,3027,3093,6120,Kyauktada,MMR013033
 Total,3027,3093,6120,Kyauktada,MMR013033
 Urban,3195,3368,6563,Pabedan,MMR013034
 Total,3195,3368,6563,Pabedan,MMR013034
 Urban,4213,4386,8599,Lanmadaw,MMR013035
 Total,4213,4386,8599,Lanmadaw,MMR013035
 Urban,2239,2234,4473,Latha,MMR013036
 Total,2239,2234,4473,Latha,MMR013036
 Urban,2659,8284,10943,Ahlon,MMR013037
 Total,2659,8284,10943,Ahlon,MMR013037
 Urban,2958,20104,23062,Kyimyindine,MMR013038
 Total,2958,20104,23062,Kyimyindine,MMR013038
 Urban,5570,15065,20635,Sangyoung,MMR013039
 Total,5570,15065,20635,Sangyoung,MMR013039
 Urban,5892,26945,32837,Hline,MMR013040
 Total,5892,26945,32837,Hline,MMR013040
 Urban,4029,12270,16299,Kamayut,MMR013041
 Total,4029,12270,16299,Kamayut,MMR013041
 Urban,6026,32781,38807,Mayangon,MMR013042
 Total,6026,32781,38807,Mayangon,MMR013042
 Urban,1779,2829,4608,Dagon,MMR013043
 Total,1779,2829,4608,Dagon,MMR013043
 Urban,4628,12798,17426,Bahan,MMR013044
 Total,4628,12798,17426,Bahan,MMR013044
 Urban,14,396,410,Seikkan,MMR013045
 Total,14,396,410,Seikkan,MMR013045
 Urban,6475,50173,56648,Taunggyi,MMR014001
 Rural,261,25695,25956,Taunggyi,MMR014001
 Total,6736,75868,82604,Taunggyi,MMR014001
 Urban,452,2607,3059,Nyaungshwe,MMR014002
 Rural,358,39217,39575,Nyaungshwe,MMR014002
 Total,810,41824,42634,Nyaungshwe,MMR014002
 Urban,391,4145,4536,Hopon,MMR014003
 Rural,408,19784,20192,Hopon,MMR014003
 Total,799,23929,24728,Hopon,MMR014003
 Urban,199,2450,2649,Hsihseng,MMR014004
 Rural,843,29279,30122,Hsihseng,MMR014004
 Total,1042,31729,32771,Hsihseng,MMR014004
 Urban,1173,11425,12598,Kalaw,MMR014005
 Rural,566,28177,28743,Kalaw,MMR014005
 Total,1739,39602,41341,Kalaw,MMR014005
 Urban,270,1989,2259,Pindaya,MMR014006
 Rural,78,15207,15285,Pindaya,MMR014006
 Total,348,17196,17544,Pindaya,MMR014006
 Urban,14,1141,1155,Ywarngan,MMR014007
 Rural,205,16988,17193,Ywarngan,MMR014007
 Total,219,18129,18348,Ywarngan,MMR014007
 Urban,579,5098,5677,Yatsauk,MMR014008
 Rural,239,20041,20280,Yatsauk,MMR014008
 Total,818,25139,25957,Yatsauk,MMR014008
 Urban,409,2361,2770,Pinlaung,MMR014009
 Rural,319,22415,22734,Pinlaung,MMR014009
 Total,728,24776,25504,Pinlaung,MMR014009
 Urban,384,3047,3431,Phekon,MMR014010
 Rural,416,16237,16653,Phekon,MMR014010
 Total,800,19284,20084,Phekon,MMR014010
 Urban,37,565,602,Kyauktalongyi(ST),MMR014001
 Rural,208,11455,11663,Kyauktalongyi(ST),MMR014001
 Total,245,12020,12265,Kyauktalongyi(ST),MMR014001
 Urban,20,1816,1836,Indaw(ST),MMR014008
 Rural,63,6251,6314,Indaw(ST),MMR014008
 Total,83,8067,8150,Indaw(ST),MMR014008
 Urban,10,969,979,Naungtayar(ST),MMR014009
 Rural,241,15359,15600,Naungtayar(ST),MMR014009
 Total,251,16328,16579,Naungtayar(ST),MMR014009
 Urban,168,2685,2853,Loilem,MMR014011
 Rural,68,7980,8048,Loilem,MMR014011
 Total,236,10665,10901,Loilem,MMR014011
 Urban,350,980,1330,Le`char,MMR014012
 Rural,226,7234,7460,Le`char,MMR014012
 Total,576,8214,8790,Le`char,MMR014012
 Urban,561,4280,4841,Nanhsam(South),MMR014013
 Rural,148,13874,14022,Nanhsam(South),MMR014013
 Total,709,18154,18863,Nanhsam(South),MMR014013
 Urban,268,1274,1542,Kunhing,MMR014014
 Rural,66,2962,3028,Kunhing,MMR014014
 Total,334,4236,4570,Kunhing,MMR014014
 Urban,18,824,842,Kehsi,MMR014015
 Rural,181,7878,8059,Kehsi,MMR014015
 Total,199,8702,8901,Kehsi,MMR014015
 Urban,28,2191,2219,Mongkai,MMR014016
 Rural,70,14043,14113,Mongkai,MMR014016
 Total,98,16234,16332,Mongkai,MMR014016
 Urban,30,2053,2083,Mineshu,MMR014017
 Rural,77,7041,7118,Mineshu,MMR014017
 Total,107,9094,9201,Mineshu,MMR014017
 Urban,296,4928,5224,Panglong(ST),MMR014011
 Rural,59,9233,9292,Panglong(ST),MMR014011
 Total,355,14161,14516,Panglong(ST),MMR014011
 Urban,77,1671,1748,Kholan(ST),MMR014013
 Rural,44,2572,2616,Kholan(ST),MMR014013
 Total,121,4243,4364,Kholan(ST),MMR014013
 Urban,61,1604,1665,Karli(ST),MMR014014
 Rural,66,4836,4902,Karli(ST),MMR014014
 Total,127,6440,6567,Karli(ST),MMR014014
 Urban,40,712,752,Minenaung(ST),MMR014015
 Rural,115,4944,5059,Minenaung(ST),MMR014015
 Total,155,5656,5811,Minenaung(ST),MMR014015
 Urban,8,499,507,Minesan(Monsan)(ST),MMR014017
 Rural,45,6114,6159,Minesan(Monsan)(ST),MMR014017
 Total,53,6613,6666,Minesan(Monsan)(ST),MMR014017
 Urban,157,1561,1718,Linkhe`,MMR014018
 Rural,467,6203,6670,Linkhe`,MMR014018
 Total,624,7764,8388,Linkhe`,MMR014018
 Urban,12,2091,2103,Mone`,MMR014019
 Rural,20,4101,4121,Mone`,MMR014019
 Total,32,6192,6224,Mone`,MMR014019
 Urban,6,1186,1192,Maukme`,MMR014020
 Rural,14,5988,6002,Maukme`,MMR014020
 Total,20,7174,7194,Maukme`,MMR014020
 Urban,23,1936,1959,Minepan,MMR014021
 Rural,94,3368,3462,Minepan,MMR014021
 Total,117,5304,5421,Minepan,MMR014021
 Urban,35,639,674,Homane(ST),MMR014018
 Rural,4,482,486,Homane(ST),MMR014018
 Total,39,1121,1160,Homane(ST),MMR014018
 Urban,24,2073,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,24,2237,2261,Kengtaung(ST),MMR014019
 Urban,3614,30485,34099,Lashio,MMR015001
 Rural,716,30117,30833,Lashio,MMR015001
 Total,4330,60602,64932,Lashio,MMR015001
 Urban,300,1623,1923,Theinni,MMR015002
 Rural,228,9628,9856,Theinni,MMR015002
 Total,528,11251,11779,Theinni,MMR015002
 Urban,20,1450,1470,Mineye`,MMR015003
 Rural,251,11607,11858,Mineye`,MMR015003
 Total,271,13057,13328,Mineye`,MMR015003
 Urban,365,6443,6808,Tantyan,MMR015004
 Rural,429,27905,28334,Tantyan,MMR015004
 Total,794,34348,35142,Tantyan,MMR015004
 Urban,1930,11404,13334,MuSe,MMR015009
 Rural,1170,7710,8880,MuSe,MMR015009
 Total,3100,19114,22214,MuSe,MMR015009
 Urban,941,5191,6132,Namkham,MMR015010
 Rural,1025,14260,15285,Namkham,MMR015010
 Total,1966,19451,21417,Namkham,MMR015010
 Urban,557,4126,4683,Kukai,MMR015011
 Rural,640,13708,14348,Kukai,MMR015011
 Total,1197,17834,19031,Kukai,MMR015011
 Urban,20,1449,1469,Monekoe(ST),MMR015009
 Rural,191,2698,2889,Monekoe(ST),MMR015009
 Total,211,4147,4358,Monekoe(ST),MMR015009
 Urban,10,336,346,Manhero(ST),MMR015009
 Rural,65,1232,1297,Manhero(ST),MMR015009
 Total,75,1568,1643,Manhero(ST),MMR015009
 Urban,133,1635,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,537,2238,2775,Pansai(KyuKute)(ST),MMR015009
 Total,670,3873,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,484,2003,2487,Tamoenye(ST),MMR015011
 Rural,615,9947,10562,Tamoenye(ST),MMR015011
 Total,1099,11950,13049,Tamoenye(ST),MMR015011
 Urban,757,7896,8653,Kyukme,MMR015012
 Rural,366,19352,19718,Kyukme,MMR015012
 Total,1123,27248,28371,Kyukme,MMR015012
 Urban,338,3833,4171,Naungkhio,MMR015013
 Rural,901,27152,28053,Naungkhio,MMR015013
 Total,1239,30985,32224,Naungkhio,MMR015013
 Urban,404,3605,4009,Hsipaw,MMR015014
 Rural,821,33076,33897,Hsipaw,MMR015014
 Total,1225,36681,37906,Hsipaw,MMR015014
 Urban,238,3019,3257,Namtu,MMR015015
 Rural,172,8212,8384,Namtu,MMR015015
 Total,410,11231,11641,Namtu,MMR015015
 Urban,129,806,935,Namsan(North),MMR015016
 Rural,187,12563,12750,Namsan(North),MMR015016
 Total,316,13369,13685,Namsan(North),MMR015016
 Urban,181,2052,2233,Momeik,MMR015017
 Rural,301,11118,11419,Momeik,MMR015017
 Total,482,13170,13652,Momeik,MMR015017
 Urban,21,693,714,Mabane,MMR015018
 Rural,607,7311,7918,Mabane,MMR015018
 Total,628,8004,8632,Mabane,MMR015018
 Urban,9,770,779,Manton,MMR015019
 Rural,53,6851,6904,Manton,MMR015019
 Total,62,7621,7683,Manton,MMR015019
 Urban,22,591,613,Minengaw(ST),MMR015012
 Rural,38,3378,3416,Minengaw(ST),MMR015012
 Total,60,3969,4029,Minengaw(ST),MMR015012
 Urban,8,578,586,Minelon(ST),MMR015012
 Rural,55,5215,5270,Minelon(ST),MMR015012
 Total,63,5793,5856,Minelon(ST),MMR015012
 Urban,525,633,1158,Kunlon,MMR015020
 Rural,1361,7873,9234,Kunlon,MMR015020
 Total,1886,8506,10392,Kunlon,MMR015020
 Urban,329,2612,2941,Laukine,MMR015022
 Rural,1583,9707,11290,Laukine,MMR015022
 Total,1912,12319,14231,Laukine,MMR015022
 Urban,91,103,194,Kongyan,MMR015023
 Rural,834,4434,5268,Kongyan,MMR015023
 Total,925,4537,5462,Kongyan,MMR015023
 Urban,63,556,619,Chinshwehaw(ST),MMR015022
 Rural,53,278,331,Chinshwehaw(ST),MMR015022
 Total,116,834,950,Chinshwehaw(ST),MMR015022
 Urban,3,82,85,Mawhtike(ST),MMR015023
 Rural,79,4039,4118,Mawhtike(ST),MMR015023
 Total,82,4121,4203,Mawhtike(ST),MMR015023
 Urban,261,3117,3378,Hopan,MMR015021
 Rural,559,6094,6653,Hopan,MMR015021
 Total,820,9211,10031,Hopan,MMR015021
 Urban,215,638,853,Minemaw,MMR015008
 Rural,678,8914,9592,Minemaw,MMR015008
 Total,893,9552,10445,Minemaw,MMR015008
 Urban,44,425,469,Panwine,MMR015007
 Rural,361,13139,13500,Panwine,MMR015007
 Total,405,13564,13969,Panwine,MMR015007
 Urban,193,468,661,Panlon(ST),MMR015021
 Rural,46,478,524,Panlon(ST),MMR015021
 Total,239,946,1185,Panlon(ST),MMR015021
 Urban,1,66,67,Makman,MMR015024
 Rural,27,3224,3251,Makman,MMR015024
 Total,28,3290,3318,Makman,MMR015024
 Urban,445,1577,2022,Pan San(Pan Kham),MMR015005
 Rural,565,13555,14120,Pan San(Pan Kham),MMR015005
 Total,1010,15132,16142,Pan San(Pan Kham),MMR015005
 Urban,25,130,155,Naphang,MMR015006
 Rural,670,15649,16319,Naphang,MMR015006
 Total,695,15779,16474,Naphang,MMR015006
 Urban,2,79,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,2,313,315,ManKan(ST),MMR015005
 Urban,1725,7377,9102,Kengtung,MMR016001
 Rural,430,24564,24994,Kengtung,MMR016001
 Total,2155,31941,34096,Kengtung,MMR016001
 Urban,13,545,558,Minekat,MMR016002
 Rural,220,7247,7467,Minekat,MMR016002
 Total,233,7792,8025,Minekat,MMR016002
 Urban,15,974,989,Mineyan,MMR016003
 Rural,1138,7992,9130,Mineyan,MMR016003
 Total,1153,8966,10119,Mineyan,MMR016003
 Urban,112,1448,1560,Minelar,MMR016005
 Rural,341,3307,3648,Minelar,MMR016005
 Total,453,4755,5208,Minelar,MMR016005
 Rural,352,8933,9285,Mine Pauk(ST),MMR016003
 Total,352,8933,9285,Mine Pauk(ST),MMR016003
 Urban,231,1330,1561,Minesat,MMR016006
 Rural,318,14030,14348,Minesat,MMR016006
 Total,549,15360,15909,Minesat,MMR016006
 Urban,209,1124,1333,Minepyin,MMR016007
 Rural,52,9220,9272,Minepyin,MMR016007
 Total,261,10344,10605,Minepyin,MMR016007
 Urban,29,1090,1119,Minetung,MMR016008
 Rural,78,3061,3139,Minetung,MMR016008
 Total,107,4151,4258,Minetung,MMR016008
 Urban,4,280,284,Minekoke(ST),MMR016006
 Rural,41,2877,2918,Minekoke(ST),MMR016006
 Total,45,3157,3202,Minekoke(ST),MMR016006
 Urban,3,424,427,Tontar(ST),MMR016007
 Rural,13,2254,2267,Tontar(ST),MMR016007
 Total,16,2678,2694,Tontar(ST),MMR016007
 Urban,38,683,721,Ponparkyin(ST),MMR016008
 Rural,238,6375,6613,Ponparkyin(ST),MMR016008
 Total,276,7058,7334,Ponparkyin(ST),MMR016008
 Urban,1,90,91,Monehta(ST),MMR016008
 Rural,5,833,838,Monehta(ST),MMR016008
 Total,6,923,929,Monehta(ST),MMR016008
 Urban,1412,9682,11094,Tachileik,MMR016009
 Rural,451,19634,20085,Tachileik,MMR016009
 Total,1863,29316,31179,Tachileik,MMR016009
 Urban,49,824,873,Talay(ST),MMR016009
 Rural,147,2998,3145,Talay(ST),MMR016009
 Total,196,3822,4018,Talay(ST),MMR016009
 Urban,58,704,762,Kenglat(ST),MMR016009
 Rural,93,1621,1714,Kenglat(ST),MMR016009
 Total,151,2325,2476,Kenglat(ST),MMR016009
 Urban,191,1132,1323,Minephyat,MMR016010
 Rural,71,4771,4842,Minephyat,MMR016010
 Total,262,5903,6165,Minephyat,MMR016010
 Urban,130,1060,1190,Mineyaung,MMR016011
 Rural,642,4497,5139,Mineyaung,MMR016011
 Total,772,5557,6329,Mineyaung,MMR016011
 Urban,10,221,231,Mineyu(ST),MMR016011
 Rural,789,9847,10636,Mineyu(ST),MMR016011
 Total,799,10068,10867,Mineyu(ST),MMR016011
 Urban,135,2539,2674,Kangyidaunt,MMR017002
 Rural,1193,39099,40292,Kangyidaunt,MMR017002
 Total,1328,41638,42966,Kangyidaunt,MMR017002
 Urban,286,3664,3950,Kyaungon,MMR017007
 Rural,821,36631,37452,Kyaungon,MMR017007
 Total,1107,40295,41402,Kyaungon,MMR017007
 Urban,563,5436,5999,Kyonpyaw,MMR017005
 Rural,2794,50695,53489,Kyonpyaw,MMR017005
 Total,3357,56131,59488,Kyonpyaw,MMR017005
 Urban,158,2383,2541,Ngaputaw,MMR017004
 Rural,1981,32854,34835,Ngaputaw,MMR017004
